learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,4.152819,9.195467349762718E-8,1000.0,91.10000000000001,81.8083706023269,77.12082262210798,79.25407925407927,20461.0,85592.0,10.0,118176.5,36950.701142798964,98564.0,42439.91500672189,800.6,345.5903805245614,400.8,172.7951902622807,400.8,172.7951902622807,22.200000000000003,5.750362307426087,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,4.788904,1.0606696556218797E-7,2000.0,88.7,77.23665020184846,79.45454545454544,78.10077519379846,23284.0,85760.0,10.0,124789.2,64578.02178381676,101988.0,60537.539618910116,829.0,492.9575145092233,415.0,246.47875725461165,415.0,246.47875725461165,21.5,7.352248333370926,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,5.229911,1.1632400740144981E-7,3000.0,89.5,78.8015828151498,78.95791583166333,77.9874213836478,25292.0,89904.0,10.0,148705.7,64374.61956918873,121348.79999999999,61564.12602734738,986.6,501.3615240300932,493.8,250.6807620150466,493.8,250.6807620150466,22.7,6.945022198188666,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,5.664871,1.2606862590337793E-7,4000.0,90.10000000000001,79.91299689970296,80.8880308880309,78.1456953642384,27363.0,86600.0,10.0,155530.7,77969.20359140381,125845.59999999999,69473.07395147177,1022.8,565.7572702925601,511.9,282.87863514628003,511.9,282.87863514628003,22.4,8.275801404630785,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,6.143308,1.3672489950433375E-7,5000.0,86.9,73.74644274319611,74.7104247104247,75.04761904761905,29417.0,86096.0,10.0,157806.20000000004,90670.58951047897,132833.6,81044.05253002152,1079.8,660.167790119384,540.4,330.083895059692,540.4,330.083895059692,23.5,7.891627067834476,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,6.586705,1.4671634857232372E-7,6000.0,92.0,83.46861516589246,84.73282442748092,80.86124401913877,31453.0,87104.0,10.0,165423.39999999997,103951.81732813631,144609.59999999998,91829.24496065752,1176.0,747.986482349633,588.5,373.9932411748165,588.5,373.9932411748165,23.8,8.59974159818512,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,7.049887,1.5729454500600694E-7,7000.0,90.4,79.80477953550994,79.95824634655533,75.3846153846154,33611.0,88280.0,10.0,191352.80000000002,104052.40434063341,167597.59999999998,91856.67142915883,1363.0,748.1051619480602,682.0,374.0525809740301,682.0,374.0525809740301,25.2,7.96938586787659,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,7.480173,1.6721496417911516E-7,8000.0,87.2,72.17778396049246,74.24547283702213,65.59139784946237,35584.0,89120.0,10.0,215017.40000000002,104061.50577230756,188763.19999999998,92744.85535513247,1535.1999999999998,755.3391879737796,768.0999999999999,377.6695939868898,768.0999999999999,377.6695939868898,26.5,8.031189202104505,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,7.944048,1.7797027385897107E-7,9000.0,89.1,76.04985146513386,77.80040733197556,71.01063829787235,37688.0,89624.0,10.0,240170.80000000002,103965.86024567018,210840.0,94910.102625824,1714.8000000000002,772.9955871657857,857.9000000000001,386.4977935828928,857.9000000000001,386.4977935828928,27.700000000000003,8.48593607748203,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,8.378907,1.8810952373262908E-7,10000.0,88.0,74.89119517910947,75.4601226993865,71.42857142857143,39657.0,90128.0,10.0,263778.4,104073.20930020581,232652.8,96677.22220622143,1891.8000000000002,787.3980780604771,946.4000000000001,393.69903903023857,946.4000000000001,393.69903903023857,28.5,9.00925450115972,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,8.797617,1.9794503207421965E-7,11000.0,90.60000000000001,80.71992616141935,80.73770491803279,77.45803357314149,41599.0,90800.0,10.0,287104.39999999997,104062.1280359852,253040.80000000005,98710.43529750146,2058.0,804.0764198065311,1029.5,402.03820990326557,1029.5,402.03820990326557,29.4,9.106774035482232,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,9.190015,2.0749787195689148E-7,12000.0,89.3,78.56209778889077,79.34362934362935,78.02874743326488,43340.0,94104.0,10.0,307692.19999999995,103962.32506890816,270573.6,101216.31587754132,2200.6000000000004,824.6533547834238,1100.8000000000002,412.3266773917119,1100.8000000000002,412.3266773917119,30.2,9.51957048517538,0.0,0.0,0.0,0.0,1.0,0.0
