learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,5.116353,6.35330006480217E-9,1000.0,89.1,77.57847533632287,75.05720823798627,74.17061611374407,13813.0,4800.0
2000.0,5.903146,7.330310841401419E-9,2000.0,89.7,78.87075466279366,79.1919191919192,76.48401826484019,15682.0,4800.0
3000.0,6.685919,8.302329729000729E-9,3000.0,85.2,70.30914598671936,71.3733075435203,69.48453608247422,17434.0,4800.0
4000.0,7.386136,9.171833594640097E-9,4000.0,90.8,80.68006182380218,82.47619047619048,77.22772277227725,19061.0,4800.0
5000.0,8.164653,1.0138567537069322E-8,5000.0,90.4,79.84006451179357,80.12422360248448,76.23762376237624,20903.0,4800.0
6000.0,8.9268,1.1084973812103273E-8,6000.0,85.39999999999999,68.0,68.86993603411513,61.066666666666656,22677.0,4800.0
7000.0,9.690593,1.2033424029747647E-8,7000.0,87.7,71.31048123752123,74.84662576687117,64.756446991404,24498.0,4800.0
8000.0,10.425908,1.2946511308352155E-8,8000.0,89.4,77.73782721193588,79.41747572815534,74.51923076923077,26227.0,4800.0
9000.0,11.083383,1.3762939721345903E-8,9000.0,88.4,76.53721682847896,76.56565656565657,74.22222222222223,27787.0,4800.0
10000.0,11.714985,1.4547239989042284E-8,10000.0,88.4,76.7976797679768,77.73512476007679,76.98412698412699,29269.0,4800.0
11000.0,12.410642,1.541108141342799E-8,11000.0,87.8,72.3703103131214,73.18681318681318,64.22287390029325,30885.0,4800.0
12000.0,13.157649,1.6338687390089037E-8,12000.0,89.9,72.37266808906395,74.81296758104739,61.8867924528302,32621.0,4800.0
13000.0,13.88262,1.7238929867744448E-8,13000.0,86.1,68.61679069431399,71.51639344262296,62.634408602150536,34293.0,4800.0
14000.0,14.73624,1.82989239692688E-8,14000.0,85.5,71.0500255558395,70.46843177189409,71.17296222664015,35941.0,4800.0
15000.0,15.492447,1.9237954169511795E-8,15000.0,86.2,72.03726743314273,72.56461232604373,72.00811359026369,37529.0,4800.0
16000.0,16.202015,2.011906976501147E-8,16000.0,87.1,73.52325438200403,74.75538160469667,69.93006993006993,39020.0,4800.0
17000.0,16.955119,2.1054246773322423E-8,17000.0,88.7,75.6591418231949,76.70103092783506,70.26315789473685,40646.0,4800.0
18000.0,17.671162,2.194340278704961E-8,18000.0,87.8,73.42094255437813,73.24561403508771,67.72486772486772,42201.0,4800.0
19000.0,18.415474,2.2867662211259204E-8,19000.0,84.7,69.33744839472523,70.96774193548386,68.45360824742266,43840.0,4800.0
20000.0,19.141306,2.3768973847230273E-8,20000.0,89.0,77.9955110842612,77.27272727272727,78.38899803536346,45455.0,4800.0
