learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.953735,4.8028231350084146E-8,1000.0,89.3,77.86365667565913,75.51487414187645,74.64454976303318,13813.0,95024.0
2000.0,2.220464,5.424125994452172E-8,2000.0,91.2,82.08906618904177,82.22222222222223,79.90867579908677,15682.0,90040.0
3000.0,2.473773,6.0173670179728E-8,3000.0,87.4,74.73177579464554,75.62862669245648,74.02061855670104,17434.0,90528.0
4000.0,2.670232,6.450510189765029E-8,4000.0,92.2,83.62005241583228,85.14285714285715,80.69306930693071,19061.0,85224.0
5000.0,2.881709,6.927793696729672E-8,5000.0,90.60000000000001,80.2918483730292,80.53830227743272,76.73267326732675,20903.0,87240.0
6000.0,3.100277,7.42393071970178E-8,6000.0,85.8,68.97870016384489,69.7228144989339,62.133333333333326,22677.0,87744.0
7000.0,3.331854,7.957649226196938E-8,7000.0,87.4,70.42322950165489,74.23312883435584,63.89684813753581,24498.0,89088.0
8000.0,3.54745,8.457347167241904E-8,8000.0,88.0,74.8153122901276,76.69902912621359,71.15384615384616,26227.0,89592.0
9000.0,3.737141,8.901950335337055E-8,9000.0,89.3,78.4230691671708,78.3838383838384,76.22222222222223,27787.0,90600.0
10000.0,3.912874,9.321476003982953E-8,10000.0,88.6,77.19735489316761,78.1190019193858,77.38095238095238,29269.0,92280.0
11000.0,4.113368,9.80098474667304E-8,11000.0,87.3,71.76623330428443,72.08791208791209,62.75659824046921,30885.0,92448.0
12000.0,4.330328,1.0319874173858099E-7,12000.0,92.4,79.90853094350598,81.04738154613467,71.32075471698116,32621.0,92448.0
13000.0,4.55251,1.0837733749507201E-7,13000.0,86.2,68.78844901208656,71.72131147540983,62.903225806451616,34293.0,90096.0
14000.0,4.804774,1.1415475243288609E-7,14000.0,83.39999999999999,66.98895522031889,66.19144602851324,66.9980119284294,35941.0,88528.0
15000.0,5.006023,1.18886261522356E-7,15000.0,89.5,78.69560277241223,79.12524850894633,78.70182555780933,37529.0,90880.0
16000.0,5.19566,1.235810333593852E-7,16000.0,88.4,76.17061837245323,77.29941291585128,72.96037296037296,39020.0,95696.0
17000.0,5.394562,1.2855704305279586E-7,17000.0,89.3,77.46419545071609,77.93814432989691,71.84210526315789,40646.0,96704.0
18000.0,5.582407,1.3331358388894133E-7,18000.0,89.9,78.03106103449777,77.85087719298247,73.28042328042329,42201.0,97880.0
19000.0,5.77776,1.3827722024793424E-7,19000.0,89.7,79.34298664313505,80.45540796963947,78.76288659793815,43840.0,98216.0
20000.0,5.968467,1.431310969404876E-7,20000.0,90.3,80.60527536510071,79.95867768595042,80.94302554027506,45455.0,98384.0
21000.0,6.160561,1.4811211166489453E-7,21000.0,90.8,81.61764705882354,82.47619047619048,80.83333333333333,47039.0,100232.0
22000.0,6.348598,1.5301244524824947E-7,22000.0,90.3,80.45221877393092,79.49260042283298,77.80320366132723,48681.0,100736.0
23000.0,6.530205,1.577688888336221E-7,23000.0,89.7,78.01681820122081,76.8018018018018,71.1484593837535,50272.0,101240.0
24000.0,6.70573,1.6235078236915993E-7,24000.0,90.60000000000001,78.96527031865378,78.73303167420815,71.8562874251497,51822.0,100904.0
25000.0,6.884966,1.6702954761476974E-7,25000.0,89.5,75.52059533912136,75.91743119266056,68.84272997032642,53439.0,100904.0
26000.0,7.059978,1.715904435080786E-7,26000.0,89.60000000000001,77.30209169954954,76.62921348314606,71.58469945355192,55068.0,100736.0
27000.0,7.241947,1.7635636818491744E-7,27000.0,88.5,76.34815515610218,76.81451612903226,73.56321839080461,56707.0,101240.0
28000.0,7.427113,1.812382155739598E-7,28000.0,88.0,76.01410370702027,75.10373443983403,75.65922920892496,58345.0,101912.0
29000.0,7.616176,1.862638912432723E-7,29000.0,89.0,77.93574890079913,78.96749521988528,76.89075630252101,59932.0,102752.0
30000.0,7.806657,1.9134381747494135E-7,30000.0,89.4,78.78166736059956,78.5425101214575,78.00829875518673,61600.0,103088.0
31000.0,8.002136,1.9656553091895243E-7,31000.0,92.2,84.37600153836293,83.81742738589213,84.08163265306123,63176.0,103256.0
32000.0,8.201389,2.0204970802283944E-7,32000.0,89.9,79.71887550200803,79.47154471544717,78.51063829787235,64713.0,106392.0
33000.0,8.38981,2.0720299215159476E-7,33000.0,89.5,77.71987302449541,77.56410256410257,74.94033412887828,66174.0,105720.0
34000.0,8.545726,2.1148082249901355E-7,34000.0,87.0,73.96667734700416,72.57383966244726,72.22222222222221,67516.0,106056.0
35000.0,8.696524,2.156182314931518E-7,35000.0,92.10000000000001,84.19620708970153,83.67768595041323,83.7782340862423,68865.0,106056.0
36000.0,8.85976,2.200968989460832E-7,36000.0,91.60000000000001,83.15904279207032,83.49705304518665,81.61925601750548,70284.0,106056.0
37000.0,9.03226,2.2484473486534417E-7,37000.0,84.2,67.5265953073875,68.89763779527559,62.200956937799035,71774.0,106392.0
38000.0,9.221775,2.3006088631020646E-7,38000.0,89.9,79.1018340727008,79.17525773195877,75.00000000000001,73399.0,106392.0
