learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.076549,2.233810101946195E-11,1000.0,51.4,-12.23759266529641,-11.212814645308908,-15.16587677725117,13813.0,1128.0
2000.0,0.087697,2.55912480254968E-11,2000.0,56.2,0.0,11.515151515151526,0.0,15682.0,1128.0
3000.0,0.094466,2.756653974453608E-11,3000.0,51.5,0.0,6.189555125725344,0.0,17434.0,1128.0
4000.0,0.100696,2.938454349835714E-11,4000.0,59.599999999999994,0.0,23.047619047619047,0.0,19061.0,1128.0
5000.0,0.107396,3.1339700023333233E-11,5000.0,59.599999999999994,0.0,16.35610766045548,0.0,20903.0,1128.0
6000.0,0.114219,3.333074972033501E-11,6000.0,62.5,0.0,20.04264392324093,0.0,22677.0,1128.0
7000.0,0.120031,3.502677505215009E-11,7000.0,65.10000000000001,0.0,28.62985685071575,0.0,24498.0,1128.0
8000.0,0.125723,3.668778265515963E-11,8000.0,58.4,0.0,19.22330097087378,0.0,26227.0,1128.0
9000.0,0.131474,3.8366007308165234E-11,9000.0,55.00000000000001,0.0,9.090909090909099,0.0,27787.0,1128.0
10000.0,0.136452,3.98186594247818E-11,10000.0,50.1,0.0,4.222648752399236,0.9920634920634929,29269.0,1128.0
11000.0,0.141755,4.1366151223580046E-11,11000.0,65.3,0.0,23.736263736263734,-1.7595307917888579,30885.0,1128.0
12000.0,0.147313,4.298805569609006E-11,12000.0,73.5,0.0,33.915211970074814,0.0,32621.0,1128.0
13000.0,0.153351,4.475003108382225E-11,13000.0,62.8,0.0,23.770491803278688,0.0,34293.0,1128.0
14000.0,0.158741,4.632291073600451E-11,14000.0,47.3,0.0,-7.3319755600814736,-4.771371769383702,35941.0,1128.0
15000.0,0.164001,4.78578545153141E-11,15000.0,54.7,0.0,9.940357852882713,8.113590263691691,37529.0,1128.0
16000.0,0.168805,4.925973092516263E-11,16000.0,57.099999999999994,0.0,16.046966731898234,0.0,39020.0,1128.0
17000.0,0.173767,5.0707714011271794E-11,17000.0,62.0,0.0,21.649484536082472,0.0,40646.0,1128.0
18000.0,0.179024,5.2241782347361244E-11,18000.0,62.2,0.0,17.10526315789473,0.0,42201.0,1128.0
19000.0,0.184074,5.3715445101261134E-11,19000.0,51.5,0.0,7.969639468690709,0.0,43840.0,1128.0
20000.0,0.189065,5.517189080516497E-11,20000.0,48.3,0.0,-6.818181818181825,-1.5717092337917498,45455.0,1128.0
21000.0,0.193939,5.65941942234834E-11,21000.0,48.0,0.0,0.9523809523809532,-8.333333333333341,47039.0,1128.0
22000.0,0.198914,5.804597089687983E-11,22000.0,43.7,0.0,-19.02748414376322,-28.832951945080076,48681.0,1128.0
23000.0,0.204199,5.958821003635724E-11,23000.0,35.699999999999996,0.0,-44.81981981981984,-80.11204481792718,50272.0,1128.0
24000.0,0.209129,6.102685506145159E-11,24000.0,33.4,0.0,-50.67873303167422,-99.40119760479044,51822.0,1128.0
25000.0,0.214151,6.249234701196353E-11,25000.0,33.7,0.0,-52.064220183486206,-96.73590504451039,53439.0,1128.0
26000.0,0.219497,6.405238683025042E-11,26000.0,47.9,1.2516963480185792,-17.078651685393275,-42.34972677595629,55068.0,1128.0
27000.0,0.224126,6.54031957189242E-11,27000.0,56.49999999999999,0.0,12.298387096774183,0.0,56707.0,1128.0
28000.0,0.228704,6.673912207285562E-11,28000.0,49.3,0.0,-5.1867219917012495,-2.8397565922920918,58345.0,1128.0
29000.0,0.233185,6.80467424293359E-11,29000.0,52.6,0.0,9.369024856596567,0.42016806722689115,59932.0,1128.0
30000.0,0.238009,6.945445512731869E-11,30000.0,51.800000000000004,0.0,2.4291497975708523,0.0,61600.0,1128.0
31000.0,0.242642,7.080643127361933E-11,31000.0,48.8,0.0,-6.224066390041499,-4.489795918367351,63176.0,1128.0
32000.0,0.247007,7.208020115892092E-11,32000.0,54.0,0.0,6.504065040650413,2.1276595744680873,64713.0,1128.0
33000.0,0.251244,7.331661880016326E-11,33000.0,36.7,0.0,-35.25641025641026,-51.073985680190916,66174.0,1128.0
34000.0,0.254978,7.440625379482904E-11,34000.0,46.800000000000004,0.0,-12.236286919831224,-13.675213675213676,67516.0,1128.0
35000.0,0.258709,7.549501334627469E-11,35000.0,49.7,0.0,-3.9256198347107474,-3.2854209445585245,68865.0,1128.0
36000.0,0.262786,7.668474068244298E-11,36000.0,53.800000000000004,0.0,9.23379174852653,-1.0940919037199135,70284.0,1128.0
37000.0,0.266844,7.786892354488373E-11,37000.0,58.199999999999996,0.0,17.71653543307086,0.0,71774.0,1128.0
