learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.347262,4.7488098777830607E-8,1000.0,88.1,75.4592623755434,72.76887871853548,71.80094786729858,2150.0,54840.0
2000.0,3.903721,5.5382664532711116E-8,2000.0,91.5,82.73017627410665,82.82828282828284,80.59360730593608,4019.0,54840.0
3000.0,4.388081,6.224432681790657E-8,3000.0,84.1,68.1081514762516,69.24564796905221,67.21649484536081,990.0,54760.0
4000.0,4.735385,6.71643919725385E-8,4000.0,91.9,83.01060473857306,84.57142857142857,79.95049504950497,2617.0,54760.0
5000.0,5.10937,7.246243221064409E-8,5000.0,91.5,82.21459658520254,82.4016563146998,78.96039603960398,4459.0,54760.0
6000.0,5.5264,7.837026733905078E-8,6000.0,88.2,74.4450460205739,74.84008528784648,68.53333333333333,6233.0,54760.0
7000.0,5.918197,8.392064040526748E-8,7000.0,88.2,72.7264742727445,75.86912065439672,66.189111747851,8054.0,54760.0
8000.0,6.291626,8.921080409652657E-8,8000.0,92.10000000000001,83.59934231286643,84.66019417475728,81.0096153846154,9783.0,54760.0
9000.0,6.645771,9.422778194356295E-8,9000.0,90.10000000000001,80.03629764065336,80.0,78.0,11343.0,54760.0
10000.0,6.967037,9.877898104281889E-8,10000.0,88.9,77.79875673037691,78.69481765834934,77.97619047619048,12825.0,54760.0
11000.0,7.323814,1.0383324498931567E-7,11000.0,89.60000000000001,77.1129782617307,77.14285714285715,69.50146627565982,14441.0,54760.0
12000.0,7.711256,1.0932192316071855E-7,12000.0,93.7,83.64995328558082,84.28927680798006,76.22641509433964,16177.0,54760.0
13000.0,8.162159,1.1570961848936148E-7,13000.0,87.8,72.47093652971334,75.0,67.20430107526882,17849.0,54760.0
14000.0,8.710645,1.2347971862182023E-7,14000.0,78.4,56.860567762860946,56.0081466395112,57.05765407554673,875.0,54760.0
15000.0,9.062132,1.28459042041666E-7,15000.0,89.4,78.51319411504765,78.92644135188867,78.49898580121705,2463.0,54760.0
16000.0,9.384698,1.330286575274335E-7,16000.0,90.7,81.02273191037833,81.80039138943249,78.32167832167833,3954.0,54760.0
17000.0,9.720704,1.3778867011682857E-7,17000.0,89.9,78.53256248937257,79.17525773195877,73.42105263157896,5580.0,54760.0
18000.0,10.021206,1.420457170241409E-7,18000.0,90.60000000000001,79.60777507809789,79.3859649122807,75.13227513227514,7135.0,54760.0
19000.0,10.338939,1.465468660514388E-7,19000.0,89.8,79.53984715062283,80.64516129032259,78.96907216494846,8774.0,54760.0
20000.0,10.659971,1.5109475020112264E-7,20000.0,90.2,80.39600078415997,79.75206611570248,80.74656188605108,10389.0,54760.0
21000.0,10.976167,1.5557412539298336E-7,21000.0,91.4,82.78622898318656,83.61904761904762,82.08333333333334,11973.0,54760.0
22000.0,11.281472,1.5989921376523045E-7,22000.0,93.0,85.81048483546245,85.20084566596195,83.98169336384441,13615.0,54760.0
23000.0,11.564499,1.6390870193847353E-7,23000.0,89.9,77.9868182452225,77.25225225225225,71.70868347338936,15206.0,54760.0
24000.0,11.85103,1.6796782935659092E-7,24000.0,89.2,75.39370078740157,75.56561085972851,67.66467065868264,16756.0,54760.0
25000.0,12.134567,1.71984542419927E-7,25000.0,89.7,75.80296566370352,76.37614678899082,69.43620178041543,18373.0,54760.0
26000.0,12.417988,1.759996121749282E-7,26000.0,91.8,82.06160308015401,81.57303370786518,77.59562841530055,20002.0,54760.0
27000.0,12.745756,1.8064292153964442E-7,27000.0,90.0,79.43867585072479,79.83870967741936,77.01149425287358,21641.0,54760.0
28000.0,13.078725,1.8535991061685815E-7,28000.0,91.0,82.01661664621889,81.32780082987553,81.74442190669372,23279.0,54760.0
29000.0,13.40515,1.8998419443766278E-7,29000.0,89.5,78.97156956204789,79.92351816443595,77.94117647058823,24866.0,54760.0
30000.0,13.739899,1.9472639979794623E-7,30000.0,92.2,84.38875990713315,84.21052631578948,83.81742738589213,26534.0,54760.0
31000.0,14.07439,1.994649502138297E-7,31000.0,90.5,80.97168586857244,80.29045643153528,80.61224489795919,28110.0,54760.0
32000.0,14.402218,2.041091095656157E-7,32000.0,92.4,84.7266881028939,84.5528455284553,83.82978723404257,29647.0,54760.0
33000.0,14.712346,2.0850252273182078E-7,33000.0,94.19999999999999,87.61599330409568,87.6068376068376,86.15751789976133,31108.0,54760.0
34000.0,14.984871,2.1236323483495252E-7,34000.0,89.60000000000001,79.1198201092194,78.05907172995781,77.77777777777779,32450.0,54760.0
35000.0,15.269036,2.1638884442961883E-7,35000.0,93.89999999999999,87.79648538779166,87.39669421487602,87.47433264887063,33799.0,54760.0
36000.0,15.560856,2.2052289820793608E-7,36000.0,91.9,83.73324122197499,84.08644400785855,82.27571115973743,35218.0,54760.0
37000.0,15.939701,2.2588978739869268E-7,37000.0,85.9,71.03033391135693,72.24409448818896,66.26794258373205,36708.0,54760.0
