learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.938556,4.387912141780059E-8,1000.0,88.5,76.31425017094932,73.6842105263158,72.74881516587678,2416.0,57720.0
2000.0,3.349817,5.00201550933222E-8,2000.0,90.0,79.6979048237778,79.7979797979798,77.1689497716895,4285.0,57720.0
3000.0,3.729807,5.569424377754331E-8,3000.0,89.3,78.5691395609678,79.3036750483559,77.93814432989691,6037.0,57720.0
4000.0,4.08862,6.105211315055689E-8,4000.0,94.1,87.74346872299408,88.76190476190476,85.39603960396039,7664.0,57720.0
5000.0,4.476939,6.685057217255235E-8,5000.0,91.9,83.1598030736478,83.22981366459629,79.95049504950497,9506.0,57720.0
6000.0,4.96452,7.412114075074595E-8,6000.0,85.2,68.08625336927223,68.44349680170575,60.53333333333333,639.0,57640.0
7000.0,5.35056,7.987757977098228E-8,7000.0,86.0,68.52050888845916,71.37014314928425,59.88538681948423,2460.0,57640.0
8000.0,5.773762,8.618816029694347E-8,8000.0,92.7,84.86607513060785,85.82524271844662,82.4519230769231,4189.0,57640.0
9000.0,6.263363,9.349898293407429E-8,9000.0,86.4,72.46963562753037,72.52525252525253,69.77777777777777,1080.0,57720.0
10000.0,6.744502,1.0068344925012855E-7,10000.0,87.8,75.59677877479828,76.58349328214972,75.79365079365078,2562.0,57720.0
11000.0,7.124843,1.0636277913840283E-7,11000.0,88.3,73.95392739156375,74.28571428571429,65.6891495601173,4178.0,57720.0
12000.0,7.484012,1.1172596437649597E-7,12000.0,93.30000000000001,82.132380393621,83.2917705735661,74.71698113207549,5914.0,57720.0
13000.0,7.838061,1.1701269672355721E-7,13000.0,85.5,67.41280115066523,70.28688524590163,61.021505376344074,7586.0,57720.0
14000.0,8.323125,1.2425577194533418E-7,14000.0,86.9,73.91830656143733,73.31975560081466,73.95626242544732,9234.0,57720.0
15000.0,8.800648,1.3138624340709715E-7,15000.0,88.4,76.58429452112864,76.93836978131213,76.47058823529413,10822.0,57720.0
16000.0,9.280652,1.385438274799122E-7,16000.0,85.6,70.65835320007335,71.81996086105676,66.43356643356644,511.0,57640.0
17000.0,9.667663,1.4431474557560352E-7,17000.0,87.2,73.40425531914893,73.6082474226804,66.3157894736842,2137.0,57640.0
18000.0,9.973514,1.4887544558280045E-7,18000.0,87.9,73.87489312456277,73.46491228070175,67.98941798941799,3692.0,57640.0
19000.0,10.412596,1.5542282087521422E-7,19000.0,90.4,80.7619085789864,81.78368121442125,80.20618556701031,5331.0,57640.0
20000.0,10.892022,1.6258170832362441E-7,20000.0,85.7,71.36105102939997,70.45454545454545,71.90569744597249,1266.0,57720.0
21000.0,11.22458,1.6754753264702031E-7,21000.0,88.1,76.15230460921843,77.33333333333333,75.20833333333333,2850.0,57720.0
22000.0,11.52885,1.7209095474746496E-7,22000.0,93.0,85.79597336136263,85.20084566596195,83.98169336384441,4492.0,57720.0
23000.0,11.81692,1.7639247512237896E-7,23000.0,90.0,77.77530836759641,77.47747747747749,71.98879551820728,6083.0,57720.0
24000.0,12.17923,1.8180256241725553E-7,24000.0,90.4,78.16077310863196,78.28054298642535,71.25748502994013,7633.0,57720.0
25000.0,12.610968,1.882493628602889E-7,25000.0,90.2,76.74606225411334,77.52293577981652,70.91988130563799,9250.0,57720.0
26000.0,13.04805,1.9477596100833683E-7,26000.0,92.10000000000001,82.646668599696,82.24719101123597,78.4153005464481,10879.0,57720.0
