learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.43286,4.870249020556609E-8,1000.0,90.2,80.01215587255099,77.57437070938215,76.77725118483413,13813.0,54840.0
2000.0,3.921397,5.56334365469714E-8,2000.0,91.4,82.52259868634975,82.62626262626263,80.36529680365298,15682.0,54840.0
3000.0,4.384701,6.220639860257507E-8,3000.0,89.0,77.94309318040544,78.72340425531915,77.31958762886599,17434.0,54840.0
4000.0,4.781742,6.783927772194147E-8,4000.0,92.80000000000001,84.98899192741345,86.2857142857143,82.1782178217822,19061.0,54840.0
5000.0,5.226326,7.414665638158718E-8,5000.0,92.60000000000001,84.60898502495841,84.67908902691512,81.6831683168317,20903.0,54840.0
6000.0,5.656602,8.025104533880949E-8,6000.0,89.3,77.03862660944206,77.18550106609808,71.46666666666667,22677.0,54840.0
7000.0,6.091711,8.642400077854593E-8,7000.0,90.0,77.26766416156326,79.55010224948876,71.34670487106017,24498.0,54840.0
8000.0,6.50915,9.23462693269054E-8,8000.0,91.9,83.1723977463478,84.27184466019419,80.52884615384616,26227.0,54840.0
9000.0,6.864511,9.738782815014322E-8,9000.0,92.4,84.64646464646465,84.64646464646466,83.11111111111113,27787.0,54840.0
10000.0,7.206682,1.0224225850154955E-7,10000.0,90.9,81.7991263580652,82.53358925143954,81.94444444444446,29269.0,54840.0
11000.0,7.610181,1.0796675821766256E-7,11000.0,90.3,78.63906628495926,78.68131868131869,71.5542521994135,30885.0,54840.0
12000.0,8.037983,1.1403604817266264E-7,12000.0,94.6,86.07062707973276,86.53366583541145,79.62264150943395,32621.0,54840.0
13000.0,8.477762,1.2027525758991638E-7,13000.0,89.1,75.80960159079612,77.6639344262295,70.6989247311828,34293.0,54840.0
14000.0,8.931406,1.2671117180337508E-7,14000.0,88.2,76.45340368045274,75.96741344195519,76.54075546719682,35941.0,54840.0
15000.0,9.358223,1.327664874183635E-7,15000.0,89.3,78.38051902918428,78.72763419483103,78.29614604462475,37529.0,54840.0
16000.0,9.763098,1.385105086490512E-7,16000.0,90.10000000000001,79.68063708386356,80.62622309197653,76.92307692307693,39020.0,54840.0
17000.0,10.198922,1.4469360789904994E-7,17000.0,92.7,84.49974520129099,84.94845360824743,80.78947368421053,40646.0,54840.0
18000.0,10.600376,1.503890948990981E-7,18000.0,91.5,81.6669686224776,81.35964912280701,77.51322751322752,42201.0,54840.0
19000.0,11.026624,1.5643633802731834E-7,19000.0,90.0,79.9241131476983,81.02466793168881,79.38144329896907,43840.0,54840.0
20000.0,11.475196,1.6280029503007733E-7,20000.0,91.60000000000001,83.2125570073585,82.64462809917356,83.49705304518665,45455.0,54840.0
21000.0,11.896047,1.6877097012475135E-7,21000.0,93.89999999999999,87.79316417193628,88.38095238095237,87.29166666666666,47039.0,54840.0
22000.0,12.314404,1.7470626247425875E-7,22000.0,93.8,87.48329423545134,86.892177589852,85.81235697940502,48681.0,54840.0
23000.0,12.72093,1.8047370668500663E-7,23000.0,92.2,83.07357785503171,82.43243243243245,78.15126050420169,50272.0,54840.0
24000.0,13.116291,1.8608275139704347E-7,24000.0,90.4,78.25929415175014,78.28054298642535,71.25748502994013,51822.0,54840.0
25000.0,13.515881,1.917517935546736E-7,25000.0,92.10000000000001,81.69346989850304,81.88073394495414,76.5578635014837,53439.0,54840.0
26000.0,13.90208,1.9723085562388104E-7,26000.0,90.8,79.77915318610212,79.32584269662922,74.86338797814209,55068.0,54840.0
27000.0,14.303407,2.0292454085623225E-7,27000.0,91.7,82.96597299183188,83.26612903225808,80.91954022988507,56707.0,54840.0
28000.0,14.712175,2.087237926510473E-7,28000.0,91.2,82.41231138203258,81.74273858921163,82.15010141987831,58345.0,54840.0
29000.0,15.121615,2.145325782087942E-7,29000.0,91.0,81.99625522108599,82.79158699808796,81.09243697478992,59932.0,54840.0
30000.0,15.549174,2.205984206870198E-7,30000.0,93.0,85.97981092773594,85.82995951417006,85.47717842323652,61600.0,54840.0
31000.0,15.992681,2.2689051978910962E-7,31000.0,93.60000000000001,87.17784331324529,86.72199170124483,86.9387755102041,63176.0,54840.0
32000.0,16.397486,2.3263354791949192E-7,32000.0,93.4,86.72779922779924,86.58536585365854,85.95744680851065,64713.0,54840.0
33000.0,16.7885,2.3818092110256353E-7,33000.0,93.8,86.82180099219084,86.75213675213675,85.20286396181383,66174.0,54840.0
34000.0,17.137428,2.4313121400773525E-7,34000.0,91.2,82.31852375747445,81.43459915611815,81.1965811965812,67516.0,54840.0
35000.0,17.478294,2.4796713013201954E-7,35000.0,95.0,89.99723923802969,89.6694214876033,89.73305954825462,68865.0,54840.0
36000.0,17.826001,2.529001005304357E-7,36000.0,92.7,85.3443083718129,85.6581532416503,84.02625820568929,70284.0,54840.0
37000.0,18.206703,2.583011758513749E-7,37000.0,87.6,74.51454315263322,75.59055118110236,70.33492822966507,71774.0,54840.0
38000.0,18.667658,2.6484081229815884E-7,38000.0,91.0,81.40003967991535,81.44329896907217,77.72277227722773,73399.0,54840.0
39000.0,19.109365,2.7110737453525267E-7,39000.0,92.10000000000001,83.53302150295573,83.40336134453781,79.10052910052912,75115.0,54840.0
40000.0,19.551593,2.773813282760481E-7,40000.0,94.5,88.627999106781,88.77551020408163,86.68280871670702,76829.0,54840.0
41000.0,19.976881,2.834149517429372E-7,41000.0,93.89999999999999,87.50911220503075,87.13080168776371,85.78088578088577,78623.0,54840.0
42000.0,20.438195,2.899596813755731E-7,42000.0,89.3,78.49315398901744,78.4708249496982,77.3784355179704,80397.0,54840.0
43000.0,20.908299,2.966291160322726E-7,43000.0,89.60000000000001,77.75990967101775,76.47058823529413,70.94972067039107,82174.0,54840.0
44000.0,21.38059,3.0332957797994216E-7,44000.0,93.8,87.0165225221452,87.16356107660455,84.22391857506359,84105.0,54840.0
45000.0,21.802134,3.0931008476763964E-7,45000.0,94.5,88.30115797265448,88.34745762711863,85.09485094850947,85859.0,54840.0
46000.0,22.229941,3.1537944565837585E-7,46000.0,93.4,86.29619324859121,86.1344537815126,83.8630806845966,87615.0,54840.0
47000.0,22.664532,3.2154505215585233E-7,47000.0,92.80000000000001,85.06688789795707,85.09316770186336,81.7721518987342,89513.0,54840.0
48000.0,23.124253,3.280671816629668E-7,48000.0,89.4,78.08468408865366,77.49469214437367,73.36683417085428,91300.0,54840.0
49000.0,23.613531,3.3500864068046214E-7,49000.0,94.69999999999999,89.35811353487325,89.29292929292927,88.45315904139433,93193.0,54840.0
50000.0,24.105176,3.4198368067542715E-7,50000.0,90.60000000000001,80.76757822889856,80.97165991902835,79.520697167756,94977.0,54840.0
51000.0,24.608964,3.491309951990843E-7,51000.0,94.0,87.82472473731843,87.67967145790553,86.33257403189066,96721.0,54840.0
52000.0,25.096596,3.560491021722555E-7,52000.0,95.89999999999999,91.41181399245914,91.16379310344827,89.75,98558.0,54840.0
53000.0,25.596871,3.631465772477289E-7,53000.0,90.2,80.47435366125794,80.32128514056225,81.68224299065422,100358.0,54840.0
