learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,52.501812,6.519483029842376E-8,100.0,97.0,92.10526315789474,-50.0,88.46153846153845,189410.0,4800.0
200.0,52.570593,6.52802400290966E-8,200.0,93.0,85.76512455516016,0.0,83.33333333333334,189510.0,4800.0
300.0,52.672074,6.540625542402266E-8,300.0,87.0,72.74506149832277,2.499999999999975,65.17857142857142,189610.0,4800.0
400.0,52.753042,6.550679852565128E-8,400.0,90.25,76.51592701872704,2.4999999999999476,65.17857142857142,189710.0,4800.0
500.0,52.84623,6.562251597642897E-8,500.0,90.60000000000001,76.94450985009027,24.193548387096797,65.69343065693431,189810.0,4800.0
600.0,52.929556,6.572598715623219E-8,600.0,92.16666666666666,78.37887570153647,24.193548387096783,65.69343065693431,189910.0,4800.0
700.0,53.020926,6.583944708108901E-8,700.0,91.57142857142857,80.1815808668279,32.95454545454542,71.35922330097087,190010.0,4800.0
800.0,53.109841,6.594985847671826E-8,800.0,89.125,76.2194371933469,33.58778625954196,66.66666666666666,190110.0,4800.0
900.0,53.196179,6.605706984798113E-8,900.0,88.88888888888889,76.50277789381343,51.21951219512192,68.25396825396824,190210.0,4800.0
1000.0,53.275049,6.615500772992769E-8,1000.0,89.9,79.40859864300627,55.89519650655023,74.75,190310.0,4800.0
1100.0,53.356477,6.62561220427354E-8,1100.0,88.2,76.04790419161677,56.13382899628253,73.30316742081448,190410.0,4800.0
1200.0,53.428083,6.634503975510596E-8,1200.0,89.2,78.47748106815465,58.30115830115831,77.59336099585063,190510.0,4800.0
1300.0,53.511053,6.644806886712708E-8,1300.0,89.9,79.74360619965985,65.17241379310346,80.11811023622047,190610.0,4800.0
1400.0,53.603891,6.656335170070328E-8,1400.0,87.7,74.7277583727142,64.756446991404,78.2685512367491,190710.0,4800.0
1500.0,53.69148,6.667211651802061E-8,1500.0,86.8,72.18382278566371,66.3265306122449,77.7027027027027,190810.0,4800.0
1600.0,53.769825,6.676940247416495E-8,1600.0,86.6,67.9147970251749,67.86570743405275,77.92421746293246,190910.0,4800.0
1700.0,53.845166,6.686295817295709E-8,1700.0,87.2,68.36756884996342,69.66824644549763,76.89530685920577,191010.0,4800.0
1800.0,53.918865,6.695447489619253E-8,1800.0,89.7,73.86290969254662,75.82159624413146,80.34351145038168,191110.0,4800.0
1900.0,53.993788,6.704751153786975E-8,1900.0,90.9,76.15953723303922,77.58620689655173,81.72690763052209,191210.0,4800.0
2000.0,54.062303,6.713259095946946E-8,2000.0,91.0,75.75692274539382,76.92307692307693,78.46889952153111,191310.0,4800.0
2100.0,54.128706,6.721504777669905E-8,2100.0,93.0,79.80287607044758,79.88505747126437,80.00000000000001,191410.0,4800.0
2200.0,54.193802,6.729588160912193E-8,2200.0,93.10000000000001,79.99211283288486,80.0578034682081,72.61904761904763,191510.0,4800.0
2300.0,54.257795,6.737534577647842E-8,2300.0,94.89999999999999,82.93561036979534,82.35294117647058,74.2424242424242,191610.0,4800.0
2400.0,54.321767,6.745478386680283E-8,2400.0,96.8,85.69397626988312,86.44067796610169,77.6223776223776,191710.0,4800.0
2500.0,54.383492,6.753143171469368E-8,2500.0,98.5,90.31208019014156,91.22807017543859,83.69565217391303,191810.0,4800.0
2600.0,54.447236,6.76105866829554E-8,2600.0,98.7,90.08723235527357,91.0958904109589,83.11688311688309,191910.0,4800.0
2700.0,54.509004,6.768728792667387E-8,2700.0,99.3,93.54315020477438,93.91304347826086,88.52459016393442,192010.0,4800.0
2800.0,54.5686,6.776129206021624E-8,2800.0,99.6,93.9113492450073,94.11764705882352,88.88888888888889,192110.0,4800.0
2900.0,54.627684,6.783466041088101E-8,2900.0,99.7,76.78018575851378,78.57142857142857,62.5,192210.0,4800.0
3000.0,54.686738,6.79079915086428E-8,3000.0,99.7,0.0,50.0,0.0,192310.0,4800.0
3100.0,54.745808,6.798134247461952E-8,3100.0,99.7,0.0,50.0,0.0,192410.0,4800.0
3200.0,54.805679,6.805568809310593E-8,3200.0,99.7,0.0,50.0,0.0,192510.0,4800.0
3300.0,54.867797,6.813282395402589E-8,3300.0,99.7,0.0,50.0,0.0,192610.0,4800.0
3400.0,54.932105,6.821267927686372E-8,3400.0,100.0,,,,192710.0,4800.0
3500.0,55.002161,6.82996722559134E-8,3500.0,99.2,68.86432630186046,75.0,52.94117647058824,192810.0,4800.0
3600.0,55.073693,6.838849807778993E-8,3600.0,98.7,84.3937575030012,85.55555555555554,74.0,192910.0,4800.0
3700.0,55.173111,6.85119517147541E-8,3700.0,96.8,77.81229199023737,76.1194029850746,65.21739130434779,193010.0,4800.0
3800.0,55.249533,6.860684975981711E-8,3800.0,96.8,77.81229199023737,76.1194029850746,65.21739130434779,193110.0,4800.0
3900.0,55.320149,6.869453812638917E-8,3900.0,96.8,77.81229199023737,76.1194029850746,65.21739130434779,193210.0,4800.0
4000.0,55.396683,6.878957524895667E-8,4000.0,95.89999999999999,75.44027794417153,75.59523809523809,62.727272727272684,193310.0,4800.0
4100.0,55.480389,6.889351829886436E-8,4100.0,95.3,77.10042680906626,76.96078431372545,65.69343065693428,193410.0,4800.0
4200.0,55.564016,6.899736324946085E-8,4200.0,94.69999999999999,81.42801076474545,79.45736434108525,72.95918367346935,193510.0,4800.0
4300.0,55.642067,6.909428412715593E-8,4300.0,94.3,83.21179062452137,82.46153846153844,76.44628099173552,193610.0,4800.0
4400.0,55.726717,6.91993994017442E-8,4400.0,93.2,82.22203630887644,82.29166666666669,76.05633802816904,193710.0,4800.0
4500.0,55.805824,6.929763158162433E-8,4500.0,93.10000000000001,82.45578348911243,82.61964735516374,76.53061224489798,193810.0,4800.0
4600.0,55.880545,6.939041738708812E-8,4600.0,93.30000000000001,82.17136774880257,81.3888888888889,75.63636363636365,193910.0,4800.0
4700.0,55.965606,6.949604302644728E-8,4700.0,92.7,79.46669666966699,79.77839335180057,71.92307692307695,194010.0,4800.0
