learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,25.776773,6.500957653298973E-7,100.0,97.0,92.10526315789474,-50.0,88.46153846153845,189410.0,97488.0
200.0,25.825845,6.513355044896404E-7,200.0,88.0,76.03594608087867,-71.42857142857154,71.42857142857143,189510.0,97656.0
300.0,25.872869,6.52442629771928E-7,300.0,84.66666666666667,68.45137396552514,-15.000000000000016,58.92857142857143,189610.0,91008.0
400.0,25.902635,6.531576660523812E-7,400.0,88.25,72.56115359915931,-17.500000000000075,58.03571428571427,189710.0,92856.0
500.0,25.933094,6.538960315597554E-7,500.0,88.6,72.75751319109888,8.064516129032265,58.39416058394161,189810.0,93704.0
600.0,25.96357,6.545994881188704E-7,600.0,90.5,74.53765746448674,8.064516129032333,58.39416058394163,189910.0,89224.0
700.0,25.989387,6.551985031821661E-7,700.0,89.0,73.84815432985289,12.499999999999979,62.62135922330098,190010.0,89688.0
800.0,26.016099,6.558182843484812E-7,800.0,88.625,74.45147886631946,30.534351145038137,65.13409961685824,190110.0,89688.0
900.0,26.038264,6.563383444046808E-7,900.0,89.88888888888889,77.9860013547076,55.60975609756095,71.1111111111111,190210.0,90696.0
1000.0,26.060724,6.568670459650457E-7,1000.0,89.9,78.9844276689777,55.89519650655023,74.75,190310.0,90992.0
1100.0,26.081096,6.573465966412591E-7,1100.0,89.0,77.08572023747526,59.107806691449824,75.1131221719457,190410.0,90992.0
1200.0,26.110225,6.580287878691323E-7,1200.0,90.8,81.57080816012564,64.47876447876449,80.91286307053942,190510.0,90528.0
1300.0,26.128294,6.584527429855532E-7,1300.0,91.3,82.59164398911479,70.00000000000001,82.87401574803151,190610.0,90696.0
1400.0,26.151871,6.589956859975225E-7,1400.0,90.0,79.814291481631,71.34670487106017,82.3321554770318,190710.0,89016.0
1500.0,26.171622,6.594546096358035E-7,1500.0,89.9,79.32886345588658,74.23469387755102,82.9391891891892,190810.0,89816.0
1600.0,26.188343,6.598409496496121E-7,1600.0,89.9,77.4796871237324,75.77937649880097,83.36079077429984,190910.0,89312.0
1700.0,26.202052,6.601600804345476E-7,1700.0,91.8,81.07039964541627,80.56872037914692,85.1985559566787,191010.0,89984.0
