learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.894906,2.611464634537697E-10,100.0,74.0,0.0,-1199.9999999999989,0.0,189410.0,1128.0
200.0,0.900226,2.6269891609748205E-10,200.0,42.5,0.0,-721.428571428572,-36.9047619047619,189510.0,1128.0
300.0,0.90209,2.632428581515948E-10,300.0,37.666666666666664,0.0,-367.5000000000001,-66.96428571428574,189610.0,1128.0
400.0,0.903757,2.6372931276758514E-10,400.0,28.249999999999996,0.0,-617.5000000000001,-156.24999999999997,189710.0,1128.0
500.0,0.905262,2.6416849344968796E-10,500.0,27.6,0.0,-483.8709677419355,-164.23357664233572,189810.0,1128.0
600.0,0.907578,2.648443356156349E-10,600.0,23.0,0.0,-645.1612903225803,-237.2262773722627,189910.0,1128.0
700.0,0.908612,2.65146071712176E-10,700.0,29.57142857142857,0.0,-460.2272727272729,-139.3203883495146,190010.0,1128.0
800.0,0.909659,2.654516013960044E-10,800.0,32.75,0.0,-310.6870229007635,-106.13026819923368,190110.0,1128.0
900.0,0.910663,2.657445830603441E-10,900.0,35.11111111111111,0.0,-184.87804878048786,-85.39682539682542,190210.0,1128.0
1000.0,0.911636,2.660285184780757E-10,1000.0,40.1,0.0,-161.57205240174676,-49.749999999999986,190310.0,1128.0
1100.0,0.912729,2.6634747162461283E-10,1100.0,39.5,0.0,-124.907063197026,-36.877828054298654,190410.0,1128.0
1200.0,0.913722,2.666372433304787E-10,1200.0,48.199999999999996,0.0,-100.0,-7.4688796680498,190510.0,1128.0
1300.0,0.914605,2.668949154516061E-10,1300.0,50.8,0.0,-69.65517241379308,3.1496062992126013,190610.0,1128.0
1400.0,0.915524,2.671630928913752E-10,1400.0,55.00000000000001,0.0,-28.939828080229223,20.494699646643117,190710.0,1128.0
