learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,18.646283,2.6345702931491867E-7,100.0,98.0,94.80249480249479,0.0,92.3076923076923,7417.0,54616.0
200.0,18.693102,2.641185442482432E-7,200.0,92.5,84.63114754098362,-7.142857142857154,82.14285714285715,7517.0,54616.0
300.0,18.721657,2.6452200350455116E-7,300.0,87.0,71.67070217917676,2.499999999999975,65.17857142857142,7617.0,54616.0
400.0,18.748788,2.649053427825372E-7,400.0,90.25,75.07987220447284,2.4999999999999476,65.17857142857142,7717.0,54616.0
500.0,18.772807,2.652447119955388E-7,500.0,90.8,76.23377696949657,25.806451612903246,66.42335766423359,7817.0,54616.0
600.0,18.795791,2.655694574883415E-7,600.0,92.33333333333333,77.55659640905542,25.80645161290327,66.42335766423358,7917.0,54616.0
700.0,18.821237,2.659289890672598E-7,700.0,91.42857142857143,78.95011176488276,31.818181818181767,70.87378640776699,8017.0,54616.0
800.0,18.843434,2.662426148810321E-7,800.0,90.75,78.79291568751074,43.51145038167935,71.64750957854406,8117.0,54616.0
900.0,18.864106,2.665346936674582E-7,900.0,91.77777777777779,81.82354097072117,63.90243902439025,76.50793650793652,8217.0,54616.0
1000.0,18.886439,2.668502410521938E-7,1000.0,92.10000000000001,83.45300233752525,65.50218340611356,80.25000000000001,8317.0,54616.0
1100.0,18.909085,2.6717021087598474E-7,1100.0,91.4,81.89511799751585,68.02973977695169,80.54298642533936,8417.0,54616.0
1200.0,18.930599,2.674741864473456E-7,1200.0,92.0,83.96073588143777,69.11196911196913,83.40248962655602,8517.0,54616.0
1300.0,18.954549,2.678125807456673E-7,1300.0,93.8,87.59841259681238,78.6206896551724,87.79527559055117,8617.0,54616.0
1400.0,18.977166,2.681321408227087E-7,1400.0,92.10000000000001,84.10142885892535,77.36389684813754,86.04240282685512,8717.0,54616.0
1500.0,19.00058,2.684629618707631E-7,1500.0,92.4,84.54379799557465,80.6122448979592,87.16216216216215,8817.0,54616.0
1600.0,19.021802,2.687628117162321E-7,1600.0,92.30000000000001,83.07111888911363,81.53477218225422,87.31466227347612,8917.0,54616.0
1700.0,19.042415,2.690540568799609E-7,1700.0,93.7,85.83212644040049,85.07109004739338,88.62815884476535,9017.0,54616.0
1800.0,19.062718,2.6934092199222917E-7,1800.0,95.1,88.68036111958159,88.49765258215962,90.64885496183204,9117.0,54616.0
1900.0,19.08312,2.6962918589512517E-7,1900.0,95.1,88.30593581152031,87.9310344827586,90.16064257028111,9217.0,54616.0
2000.0,19.102528,2.6990340537495096E-7,2000.0,95.6,89.2298353143909,88.71794871794872,89.4736842105263,9317.0,54616.0
2100.0,19.122131,2.7018038004843737E-7,2100.0,96.5,90.77986533334737,89.94252873563218,89.99999999999999,9417.0,54616.0
2200.0,19.14279,2.7047227515528613E-7,2200.0,97.2,92.55509231685525,91.90751445086704,88.88888888888889,9517.0,54616.0
2300.0,19.162351,2.7074865640244564E-7,2300.0,97.8,93.2525272352537,92.38754325259515,88.88888888888887,9617.0,54616.0
2400.0,19.182299,2.710305056493317E-7,2400.0,99.2,96.69757188973193,96.61016949152543,94.4055944055944,9717.0,54616.0
2500.0,19.200808,2.712920229799219E-7,2500.0,99.6,97.55811681969135,97.6608187134503,95.65217391304347,9817.0,54616.0
2600.0,19.219724,2.7155929089420384E-7,2600.0,99.7,97.85106443941433,97.94520547945206,96.1038961038961,9917.0,54616.0
2700.0,19.237776,2.7181435118118935E-7,2700.0,99.6,96.45396358220599,96.52173913043478,93.44262295081968,10017.0,54616.0
2800.0,19.254899,2.7205628544299155E-7,2800.0,99.6,94.07863571766934,94.11764705882352,88.88888888888889,10117.0,54616.0
2900.0,19.272456,2.7230435177683846E-7,2900.0,99.6,71.2313003452242,71.42857142857143,50.0,10217.0,54616.0
3000.0,19.288491,2.72530913470934E-7,3000.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,10317.0,54616.0
3100.0,19.305616,2.727728759911327E-7,3100.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,10417.0,54616.0
3200.0,19.322783,2.730154319376583E-7,3200.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,10517.0,54616.0
3300.0,19.340793,2.732698987983169E-7,3300.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,10617.0,54616.0
3400.0,19.358042,2.7351361333909984E-7,3400.0,99.9,0.0,,,10717.0,54616.0
3500.0,19.379047,2.7381039714854644E-7,3500.0,99.7,90.7567167858023,90.625,82.35294117647058,10817.0,54616.0
3600.0,19.400546,2.741141607819334E-7,3600.0,99.7,96.81190223166844,96.66666666666667,94.0,10917.0,54616.0
3700.0,19.423649,2.74440587649329E-7,3700.0,99.4,96.30031570639305,95.52238805970148,93.4782608695652,11017.0,54616.0
3800.0,19.445886,2.747547786310317E-7,3800.0,99.4,96.30031570639305,95.52238805970148,93.4782608695652,11117.0,54616.0
3900.0,19.460495,2.7496119208840875E-7,3900.0,99.4,96.30031570639305,95.52238805970148,93.4782608695652,11217.0,54616.0
4000.0,19.477335,2.751991277871034E-7,4000.0,99.3,96.35226680562793,95.83333333333333,93.63636363636363,11317.0,54616.0
4100.0,19.494245,2.7543805252967624E-7,4100.0,99.3,96.99354040681692,96.56862745098039,94.8905109489051,11417.0,54616.0
4200.0,19.514903,2.757299335073267E-7,4200.0,99.2,97.44193185306457,96.89922480620154,95.91836734693877,11517.0,54616.0
4300.0,19.53674,2.760384728097255E-7,4300.0,99.2,97.80706563452556,97.53846153846155,96.69421487603306,11617.0,54616.0
4400.0,19.557036,2.763252390176059E-7,4400.0,98.8,97.04933511684632,96.875,95.77464788732394,11717.0,54616.0
4500.0,19.579733,2.766459294305081E-7,4500.0,98.4,96.1534023156518,95.96977329974811,94.55782312925169,11817.0,54616.0
4600.0,19.598232,2.769073054691157E-7,4600.0,98.4,95.99649693481797,95.55555555555554,94.18181818181817,11917.0,54616.0
4700.0,19.621007,2.7722909795948214E-7,4700.0,97.0,92.08526804558885,91.68975069252076,88.46153846153845,12017.0,54616.0
4800.0,19.647035,2.775968527317876E-7,4800.0,97.0,92.10572019514659,91.71270718232043,88.50574712643677,12117.0,54616.0
4900.0,19.667324,2.7788352003528025E-7,4900.0,97.0,92.10572019514659,91.71270718232043,88.50574712643677,12217.0,54616.0
5000.0,19.68562,2.7814202784664116E-7,5000.0,97.0,91.70720919946925,90.88145896656535,87.70491803278688,12317.0,54616.0
5100.0,19.700427,2.7835123888527367E-7,5100.0,96.6,89.8276687410244,88.59060402684563,84.54545454545453,12417.0,54616.0
5200.0,19.719146,2.7861572334749843E-7,5200.0,95.8,84.5424567188788,84.21052631578945,75.58139534883719,12517.0,54616.0
5300.0,19.736666,2.7886326690100974E-7,5300.0,95.7,83.10545340248309,83.46153846153844,73.12499999999999,12617.0,54616.0
5400.0,19.754363,2.79113311322613E-7,5400.0,95.7,82.21906116642957,83.07086614173227,71.89542483660128,12717.0,54616.0
5500.0,19.774001,2.793907805180385E-7,5500.0,95.89999999999999,82.52672133103763,83.26530612244896,72.48322147651005,12817.0,54616.0
5600.0,19.796694,2.7971141441414766E-7,5600.0,95.39999999999999,81.57833612328096,82.83582089552237,71.0691823899371,12917.0,54616.0
5700.0,19.826102,2.801269258765712E-7,5700.0,96.1,84.75132937128558,84.94208494208493,74.99999999999997,13017.0,54616.0
5800.0,19.84888,2.804487607545324E-7,5800.0,95.5,84.09444365898486,84.48275862068965,74.43181818181816,13117.0,54616.0
5900.0,19.872097,2.8077679835052964E-7,5900.0,95.0,82.76729646453853,83.55263157894736,72.67759562841528,13217.0,54616.0
