learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,60.030332,1.3712271515776714E-6,100.0,99.0,97.43326488706366,50.0,96.15384615384615,189410.0,88296.0,10.0,193702.70000000004,137222.00100409068,112504.8,87296.10984434275,913.4,709.876233344001,457.2,354.9381166720005,457.2,354.9381166720005,19.500000000000004,6.398784606817489,0.0,0.0,0.0,0.0,1.0,0.0
200.0,60.146962,1.3738912418360511E-6,200.0,93.5,86.8421052631579,7.142857142857154,84.52380952380953,189510.0,88296.0,10.0,194902.69999999998,137209.96117228517,113507.2,87342.44049817807,921.6,710.3101357075576,461.3,355.1550678537788,461.3,355.1550678537788,19.500000000000004,6.398784606817489,0.0,0.0,0.0,0.0,1.0,0.0
300.0,60.221178,1.3755865013971924E-6,300.0,85.66666666666667,70.25730886286084,-7.500000000000008,61.60714285714286,189610.0,88296.0,10.0,196065.5,137171.94041319902,114448.0,87493.5109212868,929.1999999999999,711.5469532410822,465.09999999999997,355.7734766205411,465.09999999999997,355.7734766205411,19.500000000000004,6.398784606817489,0.0,0.0,0.0,0.0,1.0,0.0
400.0,60.292799,1.3771786100893385E-6,400.0,88.75,73.45915659097611,-12.50000000000007,59.821428571428555,189710.0,85928.0,10.0,188333.2,147421.52173109294,109978.40000000001,93072.59481024,893.0,756.8789716842302,447.0,378.4394858421151,447.0,378.4394858421151,18.200000000000003,8.753412033157256,0.0,0.0,0.0,0.0,1.0,0.0
500.0,60.35711,1.3786196666128105E-6,500.0,89.2,73.91203524773906,12.903225806451623,60.58394160583942,189810.0,86616.0,10.0,189541.8,147399.61584285836,110596.0,93011.95979490428,898.0,756.3710141928439,449.5,378.18550709642193,449.5,378.18550709642193,18.400000000000002,8.302610031389728,0.0,0.0,0.0,0.0,1.0,0.0
600.0,60.410238,1.3798101387090153E-6,600.0,90.66666666666666,74.8020158387329,9.677419354838714,59.12408759124087,189910.0,86616.0,10.0,190738.8,147371.77977015212,111224.0,93029.93078215921,903.2,756.5238925506583,452.1,378.26194627532914,452.1,378.26194627532914,18.500000000000004,8.086339647138804,0.0,0.0,0.0,0.0,1.0,0.0
700.0,60.470159,1.3811580343151257E-6,700.0,88.85714285714286,73.17348793789613,11.363636363636328,62.13592233009708,190010.0,86952.0,10.0,191902.6,147399.42535708882,112229.6,93171.18967577905,911.2,757.6797623153348,456.1,378.8398811576674,456.1,378.8398811576674,18.6,7.876829593462363,0.0,0.0,0.0,0.0,1.0,0.0
800.0,60.555054,1.3830712226612699E-6,800.0,88.75,74.46011521325802,31.297709923664073,65.51724137931033,190110.0,87112.0,10.0,184522.0,156412.9036364967,109180.0,97254.31256247715,886.4000000000001,790.879145143063,443.70000000000005,395.4395725715315,443.70000000000005,395.4395725715315,17.5,9.264628073124864,0.0,0.0,0.0,0.0,1.0,0.0
900.0,60.604782,1.3841293159706724E-6,900.0,90.0,78.05401421883128,56.09756097560976,71.42857142857143,190210.0,82248.0,10.0,142323.59999999998,138686.03905480576,82442.40000000001,83370.45454169533,669.0,677.7918395626918,335.0,338.8959197813459,335.0,338.8959197813459,14.299999999999999,8.83238988672438,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,60.645561,1.3850040851926638E-6,1000.0,90.3,79.7499853865874,57.641921397379924,75.75,190310.0,82920.0,10.0,143546.80000000002,138717.5183479802,82918.40000000001,83283.97384477867,672.7999999999998,677.0448532655228,336.8999999999999,338.5224266327614,336.8999999999999,338.5224266327614,14.6,8.395766128763288,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,60.692001,1.3860083645975424E-6,1100.0,89.5,78.06009444606963,60.96654275092938,76.24434389140272,190410.0,83592.0,10.0,144735.80000000002,138713.85806904803,83584.8,83319.12168524101,678.1999999999998,677.3295275483631,339.5999999999999,338.66476377418155,339.5999999999999,338.66476377418155,14.9,7.922541679705237,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,60.727276,1.386774263638589E-6,1200.0,90.5,80.97122849748821,63.320463320463325,80.29045643153528,190510.0,83928.0,10.0,145937.6,138751.58755704382,84004.0,83451.21264813618,681.6,678.4282816431913,341.3,339.21414082159566,341.3,339.21414082159566,14.9,7.922541679705237,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,60.772117,1.3877478619064722E-6,1300.0,92.30000000000001,84.59753560569692,73.44827586206898,84.84251968503938,190610.0,83928.0,10.0,147131.4,138770.37334163865,84637.6,83397.04035675766,686.8000000000001,677.9875121760479,343.90000000000003,338.99375608802393,343.90000000000003,338.99375608802393,15.299999999999999,7.379400758568107,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,60.824937,1.3888992933825487E-6,1400.0,90.9,81.67170191339376,73.92550143266476,83.92226148409894,190710.0,84264.0,10.0,148323.40000000002,138821.16249669332,85548.0,83432.78556219171,694.2,678.2403376057454,347.6,339.1201688028727,347.6,339.1201688028727,15.499999999999998,7.090682462060882,0.0,0.0,0.0,0.0,1.0,0.0
