learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,21.240235,5.322984639451736E-7,1000.0,90.0,79.56573091337096,76.6899766899767,76.30331753554503,204560.0,96872.0
2000.0,21.392787,5.362667799471981E-7,2000.0,88.5,76.55224160570249,78.01147227533461,73.74429223744292,205560.0,100552.0
3000.0,21.564033,5.405055438954798E-7,3000.0,85.3,70.46579657965796,71.83908045977012,69.62809917355372,206560.0,95680.0
4000.0,21.681331,5.432021287725204E-7,4000.0,89.3,77.36120514556534,78.81188118811882,73.58024691358025,207560.0,88864.0
5000.0,21.798563,5.459430523030461E-7,5000.0,90.7,80.49169323712033,80.82474226804123,76.92307692307693,208560.0,90376.0
6000.0,21.931657,5.490606192147567E-7,6000.0,86.6,70.82199237887859,73.72549019607843,64.26666666666667,209560.0,90544.0
7000.0,22.051781,5.518952626548708E-7,7000.0,87.3,70.43073341094296,73.03609341825901,63.714285714285715,210560.0,91216.0
8000.0,22.177602,5.548711122717295E-7,8000.0,87.9,74.47817356529369,77.25563909774435,70.9832134292566,211560.0,91424.0
9000.0,22.289607,5.575628457363283E-7,9000.0,90.3,80.36039684146589,80.63872255489024,78.44444444444446,212560.0,92896.0
10000.0,22.401718,5.602571266206604E-7,10000.0,86.8,73.59112661854384,73.65269461077844,73.75745526838966,213560.0,92896.0
11000.0,22.525139,5.632446687399515E-7,11000.0,87.7,72.72969137992196,73.14410480349345,64.45086705202311,214560.0,93568.0
12000.0,22.640311,5.660325346700848E-7,12000.0,92.5,80.29530765592982,80.31496062992127,71.69811320754718,215560.0,93568.0
13000.0,22.757103,5.688748424396748E-7,13000.0,85.3,66.48396246203795,69.05263157894737,60.37735849056604,216560.0,94072.0
14000.0,22.915248,5.725189761093094E-7,14000.0,81.2,62.791728680452216,62.40000000000001,62.77227722772278,217560.0,89072.0
15000.0,23.035873,5.751889421128566E-7,15000.0,88.4,76.47717271838714,75.68134171907757,76.42276422764228,218560.0,85560.0
16000.0,23.150359,5.777628308989937E-7,16000.0,87.3,73.9924639580603,75.1953125,70.2576112412178,219560.0,86904.0
17000.0,23.270646,5.802911332125467E-7,17000.0,88.5,75.50877850565215,76.28865979381445,69.89528795811518,220560.0,81248.0
18000.0,23.38099,5.826392188875213E-7,18000.0,90.2,78.62688650440549,79.66804979253112,74.07407407407408,221560.0,82256.0
19000.0,23.493432,5.850514970347287E-7,19000.0,88.9,77.7138864572709,78.93738140417457,77.1604938271605,222560.0,82928.0
20000.0,23.598677,5.873459671354958E-7,20000.0,89.9,79.80484683675918,80.4263565891473,80.19607843137256,223560.0,84272.0
21000.0,23.710388,5.898768886282214E-7,21000.0,90.8,81.59705552888464,81.81818181818183,80.83333333333333,224560.0,87576.0
22000.0,23.818905,5.923543122824697E-7,22000.0,92.0,83.89856093388347,83.90342052313883,81.6933638443936,225560.0,88248.0
23000.0,23.921193,5.947028658207922E-7,23000.0,90.4,79.24593566240056,79.9163179916318,73.03370786516854,226560.0,88752.0
24000.0,24.030291,5.971698456671505E-7,24000.0,87.9,72.70028066818884,73.63834422657952,63.772455089820355,227560.0,87408.0
25000.0,24.133571,5.995501531826128E-7,25000.0,90.4,77.87529038681367,78.52348993288591,71.59763313609469,228560.0,89088.0
26000.0,24.232883,6.018649073110689E-7,26000.0,91.3,80.95246435702526,81.72268907563026,76.09890109890111,229560.0,90096.0
27000.0,24.342947,6.044541858302225E-7,27000.0,88.3,75.95363367313384,76.50602409638554,73.1651376146789,230560.0,90936.0
28000.0,24.455338,6.070982075089385E-7,28000.0,87.4,74.83311961458719,73.47368421052632,74.69879518072288,231560.0,90936.0
29000.0,24.565253,6.096839807720651E-7,29000.0,88.0,75.94997594997595,75.25773195876289,74.94780793319416,232560.0,90936.0
30000.0,24.673458,6.122436342553964E-7,30000.0,89.5,78.9825134511914,78.70182555780933,78.30578512396694,233560.0,91440.0
31000.0,24.790145,6.15014077317384E-7,31000.0,90.4,80.75380914194066,81.71428571428572,80.20618556701031,234560.0,91776.0
32000.0,24.902248,6.176756846821974E-7,32000.0,89.9,79.72685449100354,79.80000000000001,78.32618025751074,235560.0,91776.0
33000.0,25.014854,6.203492345329792E-7,33000.0,91.4,81.59656240905278,81.30434782608697,79.66903073286053,236560.0,91776.0
34000.0,25.119797,6.228408454772503E-7,34000.0,87.8,75.48704430013503,73.18681318681318,73.93162393162393,237560.0,91776.0
35000.0,25.224284,6.253352533881039E-7,35000.0,94.0,87.99346844683507,87.39495798319327,87.80487804878048,238560.0,92280.0
36000.0,25.329132,6.27833722542144E-7,36000.0,90.7,81.37093866431634,80.70539419087137,79.6943231441048,239560.0,92112.0
37000.0,25.439423,6.305621009899514E-7,37000.0,84.8,68.88561369032998,67.79661016949152,63.63636363636363,240560.0,95624.0
38000.0,25.557021,6.334393570075437E-7,38000.0,86.5,72.00006637021305,71.81628392484342,66.58415841584159,241560.0,94576.0
39000.0,25.66994,6.362168554609853E-7,39000.0,89.1,77.53114718953817,74.94252873563218,71.16402116402116,242560.0,95080.0
40000.0,25.785614,6.390822289408086E-7,40000.0,91.7,82.81317297816653,82.07343412526998,79.85436893203884,243560.0,95752.0
41000.0,25.891708,6.417195172338855E-7,41000.0,91.7,82.99431231457655,82.70833333333334,80.65268065268066,244560.0,96088.0
42000.0,26.017268,6.449165710537803E-7,42000.0,84.2,68.2480989051623,68.83629191321499,66.66666666666666,245560.0,98424.0
43000.0,26.152823,6.485193351262979E-7,43000.0,86.8,72.17772531826996,72.09302325581395,63.128491620111724,246560.0,102736.0
44000.0,26.274211,6.517654172186228E-7,44000.0,90.10000000000001,79.2217604835663,79.83706720977597,74.80916030534351,247560.0,103368.0
45000.0,26.387196,6.548211651895615E-7,45000.0,92.9,84.91249245624624,85.26970954356847,80.86253369272238,248560.0,104544.0
