learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,189.790924,1.4594593752059671E-5,1000.0,90.3,80.14752232892077,77.3892773892774,77.01421800947868,204560.0,297248.0
2000.0,190.93651,1.4683683116568459E-5,2000.0,92.30000000000001,84.35557144830838,85.2772466539197,82.42009132420091,205560.0,300608.0
3000.0,192.166684,1.4780419988317621E-5,3000.0,88.8,77.53962651607522,78.544061302682,76.85950413223141,206560.0,303968.0
4000.0,193.410093,1.4878197617307305E-5,4000.0,94.0,87.55057578586988,88.11881188118811,85.18518518518518,207560.0,303968.0
5000.0,194.506638,1.4964426340262095E-5,5000.0,91.9,83.11881023041782,83.29896907216495,79.90074441687347,208560.0,303968.0
6000.0,195.695471,1.5058893996400551E-5,6000.0,88.4,74.98652291105121,77.25490196078432,69.06666666666666,209560.0,307160.0
7000.0,197.208736,1.5179207603225692E-5,7000.0,90.0,77.3036768043577,78.76857749469215,71.42857142857143,210560.0,307328.0
8000.0,198.566179,1.5287132430264933E-5,8000.0,92.0,83.35337863988781,84.9624060150376,80.81534772182255,211560.0,307328.0
9000.0,199.632354,1.5371899711446217E-5,9000.0,92.60000000000001,85.04446240905416,85.22954091816368,83.55555555555556,212560.0,307328.0
10000.0,200.792787,1.5464161066667487E-5,10000.0,92.10000000000001,84.19709226497677,84.23153692614771,84.29423459244533,213560.0,307328.0
11000.0,202.182503,1.5575738980047818E-5,11000.0,91.3,80.94395331925669,81.00436681222708,74.85549132947978,214560.0,310352.0
12000.0,203.371355,1.5671293206585364E-5,12000.0,93.89999999999999,84.32199033617763,83.98950131233595,76.98113207547168,215560.0,310688.0
13000.0,204.54625,1.5765725636347714E-5,13000.0,89.4,76.40112740274371,77.6842105263158,71.42857142857143,216560.0,310688.0
14000.0,206.166653,1.5895965864184415E-5,14000.0,88.7,77.47316715308676,77.4,77.62376237623762,217560.0,310688.0
15000.0,207.690046,1.601840889311292E-5,15000.0,89.7,79.24391423504757,78.40670859538784,79.0650406504065,218560.0,310688.0
16000.0,209.146747,1.613549153868316E-5,16000.0,90.10000000000001,79.66561229100769,80.6640625,76.81498829039813,219560.0,310688.0
17000.0,210.394394,1.6235771425563016E-5,17000.0,92.9,84.93988681582543,85.36082474226805,81.41361256544504,220560.0,310688.0
18000.0,211.613216,1.6333734497078177E-5,18000.0,91.8,82.1732929841038,82.98755186721992,78.30687830687832,221560.0,310688.0
19000.0,212.865754,1.6434407499099357E-5,19000.0,90.9,81.75197118816726,82.73244781783681,81.27572016460906,222560.0,310688.0
20000.0,214.065716,1.6530854694195507E-5,20000.0,91.8,83.59704746854435,84.10852713178295,83.921568627451,223560.0,310688.0
21000.0,215.193005,1.6622342672358372E-5,21000.0,92.9,85.78749299383458,85.96837944664033,85.20833333333334,224560.0,313712.0
22000.0,216.31382,1.6713353949292666E-5,22000.0,92.7,85.25883863880522,85.3118712273642,83.29519450800916,225560.0,313880.0
23000.0,217.415292,1.6802698811925948E-5,23000.0,93.30000000000001,85.45198721511952,85.98326359832636,81.1797752808989,226560.0,313544.0
24000.0,218.530576,1.689316402191503E-5,24000.0,91.10000000000001,80.06933185234286,80.61002178649238,73.35329341317366,227560.0,313544.0
25000.0,219.643052,1.6983449813752536E-5,25000.0,91.3,79.9344988237465,80.53691275167786,74.26035502958581,228560.0,313712.0
26000.0,220.750322,1.707331309954739E-5,26000.0,91.9,82.32922615100004,82.98319327731093,77.74725274725276,229560.0,313712.0
27000.0,221.937867,1.716969130516052E-5,27000.0,91.10000000000001,81.77544066574931,82.12851405622492,79.58715596330276,230560.0,313712.0
28000.0,223.189868,1.7272422567074082E-5,28000.0,91.3,82.61071180153027,81.6842105263158,82.53012048192771,231560.0,317176.0
29000.0,224.462689,1.7375626728702334E-5,29000.0,91.5,82.96279073496518,82.47422680412372,82.25469728601253,232560.0,313424.0
30000.0,225.738891,1.7479937021010035E-5,30000.0,90.8,81.5834988149382,81.33874239350914,80.9917355371901,233560.0,315944.0
31000.0,227.001662,1.758325929575496E-5,31000.0,93.0,85.97868760515985,86.66666666666669,85.56701030927836,234560.0,316280.0
32000.0,228.266291,1.7686843521423222E-5,32000.0,93.89999999999999,87.73159135338648,87.79999999999998,86.90987124463518,235560.0,316616.0
33000.0,229.515211,1.778919532218948E-5,33000.0,92.80000000000001,84.5924708540907,84.34782608695653,82.97872340425533,236560.0,316784.0
34000.0,230.724355,1.7888287390364953E-5,34000.0,89.7,79.33917452981578,77.36263736263737,77.99145299145299,237560.0,316784.0
35000.0,231.915997,1.798604871192947E-5,35000.0,94.8,89.59500560268928,89.07563025210084,89.43089430894308,238560.0,317120.0
36000.0,233.132946,1.8085886198789292E-5,36000.0,92.30000000000001,84.53728322074335,84.02489626556017,83.18777292576421,239560.0,317120.0
37000.0,234.476809,1.8196135604971394E-5,37000.0,87.6,74.48013566689168,73.72881355932203,70.33492822966507,240560.0,317120.0
38000.0,235.90479,1.8313410107143634E-5,38000.0,91.0,81.31105056814407,81.21085594989562,77.72277227722773,241560.0,317456.0
39000.0,237.512883,1.8445476504400784E-5,39000.0,90.4,80.0604832009571,77.93103448275863,74.60317460317462,242560.0,317456.0
40000.0,239.011802,1.8568707158642095E-5,40000.0,91.8,83.0634500991408,82.28941684665227,80.09708737864078,243560.0,317792.0
41000.0,240.363728,1.8679853074776213E-5,41000.0,92.9,85.44449637957474,85.20833333333334,83.44988344988347,244560.0,317792.0
42000.0,241.93901,1.881092666375347E-5,42000.0,86.4,72.68637532133675,73.17554240631164,71.30801687763713,245560.0,321632.0
43000.0,243.598741,1.8951768073445803E-5,43000.0,90.8,80.0350688356105,80.54968287526427,74.30167597765363,246560.0,328016.0
44000.0,245.153002,1.9083997266925866E-5,44000.0,91.10000000000001,81.2532122304886,81.87372708757637,77.35368956743004,247560.0,328856.0
45000.0,246.583894,1.920604175303131E-5,45000.0,94.0,87.13004234216069,87.551867219917,83.82749326145552,248560.0,329696.0
46000.0,247.924079,1.932040785083133E-5,46000.0,94.0,87.54116606379753,87.17948717948717,85.25798525798524,249560.0,329864.0
47000.0,249.167822,1.9426165582564553E-5,47000.0,92.7,84.84080771499059,84.69601677148847,81.47208121827413,250560.0,328688.0
48000.0,250.572159,1.954600615881797E-5,48000.0,88.9,77.1539126497345,76.77824267782427,72.18045112781955,251560.0,329864.0
49000.0,251.974408,1.9665668553393333E-5,49000.0,94.6,89.13060981304648,88.81987577639751,88.20960698689954,252560.0,329864.0
50000.0,253.438337,1.9790721725444824E-5,50000.0,89.3,78.07341103952524,78.20773930753563,76.63755458515284,253560.0,330200.0
51000.0,254.992332,1.992117548336585E-5,51000.0,92.5,84.87451900970451,84.53608247422682,82.91571753986334,254560.0,324496.0
52000.0,256.442945,2.0043202781176397E-5,52000.0,95.3,90.13848090642047,89.78260869565217,88.25,255560.0,325168.0
53000.0,257.872547,2.0163959672273028E-5,53000.0,89.7,79.45309320715272,79.35871743486975,80.85501858736059,256560.0,326512.0
54000.0,259.291129,2.028378571622487E-5,54000.0,93.8,87.60024799504009,87.77120315581854,87.3469387755102,257560.0,326512.0
55000.0,260.808055,2.041191876848952E-5,55000.0,90.5,79.47011280632753,79.7872340425532,73.97260273972603,258560.0,326512.0
56000.0,262.320416,2.05397319500914E-5,56000.0,94.0,85.87570621468925,86.30136986301369,80.76923076923076,259560.0,326680.0
57000.0,263.837329,2.0667732048963915E-5,57000.0,90.8,77.61426457992681,78.89908256880734,68.49315068493152,260560.0,326176.0
58000.0,265.39044,2.0798921607937656E-5,58000.0,91.10000000000001,76.3096252129472,77.0618556701031,65.76923076923077,261560.0,326512.0
59000.0,266.887009,2.0926434671307597E-5,59000.0,90.8,77.81207794713487,78.70370370370371,69.93464052287584,262560.0,329352.0
60000.0,268.974507,2.1099644050871326E-5,60000.0,87.5,73.11411659439742,72.40618101545253,66.39784946236558,263560.0,320736.0
