learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.009154,3.5995824469460384E-12,100.0,27.0,0.7072905331882458,-3549.9999999999964,-180.76923076923075,100.0,1520.0
200.0,0.018145,7.135069204701318E-12,200.0,57.99999999999999,1.3505578391074393,-500.00000000000045,0.0,200.0,1520.0
300.0,0.02162,8.501526382234363E-12,300.0,62.66666666666667,1.100841820215465,-180.00000000000003,0.0,300.0,1520.0
400.0,0.024859,9.775182439221278E-12,400.0,72.0,1.2650416538105016,-180.00000000000009,0.0,400.0,1520.0
500.0,0.027823,1.0940701597266728E-11,500.0,72.6,1.0458800416040712,-114.06250000000003,0.0,500.0,1520.0
600.0,0.031372,1.2336257431242202E-11,600.0,77.16666666666666,1.1115923199076292,-114.0625,0.0,600.0,1520.0
700.0,0.033562,1.3197420371903315E-11,700.0,70.57142857142857,0.6791288416238361,-128.88888888888889,0.0,700.0,1520.0
800.0,0.035349,1.39001136024793E-11,800.0,67.375,0.5126836798871279,-96.24060150375942,0.0,800.0,1520.0
900.0,0.037091,1.4585111704137593E-11,900.0,65.0,0.4103025278570152,-53.658536585365866,0.0,900.0,1520.0
1000.0,0.038878,1.528780493471358E-11,1000.0,60.0,0.2986056760003869,-74.67248908296945,0.0,1000.0,1520.0
1100.0,0.04055,1.594527728027768E-11,1100.0,60.5,0.0,-46.840148698884754,10.633484162895913,1100.0,1520.0
1200.0,0.04214,1.657050516870287E-11,1200.0,51.800000000000004,0.0,-86.10038610038609,0.0,1200.0,1520.0
1300.0,0.043699,1.7183543079429206E-11,1300.0,49.2,0.0,-78.8732394366197,0.0,1300.0,1520.0
1400.0,0.045253,1.7794614864720242E-11,1400.0,45.0,0.0,-59.420289855072475,2.8268551236749135,1400.0,1520.0
1500.0,0.046704,1.8365184466044112E-11,1500.0,42.6,0.0,-47.179487179487175,3.040540540540543,1500.0,1520.0
1600.0,0.048129,1.8925530215104426E-11,1600.0,34.1,0.0,-58.79518072289155,-8.566721581548599,1600.0,1520.0
1700.0,0.049579,1.9495706591341235E-11,1700.0,32.6,0.0,-60.47619047619046,-21.66064981949458,1700.0,1520.0
1800.0,0.051049,2.007374746931924E-11,1800.0,30.599999999999998,0.0,-62.910798122065714,-32.44274809160304,1800.0,1520.0
1900.0,0.052502,2.064510352081723E-11,1900.0,28.799999999999997,0.0,-74.50980392156862,-42.97188755020081,1900.0,1520.0
2000.0,0.053865,2.118106931447983E-11,2000.0,27.800000000000004,0.0,-84.18367346938774,-72.7272727272727,2000.0,1520.0
2100.0,0.055461,2.180865655342738E-11,2100.0,24.6,0.0,-115.42857142857143,-115.42857142857143,2100.0,1520.0
2200.0,0.057275,2.252196686135398E-11,2200.0,24.4,0.0,-117.24137931034484,-200.0,2200.0,1520.0
2300.0,0.059046,2.321836849053701E-11,2300.0,19.8,0.0,-170.03367003366998,-305.05050505050514,2300.0,1520.0
2400.0,0.060808,2.3911231093936496E-11,2400.0,14.299999999999999,0.0,-254.13223140495867,-499.30069930069925,2400.0,1520.0
2500.0,0.062664,2.464105685551961E-11,2500.0,9.2,0.0,-424.85549132947966,-886.9565217391308,2500.0,1520.0
2600.0,0.06449,2.5359085864490932E-11,2600.0,7.7,0.0,-523.6486486486486,-1098.7012987012995,2600.0,1520.0
2700.0,0.066273,2.606020619471868E-11,2700.0,6.1,0.0,-702.5641025641027,-1439.3442622950806,2700.0,1520.0
2800.0,0.067921,2.6708241138193342E-11,2800.0,3.5999999999999996,0.0,-1317.6470588235304,-2577.7777777777756,2800.0,1520.0
2900.0,0.069584,2.7362174457973904E-11,2900.0,0.8,0.0,-6985.714285714279,-12299.999999999989,2900.0,1520.0
3000.0,0.071229,2.800902972618739E-11,3000.0,0.3,0.0,-16516.66666666665,-33133.3333333333,3000.0,1520.0
3100.0,0.072774,2.8616562485694887E-11,3100.0,0.3,0.0,-16516.66666666665,-33133.3333333333,3100.0,1520.0
3200.0,0.074379,2.924768875042598E-11,3200.0,0.3,0.0,-16516.66666666665,-33133.3333333333,3200.0,1520.0
3300.0,0.076502,3.008250561025408E-11,3300.0,0.3,0.0,-16516.66666666665,-33133.3333333333,3300.0,1520.0
3400.0,0.07768,3.054572476281061E-11,3400.0,0.0,0.0,-Infinity,-Infinity,3400.0,1520.0
3500.0,0.078883,3.101877454254363E-11,3500.0,1.7000000000000002,0.0,-2971.8749999999973,-5682.352941176466,3500.0,1520.0
3600.0,0.080011,3.1462332440747165E-11,3600.0,5.0,0.0,-979.5454545454548,-1799.9999999999982,3600.0,1520.0
3700.0,0.081204,3.193144996960959E-11,3700.0,9.2,0.0,-567.6470588235294,-886.9565217391308,3700.0,1520.0
3800.0,0.082317,3.236910949150722E-11,3800.0,9.2,0.0,-567.6470588235294,-886.9565217391308,3800.0,1520.0
3900.0,0.083543,3.285120344824262E-11,3900.0,9.2,0.0,-567.6470588235294,-886.9565217391308,3900.0,1520.0
4000.0,0.084772,3.33344770802392E-11,4000.0,11.0,0.0,-423.5294117647058,-709.0909090909091,4000.0,1520.0
4100.0,0.08591,3.3781967229313326E-11,4100.0,13.700000000000001,0.0,-318.9320388349515,-529.92700729927,4100.0,1520.0
4200.0,0.087072,3.4238894780476894E-11,4200.0,19.6,0.0,-206.87022900763358,-310.2040816326532,4200.0,1520.0
4300.0,0.08814,3.4658859173456834E-11,4300.0,24.2,0.0,-129.00302114803628,-213.22314049586777,4300.0,1520.0
4400.0,0.089293,3.5112247698836865E-11,4400.0,28.4,0.0,-84.5360824742268,-152.112676056338,4400.0,1520.0
4500.0,0.090455,3.556917525000043E-11,4500.0,29.4,0.0,-76.9423558897243,-140.13605442176868,4500.0,1520.0
4600.0,0.091519,3.598756674263213E-11,4600.0,27.500000000000004,0.0,-99.17582417582418,-163.6363636363636,4600.0,1520.0
4700.0,0.0927,3.6451965570449837E-11,4700.0,26.0,0.0,-104.98614958448753,-184.6153846153846,4700.0,1520.0
4800.0,0.093783,3.687782833973567E-11,4800.0,26.1,0.0,-104.14364640883977,-183.14176245210726,4800.0,1520.0
4900.0,0.09491,3.732099301285214E-11,4900.0,26.1,0.0,-104.14364640883977,-183.14176245210726,4900.0,1520.0
5000.0,0.096236,3.784240947829353E-11,5000.0,24.4,0.0,-129.78723404255322,-209.8360655737705,5000.0,1520.0
5100.0,0.097438,3.831506603293949E-11,5100.0,22.0,0.0,-161.744966442953,-254.5454545454546,5100.0,1520.0
5200.0,0.098639,3.878732936249839E-11,5200.0,17.2,0.0,-216.03053435114506,-381.39534883720916,5200.0,1520.0
5300.0,0.09971,3.920847343073951E-11,5300.0,15.9,0.0,-237.75100401606423,-428.9308176100628,5300.0,1520.0
5400.0,0.100819,3.9644560052288905E-11,5400.0,15.299999999999999,0.0,-247.1311475409836,-453.59477124182996,5400.0,1520.0
5500.0,0.101938,4.0084578924708895E-11,5500.0,14.899999999999999,0.0,-256.06694560669456,-471.14093959731537,5500.0,1520.0
5600.0,0.102973,4.049156688981586E-11,5600.0,15.9,0.0,-220.99236641221373,-428.9308176100628,5600.0,1520.0
5700.0,0.104124,4.094416896502177E-11,5700.0,15.7,0.0,-237.2,-436.94267515923553,5700.0,1520.0
5800.0,0.105209,4.1370818184481726E-11,5800.0,17.599999999999998,0.0,-192.19858156028369,-368.181818181818,5800.0,1520.0
5900.0,0.106444,4.185645116700066E-11,5900.0,18.3,0.0,-177.89115646258497,-346.44808743169386,5900.0,1520.0
6000.0,0.107538,4.2286639412244156E-11,6000.0,20.7,0.0,-137.42514970059884,-283.09178743961365,6000.0,1520.0
6100.0,0.108516,4.2671213547388705E-11,6100.0,24.9,0.0,-89.64646464646464,-201.60642570281126,6100.0,1520.0
6200.0,0.109555,4.3079774412843905E-11,6200.0,25.3,0.0,-89.59390862944161,-195.25691699604744,6200.0,1520.0
6300.0,0.11053,4.3463168872727275E-11,6300.0,27.0,0.0,-83.41708542713566,-170.37037037037035,6300.0,1520.0
6400.0,0.111569,4.3871729738182476E-11,6400.0,26.6,0.0,-85.35353535353534,-175.93984962406012,6400.0,1520.0
6500.0,0.116139,4.566876838604607E-11,6500.0,26.200000000000003,0.0,-92.18749999999999,-181.6793893129771,6500.0,1520.0
6600.0,0.117142,4.606317314836712E-11,6600.0,23.799999999999997,0.0,-124.11764705882355,-220.16806722689077,6600.0,1520.0
6700.0,0.118202,4.647999174065058E-11,6700.0,21.3,0.0,-156.35179153094458,-269.48356807511743,6700.0,1520.0
6800.0,0.119259,4.689563065767286E-11,6800.0,19.3,0.0,-194.52554744525543,-318.13471502590687,6800.0,1520.0
6900.0,0.120285,4.729907959699629E-11,6900.0,18.7,0.0,-209.1254752851711,-334.7593582887699,6900.0,1520.0
7000.0,0.121408,4.774067136976452E-11,7000.0,18.5,0.0,-205.2434456928839,-340.5405405405404,7000.0,1520.0
7100.0,0.122411,4.8135076132085566E-11,7100.0,14.099999999999998,0.0,-325.24752475247533,-509.21985815602835,7100.0,1520.0
7200.0,0.123465,4.854953537384667E-11,7200.0,14.899999999999999,0.0,-301.41509433962267,-471.14093959731537,7200.0,1520.0
7300.0,0.124495,4.895455721351833E-11,7300.0,9.9,0.0,-492.7631578947367,-810.1010101010104,7300.0,1520.0
7400.0,0.125473,4.933913134866288E-11,7400.0,6.7,0.0,-814.7058823529413,-1292.537313432837,7400.0,1520.0
7500.0,0.126527,4.975359059042398E-11,7500.0,4.8,0.0,-1152.631578947369,-1883.3333333333314,7500.0,1520.0
7600.0,0.127528,5.0147208902570913E-11,7600.0,4.8,0.0,-1152.631578947369,-1883.3333333333314,7600.0,1520.0
7700.0,0.128573,5.055812911854848E-11,7700.0,4.8,0.0,-1152.631578947369,-1883.3333333333314,7700.0,1520.0
7800.0,0.129628,5.097298158539664E-11,7800.0,5.7,0.0,-913.9784946236562,-1554.3859649122792,7800.0,1520.0
7900.0,0.130634,5.136856602297887E-11,7900.0,8.6,0.0,-543.6619718309859,-962.7906976744191,7900.0,1520.0
8000.0,0.131671,5.1776340438259955E-11,8000.0,11.200000000000001,0.0,-476.6233766233765,-692.857142857143,8000.0,1520.0
8100.0,0.132647,5.216012812323039E-11,8100.0,14.2,0.0,-342.2680412371135,-504.225352112676,8100.0,1520.0
8200.0,0.133696,5.257262123955619E-11,8200.0,11.899999999999999,0.0,-430.72289156626493,-640.3361344537816,8200.0,1520.0
8300.0,0.134761,5.299140595727495E-11,8300.0,11.899999999999999,0.0,-430.72289156626493,-640.3361344537816,8300.0,1520.0
8400.0,0.135742,5.3377159767680686E-11,8400.0,11.899999999999999,0.0,-430.72289156626493,-640.3361344537816,8400.0,1520.0
