learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.109937,1.8427350516948435E-9,100.0,90.0,71.91011235955057,-399.9999999999995,61.538461538461554,100.0,64792.0,10.0,598.3,29.758472183004717,384.0,126.49110640673517,1.9999999999999998,1.0540925533894598,1.5,0.5270462766947299,1.5,0.5270462766947299,0.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.17962,3.072035095343987E-9,200.0,90.5,80.59244126659858,-35.71428571428577,77.3809523809524,200.0,68192.0,10.0,1204.3,49.139370954233605,798.4,152.4344667936575,5.4,1.2649110640673518,3.2,0.6324555320336759,3.2,0.6324555320336759,2.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.228873,3.9409229883717164E-9,300.0,85.0,67.88772597526165,-12.50000000000004,59.821428571428555,300.0,68192.0,10.0,1803.6999999999998,59.065030075144975,1298.4,196.61310004959262,9.4,1.577621275493231,5.2,0.7888106377466155,5.2,0.7888106377466155,3.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.263454,4.581036441442039E-9,400.0,88.75,72.02362449487099,-12.50000000000007,59.821428571428555,400.0,71552.0,10.0,2399.8,72.99741243511455,1420.8,201.82985133247485,10.400000000000002,1.646545204697129,5.700000000000001,0.8232726023485645,5.700000000000001,0.8232726023485645,3.8,0.6324555320336758,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.300714,5.270739667531517E-9,500.0,89.60000000000001,73.50183448838158,18.750000000000018,62.04379562043797,500.0,71552.0,10.0,3012.9,85.52511002298941,1862.4,403.5892301172898,14.0,3.2998316455372216,7.5,1.6499158227686108,7.5,1.6499158227686108,4.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.335285,5.9106680150661204E-9,600.0,91.33333333333333,75.02401536983669,18.750000000000014,62.04379562043797,600.0,71552.0,10.0,3614.7000000000003,79.43557837084782,2173.6,471.2996687647656,16.599999999999998,3.864367132317184,8.8,1.9321835661585915,8.8,1.9321835661585915,5.1,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.380798,6.792700305167172E-9,700.0,90.42857142857143,76.46055009034329,25.55555555555552,67.47572815533978,700.0,74912.0,10.0,4226.2,78.45706539956173,2844.7999999999997,491.3647208427655,22.0,4.0276819911981905,11.5,2.0138409955990952,11.5,2.0138409955990952,5.9,0.994428926011753,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.422514,7.601147540327575E-9,800.0,89.875,76.67151476750718,39.09774436090229,68.96551724137933,800.0,74912.0,10.0,4825.799999999999,87.87592262831609,3413.6,394.97375440232315,26.599999999999998,3.2386554137309655,13.799999999999999,1.6193277068654828,13.799999999999999,1.6193277068654828,6.399999999999999,1.1737877907772674,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.452565,8.183529548760917E-9,900.0,91.0,80.03111749044014,60.48780487804879,74.28571428571429,900.0,74912.0,10.0,5420.1,79.25689594953582,3588.0,435.8878550983294,28.0,3.559026084010437,14.5,1.7795130420052185,14.5,1.7795130420052185,6.8,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.480513,8.72515586308307E-9,1000.0,91.5,82.16668484965467,62.88209606986901,78.75000000000001,1000.0,74912.0,10.0,6025.099999999999,82.54486995298713,3956.0,566.2539673640756,31.0,4.618802153517006,16.0,2.309401076758503,16.0,2.309401076758503,7.199999999999999,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
