learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.027582,1.0674682756265004E-11,1000.0,62.8,21.67002867887661,4.370179948586122,4.370179948586122,1000.0,1496.0
2000.0,0.041672,1.612774199909634E-11,2000.0,56.2,7.684914703390387,4.782608695652178,-13.178294573643393,2000.0,1496.0
3000.0,0.0513,1.9853934645652768E-11,3000.0,54.900000000000006,-1.7562542868488535,0.0,-36.25377643504532,3000.0,1496.0
4000.0,0.06108,2.3638953765233355E-11,4000.0,61.0,-5.419651304230304,0.0,-59.18367346938776,4000.0,1496.0
5000.0,0.071619,2.7717718233664826E-11,5000.0,55.1,2.1394197238108625,0.0,-25.77030812324929,5000.0,1496.0
6000.0,0.082073,3.176358631915516E-11,6000.0,48.6,-5.570594686964697,2.2813688212927774,-22.673031026252975,6000.0,1496.0
7000.0,0.09003,3.484307477871576E-11,7000.0,51.5,-2.4676751457787596,0.6147540983606563,-26.302083333333325,7000.0,1496.0
8000.0,0.096672,3.7413636843363434E-11,8000.0,55.1,8.865795242347986,9.109311740890696,-2.0454545454545476,8000.0,1496.0
9000.0,0.102809,3.9788755691713745E-11,9000.0,47.5,-5.114364428498208,4.0219378427787875,-8.695652173913052,9000.0,1496.0
10000.0,0.109345,4.231829403175247E-11,10000.0,51.800000000000004,-2.2920203735144384,1.8329938900203684,-19.012345679012334,10000.0,1496.0
11000.0,0.115366,4.4648518992794876E-11,11000.0,49.0,-2.014690115376608,1.7341040462427761,-3.2388663967611366,11000.0,1496.0
12000.0,0.12135,4.6964424351851135E-11,12000.0,50.9,1.6181904158885565,2.385685884691851,-2.7196652719665297,12000.0,1496.0
13000.0,0.127965,4.952453697721162E-11,13000.0,57.4,13.3353677143729,8.583690987124449,2.0689655172413812,13000.0,1496.0
14000.0,0.133239,5.156566078464189E-11,14000.0,59.599999999999994,14.519425672101589,14.40677966101694,-5.483028720626637,14000.0,1496.0
15000.0,0.138332,5.3536734647221026E-11,15000.0,62.1,19.608009502799923,18.494623655913973,0.2631578947368423,15000.0,1496.0
16000.0,0.143346,5.547723422447839E-11,16000.0,56.89999999999999,8.484797010361813,11.134020618556688,-13.42105263157896,16000.0,1496.0
17000.0,0.148137,5.733142917354901E-11,17000.0,56.3,3.3741653031441956,8.193277310924355,-26.666666666666693,17000.0,1496.0
18000.0,0.153003,5.92146503428618E-11,18000.0,65.0,18.04008074222904,19.168591224018492,-13.268608414239456,18000.0,1496.0
19000.0,0.157855,6.109245328439606E-11,19000.0,63.2,13.670144884017715,8.910891089108919,-19.480519480519458,19000.0,1496.0
20000.0,0.162536,6.290407644377814E-11,20000.0,64.2,14.100890663390672,17.12962962962964,-20.945945945945923,20000.0,1496.0
21000.0,0.167454,6.480742245912552E-11,21000.0,69.39999999999999,20.077728326960454,21.53846153846153,-18.604651162790713,21000.0,1496.0
