learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.032693,9.743273258209229E-12,1000.0,73.7,41.93440132822297,32.390745501285345,32.390745501285345,1000.0,1152.0
2000.0,0.050943,1.5182197093963622E-11,2000.0,76.9,47.2694235703394,49.78260869565217,40.31007751937985,2000.0,1152.0
3000.0,0.064492,1.922011375427246E-11,3000.0,78.4,45.94783966527699,52.106430155210646,34.74320241691843,3000.0,1152.0
4000.0,0.076343,2.2751986980438234E-11,4000.0,79.7,38.80012059089542,47.94871794871796,17.14285714285716,4000.0,1152.0
5000.0,0.087136,2.596855163574219E-11,5000.0,78.0,46.84886232405766,51.00222717149221,38.37535014005603,5000.0,1152.0
6000.0,0.098569,2.937585115432739E-11,6000.0,75.2,45.97114684955144,52.85171102661598,40.811455847255374,6000.0,1152.0
7000.0,0.108337,3.228694200515747E-11,7000.0,78.0,49.69818913480886,54.91803278688525,42.70833333333334,7000.0,1152.0
8000.0,0.116538,3.473103046417236E-11,8000.0,78.8,54.847503833702504,57.085020242914986,51.81818181818182,8000.0,1152.0
9000.0,0.124461,3.709226846694946E-11,9000.0,64.2,26.577657458110295,34.55210237659964,25.87991718426501,9000.0,1152.0
10000.0,0.132414,3.946244716644287E-11,10000.0,49.4,14.202387411828532,-3.0549898167006138,-24.938271604938265,10000.0,1152.0
11000.0,0.140443,4.1855275630950925E-11,11000.0,53.300000000000004,7.4683173103595974,10.019267822736039,5.465587044534418,11000.0,1152.0
12000.0,0.148601,4.428654909133911E-11,12000.0,65.7,29.56589593001766,31.80914512922466,28.242677824267787,12000.0,1152.0
13000.0,0.15658,4.6664476394653314E-11,13000.0,76.6,49.454584728372396,49.78540772532189,46.20689655172415,13000.0,1152.0
14000.0,0.164396,4.899382591247558E-11,14000.0,82.0,59.380599271558744,61.86440677966101,53.00261096605743,14000.0,1152.0
15000.0,0.171949,5.124479532241821E-11,15000.0,84.2,64.2469225199131,66.02150537634408,58.42105263157894,15000.0,1152.0
16000.0,0.179245,5.341917276382446E-11,16000.0,77.8,49.21303074670571,54.22680412371135,41.57894736842106,16000.0,1152.0
17000.0,0.186354,5.553781986236572E-11,17000.0,79.9,50.004974629390134,57.77310924369748,41.739130434782616,17000.0,1152.0
18000.0,0.19342,5.764365196228027E-11,18000.0,83.5,55.60315136903735,61.893764434180135,46.60194174757281,18000.0,1152.0
19000.0,0.200449,5.973845720291137E-11,19000.0,83.6,55.04780282431365,59.4059405940594,46.75324675324675,19000.0,1152.0
20000.0,0.207976,6.19816780090332E-11,20000.0,84.39999999999999,56.226991110712056,63.888888888888886,47.2972972972973,20000.0,1152.0
21000.0,0.214971,6.406635046005249E-11,21000.0,82.19999999999999,43.162949906761675,54.35897435897434,31.00775193798448,21000.0,1152.0
22000.0,0.2218,6.61015510559082E-11,22000.0,84.3,52.279635258358645,60.74999999999999,42.9090909090909,22000.0,1152.0
23000.0,0.228717,6.816297769546508E-11,23000.0,80.9,43.77921420413738,51.645569620253184,35.034013605442205,23000.0,1152.0
24000.0,0.235897,7.03027844429016E-11,24000.0,77.5,44.77606079051229,51.82012847965739,38.69209809264306,24000.0,1152.0
25000.0,0.243447,7.25528597831726E-11,25000.0,80.7,49.62150874445314,59.19661733615222,42.04204204204205,25000.0,1152.0
26000.0,0.250866,7.476389408111572E-11,26000.0,78.5,45.05213657738704,53.961456102783735,38.395415472779376,26000.0,1152.0
27000.0,0.258011,7.689327001571654E-11,27000.0,69.39999999999999,24.895442675096692,31.69642857142855,20.72538860103626,27000.0,1152.0
28000.0,0.265097,7.900506258010863E-11,28000.0,68.2,33.982985048599325,34.02489626556017,32.76955602536999,28000.0,1152.0
29000.0,0.272127,8.110016584396361E-11,29000.0,61.7,25.361499785633555,27.32447817836812,25.341130604288498,29000.0,1152.0
30000.0,0.279123,8.318513631820677E-11,30000.0,70.5,40.86137907254604,44.44444444444444,41.23505976095617,30000.0,1152.0
31000.0,0.286405,8.535534143447874E-11,31000.0,66.60000000000001,34.953396250667026,30.41666666666667,30.2713987473904,31000.0,1152.0
32000.0,0.293633,8.750945329666136E-11,32000.0,68.60000000000001,39.891191570983906,37.69841269841271,31.590413943355127,32000.0,1152.0
33000.0,0.300799,8.964508771896361E-11,33000.0,70.89999999999999,43.30226323336866,44.14587332053742,37.82051282051281,33000.0,1152.0
34000.0,0.307946,9.17750597000122E-11,34000.0,71.2,44.95896767486038,41.46341463414633,34.69387755102039,34000.0,1152.0
35000.0,0.315052,9.389281272888182E-11,35000.0,76.9,55.68736380098832,50.0,39.05013192612138,35000.0,1152.0
36000.0,0.322067,9.598344564437865E-11,36000.0,78.0,56.11935535343865,51.11111111111111,33.33333333333333,36000.0,1152.0
37000.0,0.329232,9.811878204345702E-11,37000.0,79.0,57.60984097634629,52.80898876404495,34.98452012383901,37000.0,1152.0
38000.0,0.336343,1.0023802518844604E-10,38000.0,79.3,56.84803001876173,54.50549450549451,36.307692307692314,38000.0,1152.0
39000.0,0.343451,1.0235637426376341E-10,39000.0,78.60000000000001,54.742518769165706,50.11655011655013,32.9153605015674,39000.0,1152.0
40000.0,0.350529,1.0446578264236449E-10,40000.0,81.69999999999999,60.733995348158565,59.86842105263156,49.44751381215468,40000.0,1152.0
41000.0,0.357923,1.0666936635971068E-10,41000.0,76.6,50.611238687018776,47.17832957110609,29.51807228915662,41000.0,1152.0
42000.0,0.365066,1.0879814624786376E-10,42000.0,75.8,49.090358302899745,46.69603524229075,29.239766081871345,42000.0,1152.0
43000.0,0.372115,1.108989119529724E-10,43000.0,73.8,47.09892097951799,47.80876494023904,38.49765258215963,43000.0,1152.0
44000.0,0.379205,1.1301189661026E-10,44000.0,72.2,45.113090725296935,45.0592885375494,37.10407239819003,44000.0,1152.0
45000.0,0.386235,1.1510699987411498E-10,45000.0,67.80000000000001,36.23232031178832,34.685598377281956,25.63510392609702,45000.0,1152.0
46000.0,0.393222,1.1718928813934324E-10,46000.0,72.3,45.03401144562533,41.43763213530654,38.85209713024281,46000.0,1152.0
47000.0,0.400211,1.1927217245101928E-10,47000.0,68.89999999999999,37.966745388395985,36.530612244897945,23.01980198019801,47000.0,1152.0
48000.0,0.407139,1.213368773460388E-10,48000.0,74.9,50.60027553631174,47.37945492662474,40.095465393794754,48000.0,1152.0
