learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.198455,2.787991820110215E-9,1000.0,83.7,65.00734201780975,58.09768637532133,58.09768637532133,770.0,54304.0
2000.0,0.328425,4.613873238364855E-9,2000.0,81.89999999999999,60.00353559906306,60.65217391304346,53.22997416020671,1770.0,54304.0
3000.0,0.418197,5.875033711393674E-9,3000.0,82.1,56.13433186951065,60.31042128603102,45.92145015105738,2770.0,54304.0
4000.0,0.52253,7.340754154655668E-9,4000.0,84.89999999999999,56.73848269539305,61.28205128205128,38.3673469387755,3770.0,54304.0
5000.0,0.641687,9.014729319347274E-9,5000.0,84.2,65.79805265368147,64.81069042316257,55.7422969187675,4770.0,54304.0
6000.0,0.749235,1.052561563750108E-8,6000.0,83.2,65.9028637535264,68.06083650190114,59.90453460620524,5770.0,54304.0
7000.0,0.921324,1.2943205138047535E-8,7000.0,79.10000000000001,55.27383540771431,57.172131147540995,45.57291666666668,6770.0,54304.0
8000.0,1.029792,1.4467016061147052E-8,8000.0,84.6,68.08157851102636,68.82591093117408,64.99999999999999,7770.0,54304.0
9000.0,1.163415,1.6344216590126352E-8,9000.0,76.0,51.74075131606993,56.12431444241317,50.31055900621118,25.0,54304.0
10000.0,1.237629,1.738681075473626E-8,10000.0,67.4,35.481317289423686,33.604887983706725,19.50617283950619,1025.0,54304.0
11000.0,1.350157,1.896626118984487E-8,11000.0,62.3,24.70300628739884,27.360308285163775,23.684210526315788,478.0,54256.0
12000.0,1.436166,2.017348919063806E-8,12000.0,72.8,45.255107175203776,45.92445328031809,43.096234309623426,1478.0,54256.0
13000.0,1.529503,2.1483573483096224E-8,13000.0,86.1,71.77435730820777,70.17167381974248,68.04597701149426,2478.0,54256.0
14000.0,1.631699,2.2918003284268904E-8,14000.0,88.6,75.51556909119806,75.84745762711864,70.23498694516972,3478.0,54256.0
15000.0,1.729538,2.4291277945869494E-8,15000.0,87.6,73.76438727149628,73.33333333333333,67.36842105263158,4478.0,54256.0
16000.0,1.832372,2.573466275715165E-8,16000.0,88.7,75.78433053317333,76.70103092783506,70.26315789473685,5478.0,54256.0
17000.0,1.932306,2.7137342977027094E-8,17000.0,92.60000000000001,83.69361627112669,84.45378151260505,78.55072463768117,6478.0,54256.0
18000.0,2.032802,2.8547911465995838E-8,18000.0,91.2,78.78567261471407,79.67667436489609,71.52103559870552,7478.0,54256.0
19000.0,2.134771,2.9979155080185995E-8,19000.0,88.4,71.97959341423824,71.2871287128713,62.337662337662344,8478.0,54256.0
20000.0,2.236474,3.140666510081953E-8,20000.0,92.9,82.6065654091132,83.56481481481482,76.01351351351353,9478.0,54256.0
21000.0,2.335999,3.280360456970003E-8,21000.0,86.5,63.01005030633158,65.38461538461539,47.67441860465116,10478.0,54256.0
22000.0,2.436166,3.4209555192954006E-8,22000.0,85.39999999999999,62.712297280040865,63.5,46.90909090909091,11478.0,54256.0
23000.0,2.53976,3.5663607414397924E-8,23000.0,89.8,75.28207514249158,74.17721518987342,65.30612244897961,12478.0,54256.0
24000.0,2.640346,3.707543914930688E-8,24000.0,87.3,72.68159212541515,72.80513918629549,65.39509536784742,13478.0,54256.0
25000.0,2.741333,3.849289934668276E-8,25000.0,86.9,70.21915067745749,72.3044397463002,60.66066066066066,14478.0,54256.0
26000.0,2.842055,3.990663998656803E-8,26000.0,87.8,72.9354399322055,73.87580299785867,65.0429799426934,15478.0,54256.0
27000.0,2.939726,4.127755658908023E-8,27000.0,87.3,72.77505766542905,71.65178571428571,67.09844559585493,16478.0,54256.0
28000.0,3.076818,4.320178894946973E-8,28000.0,81.2,62.387813651623134,60.99585062240664,60.25369978858352,17478.0,54256.0
29000.0,3.196327,4.4880709180401434E-8,29000.0,75.7,51.38950013202852,53.889943074003796,52.63157894736842,481.0,54304.0
30000.0,3.332229,4.678992620358865E-8,30000.0,81.69999999999999,63.389163192304906,65.5367231638418,63.54581673306772,1481.0,54304.0
31000.0,3.440696,4.831372307820453E-8,31000.0,79.3,58.62284019221391,56.87500000000001,56.78496868475992,2481.0,54304.0
32000.0,3.527369,4.953134730044339E-8,32000.0,77.0,53.488936433531656,54.365079365079374,49.89106753812636,3481.0,54304.0
33000.0,3.625013,5.0903097436659874E-8,33000.0,79.3,58.34943017191423,60.26871401151632,55.769230769230774,4481.0,54304.0
34000.0,3.723028,5.228005956030555E-8,34000.0,82.19999999999999,64.08640246633604,63.8211382113821,59.63718820861676,5481.0,54304.0
35000.0,3.814281,5.356202583760024E-8,35000.0,89.7,78.26380564887816,77.7056277056277,72.82321899736148,6481.0,54304.0
