learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.353384,4.172440452708138E-9,1000.0,90.10000000000001,79.1248460720973,74.55012853470437,74.55012853470437,1000.0,45640.0
2000.0,0.592988,7.001468994551235E-9,2000.0,94.19999999999999,87.81046534599362,87.39130434782606,85.01291989664081,2000.0,45640.0
3000.0,0.822424,9.710442937082715E-9,3000.0,90.60000000000001,78.17557056952474,79.15742793791574,71.6012084592145,3000.0,45640.0
4000.0,1.02667,1.2121996014482447E-8,4000.0,92.2,77.42206269719514,80.00000000000001,68.16326530612247,4000.0,45640.0
5000.0,1.240816,1.4650439388222166E-8,5000.0,91.2,80.26666905858558,80.40089086859689,75.35014005602243,5000.0,45640.0
6000.0,1.442741,1.703458818503552E-8,6000.0,91.9,83.3245495569683,84.60076045627378,80.66825775656325,6000.0,45640.0
7000.0,1.652495,1.9511174772762588E-8,7000.0,92.2,83.28303957204582,84.01639344262296,79.68750000000001,7000.0,45640.0
8000.0,1.866226,2.203471819973654E-8,8000.0,92.10000000000001,83.88675858692993,84.00809716599191,82.04545454545456,8000.0,45640.0
9000.0,2.114423,2.496520515738262E-8,9000.0,89.1,78.08675233607283,80.07312614259598,77.4327122153209,9000.0,45640.0
10000.0,2.38583,2.816973492089245E-8,10000.0,88.5,75.92530564394573,76.57841140529533,71.60493827160495,10000.0,45640.0
11000.0,2.728024,3.2210053917434483E-8,11000.0,88.0,75.97116539847816,76.878612716763,75.7085020242915,11000.0,45640.0
12000.0,3.087325,3.645235698463188E-8,12000.0,90.7,81.35928868649131,81.51093439363818,80.5439330543933,12000.0,45640.0
13000.0,3.391447,4.0043156045592495E-8,13000.0,95.0,89.82809480215643,89.27038626609442,88.50574712643677,13000.0,45640.0
14000.0,3.679875,4.3448654469102625E-8,14000.0,93.60000000000001,86.36400438056361,86.4406779661017,83.289817232376,14000.0,45640.0
15000.0,3.960986,4.6767760337226926E-8,15000.0,95.3,89.9383456071245,89.89247311827955,87.63157894736841,15000.0,45640.0
16000.0,4.25986,5.0296595734026705E-8,16000.0,94.8,88.93051771117165,89.27835051546391,86.3157894736842,16000.0,45640.0
17000.0,4.531513,5.3504030044294076E-8,17000.0,95.6,90.19717054695332,90.7563025210084,87.24637681159419,17000.0,45640.0
18000.0,4.810243,5.6795023205793574E-8,18000.0,95.39999999999999,89.05184190859715,89.37644341801385,85.11326860841423,18000.0,45640.0
19000.0,5.088823,6.008424530219702E-8,19000.0,92.5,81.27546536710076,81.43564356435645,75.64935064935067,19000.0,45640.0
20000.0,5.361642,6.330544669181109E-8,20000.0,94.69999999999999,86.75132486751323,87.73148148148148,82.09459459459458,20000.0,45640.0
21000.0,5.64498,6.665084697306157E-8,21000.0,91.2,75.4650488468573,77.43589743589745,65.89147286821706,21000.0,45640.0
22000.0,5.921231,6.991257033207351E-8,22000.0,93.5,82.74488983275818,83.75000000000001,76.36363636363639,22000.0,45640.0
23000.0,6.204803,7.326073347487384E-8,23000.0,93.5,83.5073937622426,83.54430379746837,77.89115646258506,23000.0,45640.0
24000.0,6.493561,7.66701282415953E-8,24000.0,92.4,83.18040783084803,83.72591006423984,79.29155313351501,24000.0,45640.0
25000.0,6.788055,8.014724853759012E-8,25000.0,91.7,80.9284841131975,82.4524312896406,75.07507507507508,25000.0,45640.0
26000.0,7.08366,8.363748652239641E-8,26000.0,90.8,78.9125282503358,80.29978586723769,73.63896848137537,26000.0,45640.0
27000.0,7.387441,8.722425936203865E-8,27000.0,91.7,82.03167620647554,81.47321428571429,78.49740932642489,27000.0,45640.0
