learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,168.555442,2.0930598427851995E-7,1000.0,82.1,64.00041831916143,58.468677494199525,57.58293838862558,721790.0,4800.0
2000.0,169.68966,2.107144147157669E-7,2000.0,78.8,57.83007908849318,58.83495145631069,51.598173515981735,722790.0,4800.0
3000.0,170.825397,2.1212473139166833E-7,3000.0,71.1,42.62002144303696,45.368620037807176,40.41237113402061,723790.0,4800.0
4000.0,171.949196,2.1352022389570874E-7,4000.0,69.69999999999999,41.831445574966395,39.15662650602409,25.185185185185176,724790.0,4800.0
5000.0,173.071259,2.1491356069842976E-7,5000.0,78.5,57.68949203775278,56.65322580645162,46.65012406947892,725790.0,4800.0
6000.0,174.218003,2.1633754546443622E-7,6000.0,72.6,45.71570084200099,43.50515463917525,26.933333333333326,726790.0,4800.0
7000.0,175.3595,2.1775501469771068E-7,7000.0,73.6,45.5218552284574,41.97802197802197,24.355300859598845,727790.0,4800.0
8000.0,176.485875,2.1915370598435403E-7,8000.0,83.3,66.38540442182895,67.94625719769674,59.855769230769226,728790.0,4800.0
9000.0,177.601342,2.2053885211547217E-7,9000.0,81.2,62.81645569620253,60.669456066945614,58.22222222222223,729790.0,4800.0
10000.0,178.747355,2.2196192915240925E-7,10000.0,76.9,53.800000000000004,53.89221556886228,54.616895874263264,730790.0,4800.0
11000.0,179.89426,2.233861138423284E-7,11000.0,71.8,44.01384962358247,37.61061946902654,17.54385964912279,731790.0,4800.0
12000.0,181.043352,2.2481301426887514E-7,12000.0,76.5,48.97072874142275,40.50632911392405,11.320754716981142,732790.0,4800.0
13000.0,182.199756,2.2624899446964267E-7,13000.0,73.3,46.155459473412485,43.07036247334754,28.032345013477084,733790.0,4800.0
14000.0,183.429801,2.2777641937136653E-7,14000.0,64.60000000000001,27.692829334651492,28.77263581488934,30.58823529411765,734790.0,4800.0
15000.0,184.62811,2.292644356687864E-7,15000.0,66.0,34.01543262587526,27.038626609442062,30.894308943089438,735790.0,4800.0
