learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,50.34392,7.094437696867519E-7,1000.0,82.1,63.132615483477636,58.468677494199525,57.58293838862558,8544.0,54472.0
2000.0,50.500713,7.116532880750795E-7,2000.0,78.3,55.371465708010106,57.864077669902926,50.456621004566216,9544.0,54472.0
3000.0,50.685188,7.142425913508567E-7,3000.0,70.5,40.74401414108951,44.234404536862,39.17525773195875,51.0,54256.0
4000.0,50.785426,7.156495385347969E-7,4000.0,76.3,51.56939676311918,52.40963855421686,41.48148148148149,1051.0,54256.0
5000.0,50.881245,7.169944603430728E-7,5000.0,84.0,67.30222957922057,67.74193548387096,60.29776674937965,2051.0,54256.0
6000.0,51.025529,7.19019640090151E-7,6000.0,77.3,50.43668122270743,53.1958762886598,39.46666666666667,3051.0,54256.0
7000.0,51.168395,7.210249166956379E-7,7000.0,76.1,46.44185692132555,47.47252747252747,31.51862464183381,4051.0,54256.0
8000.0,51.288258,7.227073216748735E-7,8000.0,90.0,79.14511662050786,80.80614203454894,75.96153846153847,5051.0,54256.0
9000.0,51.382159,7.24025322308557E-7,9000.0,88.9,77.47107773492998,76.77824267782427,75.33333333333333,6051.0,54256.0
10000.0,51.485583,7.254769883987805E-7,10000.0,84.6,69.19999999999999,69.26147704590818,69.74459724950883,7051.0,54256.0
11000.0,51.595041,7.27013348111262E-7,11000.0,81.6,58.380080344540545,59.29203539823007,46.1988304093567,8051.0,54256.0
12000.0,51.691475,7.283669021001293E-7,12000.0,85.8,62.7384607310609,64.0506329113924,46.415094339622634,9051.0,54256.0
13000.0,51.834817,7.303788598730334E-7,13000.0,82.3,61.75850387168141,62.260127931769716,52.29110512129379,10051.0,54256.0
14000.0,51.974951,7.323475300789709E-7,14000.0,69.5,39.170808370096765,38.63179074446679,40.19607843137254,640.0,54304.0
15000.0,52.079843,7.338211036245858E-7,15000.0,80.30000000000001,59.97399325450039,57.725321888412026,59.95934959349595,1640.0,54304.0
16000.0,52.181259,7.352458446410797E-7,16000.0,80.60000000000001,60.40169823644679,61.81102362204726,54.672897196261694,2640.0,54304.0
17000.0,52.284686,7.366988371581669E-7,17000.0,80.10000000000001,57.57472391591695,60.51587301587303,47.769028871391086,3640.0,54304.0
18000.0,52.378095,7.380110919661822E-7,18000.0,77.5,52.5696698849024,52.53164556962025,40.47619047619048,4640.0,54304.0
19000.0,52.479964,7.394421969457635E-7,19000.0,80.5,61.05141213598051,61.309523809523824,59.7938144329897,5640.0,54304.0
20000.0,52.568684,7.406885784140065E-7,20000.0,83.3,66.53628508680526,67.94625719769674,66.99604743083003,6640.0,54304.0
21000.0,52.664184,7.420302086013061E-7,21000.0,84.2,68.42223074955231,68.27309236947791,66.94560669456067,7640.0,54304.0
22000.0,52.762153,7.434065244947045E-7,22000.0,86.0,71.85137526138008,72.70955165692008,68.18181818181817,8640.0,54304.0
23000.0,52.856918,7.447378290465311E-7,23000.0,87.3,72.32005858557679,72.57019438444924,64.32584269662921,9640.0,54304.0
24000.0,52.955487,7.461225740301115E-7,24000.0,83.5,63.481032269487834,63.656387665198224,50.746268656716396,10640.0,54304.0
25000.0,53.05877,7.47573543565555E-7,25000.0,84.5,66.27913048018517,65.63192904656319,53.869047619047606,11640.0,54304.0
26000.0,53.163717,7.490478897777699E-7,26000.0,89.4,77.67518660174218,77.82426778242679,71.03825136612022,12640.0,54304.0
27000.0,53.269167,7.50529302377254E-7,27000.0,87.7,74.99735744428273,73.49137931034483,71.65898617511522,13640.0,54304.0
28000.0,53.373128,7.519897967846032E-7,28000.0,86.0,71.99641554118928,70.46413502109704,71.77419354838709,14640.0,54304.0
29000.0,53.474246,7.534103513529734E-7,29000.0,85.39999999999999,70.767844629092,69.9588477366255,69.26315789473684,15640.0,54304.0
30000.0,53.574995,7.548257220308816E-7,30000.0,87.0,73.95217619549493,73.68421052631578,73.08488612836439,16640.0,54304.0
31000.0,53.677174,7.562611820403903E-7,31000.0,84.3,68.59371874374874,68.7872763419483,67.827868852459,17640.0,54304.0
32000.0,53.78375,7.577584132324493E-7,32000.0,81.39999999999999,62.1951219512195,62.650602409638545,60.759493670886066,18640.0,54304.0
33000.0,53.886145,7.591969077144236E-7,33000.0,89.60000000000001,77.89679503528012,76.20137299771169,74.93975903614458,19640.0,54304.0
34000.0,53.987124,7.606155095435683E-7,34000.0,86.8,73.5310749190893,71.17903930131004,71.85501066098081,20640.0,54304.0
35000.0,54.08501,7.619906594128248E-7,35000.0,89.7,79.40346021868326,79.35871743486975,79.0224032586558,21640.0,54304.0
36000.0,54.187722,7.634336072641118E-7,36000.0,88.4,76.57209332385446,76.65995975855131,74.61706783369803,22640.0,54304.0
37000.0,54.288659,7.648516190569437E-7,37000.0,84.39999999999999,68.00236290243181,66.80851063829788,62.679425837320565,23640.0,54304.0
38000.0,54.391514,7.662965758413908E-7,38000.0,82.1,61.965390630312086,62.15644820295982,55.69306930693069,24640.0,54304.0
39000.0,54.495641,7.677594022970236E-7,39000.0,84.0,66.55951778824651,63.38672768878718,57.78364116094986,25640.0,54304.0
40000.0,54.598967,7.692109759172635E-7,40000.0,83.3,65.89163752818534,66.39839034205231,59.46601941747572,26640.0,54304.0
41000.0,54.702059,7.706592621923324E-7,41000.0,87.3,74.05515832482125,72.39130434782608,70.46511627906978,27640.0,54304.0
42000.0,54.807529,7.721409557614893E-7,42000.0,81.6,62.9550588491103,61.58663883089769,60.93418259023353,28640.0,54304.0
43000.0,54.913332,7.736273274756971E-7,43000.0,83.2,63.54182490527385,63.23851203501093,53.20334261838438,29640.0,54304.0
44000.0,55.012502,7.750205155979431E-7,44000.0,85.1,69.22530382267166,69.1511387163561,62.086513994910945,30640.0,54304.0
45000.0,55.106349,7.763389236417912E-7,45000.0,88.3,74.8044654239741,75.92592592592592,68.29268292682927,31640.0,54304.0
46000.0,55.193953,7.775696270022958E-7,46000.0,85.9,70.46699844166288,71.16564417177914,65.52567237163814,32640.0,54304.0
47000.0,55.278659,7.787596178572214E-7,47000.0,91.7,82.76420603211257,82.78008298755188,78.93401015228427,33640.0,54304.0
48000.0,55.379073,7.801702822931114E-7,48000.0,79.60000000000001,57.81637717121589,56.12903225806453,49.000000000000014,34640.0,54304.0
49000.0,55.475595,7.815262700306875E-7,49000.0,84.3,68.36055266255018,69.45525291828794,65.64551422319474,35640.0,54304.0
50000.0,55.574668,7.829180954500208E-7,50000.0,83.89999999999999,67.28307254623044,66.94045174537987,64.84716157205239,36640.0,54304.0
51000.0,55.66641,7.842069314358138E-7,51000.0,86.6,72.79519246386226,72.08333333333333,69.54545454545455,37640.0,54304.0
52000.0,55.759596,7.855160534319782E-7,52000.0,88.1,74.81630718179663,74.68085106382979,70.17543859649123,38640.0,54304.0
53000.0,55.851886,7.86812587986804E-7,53000.0,83.0,65.78444198450237,64.87603305785123,68.22429906542055,39640.0,54304.0
54000.0,55.94594,7.881339040667649E-7,54000.0,86.7,73.4095725538806,73.76725838264299,72.96747967479675,40640.0,54304.0
55000.0,56.043542,7.895050641666686E-7,55000.0,81.2,60.22022759108088,59.74304068522485,48.773841961852874,41640.0,54304.0
56000.0,56.14273,7.908985051616201E-7,56000.0,88.0,71.89958786062196,70.0,61.290322580645174,42640.0,54304.0
57000.0,56.245021,7.923355386012961E-7,57000.0,85.0,61.9443880657601,62.216624685138534,48.275862068965516,43640.0,54304.0
58000.0,56.34692,7.937670650353865E-7,58000.0,86.5,63.13932787977413,65.11627906976743,48.473282442748086,44640.0,54304.0
59000.0,56.446841,7.951708035688436E-7,59000.0,87.0,68.35134871944688,70.11494252873564,57.516339869281055,45640.0,54304.0
60000.0,56.552209,7.966510641926695E-7,60000.0,81.89999999999999,60.326506277617995,60.822510822510814,51.34408602150536,46640.0,54304.0
61000.0,56.646694,7.979784351690778E-7,61000.0,88.4,75.62871609555224,76.22950819672131,71.77615571776155,47640.0,54304.0
62000.0,56.741364,7.993084051149589E-7,62000.0,86.9,71.78183698087196,72.76507276507276,65.52631578947368,48640.0,54304.0
63000.0,56.840392,8.006995983525285E-7,63000.0,87.1,71.41160201404155,73.61963190184049,65.41554959785523,49640.0,54304.0
64000.0,56.939563,8.020928005232581E-7,64000.0,83.2,65.0948257234513,67.87762906309752,59.808612440191375,50640.0,54304.0
65000.0,57.044949,8.035733140197895E-7,65000.0,82.5,63.27356368154191,60.76233183856501,54.780361757105936,51640.0,54304.0
66000.0,57.145752,8.049894433158142E-7,66000.0,84.89999999999999,64.44147207595866,63.961813842482094,48.4641638225256,52640.0,54304.0
67000.0,57.243916,8.063684986635217E-7,67000.0,89.7,78.27059230568003,78.08510638297874,74.93917274939173,53640.0,54304.0
68000.0,57.338714,8.077002668153083E-7,68000.0,87.8,74.47282192491662,75.50200803212851,70.74340527577938,54640.0,54304.0
69000.0,57.440466,8.091297281223041E-7,69000.0,83.0,65.67251580073903,66.33663366336633,62.63736263736263,55640.0,54304.0
70000.0,57.563551,8.108588857307205E-7,70000.0,77.5,54.41911722997885,56.47969052224372,49.55156950672646,56640.0,54304.0
71000.0,57.664259,8.122736804207997E-7,71000.0,85.5,66.49722735674676,66.1214953271028,52.922077922077925,57640.0,54304.0
72000.0,57.802424,8.142146891624566E-7,72000.0,72.2,39.88929250994637,37.10407239819003,24.043715846994527,58640.0,54304.0
73000.0,57.94567,8.162270782494713E-7,73000.0,84.7,67.61137031423321,68.05845511482254,60.05221932114881,59640.0,54304.0
74000.0,58.088707,8.18236531203406E-7,74000.0,79.4,55.755063467857994,55.88865096359744,47.04370179948587,60640.0,54304.0
75000.0,58.235506,8.202988345527817E-7,75000.0,83.2,65.1156995963388,63.948497854077246,60.18957345971564,61640.0,54304.0
76000.0,58.386408,8.224187788305185E-7,76000.0,83.1,63.03069546043189,61.41552511415524,52.924791086350965,62640.0,54304.0
77000.0,58.53495,8.24505568686873E-7,77000.0,79.10000000000001,50.86237703838849,54.366812227074234,34.06940063091483,63640.0,54304.0
78000.0,58.670757,8.264134511041147E-7,78000.0,89.7,78.7740903770381,78.71900826446281,75.70754716981133,64640.0,54304.0
79000.0,58.782819,8.279877522774042E-7,79000.0,93.5,84.20597354379078,83.95061728395063,75.56390977443611,65640.0,54304.0
80000.0,58.880382,8.293583644864462E-7,80000.0,84.8,64.34352201552933,63.895486935866984,50.1639344262295,66640.0,54304.0
81000.0,58.978666,8.307391056521901E-7,81000.0,85.0,67.97608881298036,67.88008565310491,62.5,67640.0,54304.0
