learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,172.104488,2.032055010481013E-6,1000.0,91.8,83.19100349709123,80.97447795823666,80.56872037914692,896.0,45640.0
2000.0,172.344264,2.0348860698441665E-6,2000.0,93.0,85.75985418090683,86.40776699029126,84.01826484018265,1896.0,45640.0
3000.0,172.623315,2.0381808530849715E-6,3000.0,89.5,78.98234516994276,80.15122873345936,78.35051546391753,2896.0,45640.0
4000.0,172.976098,2.042346197470195E-6,4000.0,94.89999999999999,89.40545930449956,89.7590361445783,87.4074074074074,3896.0,45640.0
5000.0,173.192558,2.0449019624748164E-6,5000.0,92.5,84.36926873186836,84.87903225806453,81.38957816377173,4896.0,45640.0
6000.0,173.518239,2.0487473108184836E-6,6000.0,89.3,77.11229946524064,77.93814432989691,71.46666666666667,5896.0,45640.0
7000.0,173.929251,2.053600170866897E-6,7000.0,90.5,78.35971170580143,79.12087912087912,72.77936962750718,6896.0,45640.0
8000.0,174.157797,2.0562986364898585E-6,8000.0,92.4,84.282452599186,85.4126679462572,81.73076923076924,961.0,45640.0
9000.0,174.343315,2.0584890661864648E-6,9000.0,92.9,85.68259729784232,85.14644351464436,84.22222222222223,1961.0,45640.0
10000.0,174.545855,2.060880476350172E-6,10000.0,92.4,84.80000000000001,84.8303393213573,85.0687622789784,2961.0,45640.0
11000.0,174.897347,2.0650305777684685E-6,11000.0,91.2,80.52890572450173,80.53097345132744,74.26900584795322,3961.0,45640.0
12000.0,175.159165,2.0681218892439377E-6,12000.0,94.19999999999999,84.70504469818833,85.31645569620252,78.1132075471698,4961.0,45640.0
13000.0,175.453968,2.0716026579340304E-6,13000.0,89.0,75.39755317483394,76.54584221748401,70.35040431266847,5961.0,45640.0
14000.0,175.735753,2.0749297217879862E-6,14000.0,82.19999999999999,64.38076561343125,64.18511066398389,65.09803921568627,827.0,45640.0
15000.0,175.959239,2.0775684434817074E-6,15000.0,90.3,80.4089480614957,79.18454935622317,80.28455284552845,1827.0,45640.0
16000.0,176.175386,2.0801205128638284E-6,16000.0,90.0,79.50416475372205,80.31496062992126,76.6355140186916,2827.0,45640.0
17000.0,176.393989,2.0827015804851222E-6,17000.0,90.5,79.88958322748904,81.15079365079364,75.06561679790028,3827.0,45640.0
18000.0,176.598163,2.085112283451276E-6,18000.0,91.5,81.41263940520447,82.06751054852322,77.51322751322752,4827.0,45640.0
19000.0,176.815492,2.087678308826354E-6,19000.0,90.0,79.93619710679964,80.15873015873017,79.38144329896907,5827.0,45640.0
20000.0,177.026123,2.090165250241343E-6,20000.0,90.9,81.80742257159079,82.53358925143954,82.01581027667984,6827.0,45640.0
21000.0,177.221341,2.092470208814161E-6,21000.0,92.4,84.78661221875251,84.73895582329318,84.10041841004184,7827.0,45640.0
22000.0,177.409899,2.0946965320967144E-6,22000.0,92.60000000000001,84.9397590361446,85.57504873294349,83.18181818181819,8827.0,45640.0
23000.0,177.583271,2.0967435527489425E-6,23000.0,92.4,83.36252189141857,83.58531317494601,78.65168539325845,9827.0,45640.0
24000.0,177.782197,2.0990922920509354E-6,24000.0,89.0,75.01533150112431,75.77092511013215,67.16417910447761,10827.0,45640.0
25000.0,177.972007,2.10133339782349E-6,25000.0,91.7,80.64474003320711,81.59645232815966,75.29761904761905,11827.0,45640.0
26000.0,178.15703,2.1035179830052795E-6,26000.0,91.9,82.24914313765022,83.05439330543933,77.86885245901641,12827.0,45640.0
27000.0,178.353862,2.105841998238531E-6,27000.0,89.8,79.069538380721,78.01724137931035,76.49769585253458,13827.0,45640.0
28000.0,178.580535,2.108518349161993E-6,28000.0,90.4,80.81841432225065,79.74683544303798,80.64516129032259,14827.0,45640.0
29000.0,178.805771,2.1111777332818348E-6,29000.0,90.7,81.38138138138139,80.8641975308642,80.42105263157895,15827.0,45640.0
30000.0,179.025962,2.113777550578946E-6,30000.0,91.5,82.97684851397902,82.79352226720648,82.4016563146998,16827.0,45640.0
31000.0,179.25538,2.1164863119936658E-6,31000.0,92.60000000000001,85.18933632215196,85.28827037773361,84.8360655737705,17827.0,45640.0
32000.0,179.47729,2.1191064256967774E-6,32000.0,92.4,84.71685971685973,84.73895582329318,83.9662447257384,18827.0,45640.0
33000.0,179.695531,2.1216832191476397E-6,33000.0,92.7,84.42314422034637,83.29519450800916,82.40963855421688,19827.0,45640.0
34000.0,179.916383,2.124290840938274E-6,34000.0,88.6,77.15751297413189,75.10917030567686,75.69296375266525,20827.0,45640.0
35000.0,180.129855,2.126811326326182E-6,35000.0,94.69999999999999,89.39618262574525,89.37875751503005,89.20570264765783,21827.0,45640.0
36000.0,180.349537,2.129405133809067E-6,36000.0,91.8,83.57003173788992,83.5010060362173,82.05689277899344,22827.0,45640.0
37000.0,180.653784,2.1329974087576075E-6,37000.0,86.2,71.69439795215122,70.63829787234042,66.98564593301435,23827.0,45640.0
38000.0,181.030215,2.137441967458775E-6,38000.0,89.8,78.90330266728441,78.43551797040169,74.75247524752476,24827.0,45640.0
39000.0,181.412868,2.141959989940127E-6,39000.0,90.8,80.90692124105013,78.94736842105264,75.72559366754619,25827.0,45640.0
40000.0,181.705106,2.145410473417077E-6,40000.0,91.7,82.7376792785598,83.29979879275655,79.85436893203884,26827.0,45640.0
41000.0,181.948977,2.1482898828573525E-6,41000.0,92.5,84.66069456375016,83.69565217391305,82.55813953488374,27827.0,45640.0
42000.0,182.27087,2.1520905059037938E-6,42000.0,86.3,72.46585363892886,71.39874739039665,70.91295116772824,28827.0,45640.0
43000.0,182.713824,2.1573205083608627E-6,43000.0,89.5,77.63787845228562,77.02407002188184,70.75208913649026,29827.0,45640.0
44000.0,183.145743,2.162420219462365E-6,44000.0,92.4,84.02750631543995,84.26501035196688,80.66157760814251,30827.0,45640.0
45000.0,183.498187,2.166581561240471E-6,45000.0,92.80000000000001,84.52125532619306,85.18518518518519,80.48780487804879,31827.0,45640.0
46000.0,183.761828,2.1696943970604075E-6,46000.0,91.9,83.12429684570192,83.43558282208589,80.1955990220049,32827.0,45640.0
47000.0,184.002358,2.1725343589774437E-6,47000.0,92.60000000000001,84.65341606662908,84.64730290456433,81.21827411167514,33827.0,45640.0
48000.0,184.283219,2.175850513070408E-6,48000.0,87.2,73.77049180327869,72.47311827956989,68.0,34827.0,45640.0
49000.0,184.555755,2.1790683730505407E-6,49000.0,94.6,89.13834927045912,89.49416342412451,88.18380743982493,35827.0,45640.0
50000.0,184.863685,2.18270413355074E-6,50000.0,88.0,75.33756705098959,75.35934291581108,73.79912663755458,36827.0,45640.0
51000.0,185.17088,2.1863312158319684E-6,51000.0,91.5,82.83937656464508,82.29166666666667,80.68181818181819,37827.0,45640.0
52000.0,185.486974,2.190063369501796E-6,52000.0,93.8,86.98479740367699,86.80851063829786,84.46115288220551,38827.0,45640.0
53000.0,185.783932,2.1935695824937686E-6,53000.0,89.0,78.05836474976562,77.27272727272727,79.4392523364486,39827.0,45640.0
54000.0,186.085403,2.1971290809309313E-6,54000.0,92.5,85.0053980566996,85.20710059171599,84.75609756097562,40827.0,45640.0
55000.0,186.417189,2.201046511624008E-6,55000.0,89.3,76.74418604651163,77.08779443254818,70.84468664850137,41827.0,45640.0
56000.0,186.726646,2.2047003015668852E-6,56000.0,94.39999999999999,86.62462978886022,85.99999999999999,81.93548387096773,42827.0,45640.0
57000.0,187.042382,2.2084282282946834E-6,57000.0,89.2,72.54144208278248,72.79596977329975,62.75862068965519,43827.0,45640.0
58000.0,187.351673,2.2120800582588544E-6,58000.0,90.5,73.92545424603392,75.45219638242895,63.74045801526719,44827.0,45640.0
59000.0,187.655289,2.215664882926891E-6,59000.0,92.0,80.56063139069245,81.60919540229887,73.85620915032682,45827.0,45640.0
60000.0,187.992184,2.2196426360971394E-6,60000.0,88.0,74.0896842396186,74.02597402597402,67.74193548387098,46827.0,45640.0
61000.0,188.301809,2.223298409632924E-6,61000.0,94.39999999999999,88.26089326217198,88.52459016393442,86.37469586374695,47827.0,45640.0
62000.0,188.619099,2.2270446845951176E-6,62000.0,91.5,81.80339099160815,82.32848232848234,77.63157894736842,48827.0,45640.0
63000.0,188.934771,2.230771855668475E-6,63000.0,91.0,80.39668399018963,81.59509202453988,75.87131367292226,49827.0,45640.0
64000.0,189.25602,2.234564874942104E-6,64000.0,86.7,72.35731803633037,74.5697896749522,68.18181818181819,50827.0,45640.0
65000.0,189.607693,2.2387171134456164E-6,65000.0,89.9,78.39368838992333,77.3542600896861,73.90180878552972,51827.0,45640.0
66000.0,190.045466,2.2438859433142676E-6,66000.0,94.1,85.36430477967076,85.91885441527445,79.86348122866893,52827.0,45640.0
67000.0,190.34232,2.2473909283677736E-6,67000.0,94.19999999999999,87.85975928833071,87.6595744680851,85.88807785888076,53827.0,45640.0
68000.0,190.630296,2.2507910899817945E-6,68000.0,92.10000000000001,83.40670789084555,84.13654618473898,81.05515587529976,54827.0,45640.0
