learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,201.231011,2.8548939782815672E-6,1000.0,91.8,83.21220186303614,80.97447795823666,80.56872037914692,721790.0,54840.0
2000.0,202.528406,2.8733003121490278E-6,2000.0,91.60000000000001,82.87727080003916,83.68932038834951,80.82191780821918,722790.0,54840.0
3000.0,204.122411,2.8959146957534055E-6,3000.0,89.4,78.76304770300322,79.96219281663517,78.14432989690722,723790.0,54840.0
4000.0,205.827985,2.9201119251859684E-6,4000.0,93.2,85.82358704942983,86.34538152610443,83.20987654320989,724790.0,54840.0
5000.0,206.729449,2.9329011276674766E-6,5000.0,92.60000000000001,84.53390627547203,85.08064516129033,81.63771712158811,725790.0,54840.0
6000.0,207.134011,2.9386407083210843E-6,6000.0,88.2,74.6916890080429,75.6701030927835,68.53333333333333,726790.0,54840.0
7000.0,207.808489,2.948209627003719E-6,7000.0,89.5,75.91610547369581,76.92307692307693,69.91404011461319,727790.0,54840.0
8000.0,208.524477,2.9583674541674553E-6,8000.0,91.4,82.15234426882722,83.4932821497121,79.32692307692308,728790.0,54840.0
9000.0,208.993256,2.9650180908540885E-6,9000.0,92.2,84.2551473556722,83.68200836820084,82.66666666666667,729790.0,54840.0
10000.0,209.344185,2.9699967722408476E-6,10000.0,90.8,81.60000000000001,81.63672654690619,81.9253438113949,730790.0,54840.0
11000.0,209.819923,2.9767461372849844E-6,11000.0,89.8,77.4925857929671,77.43362831858407,70.17543859649123,731790.0,54840.0
12000.0,210.189948,2.981995736435056E-6,12000.0,94.3,85.2789256198347,85.56962025316454,78.49056603773583,732790.0,54840.0
13000.0,210.59029,2.9876754473273954E-6,13000.0,89.5,76.58340767172169,77.61194029850746,71.69811320754718,733790.0,54840.0
14000.0,211.108205,2.995023183679829E-6,14000.0,88.8,77.66993775495149,77.46478873239437,78.03921568627452,734790.0,54840.0
15000.0,211.618005,3.002255791332573E-6,15000.0,91.4,82.6079922342663,81.54506437768241,82.52032520325204,735790.0,54840.0
16000.0,212.002164,3.0077059116214515E-6,16000.0,89.8,79.14349276974416,79.92125984251969,76.16822429906543,736790.0,54840.0
17000.0,212.500553,3.0147766297372682E-6,17000.0,92.80000000000001,84.68899521531101,85.71428571428572,81.10236220472441,737790.0,54840.0
18000.0,212.920993,3.020741473914435E-6,18000.0,92.10000000000001,82.92512125325288,83.33333333333334,79.10052910052912,738790.0,54840.0
19000.0,213.347897,3.0267980238112315E-6,19000.0,90.60000000000001,81.15363794935541,81.34920634920636,80.61855670103093,739790.0,54840.0
20000.0,213.887084,3.0344475491593287E-6,20000.0,92.5,85.00815556337353,85.60460652591172,85.17786561264823,740790.0,54840.0
21000.0,214.368574,3.041278518674275E-6,21000.0,91.9,83.78430320550294,83.73493975903615,83.05439330543933,741790.0,54840.0
22000.0,214.84664,3.0480609113971397E-6,22000.0,92.30000000000001,84.4620227621277,84.99025341130604,82.5,742790.0,54840.0
23000.0,215.483047,3.057089711197963E-6,23000.0,91.7,82.20045292341479,82.07343412526998,76.68539325842697,743790.0,54840.0
24000.0,216.326417,3.069054725548874E-6,24000.0,90.10000000000001,77.46312147149882,78.19383259911895,70.44776119402985,744790.0,54840.0
25000.0,216.979117,3.078314676539352E-6,25000.0,91.0,78.93179519832204,80.04434589800444,73.21428571428572,745790.0,54840.0
26000.0,218.145297,3.0948594438843436E-6,26000.0,91.60000000000001,81.47200508196433,82.42677824267784,77.04918032786885,746790.0,54840.0
27000.0,219.357571,3.1120581535932927E-6,27000.0,90.5,80.49008896519433,79.52586206896552,78.11059907834102,747790.0,54840.0
28000.0,219.988734,3.121012555994094E-6,28000.0,89.7,79.40461336660589,78.27004219409282,79.23387096774194,748790.0,54840.0
29000.0,220.826245,3.132894447849443E-6,29000.0,91.10000000000001,82.17147435897436,81.68724279835392,81.26315789473685,749790.0,54840.0
30000.0,221.744524,3.1459222072114554E-6,30000.0,92.30000000000001,84.57272457705224,84.41295546558706,84.05797101449276,750790.0,54840.0
31000.0,222.383631,3.1549893123097723E-6,31000.0,93.8,87.58211825028039,87.67395626242543,87.29508196721311,751790.0,54840.0
32000.0,222.999516,3.1637269634753472E-6,32000.0,93.10000000000001,86.14012534147518,86.14457831325302,85.44303797468356,752790.0,54840.0
33000.0,223.678399,3.173358376541486E-6,33000.0,92.10000000000001,83.20049675493141,81.92219679633868,80.96385542168676,753790.0,54840.0
34000.0,224.191614,3.1806394333019858E-6,34000.0,89.60000000000001,79.15087947203612,77.29257641921397,77.82515991471216,754790.0,54840.0
35000.0,224.728036,3.1882497311880196E-6,35000.0,95.8,91.59707578237226,91.58316633266533,91.44602851323829,755790.0,54840.0
36000.0,225.339708,3.1969276119023566E-6,36000.0,91.7,83.3772600918056,83.29979879275655,81.83807439824946,756790.0,54840.0
37000.0,225.858166,3.204283051875731E-6,37000.0,87.2,73.69243164142785,72.7659574468085,69.37799043062202,757790.0,54840.0
38000.0,226.316793,3.2107896606437865E-6,38000.0,91.0,81.20614767791514,80.9725158562368,77.72277227722773,758790.0,54840.0
39000.0,226.823816,3.2179828705887004E-6,39000.0,90.0,79.41209169030844,77.11670480549199,73.61477572559367,759790.0,54840.0
40000.0,227.357767,3.225558112033954E-6,40000.0,91.9,83.31245673599895,83.70221327967808,80.33980582524272,760790.0,54840.0
41000.0,227.847043,3.2324995426771548E-6,41000.0,92.5,84.61664683923371,83.69565217391305,82.55813953488374,761790.0,54840.0
42000.0,228.296882,3.2388814747954414E-6,42000.0,88.9,77.6809053107381,76.82672233820459,76.43312101910828,762790.0,54840.0
43000.0,228.740473,3.2451747656178975E-6,43000.0,90.7,79.80543733171199,79.64989059080963,74.09470752089136,763790.0,54840.0
44000.0,229.145771,3.250924788011859E-6,44000.0,93.8,87.00487526776244,87.16356107660455,84.22391857506359,764790.0,54840.0
