learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,94.594704,2.3862861242890356E-6,1000.0,89.3,78.28839504569584,68.43657817109144,75.05827505827507,1033682.0,97512.0
2000.0,94.745144,2.390382887125015E-6,2000.0,84.1,68.0412288248016,69.77186311787071,69.1860465116279,1034682.0,105264.0
3000.0,94.887119,2.39405255837366E-6,3000.0,84.8,69.32304848169271,68.46473029045642,68.26722338204593,1035682.0,99912.0
4000.0,94.996367,2.3969285540096463E-6,4000.0,88.6,76.9283077520886,77.77777777777779,74.8898678414097,1036682.0,101760.0
5000.0,95.122151,2.3996603865735236E-6,5000.0,82.89999999999999,65.64333360122157,67.11538461538461,67.24137931034481,1037682.0,83952.0
6000.0,95.21635,2.401788123144458E-6,6000.0,91.8,83.10065824997012,82.95218295218297,80.33573141486812,1038682.0,87312.0
7000.0,95.308759,2.403903541552524E-6,7000.0,89.8,78.64035381625679,78.83817427385893,73.9795918367347,1039682.0,88488.0
8000.0,95.410942,2.406345061082393E-6,8000.0,85.1,67.29759626358576,69.02286902286902,59.83827493261455,1040682.0,92360.0
9000.0,95.518258,2.4089176663197577E-6,9000.0,87.9,73.36233389984238,75.0,67.90450928381962,1041682.0,92664.0
10000.0,95.618072,2.411357324456589E-6,10000.0,86.7,72.00306492762898,74.2248062015504,68.25775656324582,1042682.0,94480.0
11000.0,95.707848,2.4135711424570117E-6,11000.0,90.4,80.21499703224957,81.02766798418973,76.92307692307693,1043682.0,95320.0
12000.0,95.801471,2.415879824985233E-6,12000.0,86.6,73.1610298152918,73.25349301397206,72.59713701431492,1044682.0,95320.0
13000.0,95.90794,2.4183272396793797E-6,13000.0,82.8,64.05403597940213,64.60905349794238,57.42574257425742,1045682.0,88856.0
14000.0,96.006704,2.4207420512806213E-6,14000.0,89.8,74.01141459437423,74.30730478589422,63.04347826086958,1046682.0,94512.0
15000.0,96.100257,2.423044941679885E-6,15000.0,89.8,74.57031308432185,77.13004484304933,66.33663366336636,1047682.0,95152.0
16000.0,96.210672,2.4258294032389922E-6,16000.0,82.6,63.77113350545513,66.2135922330097,60.63348416289591,1048682.0,97480.0
17000.0,96.335901,2.428778033287575E-6,17000.0,84.1,68.28727342353841,67.01244813278008,70.22471910112358,1049682.0,91016.0
18000.0,96.437539,2.43123135217569E-6,18000.0,84.5,68.01908126041958,68.04123711340205,64.44954128440367,1050682.0,93304.0
19000.0,96.537148,2.433494275613792E-6,19000.0,82.69999999999999,65.12799838742188,67.23484848484847,62.47288503253795,1051682.0,87816.0
20000.0,96.638075,2.435791527918644E-6,20000.0,89.0,75.9825327510917,77.41273100616016,68.57142857142857,1052682.0,87984.0
21000.0,96.732699,2.437965876948503E-6,21000.0,88.1,74.76032917621109,74.89451476793249,70.83333333333334,1053682.0,88824.0
22000.0,96.823848,2.440096027967003E-6,22000.0,87.6,75.02306338099093,76.64783427495291,74.0041928721174,1054682.0,90336.0
23000.0,96.916525,2.4422820278360618E-6,23000.0,88.4,76.83150914755932,77.25490196078432,75.98343685300208,1055682.0,91176.0
24000.0,97.005787,2.4443952360480203E-6,24000.0,89.0,78.01266470512984,77.55102040816327,77.17842323651453,1056682.0,91512.0
25000.0,97.094921,2.4465325313785845E-6,25000.0,88.7,77.23389852362838,78.39388145315488,74.4920993227991,1057682.0,92688.0
26000.0,97.182028,2.448628794027286E-6,26000.0,91.0,80.80073725168954,80.93220338983052,75.80645161290323,1058682.0,93024.0
27000.0,97.271216,2.4507828892498387E-6,27000.0,87.7,72.7818297691545,72.29729729729729,63.06306306306306,1059682.0,93360.0
28000.0,97.361387,2.452964645168848E-6,28000.0,88.6,73.6232004775589,75.32467532467533,65.76576576576576,1060682.0,93528.0
29000.0,97.447941,2.455055123236445E-6,29000.0,92.4,83.37067637585773,83.89830508474577,79.12087912087912,1061682.0,93360.0
30000.0,97.543001,2.457367566641835E-6,30000.0,85.5,69.73769889636519,71.23015873015872,65.55819477434679,1062682.0,94032.0
31000.0,97.631419,2.4595299641829407E-6,31000.0,87.6,75.13315792851184,74.6938775510204,74.59016393442623,1063682.0,94536.0
32000.0,97.723732,2.461795644075093E-6,32000.0,86.5,73.01942601327045,73.05389221556887,72.5609756097561,1064682.0,94872.0
33000.0,97.81778,2.464103906860369E-6,33000.0,90.5,80.92308186608406,80.29045643153528,79.52586206896552,1065682.0,94872.0
34000.0,97.916502,2.466535467006681E-6,34000.0,88.2,76.31045351428399,77.65151515151516,76.86274509803923,1066682.0,95208.0
35000.0,98.012152,2.4688913626327294E-6,35000.0,88.2,76.32585257025004,76.77165354330708,75.36534446764091,1067682.0,95208.0
36000.0,98.109995,2.471301272677052E-6,36000.0,87.1,74.13336755482122,72.3175965665236,73.5655737704918,1068682.0,95208.0
37000.0,98.201715,2.4735603709187787E-6,37000.0,89.1,77.50685112424472,77.24425887265136,72.264631043257,1069682.0,95208.0
38000.0,98.292935,2.475815083127884E-6,38000.0,89.5,78.99663946231398,77.22342733188721,78.65853658536585,1070682.0,95544.0
39000.0,98.381649,2.478007853780357E-6,39000.0,92.0,83.99718350429677,83.96793587174349,83.36798336798338,1071682.0,95544.0
40000.0,98.47173,2.4802461582091133E-6,40000.0,88.4,76.65516866640638,77.47572815533981,74.39293598233996,1072682.0,96048.0
41000.0,98.562473,2.4825285187342944E-6,41000.0,86.4,71.52047175500904,71.00213219616204,65.65656565656566,1073682.0,97224.0
42000.0,98.65757,2.4849410561078967E-6,42000.0,88.3,76.33954571927781,74.89270386266095,73.1651376146789,1074682.0,98064.0
43000.0,98.753221,2.48736764803322E-6,43000.0,85.7,70.74276548382873,67.6470588235294,62.66318537859007,1075682.0,98064.0
44000.0,98.852306,2.489881357883829E-6,44000.0,87.6,74.31169853535249,72.25950782997762,69.68215158924205,1076682.0,98064.0
45000.0,98.946425,2.492269084153491E-6,45000.0,90.10000000000001,79.7064611347983,78.70967741935485,77.29357798165138,1077682.0,98064.0
46000.0,99.051264,2.4950001534405696E-6,46000.0,83.6,66.83263830183107,66.46216768916155,64.42516268980476,1078682.0,100696.0
47000.0,99.191222,2.4980580716538776E-6,47000.0,81.5,61.41814389989572,62.01232032854208,50.66666666666665,1079682.0,84456.0
48000.0,99.2955,2.500556985959412E-6,48000.0,86.7,72.16548352531476,73.34669338677354,66.83291770573567,1080682.0,92632.0
49000.0,99.384723,2.50272614505763E-6,49000.0,91.2,81.76959250895983,81.35593220338984,78.27160493827161,1081682.0,93976.0
50000.0,99.474075,2.5049333908843512E-6,50000.0,93.10000000000001,85.82370440985521,85.38135593220339,83.61045130641331,1082682.0,95488.0
51000.0,99.560389,2.5070243246584318E-6,51000.0,93.10000000000001,85.71168245974422,85.53459119496857,82.92079207920794,1083682.0,93640.0
52000.0,99.650359,2.5091725420558633E-6,52000.0,86.9,73.16101750475316,72.42105263157895,67.81326781326781,1084682.0,92296.0
53000.0,99.746768,2.5115373552362965E-6,53000.0,91.0,81.5637994960772,81.40495867768595,77.99511002444989,1085682.0,94816.0
54000.0,99.842641,2.513905688112396E-6,54000.0,89.3,78.58440945007966,78.3838383838384,78.89546351084813,1086682.0,95488.0
55000.0,99.957976,2.5165158504785775E-6,55000.0,88.8,77.35589656497038,76.2208067940552,74.8314606741573,1087682.0,87480.0
56000.0,100.047023,2.5185736569679457E-6,56000.0,92.2,83.93561063215432,84.4,80.5486284289277,1088682.0,89328.0
57000.0,100.132054,2.5205608304010507E-6,57000.0,92.4,83.74978083585997,83.14855875831486,80.66157760814251,1089682.0,90336.0
58000.0,100.226292,2.522787745785383E-6,58000.0,88.0,76.09837907174072,75.30864197530865,76.69902912621359,1090682.0,91344.0
59000.0,100.319372,2.5250789928684644E-6,59000.0,90.9,81.79635927185439,81.5040650406504,80.80168776371308,1091682.0,95152.0
60000.0,100.418118,2.5275354636129418E-6,60000.0,88.8,75.39153820463694,75.59912854030502,68.71508379888269,1092682.0,96160.0
61000.0,100.509411,2.5298382706112342E-6,61000.0,92.5,82.46188382751849,81.70731707317074,76.56250000000001,1093682.0,97504.0
62000.0,100.602089,2.5321760133405536E-6,62000.0,88.3,70.39024143341601,70.60301507537689,59.09090909090909,1094682.0,97504.0
63000.0,100.695278,2.534526645715039E-6,63000.0,89.1,72.65867999117052,72.33502538071066,62.15277777777779,1095682.0,97504.0
64000.0,100.792005,2.5370163683572587E-6,64000.0,89.60000000000001,73.9990899681489,74.87922705314011,64.01384083044984,1096682.0,99496.0
65000.0,100.926978,2.5405142750197823E-6,65000.0,85.5,66.92608778956779,66.1214953271028,55.65749235474004,1097682.0,100176.0
66000.0,101.022586,2.542937005876254E-6,66000.0,92.10000000000001,83.72610415293343,84.32539682539684,81.1904761904762,1098682.0,97952.0
67000.0,101.121122,2.5455318197131996E-6,67000.0,89.4,77.8414198214771,78.27868852459017,73.29974811083125,1099682.0,101792.0
68000.0,101.226651,2.548347476631818E-6,68000.0,90.2,78.53541437601575,79.28118393234672,73.7265415549598,1100682.0,103136.0
69000.0,101.327826,2.5509244683923006E-6,69000.0,85.9,70.53439325927226,71.7434869739479,65.52567237163814,1101682.0,98456.0
70000.0,101.431422,2.5536975551686366E-6,70000.0,86.6,72.41163487828179,73.87914230019493,68.39622641509435,1102682.0,103472.0
71000.0,101.54571,2.556840580407945E-6,71000.0,86.5,70.45951859956236,68.96551724137932,64.0,1103682.0,106304.0
72000.0,101.641429,2.5595087972552422E-6,72000.0,93.60000000000001,84.52162136016254,84.68899521531101,77.93103448275865,1104682.0,107752.0
73000.0,101.73462,2.5621024945481793E-6,73000.0,93.0,85.7201142390861,85.65573770491804,84.44444444444446,1105682.0,107584.0
74000.0,101.831879,2.5648263208257667E-6,74000.0,88.6,76.15711208248803,75.74468085106383,72.79236276849642,1106682.0,108256.0
75000.0,101.933539,2.567673401089593E-6,75000.0,88.6,77.01909431041156,78.81040892193307,76.05042016806722,1107682.0,108256.0
76000.0,102.077594,2.570255267961573E-6,76000.0,80.4,59.048076722174635,60.081466395112024,54.524361948955935,1108682.0,69280.0
77000.0,102.161586,2.571899355163592E-6,77000.0,88.4,72.54970632918581,72.44655581947744,62.939297124600635,1109682.0,75664.0
78000.0,102.258645,2.5738329669564147E-6,78000.0,82.8,62.11987737411465,63.48195329087047,53.260869565217384,1110682.0,77008.0
79000.0,102.347921,2.5756736070476484E-6,79000.0,88.1,74.6597161888213,75.05241090146751,69.01041666666667,1111682.0,79696.0
