learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1794.796486,1.3673152081184088E-4,1000.0,89.1,77.74547355182243,67.84660766961652,74.5920745920746,1033682.0,294480.0
2000.0,1796.194979,1.36838628355037E-4,2000.0,88.2,76.10097540425808,77.56653992395437,77.13178294573643,1034682.0,296048.0
3000.0,1797.628126,1.3695088145422438E-4,3000.0,88.4,76.57464811486501,75.93360995850622,75.78288100208769,1035682.0,302768.0
4000.0,1799.055525,1.3706318063157715E-4,4000.0,89.3,78.26811058485185,79.14230019493178,76.43171806167402,1036682.0,304112.0
5000.0,1800.725212,1.3719497697789224E-4,5000.0,85.8,71.5436564397507,72.6923076923077,72.79693486590038,1037682.0,305120.0
6000.0,1802.266109,1.37317678836729E-4,6000.0,90.9,81.32889056678103,81.08108108108108,78.17745803357316,1038682.0,307808.0
7000.0,1803.787661,1.3743897250885354E-4,7000.0,91.4,81.90905725152301,82.15767634854772,78.06122448979593,1039682.0,308144.0
8000.0,1805.422076,1.3756954742695726E-4,8000.0,88.7,75.39391511118467,76.50727650727652,69.54177897574124,1040682.0,308816.0
9000.0,1807.157304,1.377097098469238E-4,9000.0,88.6,74.99813582591685,76.44628099173553,69.76127320954907,1041682.0,312232.0
10000.0,1808.869004,1.378459135829906E-4,10000.0,89.8,78.7819155353822,80.23255813953489,75.65632458233891,1042682.0,307584.0
11000.0,1810.548787,1.379807457132638E-4,11000.0,91.60000000000001,82.75975305398661,83.39920948616601,79.8076923076923,1043682.0,310272.0
12000.0,1812.509666,1.3813831118788573E-4,12000.0,89.8,79.58113296686139,79.64071856287426,79.14110429447852,1044682.0,310608.0
13000.0,1814.835513,1.3832446219566385E-4,13000.0,87.0,72.9833078406597,73.25102880658436,67.82178217821783,1045682.0,309376.0
14000.0,1816.934937,1.3849294748209833E-4,14000.0,90.5,76.36157337367626,76.07052896725442,65.57971014492755,1046682.0,310216.0
15000.0,1818.887672,1.3864999999828017E-4,15000.0,90.7,76.97244616999784,79.14798206278027,69.30693069306932,1047682.0,310888.0
16000.0,1821.071085,1.388237706075195E-4,16000.0,84.3,67.39735357881533,69.51456310679612,64.47963800904976,1048682.0,307640.0
17000.0,1823.98928,1.390540330827526E-4,17000.0,87.9,75.84174546383848,74.89626556016597,77.34082397003745,1049682.0,305008.0
18000.0,1826.31904,1.3923847216304393E-4,18000.0,87.3,73.76553410893708,73.81443298969073,70.87155963302753,1050682.0,306016.0
19000.0,1828.743574,1.3943269728710256E-4,19000.0,86.7,73.06383668178871,74.81060606060606,71.14967462039046,1051682.0,309656.0
20000.0,1830.543576,1.3957488432519969E-4,20000.0,91.3,81.01680122190706,82.13552361396304,75.14285714285715,1052682.0,305344.0
21000.0,1832.50837,1.3973094266342623E-4,21000.0,90.0,78.86442798687904,78.90295358649789,75.49019607843138,1053682.0,307024.0
22000.0,1834.447949,1.3988550402620605E-4,22000.0,89.60000000000001,79.08648142115403,80.41431261770245,78.19706498951781,1054682.0,308032.0
23000.0,1836.328569,1.400356122633153E-4,23000.0,91.3,82.60904329748531,82.94117647058825,81.98757763975156,1055682.0,308536.0
24000.0,1838.209706,1.401857617665807E-4,24000.0,90.3,80.5818245878142,80.20408163265307,79.87551867219918,1056682.0,308536.0
25000.0,1841.000419,1.4040887611468017E-4,25000.0,90.4,80.54719129811025,81.64435946462716,78.3295711060948,1057682.0,309040.0
26000.0,1843.214027,1.405859477779373E-4,26000.0,91.9,82.55874043960588,82.83898305084747,78.22580645161291,1058682.0,309208.0
27000.0,1845.569791,1.4077459560207404E-4,27000.0,88.6,74.60447584974762,74.32432432432432,65.76576576576576,1059682.0,309544.0
28000.0,1847.989899,1.4096871159191142E-4,28000.0,90.10000000000001,77.04060334511452,78.57142857142857,70.27027027027027,1060682.0,310048.0
29000.0,1850.333679,1.4115670534039747E-4,29000.0,92.10000000000001,82.74506377773896,83.2627118644068,78.29670329670331,1061682.0,310048.0
