learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,54.70778,6.499030879802174E-8,100.0,98.0,94.80249480249479,0.0,92.3076923076923,268695.0,4592.0
200.0,54.775126,6.507031272682879E-8,200.0,92.5,84.72505091649695,-7.142857142857154,82.14285714285715,268795.0,4592.0
300.0,54.872293,6.518574262244834E-8,300.0,87.33333333333333,73.30585866154638,4.99999999999995,66.07142857142856,268895.0,4592.0
400.0,54.939262,6.526529869271649E-8,400.0,90.5,76.93684945225017,5.000000000000006,66.07142857142858,268995.0,4592.0
500.0,55.012473,6.535226996988058E-8,500.0,90.8,77.48453285300337,25.806451612903246,66.42335766423359,269095.0,4592.0
600.0,55.076994,6.542891792953014E-8,600.0,92.33333333333333,78.8913362701909,25.80645161290327,66.42335766423358,269195.0,4592.0
700.0,55.136249,6.549931012507942E-8,700.0,91.28571428571428,79.56585823395417,29.88505747126436,70.38834951456309,269295.0,4592.0
800.0,55.212138,6.558946274220943E-8,800.0,89.625,77.10155323199162,36.64122137404578,68.07692307692307,269395.0,4592.0
900.0,55.28586,6.567704106370608E-8,900.0,89.77777777777777,78.1731909845789,55.33980582524273,70.70063694267516,269495.0,4592.0
1000.0,55.357414,6.576204390161567E-8,1000.0,90.4,80.32786885245902,58.44155844155845,75.93984962406016,269595.0,4592.0
1100.0,55.429122,6.584722968439261E-8,1100.0,88.4,76.35895262008022,56.877323420074354,73.69614512471655,269695.0,4592.0
1200.0,55.493961,6.59242554133137E-8,1200.0,89.60000000000001,79.26461147065743,59.68992248062016,78.37837837837837,269795.0,4592.0
1300.0,55.568614,6.601293971969021E-8,1300.0,89.7,79.34248949074222,64.48275862068967,79.68441814595661,269895.0,4592.0
1400.0,55.65356,6.61138516333368E-8,1400.0,87.5,74.32568992006047,64.48863636363636,77.91519434628974,269995.0,4592.0
1500.0,55.732291,6.620738041483692E-8,1500.0,86.7,71.98183243029163,66.58291457286433,77.49576988155668,270095.0,4592.0
1600.0,55.806971,6.62960967959629E-8,1600.0,86.4,67.500812479688,67.5417661097852,77.59472817133442,270195.0,4592.0
1700.0,55.874712,6.637656996647515E-8,1700.0,87.1,68.09300024734107,69.5754716981132,76.6726943942134,270295.0,4592.0
1800.0,55.942967,6.645765374518102E-8,1800.0,88.8,71.21059450122355,74.0139211136891,78.66666666666667,270395.0,4592.0
1900.0,56.015518,6.654384097291363E-8,1900.0,89.60000000000001,72.22934290352902,74.50980392156863,79.15831663326654,270495.0,4592.0
2000.0,56.083963,6.662515046281947E-8,2000.0,90.0,72.53773315464552,74.48979591836735,76.13365155131265,270595.0,4592.0
2100.0,56.145916,6.669874775740835E-8,2100.0,92.2,77.02314182023851,77.84090909090911,77.77777777777779,270695.0,4592.0
2200.0,56.207541,6.677195540318887E-8,2200.0,92.30000000000001,77.19842698758647,78.06267806267807,69.56521739130437,270795.0,4592.0
2300.0,56.268501,6.684437305976948E-8,2300.0,94.5,81.37613436272517,81.2286689419795,72.3618090452261,270895.0,4592.0
2400.0,56.328705,6.691589262336493E-8,2400.0,96.39999999999999,83.59146391489438,84.81012658227847,74.8251748251748,270995.0,4592.0
2500.0,56.387447,6.698567539867428E-8,2500.0,98.0,86.87853459474351,88.16568047337277,78.49462365591395,271095.0,4592.0
2600.0,56.446335,6.705563161522151E-8,2600.0,98.3,86.6938008766437,88.51351351351352,77.92207792207789,271195.0,4592.0
2700.0,56.501908,6.712164976530605E-8,2700.0,99.1,91.69956099900395,92.37288135593221,85.48387096774194,271295.0,4592.0
2800.0,56.55876,6.718918730815253E-8,2800.0,99.6,93.9113492450073,94.02985074626865,88.88888888888889,271395.0,4592.0
2900.0,56.615019,6.725602039446435E-8,2900.0,99.7,76.78018575851378,80.0,62.5,271495.0,4592.0
3000.0,56.671042,6.732257312370673E-8,3000.0,99.7,0.0,50.0,0.0,271595.0,4592.0
3100.0,56.727164,6.738924346036383E-8,3100.0,99.7,0.0,50.0,0.0,271695.0,4592.0
3200.0,56.782432,6.745489928457473E-8,3200.0,99.7,0.0,50.0,0.0,271795.0,4592.0
3300.0,56.839571,6.752277777012852E-8,3300.0,99.7,0.0,50.0,0.0,271895.0,4592.0
3400.0,56.896804,6.759076792332862E-8,3400.0,100.0,,,,271995.0,4592.0
3500.0,56.957164,6.76624728076988E-8,3500.0,98.3,0.0,45.16129032258064,0.0,272095.0,4592.0
3600.0,57.028834,6.774761344823573E-8,3600.0,97.39999999999999,63.687150837988845,69.76744186046507,48.0,272195.0,4592.0
