learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,31.717405,8.391083696546654E-7,100.0,92.0,78.11816192560175,-299.9999999999995,69.23076923076925,268695.0,102264.0
200.0,31.773239,8.405664346429209E-7,200.0,87.0,74.03894158761857,-85.71428571428585,69.04761904761905,268795.0,100944.0
300.0,31.832825,8.419836226416131E-7,300.0,81.33333333333333,61.85112857077979,-40.00000000000002,50.0,268895.0,91936.0
400.0,31.854663,8.425096594645746E-7,400.0,85.75,67.05773565277698,-42.49999999999999,49.107142857142875,268995.0,93112.0
500.0,31.878981,8.431007193877466E-7,500.0,86.8,68.38838225151352,-6.451612903225811,51.82481751824818,269095.0,93952.0
600.0,31.903889,8.43711532248805E-7,600.0,89.0,70.44599677592693,-6.451612903225737,51.82481751824819,269195.0,94792.0
700.0,31.955376,8.448592662024829E-7,700.0,85.57142857142857,65.21422526618254,-16.091954022988425,50.97087378640778,269295.0,86168.0
800.0,31.975161,8.453286843208803E-7,800.0,85.25,66.51461083876644,9.9236641221374,54.61538461538462,269395.0,91712.0
900.0,31.993979,8.457872715923521E-7,900.0,86.55555555555556,70.43010752688171,41.26213592233009,61.46496815286624,269495.0,94200.0
1000.0,32.010583,8.461483657028939E-7,1000.0,87.2,73.24414715719064,44.58874458874458,67.91979949874687,269595.0,84064.0
1100.0,32.0248,8.464624918914503E-7,1100.0,87.2,73.14760426281782,52.41635687732342,70.9750566893424,269695.0,85408.0
1200.0,32.036786,8.467294076167874E-7,1200.0,88.8,77.54367954830715,56.58914728682171,76.71517671517671,269795.0,86080.0
1300.0,32.051239,8.470550297738776E-7,1300.0,90.0,80.0,65.51724137931035,80.27613412228797,269895.0,87088.0
1400.0,32.068653,8.474211252522136E-7,1400.0,87.7,75.18600409935281,65.05681818181817,78.2685512367491,269995.0,81264.0
1500.0,32.086158,8.477921770181919E-7,1500.0,87.8,75.00819403474271,69.34673366834171,79.35702199661591,270095.0,81936.0
1600.0,32.099896,8.480857683635418E-7,1600.0,87.7,72.53606037601035,70.64439140811456,79.73640856672158,270195.0,82608.0
1700.0,32.111566,8.483382081902687E-7,1700.0,91.10000000000001,79.23762422432699,79.00943396226417,83.90596745027126,270295.0,83616.0
1800.0,32.122492,8.485745541668598E-7,1800.0,92.80000000000001,82.63553926297512,83.29466357308586,86.2857142857143,270395.0,83616.0
1900.0,32.134643,8.488373987542256E-7,1900.0,93.10000000000001,82.65529792667968,83.08823529411767,86.17234468937876,270495.0,83616.0
2000.0,32.144921,8.490597275065049E-7,2000.0,93.8,83.91482119507688,84.18367346938774,85.20286396181383,270595.0,83616.0
2100.0,32.154591,8.492684840203986E-7,2100.0,94.6,84.86309510461282,84.65909090909089,84.6153846153846,270695.0,83448.0
2200.0,32.164101,8.49472133161293E-7,2200.0,94.8,85.37748582740933,85.18518518518518,79.44664031620552,270795.0,82776.0
2300.0,32.173783,8.49677782360878E-7,2300.0,96.6,89.08766456764684,88.39590443686006,82.91457286432158,270895.0,82104.0
2400.0,32.182556,8.498648866493667E-7,2400.0,98.7,94.52050175343943,94.51476793248945,90.9090909090909,270995.0,82440.0
2500.0,32.191311,8.500516070466901E-7,2500.0,99.5,96.96292336848244,97.0414201183432,94.62365591397848,271095.0,82440.0
2600.0,32.200681,8.502510364891753E-7,2600.0,99.6,97.11728332780812,97.29729729729729,94.80519480519479,271195.0,82272.0
2700.0,32.209203,8.504342691517537E-7,2700.0,99.7,97.36110622427078,97.45762711864407,95.16129032258065,271295.0,83112.0
2800.0,32.218017,8.506253124318187E-7,2800.0,99.7,95.4971181556196,95.52238805970148,91.66666666666666,271395.0,83784.0
2900.0,32.227,8.508219708667859E-7,2900.0,99.7,76.78018575851378,80.0,62.5,271495.0,84624.0
3000.0,32.235336,8.510044649905627E-7,3000.0,99.7,0.0,50.0,0.0,271595.0,84624.0
3100.0,32.244298,8.512006636874541E-7,3100.0,99.7,0.0,50.0,0.0,271695.0,84624.0
3200.0,32.253387,8.513996427050893E-7,3200.0,99.7,0.0,50.0,0.0,271795.0,84624.0
3300.0,32.262678,8.516030439651672E-7,3300.0,99.7,0.0,50.0,0.0,271895.0,84624.0
3400.0,32.273502,8.518400061047736E-7,3400.0,100.0,,,,271995.0,84624.0
3500.0,32.284095,8.52071911125547E-7,3500.0,99.9,96.91890559526743,96.7741935483871,94.11764705882352,272095.0,84624.0
3600.0,32.295573,8.523231908223692E-7,3600.0,99.9,98.93730074388948,98.83720930232558,98.0,272195.0,84624.0
3700.0,32.326706,8.529378819755379E-7,3700.0,98.1,87.46437242689748,85.38461538461537,79.3478260869565,272295.0,76320.0
