learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,25.601067,6.420615023747086E-7,1000.0,89.7,79.03009080174274,71.38888888888889,75.93457943925235,283845.0,96944.0
2000.0,25.733191,6.455282328402002E-7,2000.0,85.6,70.9432545976246,72.36084452975048,72.14700193423597,284845.0,101424.0
3000.0,25.878605,6.493626322845617E-7,3000.0,85.6,71.00608872136851,70.1863354037267,69.74789915966386,285845.0,101928.0
4000.0,25.979039,6.519120202337701E-7,4000.0,89.0,77.72332368010693,78.84615384615385,75.82417582417582,286845.0,98120.0
5000.0,26.105642,6.551489942272503E-7,5000.0,84.39999999999999,68.67029502138854,71.1111111111111,70.34220532319391,287845.0,98832.0
6000.0,26.223964,6.582432964940864E-7,6000.0,90.9,81.23897016377761,82.29571984435799,78.12500000000001,288845.0,101088.0
7000.0,26.321067,6.607953500685591E-7,7000.0,90.8,80.66487606605888,80.71278825995807,76.59033078880408,289845.0,101592.0
8000.0,26.420594,6.632957613012855E-7,8000.0,85.8,69.09644086756302,71.93675889328063,61.725067385444746,290845.0,97112.0
9000.0,26.516182,6.655905831729371E-7,9000.0,84.89999999999999,66.17171327950678,66.74008810572687,59.94694960212201,291845.0,92800.0
10000.0,26.612442,6.678025255724786E-7,10000.0,88.0,74.90222324472424,76.42436149312377,71.36038186157518,292845.0,88824.0
11000.0,26.699896,6.698577271898585E-7,11000.0,90.10000000000001,79.64587942136731,79.8780487804878,76.2589928057554,293845.0,90840.0
12000.0,26.791156,6.719706406941015E-7,12000.0,89.4,78.7524905689121,81.20567375886523,78.2340862422998,294845.0,89496.0
13000.0,26.891018,6.744079585745929E-7,13000.0,85.9,70.59167055996795,70.98765432098764,65.0990099009901,295845.0,94344.0
14000.0,26.991601,6.768882701939177E-7,14000.0,89.2,73.03653549440509,72.72727272727273,61.01083032490976,296845.0,95320.0
15000.0,27.08733,6.792780091468656E-7,15000.0,89.7,74.44650636604513,76.5909090909091,66.00660066006601,297845.0,96496.0
16000.0,27.205764,6.821482669665579E-7,16000.0,82.1,62.558254336130645,64.12825651302605,59.5022624434389,298845.0,93680.0
17000.0,27.312533,6.846752768361732E-7,17000.0,83.39999999999999,66.88054651088552,65.77319587628865,68.79699248120299,299845.0,91488.0
18000.0,27.416829,6.870356140637561E-7,18000.0,84.8,68.52480742151909,67.59061833688699,65.375854214123,300845.0,87480.0
19000.0,27.517559,6.893590276419286E-7,19000.0,85.9,71.58632919555053,70.92783505154638,69.34782608695652,301845.0,89160.0
20000.0,27.612237,6.915634216099147E-7,20000.0,89.4,76.67243253711504,77.20430107526882,69.62750716332378,302845.0,90000.0
21000.0,27.708752,6.938231706909005E-7,21000.0,87.5,73.4744633353422,71.91011235955057,69.43765281173594,303845.0,90504.0
22000.0,27.80247,6.959128882860142E-7,22000.0,86.4,72.58948726217349,73.79576107899807,71.42857142857143,304845.0,86192.0
23000.0,27.895036,6.980251955944628E-7,23000.0,88.2,76.40934190060736,77.13178294573643,76.16161616161617,305845.0,88208.0
24000.0,27.98424,7.000607838357486E-7,24000.0,88.3,76.60318196725245,76.92307692307693,75.77639751552795,306845.0,88208.0
25000.0,28.071907,7.020689188647599E-7,25000.0,88.3,76.4744677599672,77.19298245614036,73.52941176470587,307845.0,88544.0
26000.0,28.156936,7.040166268207958E-7,26000.0,90.9,80.78482381161525,79.91169977924946,75.60321715817695,308845.0,88544.0
27000.0,28.245934,7.060745902938973E-7,27000.0,87.0,71.16890144643403,72.34042553191489,60.96096096096095,309845.0,89384.0
28000.0,28.33325,7.081012495027646E-7,28000.0,88.9,74.29746401644964,74.59954233409611,66.66666666666666,310845.0,89720.0
29000.0,28.423168,7.102000267389746E-7,29000.0,91.60000000000001,81.61700339647747,81.57894736842107,76.79558011049726,311845.0,90224.0
