learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,13.092969,1.832318313792348E-7,1000.0,81.39999999999999,61.88212148536765,48.333333333333314,56.54205607476634,694.0,54096.0
2000.0,13.225543,1.850855150197943E-7,2000.0,69.69999999999999,38.801725670151384,41.842610364683296,41.392649903288195,451.0,54048.0
3000.0,13.295066,1.8605760342131056E-7,3000.0,76.8,52.956444156054836,51.966873706004144,51.26050420168068,1451.0,54048.0
4000.0,13.362764,1.8700417420516408E-7,4000.0,79.3,57.85659025204609,60.1923076923077,54.50549450549451,2451.0,54048.0
5000.0,13.451305,1.8824327662587163E-7,5000.0,69.3,38.526231477773315,43.14814814814813,41.63498098859315,202.0,54096.0
6000.0,13.503202,1.889695582166314E-7,6000.0,84.0,66.7950591047948,68.8715953307393,61.53846153846153,1202.0,54096.0
7000.0,13.556899,1.8972103022038936E-7,7000.0,81.8,62.02336189232162,61.844863731656176,53.689567430025434,2202.0,54096.0
8000.0,13.639952,1.9088229854901631E-7,8000.0,78.5,53.13044994768051,57.509881422924906,42.04851752021564,200.0,54048.0
9000.0,13.697944,1.9169315755367278E-7,9000.0,75.3,45.446674676655604,45.59471365638766,34.48275862068966,1200.0,54048.0
10000.0,13.761635,1.925837014367183E-7,10000.0,78.9,56.152017422819256,58.54616895874264,49.642004773269704,2200.0,54048.0
11000.0,13.825513,1.9347686000168324E-7,11000.0,86.2,71.38342478195415,71.95121951219512,66.90647482014388,3200.0,54048.0
12000.0,13.888814,1.9436195080478986E-7,12000.0,82.1,64.13285670775691,68.26241134751771,63.24435318275153,4200.0,54048.0
13000.0,13.97606,1.95581846733888E-7,13000.0,79.2,56.600120184282574,57.201646090534986,48.514851485148526,5200.0,54048.0
14000.0,14.067251,1.9685690266390642E-7,14000.0,79.5,49.98877796969077,48.232323232323246,25.992779783393523,6200.0,54048.0
15000.0,14.132932,1.9777527123689652E-7,15000.0,82.1,57.01991970648687,59.318181818181806,40.92409240924092,7200.0,54048.0
16000.0,14.217942,1.9896390284101168E-7,16000.0,69.8,38.862436433129254,39.47895791583165,31.674208144796363,8200.0,54048.0
17000.0,14.275931,1.9977543998509644E-7,17000.0,69.6,39.129877619017094,37.31958762886597,42.85714285714284,990.0,54096.0
18000.0,14.324109,2.0044967538366713E-7,18000.0,77.2,53.461789679947756,51.385927505330486,48.06378132118451,1990.0,54096.0
19000.0,14.380676,2.0124131210148332E-7,19000.0,75.5,50.724054706355595,49.48453608247423,46.7391304347826,2990.0,54096.0
20000.0,14.453648,2.0226253144443033E-7,20000.0,75.3,45.89408383569326,46.88172043010753,29.22636103151862,3990.0,54096.0
21000.0,14.516072,2.031361349672079E-7,21000.0,78.5,55.0359712230216,51.68539325842697,47.43276283618583,4990.0,54096.0
22000.0,14.576218,2.0397785862286884E-7,22000.0,78.10000000000001,55.590344245806435,57.80346820809249,53.99159663865547,5990.0,54096.0
23000.0,14.628967,2.0471606367578108E-7,23000.0,83.8,67.66970411792175,68.6046511627907,67.27272727272727,6990.0,54096.0
24000.0,14.685819,2.0551168887565533E-7,24000.0,80.80000000000001,61.67037319481433,62.130177514792905,60.248447204968954,7990.0,54096.0
25000.0,14.738345,2.0624677311629056E-7,25000.0,83.0,65.82557372830928,66.8615984405458,61.53846153846152,8990.0,54096.0
26000.0,14.791193,2.069863636419177E-7,26000.0,84.3,67.37350479214635,65.34216335540837,57.90884718498659,9990.0,54096.0
27000.0,14.84809,2.0778261860211688E-7,27000.0,81.0,58.17207567772247,59.57446808510639,42.94294294294295,10990.0,54096.0
28000.0,14.907856,2.0861902428170043E-7,28000.0,85.2,66.73334981680864,66.13272311212815,55.55555555555555,11990.0,54096.0
