learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.810426,5.327346914634108E-7,1000.0,90.0,79.5417348608838,72.22222222222223,76.6355140186916,767.0,44952.0
2000.0,46.014871,5.351122057872514E-7,2000.0,87.8,75.25103965919465,76.58349328214972,76.40232108317215,1767.0,44952.0
3000.0,46.169105,5.36905810640504E-7,3000.0,88.2,76.19739220242707,75.56935817805383,75.21008403361344,2767.0,44952.0
4000.0,46.32562,5.387259415040414E-7,4000.0,89.1,77.94593719650372,79.03846153846155,76.04395604395604,3767.0,44952.0
5000.0,46.491709,5.406574095102648E-7,5000.0,86.8,73.528527022962,75.55555555555554,74.90494296577947,4767.0,44952.0
6000.0,46.653438,5.425381745770574E-7,6000.0,92.30000000000001,84.15820399295555,85.01945525291829,81.49038461538463,5767.0,44952.0
7000.0,46.813203,5.443961000628769E-7,7000.0,91.60000000000001,82.45665331423059,82.38993710691824,78.6259541984733,6767.0,44952.0
8000.0,46.981804,5.463567804048459E-7,8000.0,88.6,75.30104558907007,77.4703557312253,69.2722371967655,7767.0,44952.0
9000.0,47.151088,5.483254034320513E-7,9000.0,89.4,76.85255953914756,76.65198237885463,71.88328912466844,8767.0,44952.0
10000.0,47.312292,5.50200063213706E-7,10000.0,89.60000000000001,78.38044594487845,79.56777996070727,75.17899761336515,9767.0,44952.0
11000.0,47.459748,5.519148459285498E-7,11000.0,91.7,83.0281119899232,83.13008130081302,80.0959232613909,10767.0,44952.0
12000.0,47.614396,5.537132652352254E-7,12000.0,90.10000000000001,80.19175977206518,82.44680851063829,79.67145790554414,11767.0,44952.0
13000.0,47.828883,5.562075591273607E-7,13000.0,85.8,70.53648496115795,70.78189300411523,64.85148514851485,12767.0,44952.0
14000.0,48.114123,5.595246477611364E-7,14000.0,90.10000000000001,75.42033706414549,75.00000000000001,64.25992779783395,13767.0,44952.0
15000.0,48.279715,5.614503360974293E-7,15000.0,91.8,79.75538580803169,81.36363636363637,72.93729372937295,14767.0,44952.0
16000.0,48.46666,5.636243409166734E-7,16000.0,85.9,70.79027834171644,71.7434869739479,68.09954751131221,15767.0,44952.0
17000.0,48.802005,5.67524106334895E-7,17000.0,87.0,74.05313917097783,73.19587628865979,75.56390977443608,16767.0,44952.0
18000.0,49.027412,5.701453901578983E-7,18000.0,83.3,65.64775579051302,64.39232409381663,61.95899772209565,692.0,44952.0
19000.0,49.181362,5.719356923426192E-7,19000.0,83.5,66.86746987951805,65.97938144329896,64.13043478260867,1692.0,44952.0
20000.0,49.33134,5.736798036843539E-7,20000.0,90.8,79.83384844698715,80.21505376344086,73.63896848137537,2692.0,44952.0
21000.0,49.482622,5.754390793914597E-7,21000.0,90.3,79.47958536069389,78.20224719101124,76.28361858190709,3692.0,44952.0
22000.0,49.63321,5.77190284493069E-7,22000.0,88.4,76.69709436873232,77.64932562620425,75.63025210084034,4692.0,44952.0
23000.0,49.78034,5.7890127611657E-7,23000.0,91.7,83.40146067146092,83.91472868217055,83.23232323232324,5692.0,44952.0
24000.0,49.922874,5.805588203296067E-7,24000.0,90.4,80.78562764948181,81.06508875739645,80.12422360248448,6692.0,44952.0
25000.0,50.064994,5.822115500892204E-7,25000.0,90.7,81.18612385599495,81.87134502923978,78.95927601809956,7692.0,44952.0
26000.0,50.203912,5.838270434240502E-7,26000.0,91.5,81.77811315577355,81.23620309050773,77.2117962466488,8692.0,44952.0
27000.0,50.343799,5.854538053708774E-7,27000.0,89.60000000000001,76.51765917188622,77.87234042553192,68.76876876876878,9692.0,44952.0
28000.0,50.488403,5.871354218510292E-7,28000.0,89.7,75.7751937984496,76.43020594965677,69.06906906906907,10692.0,44952.0
29000.0,50.624667,5.887200515158476E-7,29000.0,93.0,84.51245198860119,84.64912280701755,80.66298342541438,11692.0,44952.0
30000.0,50.766435,5.903686878271402E-7,30000.0,87.9,74.65331601659055,76.18110236220473,71.32701421800948,12692.0,44952.0
