learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,46.592702,5.418318686758478E-7,1000.0,88.2,75.7341449370733,67.22222222222223,72.42990654205607,927.0,44952.0
2000.0,46.822701,5.445065533928573E-7,2000.0,86.9,73.38977679913546,74.85604606525912,74.6615087040619,1927.0,44952.0
3000.0,47.044984,5.470915078620116E-7,3000.0,89.60000000000001,78.95691022694163,78.46790890269152,78.15126050420169,2927.0,44952.0
4000.0,47.212385,5.490382332665225E-7,4000.0,90.0,79.69666822325544,80.76923076923077,78.02197802197803,3927.0,44952.0
5000.0,47.477883,5.521257399208843E-7,5000.0,85.1,70.11752436725361,72.4074074074074,71.67300380228137,4927.0,44952.0
6000.0,47.710504,5.548309161762396E-7,6000.0,91.7,82.90013679890562,83.85214007782102,80.04807692307693,5927.0,44952.0
7000.0,47.897057,5.570003623825808E-7,7000.0,91.5,82.11189117295487,82.18029350104823,78.37150127226464,6927.0,44952.0
8000.0,48.079309,5.591197917672495E-7,8000.0,87.9,73.65189140224199,76.08695652173914,67.38544474393531,7927.0,44952.0
9000.0,48.264702,5.612757482007146E-7,9000.0,88.5,74.65575909307287,74.66960352422907,69.49602122015915,8927.0,44952.0
10000.0,48.437832,5.63289096802473E-7,10000.0,88.9,76.8707596392672,78.1925343811395,73.50835322195705,9927.0,44952.0
11000.0,48.602103,5.651994230784475E-7,11000.0,92.0,83.6025924301368,83.739837398374,80.81534772182255,10927.0,44952.0
12000.0,48.779627,5.672638700095314E-7,12000.0,89.3,78.58218037407123,81.02836879432623,78.02874743326488,11927.0,44952.0
13000.0,48.969665,5.694738436800736E-7,13000.0,87.1,73.11603867955986,73.45679012345678,68.06930693069307,12927.0,44952.0
14000.0,49.160861,5.716972838652629E-7,14000.0,89.1,72.63451766454439,72.47474747474747,60.64981949458485,13927.0,44952.0
15000.0,49.341747,5.738008278794585E-7,15000.0,91.3,78.5000444826666,80.22727272727273,71.28712871287131,14927.0,44952.0
16000.0,49.563319,5.763775140481688E-7,16000.0,84.5,67.79715950170778,68.937875751503,64.93212669683257,15927.0,44952.0
17000.0,49.914628,5.804629266510405E-7,17000.0,86.6,73.23768134466671,72.37113402061856,74.81203007518796,16927.0,44952.0
18000.0,50.119517,5.828456043017406E-7,18000.0,83.0,65.08093007969764,63.75266524520254,61.27562642369019,805.0,44952.0
19000.0,50.273284,5.846337783584991E-7,19000.0,86.3,72.40128928283642,71.75257731958763,70.21739130434781,1805.0,44952.0
20000.0,50.419891,5.863386879550913E-7,20000.0,91.0,80.06105747289412,80.64516129032259,74.21203438395416,2805.0,44952.0
21000.0,50.566506,5.880436905845999E-7,21000.0,88.7,76.13153425652898,74.6067415730337,72.37163814180929,3805.0,44952.0
22000.0,50.712978,5.897470302507281E-7,22000.0,88.9,77.7079785353941,78.61271676300578,76.68067226890757,4805.0,44952.0
