learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,50.393564,7.049286098033189E-7,1000.0,90.3,80.1838610827375,73.05555555555556,77.33644859813084,283845.0,54072.0
2000.0,50.587973,7.076480933092534E-7,2000.0,86.8,73.11992180340889,74.6641074856046,74.46808510638297,284845.0,54072.0
3000.0,50.779029,7.103206734918058E-7,3000.0,87.7,75.1850028648208,74.53416149068323,74.15966386554622,285845.0,54072.0
4000.0,50.957019,7.12810480389744E-7,4000.0,89.4,78.53338463719395,79.61538461538463,76.70329670329672,286845.0,54072.0
5000.0,51.143864,7.154241551458834E-7,5000.0,87.3,74.55725619039988,76.48148148148147,75.8555133079848,287845.0,54072.0
6000.0,51.331913,7.180546720139682E-7,6000.0,91.4,82.37358168820097,83.26848249027238,79.32692307692308,288845.0,54072.0
7000.0,51.511791,7.2057088913396E-7,7000.0,90.3,79.65979433326065,79.66457023060796,75.31806615776082,289845.0,54072.0
8000.0,51.698926,7.2318862054497E-7,8000.0,89.4,76.90521114301775,79.05138339920948,71.42857142857143,290845.0,54072.0
9000.0,51.884054,7.257782771065831E-7,9000.0,88.5,75.00804089119153,74.66960352422907,69.49602122015915,291845.0,54072.0
10000.0,52.071088,7.28394595682621E-7,10000.0,89.4,77.87527499363392,79.17485265225933,74.70167064439141,292845.0,54072.0
11000.0,52.238855,7.307413985021412E-7,11000.0,90.5,80.52145100837373,80.69105691056912,77.21822541966428,293845.0,54072.0
12000.0,52.413791,7.331884846277535E-7,12000.0,88.6,77.19407045831916,79.7872340425532,76.59137577002053,294845.0,54072.0
13000.0,52.605038,7.358637366071343E-7,13000.0,85.5,70.04528326832815,70.16460905349794,64.10891089108911,295845.0,54072.0
14000.0,52.791908,7.384777610749006E-7,14000.0,91.4,78.57680216424122,78.28282828282829,68.95306859205778,296845.0,54072.0
15000.0,52.968302,7.40945242382586E-7,15000.0,91.5,78.99429633363978,80.68181818181819,71.94719471947197,297845.0,54072.0
16000.0,53.166092,7.437120208889246E-7,16000.0,85.0,68.97801161463244,69.93987975951903,66.06334841628959,298845.0,54072.0
17000.0,53.385841,7.467859720997513E-7,17000.0,87.4,74.84829128074098,74.02061855670104,76.3157894736842,299845.0,54072.0
18000.0,53.592087,7.49671037066728E-7,18000.0,88.5,76.34426296951496,75.47974413646055,73.80410022779044,300845.0,54072.0
19000.0,53.795771,7.525202635861934E-7,19000.0,88.4,76.64304123711341,76.08247422680412,74.78260869565217,301845.0,54072.0
20000.0,54.010755,7.55527559760958E-7,20000.0,92.10000000000001,82.78597078408815,83.01075268817205,77.36389684813754,302845.0,54072.0
21000.0,54.214135,7.58372533787042E-7,21000.0,91.0,81.14195914091148,79.77528089887642,77.99511002444989,303845.0,54072.0
22000.0,54.420123,7.612539897300304E-7,22000.0,89.1,78.0800540557933,78.9980732177264,77.10084033613445,304845.0,54072.0
23000.0,54.624506,7.641129941865802E-7,23000.0,90.60000000000001,81.21570367173044,81.78294573643412,81.01010101010101,305845.0,54072.0
24000.0,54.823408,7.668953278660774E-7,24000.0,92.10000000000001,84.17632778636842,84.4181459566075,83.64389233954452,306845.0,54072.0
25000.0,55.018417,7.696232044510544E-7,25000.0,91.0,81.81436099705797,82.45614035087719,79.63800904977376,307845.0,54072.0
26000.0,55.206784,7.722581696510315E-7,26000.0,91.8,82.4879871863321,81.89845474613688,78.01608579088473,308845.0,54072.0
27000.0,55.393819,7.748745022155344E-7,27000.0,90.5,78.50114509690326,79.7872340425532,71.47147147147149,309845.0,54072.0
28000.0,55.591297,7.77636916320771E-7,28000.0,90.10000000000001,76.86137392019745,77.34553775743707,70.27027027027027,310845.0,54072.0
29000.0,55.77512,7.802083179354668E-7,29000.0,92.2,82.78449721903418,82.89473684210526,78.45303867403317,311845.0,54072.0
30000.0,55.976635,7.830272034741939E-7,30000.0,89.9,78.95289616484258,80.11811023622047,76.06635071090048,312845.0,54072.0
31000.0,56.176631,7.858248405344785E-7,31000.0,90.2,80.3591470258137,80.20202020202021,80.0,313845.0,54072.0
32000.0,56.401647,7.889724689908326E-7,32000.0,89.5,79.01057866835116,79.16666666666667,78.39506172839506,314845.0,54072.0
33000.0,56.606452,7.918373765796424E-7,33000.0,90.9,81.6271482103631,81.54158215010142,80.51391862955033,315845.0,54072.0
