learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.786193,1.149715594533417E-8,100.0,93.0,86.02236421725242,86.00000000000001,84.09090909090911,10100.0,56528.0
200.0,0.815039,1.191899506168233E-8,200.0,96.0,91.99439607725407,91.75257731958763,90.36144578313252,10200.0,56528.0
300.0,0.831867,1.2165084940691788E-8,300.0,97.0,93.97912764249398,93.87755102040816,92.91338582677164,10300.0,56528.0
400.0,0.848476,1.2407972200049294E-8,400.0,97.5,94.98394863563402,94.87179487179486,94.25287356321839,10400.0,56528.0
500.0,0.865772,1.2660906033383474E-8,500.0,97.8,95.57721380552606,95.58232931726907,94.93087557603687,10500.0,56528.0
600.0,0.881158,1.2885908343725733E-8,600.0,98.16666666666667,96.30955043614404,96.25850340136056,95.78544061302682,10600.0,56528.0
700.0,0.897953,1.3131515636212294E-8,700.0,98.28571428571429,96.5559373180592,96.51162790697676,96.14147909967846,10700.0,56528.0
800.0,0.913369,1.3356956661575369E-8,800.0,98.375,96.74120124335707,96.67519181585678,96.41873278236915,10800.0,56528.0
900.0,0.929011,1.3585702673428588E-8,900.0,98.55555555555556,97.10894103228101,97.05215419501133,96.91211401425177,10900.0,56528.0
1000.0,0.94414,1.380694665842586E-8,1000.0,98.7,97.39712642757604,97.37903225806451,97.21627408993577,11000.0,56528.0
1100.0,0.958561,1.4017836968931886E-8,1100.0,99.4,98.79812026008678,98.77049180327869,98.72881355932203,11100.0,56528.0
1200.0,0.974851,1.425605922523472E-8,1200.0,99.4,98.79910172809261,98.77300613496932,98.75776397515527,11200.0,56528.0
1300.0,0.989064,1.4463907778263092E-8,1300.0,99.4,98.79863043870012,98.74739039665971,98.75259875259876,11300.0,56528.0
1400.0,1.002908,1.4666360136535432E-8,1400.0,99.5,98.99971992157805,98.97119341563786,98.9795918367347,11400.0,56528.0
