learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.262277,3.681880092869202E-9,100.0,85.0,65.34195933456562,-50.00000000000006,48.275862068965516,689.0,54264.0
200.0,0.396891,5.5769030397964846E-9,200.0,88.5,77.02756691969638,-35.29411764705887,73.56321839080461,374.0,54416.0
300.0,0.515168,7.23557809781697E-9,300.0,89.0,77.5876120619397,-3.1249999999999676,73.80952380952381,269.0,54208.0
400.0,1.20123,1.6866609489338265E-8,400.0,87.75,75.3830695805074,43.023255813953455,74.07407407407408,2680.0,54264.0
500.0,1.22522,1.720338436257508E-8,500.0,89.0,77.98520605847129,58.333333333333336,76.4957264957265,3112.0,54264.0
600.0,1.247931,1.7522204460369215E-8,600.0,87.5,74.60324626949907,57.14285714285714,71.26436781609196,3502.0,54264.0
700.0,1.277994,1.7944232931153642E-8,700.0,84.42857142857143,68.24062203426516,54.77178423236515,64.49511400651467,3850.0,54264.0
800.0,1.30535,1.832826016884711E-8,800.0,85.125,69.7431985761505,60.5960264900662,66.75977653631284,4150.0,54264.0
900.0,1.326839,1.8629925664928227E-8,900.0,85.33333333333334,70.10192525481315,61.739130434782616,67.24565756823823,4479.0,54264.0
1000.0,1.346565,1.890684192793237E-8,1000.0,84.7,69.02382533486661,61.460957178841305,67.09677419354838,4741.0,54264.0
1100.0,1.364995,1.91655647671885E-8,1100.0,84.6,68.48137535816618,65.39325842696628,68.57142857142856,4999.0,54264.0
1200.0,1.382461,1.941075484371848E-8,1200.0,83.39999999999999,66.18648763158753,65.91375770020534,65.48856548856547,5214.0,54264.0
1300.0,1.400387,1.9662402462628157E-8,1300.0,81.89999999999999,62.91895435548634,65.25911708253358,63.872255489021946,5451.0,54264.0
1400.0,1.423188,1.9982485992627018E-8,1400.0,81.8,63.08556036930665,64.52241715399609,63.08316430020283,5818.0,54264.0
1500.0,1.438653,2.0199585759805315E-8,1500.0,81.39999999999999,62.849484486663755,64.16184971098265,62.79999999999999,6018.0,54264.0
1600.0,1.454479,2.0421753293938114E-8,1600.0,82.5,65.24743823973309,66.98113207547169,66.91871455576559,6214.0,54264.0
1700.0,1.480867,2.0792191616363002E-8,1700.0,83.7,67.6571900249218,68.59344894026974,69.18714555765595,6676.0,54264.0
1800.0,1.518535,2.1322383350796177E-8,1800.0,81.10000000000001,62.524686119460995,63.30097087378642,63.44294003868474,39.0,54408.0
1900.0,1.53369,2.1535695863680715E-8,1900.0,78.8,57.85606653970476,59.23076923076924,58.91472868217055,246.0,54408.0
2000.0,1.553236,2.181081340751715E-8,2000.0,77.5,55.15677192534898,56.395348837209305,55.268389662027836,438.0,54408.0
2100.0,1.567447,2.2010838753647283E-8,2100.0,75.8,51.752846980764936,52.54901960784314,51.30784708249497,645.0,54408.0
2200.0,1.580697,2.2197337651418323E-8,2200.0,75.1,50.29186064153445,52.39005736137668,50.39840637450199,858.0,54408.0
2300.0,1.59373,2.2380782189882473E-8,2300.0,75.5,51.06654949268994,53.333333333333336,51.0,1055.0,54408.0
2400.0,1.606446,2.2559764830188627E-8,2400.0,75.1,50.231055821167594,52.661596958174904,50.49701789264414,1243.0,54408.0
2500.0,1.618608,2.2730949705259677E-8,2500.0,74.5,48.84038199181446,50.77220077220077,48.484848484848484,1443.0,54408.0
2600.0,1.632051,2.2920165153013344E-8,2600.0,73.6,47.09143161767948,49.714285714285715,45.79055441478439,1638.0,54408.0
2700.0,1.64381,2.3085677646514453E-8,2700.0,74.0,47.86465664865992,49.90366088631985,47.26166328600405,1807.0,54408.0
2800.0,1.659276,2.3303367605225917E-8,2800.0,75.6,50.769330099712285,52.34375,51.10220440881763,2012.0,54408.0
2900.0,1.673829,2.350820673422682E-8,2900.0,77.8,54.92861667397554,57.059961315280475,55.60000000000001,2223.0,54408.0
