learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.367276,5.137627497315407E-9,100.0,97.0,92.78846153846153,69.99999999999996,89.6551724137931,1584.0,54072.0
200.0,0.732903,1.0252188015729189E-8,200.0,95.0,89.95176848874597,41.17647058823522,88.50574712643677,3532.0,54072.0
300.0,1.157267,1.6188389007002114E-8,300.0,94.66666666666667,89.14469220679361,50.0,87.3015873015873,5771.0,54072.0
400.0,3.469946,4.853921841830016E-8,400.0,92.75,85.43811197589756,66.27906976744185,84.65608465608466,19359.0,54072.0
500.0,3.537617,4.9485831838101156E-8,500.0,93.2,86.36334467047423,74.24242424242426,85.47008547008548,19791.0,54072.0
600.0,3.593203,5.0263394657522446E-8,600.0,92.66666666666666,85.05688571913737,74.85714285714285,83.14176245210727,20181.0,54072.0
700.0,3.656654,5.115097675472498E-8,700.0,91.57142857142857,82.80914403689582,75.51867219917013,80.78175895765473,20529.0,54072.0
800.0,3.709828,5.1894799396395684E-8,800.0,91.625,82.9992387718853,77.81456953642383,81.28491620111731,20829.0,54072.0
900.0,3.762389,5.2630047108978035E-8,900.0,92.22222222222223,84.21645997745209,79.71014492753625,82.63027295285362,21158.0,54072.0
1000.0,3.810055,5.329682128503919E-8,1000.0,91.9,83.68369739503179,79.59697732997483,82.58064516129033,21420.0,54072.0
1100.0,3.85457,5.391951780766249E-8,1100.0,91.8,83.38062423996759,81.57303370786518,83.26530612244899,21678.0,54072.0
1200.0,3.889032,5.44015882909298E-8,1200.0,91.60000000000001,83.07488958380348,82.75154004106777,82.53638253638255,21893.0,54072.0
1300.0,3.929741,5.497104471549392E-8,1300.0,91.2,82.25634738845696,83.10940499040308,82.43512974051896,22130.0,54072.0
1400.0,3.987259,5.5775633249431855E-8,1400.0,90.8,81.53856032877417,82.06627680311891,81.33874239350914,22497.0,54072.0
1500.0,4.021226,5.6250779442489156E-8,1500.0,90.4,80.79976959723517,81.5028901734104,80.80000000000001,22697.0,54072.0
1600.0,4.056417,5.674304751679302E-8,1600.0,90.60000000000001,81.15779345734445,82.26415094339623,82.23062381852553,22893.0,54072.0
1700.0,4.130925,5.7785300072282556E-8,1700.0,90.7,81.31839876580906,82.08092485549133,82.41965973534973,23355.0,54072.0
1800.0,4.194894,5.868012819439173E-8,1800.0,88.6,77.08155748910369,77.86407766990293,77.94970986460349,23735.0,54072.0
1900.0,4.233834,5.922483902424574E-8,1900.0,87.8,75.38287697491877,76.53846153846155,76.35658914728683,23942.0,54072.0
2000.0,4.268117,5.970440557226539E-8,2000.0,88.3,76.46045759260899,77.32558139534885,76.73956262425448,24134.0,54072.0
2100.0,4.305641,6.022930873557925E-8,2100.0,87.6,75.07076685537828,75.68627450980392,75.0503018108652,24341.0,54072.0
2200.0,4.342804,6.074916206300258E-8,2200.0,86.8,73.50557386525577,74.76099426386233,73.70517928286853,24554.0,54072.0
2300.0,4.378846,6.125333432108164E-8,2300.0,86.0,71.9904767620991,73.33333333333333,72.0,24751.0,54072.0
2400.0,4.411266,6.170684035867453E-8,2400.0,86.8,73.60506782697722,74.90494296577947,73.75745526838966,24939.0,54072.0
2500.0,4.447293,6.221080278977751E-8,2500.0,87.2,74.36934573750206,75.2895752895753,74.14141414141415,25139.0,54072.0
2600.0,4.480029,6.266872918233275E-8,2600.0,87.1,74.17955020376138,75.42857142857143,73.51129363449692,25334.0,54072.0
2700.0,4.507833,6.305766446515917E-8,2700.0,87.5,74.97357209212929,75.91522157996147,74.64503042596348,25503.0,54072.0
2800.0,4.540893,6.352012312039733E-8,2800.0,89.60000000000001,79.14368795748523,79.6875,79.15831663326654,25708.0,54072.0
2900.0,4.577272,6.402900949120521E-8,2900.0,90.10000000000001,80.08801499633942,80.85106382978724,80.2,25919.0,54072.0
3000.0,4.611982,6.451454911381006E-8,3000.0,90.10000000000001,80.02824288884408,81.21442125237192,80.08048289738431,26123.0,54072.0
