learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.776338,1.4168902167429526E-7,100.0,92.0,83.90342052313883,-299.9999999999995,81.81818181818183,1462.0,308328.0
200.0,3.22196,2.5827013310045006E-7,200.0,94.0,87.9711307137129,36.84210526315782,87.09677419354837,2767.0,311728.0
300.0,17.308496,1.3945598917827013E-6,300.0,90.66666666666666,81.32088058705803,45.098039215686256,80.28169014084506,14145.0,311808.0
400.0,17.927421,1.4450234384710592E-6,400.0,88.75,77.18515514094503,54.999999999999986,74.13793103448275,14591.0,315168.0
500.0,18.466814,1.4889912448906239E-6,500.0,90.4,80.68969956390906,69.4267515923567,79.1304347826087,14971.0,315088.0
600.0,18.794384,1.5156926191184258E-6,600.0,91.5,82.98298298298299,75.82938388625593,82.29166666666667,15235.0,315088.0
700.0,19.261073,1.5541397308268484E-6,700.0,90.14285714285715,80.27766435279706,74.06015037593986,79.52522255192879,15585.0,318448.0
800.0,19.64622,1.585869190345208E-6,800.0,90.375,80.75433027568798,75.00000000000001,80.15463917525774,15850.0,318448.0
900.0,19.938946,1.6099847560044793E-6,900.0,90.88888888888889,81.77021579321791,77.34806629834253,81.06235565819861,16046.0,318448.0
1000.0,20.656527,1.6691010344401003E-6,1000.0,90.3,80.5967402523624,76.04938271604938,80.20408163265307,16567.0,318448.0
1100.0,20.993928,1.696897048354149E-6,1100.0,89.4,78.8006783782919,76.80525164113786,78.714859437751,16757.0,318448.0
1200.0,21.335883,1.7250682331994177E-6,1200.0,88.8,77.59112608593003,77.28194726166329,77.51004016064257,16965.0,318448.0
1300.0,21.647836,1.751038931798604E-6,1300.0,89.2,78.40207340095351,78.94736842105263,78.57142857142857,17158.0,321808.0
1400.0,21.956587,1.776743057622678E-6,1400.0,89.8,79.58039718129405,80.30888030888032,80.6083650190114,17348.0,321808.0
1500.0,22.260968,1.8020833723826542E-6,1500.0,89.1,78.1979069990719,78.66927592954991,79.27756653992397,17540.0,321808.0
1600.0,22.558368,1.8268425052116316E-6,1600.0,88.6,77.193431708332,77.4703557312253,77.99227799227799,17728.0,321808.0
