learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.537989,1.1803419616901214E-8,100.0,95.0,89.87854251012145,-150.0,88.63636363636363,1462.0,84808.0,10.0,9196.300000000001,728.7304104475887,6257.6,991.991397812165,49.8,8.121302577515232,25.4,4.060651288757616,25.4,4.060651288757616,8.3,1.70293863659264,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.912288,2.102796791535285E-8,200.0,92.5,85.02695148732283,21.05263157894739,83.87096774193549,2767.0,95264.0,10.0,19403.3,4848.635639710069,12800.0,3275.7696296697463,102.80000000000001,26.690822392725185,51.900000000000006,13.345411196362592,51.900000000000006,13.345411196362592,10.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
300.0,3.979364,9.334660807624459E-8,300.0,91.66666666666666,83.30365093499555,50.98039215686273,82.39436619718309,14145.0,91144.0,10.0,104634.6,35128.235990755675,72765.59999999999,29956.39261474734,590.0,243.66142265218943,295.5,121.83071132609471,295.5,121.83071132609471,18.0,3.496029493900505,0.0,0.0,0.0,0.0,1.0,0.0
400.0,4.116321,9.658187202902304E-8,400.0,92.0,83.78556408502446,68.00000000000001,81.60919540229887,14591.0,91312.0,10.0,109751.70000000001,35280.55370266553,75826.4,30782.494546233396,615.0,250.427190571986,308.0,125.213595285993,308.0,125.213595285993,18.099999999999998,3.5103022978402048,0.0,0.0,0.0,0.0,1.0,0.0
500.0,4.239064,9.948136605529322E-8,500.0,93.2,86.32935008121976,78.343949044586,85.21739130434783,14971.0,91312.0,10.0,114076.79999999999,35466.34689642814,78828.0,31146.44046721515,639.4,253.46102045263072,320.2,126.73051022631536,320.2,126.73051022631536,18.200000000000003,3.489667287547307,0.0,0.0,0.0,0.0,1.0,0.0
600.0,4.327787,1.0157336726784706E-7,600.0,93.83333333333333,87.65679210034695,82.46445497630333,87.15277777777779,15235.0,91144.0,10.0,117094.90000000001,35584.318267243005,80767.20000000001,31573.532758379202,655.2,256.9140798875072,328.1,128.4570399437536,328.1,128.4570399437536,18.200000000000003,3.489667287547307,0.0,0.0,0.0,0.0,1.0,0.0
700.0,4.440774,1.0424240038212803E-7,700.0,92.57142857142857,85.14043109079033,80.45112781954887,84.56973293768546,15585.0,91312.0,10.0,121081.1,35777.61741477174,83254.40000000001,32247.535220885053,675.4000000000001,262.30567410307134,338.20000000000005,131.15283705153567,338.20000000000005,131.15283705153567,18.200000000000003,3.489667287547307,0.0,0.0,0.0,0.0,1.0,0.0
800.0,4.52712,1.0628585976031092E-7,800.0,91.625,83.2612986234292,78.24675324675326,82.7319587628866,15850.0,91480.0,10.0,124100.4,35975.86176004375,85357.59999999999,32514.850498400472,692.4,264.49625076107725,346.7,132.24812538053862,346.7,132.24812538053862,18.200000000000003,3.489667287547307,0.0,0.0,0.0,0.0,1.0,0.0
900.0,4.596614,1.0793050069361925E-7,900.0,91.77777777777779,83.55782904092274,79.55801104972376,82.90993071593535,16046.0,91480.0,10.0,126333.40000000001,36065.547090448155,87258.4,32713.071812010832,707.8,266.04627834687375,354.4,133.02313917343687,354.4,133.02313917343687,18.400000000000002,3.438345855527367,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,4.757874,1.1174687040762769E-7,1000.0,91.10000000000001,82.20099674418233,78.0246913580247,81.83673469387756,16567.0,91480.0,10.0,132321.5,36367.01523893443,91788.0,33862.640863084234,744.6,275.641957780177,372.8,137.8209788900885,372.8,137.8209788900885,18.500000000000004,3.5668224265054493,0.0,0.0,0.0,0.0,1.0,0.0
