learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,47.357077,5.582676798767513E-7,100.0,93.0,93.0,-249.99999999999946,90.54054054054055,23.0,45568.0
200.0,47.412762,5.589241210619608E-7,200.0,90.5,90.5,-18.750000000000025,79.7872340425532,52.0,45568.0
300.0,47.455395,5.594266990820566E-7,300.0,88.66666666666667,88.66666666666667,-13.33333333333331,69.36936936936938,34.0,45568.0
400.0,47.480785,5.59726008441713E-7,400.0,91.5,91.5,-13.333333333333353,69.36936936936938,134.0,45568.0
500.0,47.513599,5.601128354337479E-7,500.0,91.8,91.8,29.31034482758624,68.2170542635659,234.0,45568.0
600.0,47.549056,5.605308193630641E-7,600.0,92.5,92.5,39.18918918918921,67.39130434782611,77.0,45568.0
700.0,47.573962,5.608244231012131E-7,700.0,93.0,93.0,36.363636363636395,76.09756097560977,67.0,45568.0
800.0,47.629072,5.61474085913764E-7,800.0,92.125,92.125,48.36065573770492,76.31578947368422,3.0,45568.0
900.0,47.652691,5.617525178856318E-7,900.0,92.11111111111111,92.11111111111111,64.14141414141413,77.31629392971246,103.0,45568.0
1000.0,47.6694,5.619494915008543E-7,1000.0,92.80000000000001,92.80000000000001,67.71300448430495,81.90954773869348,203.0,45568.0
1100.0,47.713754,5.624723574850293E-7,1100.0,92.10000000000001,92.10000000000001,67.48971193415639,80.7785888077859,27.0,45568.0
1200.0,47.748196,5.628783761130437E-7,1200.0,92.60000000000001,92.60000000000001,69.03765690376571,84.77366255144034,127.0,45568.0
1300.0,47.772989,5.631706477536093E-7,1300.0,93.2,93.2,75.09157509157511,87.19397363465161,227.0,45568.0
1400.0,47.802446,5.63517900837792E-7,1400.0,92.10000000000001,92.10000000000001,75.76687116564418,85.89285714285714,327.0,45568.0
1500.0,47.824931,5.637829646799297E-7,1500.0,92.10000000000001,92.10000000000001,78.05555555555557,86.74496644295303,427.0,45568.0
1600.0,47.840702,5.63968880706363E-7,1600.0,92.5,92.5,79.67479674796749,88.82265275707898,527.0,45568.0
1700.0,47.85286,5.641122049755518E-7,1700.0,92.9,92.9,82.07070707070709,89.69521044992744,627.0,45568.0
1800.0,47.863934,5.642427505387198E-7,1800.0,94.3,94.3,85.75,91.88034188034189,727.0,45568.0
1900.0,47.87724,5.643996079762775E-7,1900.0,95.1,95.1,87.03703703703702,93.25997248968363,827.0,45568.0
2000.0,47.886676,5.64510844018724E-7,2000.0,95.19999999999999,95.19999999999999,86.7403314917127,93.48710990502035,927.0,45568.0
