learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,52.492599,7.437424791231751E-7,100.0,92.0,92.0,-299.9999999999995,89.1891891891892,218444.0,54768.0
200.0,52.541932,7.444414547582467E-7,200.0,89.5,89.5,-31.250000000000043,77.65957446808511,218544.0,54768.0
300.0,52.572518,7.448748131344715E-7,300.0,88.66666666666667,88.66666666666667,-13.33333333333331,69.36936936936938,218644.0,54768.0
400.0,52.600605,7.452727643772959E-7,400.0,91.5,91.5,-13.333333333333353,69.36936936936938,218744.0,54768.0
500.0,52.630286,7.456933002422252E-7,500.0,91.60000000000001,91.60000000000001,27.58620689655175,67.44186046511629,218844.0,54768.0
600.0,52.658193,7.460887011513112E-7,600.0,92.5,92.5,39.18918918918921,67.39130434782611,218944.0,54768.0
700.0,52.686932,7.464958902696766E-7,700.0,92.14285714285714,92.14285714285714,28.571428571428513,73.17073170731705,219044.0,54768.0
800.0,52.714715,7.468895342821874E-7,800.0,91.625,91.625,45.08196721311475,74.81203007518798,219144.0,54768.0
900.0,52.738031,7.472198875124253E-7,900.0,92.44444444444444,92.44444444444444,65.65656565656563,78.27476038338656,219244.0,54768.0
1000.0,52.761447,7.475516575947402E-7,1000.0,92.9,92.9,68.1614349775785,82.16080402010051,219344.0,54768.0
1100.0,52.781411,7.478345179433622E-7,1100.0,93.10000000000001,93.10000000000001,71.60493827160495,83.2116788321168,219444.0,54768.0
1200.0,52.801137,7.481140061840413E-7,1200.0,94.19999999999999,94.19999999999999,75.73221757322173,88.06584362139917,219544.0,54768.0
1300.0,52.82162,7.484042199949421E-7,1300.0,94.3,94.3,79.12087912087911,89.26553672316383,219644.0,54768.0
1400.0,52.846846,7.487616350998479E-7,1400.0,93.10000000000001,93.10000000000001,78.83435582822086,87.67857142857143,219744.0,54768.0
1500.0,52.873304,7.491365058223405E-7,1500.0,93.5,93.5,81.94444444444446,89.09395973154363,219844.0,54768.0
1600.0,52.892176,7.494038941462833E-7,1600.0,93.8,93.8,83.19783197831977,90.76005961251862,219944.0,54768.0
1700.0,52.909338,7.49647054299712E-7,1700.0,94.8,94.8,86.86868686868686,92.45283018867923,220044.0,54768.0
1800.0,52.925515,7.498762584601838E-7,1800.0,96.0,96.0,89.99999999999999,94.3019943019943,220144.0,54768.0
1900.0,52.941143,7.500976841027537E-7,1900.0,96.0,96.0,89.4179894179894,94.49793672627234,220244.0,54768.0
2000.0,52.952199,7.5025433126837E-7,2000.0,96.3,96.3,89.77900552486187,94.9796472184532,220344.0,54768.0
2100.0,52.962507,7.504003803804515E-7,2100.0,96.89999999999999,96.89999999999999,90.88235294117646,95.86666666666666,220444.0,54768.0
2200.0,52.97298,7.505487672984598E-7,2200.0,97.1,97.1,91.2121212121212,96.15894039735099,220544.0,54768.0
2300.0,52.984283,7.50708914088706E-7,2300.0,98.3,98.3,93.97163120567376,97.8562421185372,220644.0,54768.0
2400.0,52.994163,7.508488990738985E-7,2400.0,99.5,99.5,97.81659388646288,99.42129629629629,220744.0,54768.0
