learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.081462,2.9544239242871603E-10,100.0,45.0,45.0,-2649.9999999999977,-22.222222222222232,232709.0,1056.0
200.0,1.086443,2.9680314163366954E-10,200.0,53.0,53.0,-394.7368421052633,11.320754716981142,232809.0,1056.0
300.0,1.087832,2.9718259970347085E-10,300.0,48.0,48.0,-212.0000000000001,-8.333333333333341,232909.0,1056.0
400.0,1.089092,2.9752681652704875E-10,400.0,44.25,44.25,-112.38095238095242,-25.98870056497175,233009.0,1056.0
500.0,1.090401,2.9788441956043245E-10,500.0,46.6,46.6,-65.8385093167702,-14.592274678111588,233109.0,1056.0
600.0,1.092581,2.984799693028132E-10,600.0,48.333333333333336,48.333333333333336,-50.48543689320386,-6.896551724137942,233209.0,1056.0
700.0,1.093622,2.9876435796419777E-10,700.0,48.42857142857142,48.42857142857142,-35.71428571428572,-6.489675516224186,233309.0,1056.0
800.0,1.094581,2.9902634521325425E-10,800.0,49.0,49.0,-30.351437699680517,-4.081632653061228,233409.0,1056.0
900.0,1.095461,2.9926675061384834E-10,900.0,48.55555555555556,48.55555555555556,-28.254847645429365,-5.949656750572087,233509.0,1056.0
1000.0,1.096299,2.9949568212032317E-10,1000.0,49.3,49.3,-23.35766423357663,-2.8397565922920918,233609.0,1056.0
1100.0,1.097081,2.9970931510130563E-10,1100.0,50.4,50.4,-8.061002178649247,1.5873015873015885,233709.0,1056.0
1200.0,1.097847,2.999185770750046E-10,1200.0,49.1,49.1,-2.828282828282831,-3.6659877800407368,233809.0,1056.0
1300.0,1.09863,3.001324832439423E-10,1300.0,50.7,50.7,6.273764258555138,2.7613412228796865,233909.0,1056.0
1400.0,1.099384,3.0033846696217856E-10,1400.0,51.9,51.9,8.030592734225628,7.32177263969172,234009.0,1056.0
1500.0,1.100123,3.005403528610865E-10,1500.0,50.8,50.8,3.3398821218074684,3.1496062992126013,234109.0,1056.0
1600.0,1.10087,3.0074442426363627E-10,1600.0,49.5,49.5,0.7858546168958749,-2.020202020202022,234209.0,1056.0
1700.0,1.101603,3.0094467103481294E-10,1700.0,49.3,49.3,-1.6032064128256525,-2.8397565922920918,234309.0,1056.0
1800.0,1.102344,3.0114710330963136E-10,1800.0,48.9,48.9,-1.9960079840319378,-4.498977505112479,234409.0,1056.0
1900.0,1.103125,3.013604631026586E-10,1900.0,48.9,48.9,-1.7928286852589657,-4.498977505112479,234509.0,1056.0
2000.0,1.103861,3.015615294377009E-10,2000.0,47.9,47.9,-5.0403225806451655,-8.768267223382054,234609.0,1056.0
2100.0,1.104655,3.01778440674146E-10,2100.0,47.599999999999994,47.599999999999994,-4.800000000000004,-10.084033613445389,234709.0,1056.0
2200.0,1.10555,3.0202294389406836E-10,2200.0,47.599999999999994,47.599999999999994,-5.010020040080165,-10.084033613445389,234809.0,1056.0
2300.0,1.106498,3.0228192607561744E-10,2300.0,46.7,46.7,-9.896907216494844,-14.132762312633835,234909.0,1056.0
2400.0,1.107205,3.0247506995995834E-10,2400.0,46.800000000000004,46.800000000000004,-7.258064516129028,-13.675213675213676,235009.0,1056.0
2500.0,1.107882,3.0266001820564265E-10,2500.0,47.199999999999996,47.199999999999996,-3.1250000000000027,-11.864406779661028,235109.0,1056.0
2600.0,1.108589,3.0285316208998355E-10,2600.0,47.699999999999996,47.699999999999996,-1.9493177387914247,-9.643605870020973,235209.0,1056.0
2700.0,1.109283,3.030427545309066E-10,2700.0,47.0,47.0,-3.313840155945422,-12.765957446808523,235309.0,1056.0
2800.0,1.109936,3.032211462656656E-10,2800.0,46.300000000000004,46.300000000000004,-2.676864244741865,-15.98272138228942,235409.0,1056.0
2900.0,1.110628,3.034101923306782E-10,2900.0,45.6,45.6,-3.2258064516128955,-19.298245614035096,235509.0,1056.0
3000.0,1.111403,3.0362191299597416E-10,3000.0,45.0,45.0,-2.4208566108007474,-22.222222222222232,235609.0,1056.0
3100.0,1.112069,3.03803856174151E-10,3100.0,44.2,44.2,-3.910614525139669,-26.24434389140273,235709.0,1056.0
3200.0,1.112665,3.0396667619546247E-10,3200.0,44.6,44.6,-4.135338345864665,-24.21524663677131,235809.0,1056.0
3300.0,1.113267,3.041311353445052E-10,3300.0,45.300000000000004,45.300000000000004,-2.8195488721804534,-20.7505518763797,235909.0,1056.0
3400.0,1.113872,3.0429641405741366E-10,3400.0,45.4,45.4,-4.59770114942528,-20.264317180616747,236009.0,1056.0
3500.0,1.114477,3.044616927703221E-10,3500.0,44.5,44.5,-8.6105675146771,-24.719101123595518,236109.0,1056.0
3600.0,1.115061,3.046212345361709E-10,3600.0,43.6,43.6,-11.683168316831683,-29.3577981651376,236209.0,1056.0
3700.0,1.115699,3.047955284516016E-10,3700.0,43.3,43.3,-15.010141987829616,-30.946882217090057,236309.0,1056.0
3800.0,1.116318,3.0496463179588314E-10,3800.0,43.7,43.7,-13.73737373737374,-28.832951945080076,236409.0,1056.0
3900.0,1.116904,3.051247199376424E-10,3900.0,43.8,43.8,-15.637860082304531,-28.310502283105038,236509.0,1056.0
4000.0,1.117525,3.052943696578343E-10,4000.0,44.1,44.1,-16.21621621621622,-26.757369614512488,236609.0,1056.0
4100.0,1.11813,3.0545964837074277E-10,4100.0,43.9,43.9,-17.118997912317333,-27.79043280182234,236709.0,1056.0
4200.0,1.118687,3.056118140618006E-10,4200.0,42.9,42.9,-18.464730290456437,-33.10023310023309,236809.0,1056.0
4300.0,1.119223,3.057582428057988E-10,4300.0,41.699999999999996,41.699999999999996,-20.703933747412016,-39.80815347721822,236909.0,1056.0
4400.0,1.119767,3.059068570534388E-10,4400.0,41.0,41.0,-21.900826446281,-43.90243902439024,237009.0,1056.0
4500.0,1.120311,3.0605547130107875E-10,4500.0,41.699999999999996,41.699999999999996,-18.4959349593496,-39.80815347721822,237109.0,1056.0
4600.0,1.120853,3.062035391728083E-10,4600.0,42.4,42.4,-14.059405940594061,-35.84905660377357,237209.0,1056.0
4700.0,1.121389,3.0634996791680653E-10,4700.0,43.8,43.8,-7.456978967495216,-28.310502283105038,237309.0,1056.0
4800.0,1.121926,3.0649666984876E-10,4800.0,43.9,43.9,-8.720930232558135,-27.79043280182234,237409.0,1056.0
4900.0,1.122456,3.0664145946502686E-10,4900.0,44.5,44.5,-7.350096711798836,-24.719101123595518,237509.0,1056.0
5000.0,1.122992,3.067878882090251E-10,5000.0,43.5,43.5,-10.136452241715398,-29.885057471264354,237609.0,1056.0
5100.0,1.123526,3.0693377057711284E-10,5100.0,43.5,43.5,-11.439842209072976,-29.885057471264354,237709.0,1056.0
5200.0,1.124053,3.0707774062951407E-10,5200.0,43.7,43.7,-12.151394422310757,-28.832951945080076,237809.0,1056.0
5300.0,1.124601,3.072274476289749E-10,5300.0,44.2,44.2,-9.197651663405084,-26.24434389140273,237909.0,1056.0
5400.0,1.125133,3.0737278362115226E-10,5400.0,44.3,44.3,-9.861932938856013,-25.733634311512425,238009.0,1056.0
5500.0,1.125659,3.0751648048559826E-10,5500.0,44.0,44.0,-10.453648915187374,-27.272727272727288,238109.0,1056.0
5600.0,1.126187,3.0766072372595473E-10,5600.0,44.1,44.1,-11.133200795228628,-26.757369614512488,238209.0,1056.0
5700.0,1.126719,3.078060597181321E-10,5700.0,43.0,43.0,-17.768595041322317,-32.55813953488371,238309.0,1056.0
5800.0,1.127253,3.0795194208621983E-10,5800.0,41.8,41.8,-21.250000000000007,-39.23444976076554,238409.0,1056.0
5900.0,1.127785,3.0809727807839717E-10,5900.0,40.8,40.8,-22.0618556701031,-45.09803921568627,238509.0,1056.0
6000.0,1.128315,3.0824206769466405E-10,6000.0,41.4,41.4,-20.576131687242803,-41.545893719806756,238609.0,1056.0
6100.0,1.128876,3.0839532613754276E-10,6100.0,40.699999999999996,40.699999999999996,-20.773930753564162,-45.700245700245695,238709.0,1056.0
6200.0,1.129387,3.0853492518266044E-10,6200.0,39.800000000000004,39.800000000000004,-22.109533468559835,-51.25628140703517,238809.0,1056.0
6300.0,1.129918,3.0867998798688255E-10,6300.0,38.7,38.7,-29.052631578947373,-58.397932816537455,238909.0,1056.0
6400.0,1.130437,3.0882177253564203E-10,6400.0,38.1,38.1,-31.42250530785563,-62.46719160104986,239009.0,1056.0
6500.0,1.134405,3.0990578234195716E-10,6500.0,36.9,36.9,-35.40772532188842,-71.00271002710028,239109.0,1056.0
6600.0,1.134945,3.1005330383777626E-10,6600.0,34.9,34.9,-40.60475161987043,-86.5329512893983,239209.0,1056.0
6700.0,1.13547,3.1019672751426703E-10,6700.0,33.900000000000006,33.900000000000006,-41.84549356223176,-94.98525073746313,239309.0,1056.0
6800.0,1.135982,3.1033659974733994E-10,6800.0,33.0,33.0,-46.929824561403514,-103.03030303030305,239409.0,1056.0
6900.0,1.136505,3.104794770479203E-10,6900.0,32.5,32.5,-49.33628318584072,-107.69230769230771,239509.0,1056.0
7000.0,1.137041,3.106259057919185E-10,7000.0,32.2,32.2,-48.6842105263158,-110.55900621118016,239609.0,1056.0
7100.0,1.137568,3.1076987584431976E-10,7100.0,32.300000000000004,32.300000000000004,-48.7912087912088,-109.59752321981426,239709.0,1056.0
7200.0,1.138088,3.109119335810344E-10,7200.0,32.800000000000004,32.800000000000004,-46.08695652173914,-104.87804878048783,239809.0,1056.0
7300.0,1.138617,3.1105645000934607E-10,7300.0,32.9,32.9,-46.50655021834062,-103.95136778115503,239909.0,1056.0
7400.0,1.139128,3.1119604905446375E-10,7400.0,33.1,33.1,-47.356828193832605,-102.11480362537766,240009.0,1056.0
