learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.34115,2.3462614354987937E-8,100.0,94.0,84.00852878464818,-200.0,76.9230769230769,100.0,265848.0
200.0,0.610163,4.220062075803677E-8,200.0,91.0,81.93496587715778,-28.571428571428616,80.64516129032259,200.0,269248.0
300.0,0.841146,5.828966081556346E-8,300.0,88.66666666666667,75.5078518945397,-21.42857142857132,69.09090909090911,300.0,269248.0
400.0,0.976436,6.783083715786535E-8,400.0,91.5,78.56444850739213,-21.428571428571463,69.09090909090911,400.0,272608.0
500.0,1.141552,7.947545888109338E-8,500.0,90.8,75.08935340626017,17.857142857142875,64.06250000000001,500.0,272608.0
600.0,1.290027,8.994649264133637E-8,600.0,91.83333333333333,76.15571776155717,27.941176470588207,64.23357664233578,600.0,272608.0
700.0,1.451609,1.0148233558982609E-7,700.0,91.71428571428571,79.40654324118691,18.30985915492958,71.5686274509804,700.0,275968.0
800.0,1.672858,1.152646133986612E-7,800.0,91.5,80.63174684553819,41.379310344827616,74.33962264150945,800.0,240792.0
900.0,1.832045,1.266294698272314E-7,900.0,92.33333333333333,82.96053209236983,63.6842105263158,77.88461538461539,900.0,275968.0
1000.0,1.94915,1.349899610235459E-7,1000.0,92.9,85.10093591303983,66.97674418604653,82.11586901763226,1000.0,275968.0
1100.0,2.097315,1.455679224948916E-7,1100.0,92.9,85.28668175299863,70.04219409282703,84.49781659388648,1100.0,275968.0
1200.0,2.210868,1.536748253326449E-7,1200.0,93.89999999999999,87.7856359078276,74.04255319148933,87.44855967078188,1200.0,275968.0
1300.0,2.337463,1.6282287795717516E-7,1300.0,94.3,88.54602888812082,78.96678966789666,88.99613899613898,1300.0,279328.0
1400.0,2.523782,1.7615176497027277E-7,1400.0,93.60000000000001,86.99398471793205,79.874213836478,89.13412563667235,1400.0,276528.0
1500.0,2.686075,1.8779009433463216E-7,1500.0,94.19999999999999,87.84943353221156,83.52272727272727,90.5996758508914,1500.0,277200.0
1600.0,2.790853,1.953130249865353E-7,1600.0,94.5,87.33699255875635,84.93150684931506,91.18589743589742,1600.0,277536.0
1700.0,2.871432,2.011125058121979E-7,1700.0,95.39999999999999,88.99453076028652,88.26530612244898,91.95804195804195,1700.0,278208.0
1800.0,2.947635,2.0659703450277446E-7,1800.0,96.39999999999999,91.22618885141063,90.86294416243655,93.29608938547486,1800.0,278208.0
1900.0,3.025357,2.121908895857632E-7,1900.0,96.5,90.98672215412189,90.64171122994652,93.24324324324323,1900.0,278208.0
2000.0,3.084515,2.1645892959708967E-7,2000.0,96.7,91.26309212407467,90.78212290502793,92.46575342465752,2000.0,278880.0
2100.0,3.139968,2.2045966699098546E-7,2100.0,97.3,92.65306122448979,91.91616766467065,92.3076923076923,2100.0,278880.0
2200.0,3.193348,2.2431084478273986E-7,2200.0,97.5,93.09964118134143,92.28395061728394,90.23437499999999,2200.0,278880.0
2300.0,3.250301,2.2841732658445834E-7,2300.0,98.7,96.00457322695253,95.25547445255475,93.71980676328502,2300.0,278712.0
2400.0,3.302381,2.3217245049774646E-7,2400.0,99.4,97.39854318418314,97.3568281938326,95.58823529411764,2400.0,278712.0
