learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.042319,5.945177790191439E-10,100.0,94.0,84.00852878464818,-200.0,76.9230769230769,100.0,54304.0
200.0,0.082765,1.1627227481868531E-9,200.0,92.0,84.00000000000001,-14.285714285714308,82.79569892473118,200.0,54304.0
300.0,0.110805,1.556642229358355E-9,300.0,90.33333333333333,79.37997724687145,-3.571428571428533,73.63636363636363,300.0,54304.0
400.0,0.13442,1.8883971704377066E-9,400.0,92.5,81.50146446739633,-7.142857142857154,72.72727272727273,400.0,54304.0
500.0,0.162212,2.278832627667321E-9,500.0,92.60000000000001,80.9136678771872,33.928571428571466,71.09375000000003,500.0,54304.0
600.0,0.191905,2.6959742522901958E-9,600.0,93.16666666666666,81.04484512251501,39.70588235294113,70.07299270072991,600.0,54304.0
700.0,0.222509,3.1259140455060535E-9,700.0,93.42857142857143,84.22419283719563,35.211267605633786,77.45098039215686,700.0,54304.0
800.0,0.245292,3.445980648199717E-9,800.0,92.5,83.29295798178934,48.27586206896555,77.35849056603776,800.0,54304.0
900.0,0.263787,3.7058073530594508E-9,900.0,93.33333333333333,85.4349291975725,68.42105263157896,80.76923076923077,900.0,54304.0
1000.0,0.284185,3.992368322279718E-9,1000.0,93.89999999999999,87.32957236268163,71.62790697674416,84.63476070528966,1000.0,54304.0
1100.0,0.303905,4.26940441959434E-9,1100.0,93.89999999999999,87.46073771974542,74.26160337552741,86.68122270742357,1100.0,54304.0
1200.0,0.32377,4.548477547036276E-9,1200.0,94.6,89.19758025797778,77.02127659574465,88.88888888888889,1200.0,54304.0
1300.0,0.344888,4.8451534244749275E-9,1300.0,95.39999999999999,90.7460680847982,83.02583025830256,91.11969111969111,1300.0,54304.0
1400.0,0.365582,5.1358727448516415E-9,1400.0,94.69999999999999,89.20570264765783,83.33333333333331,91.00169779286928,1400.0,54304.0
1500.0,0.387066,5.437690367301305E-9,1500.0,95.1,89.75546932494815,86.07954545454544,92.05834683954618,1500.0,54304.0
1600.0,0.407216,5.720767312579685E-9,1600.0,95.5,89.688075749104,87.67123287671231,92.78846153846153,1600.0,54304.0
1700.0,0.425597,5.978992490304841E-9,1700.0,96.0,90.51579830896684,89.79591836734693,93.006993006993,1700.0,54304.0
1800.0,0.443663,6.232792395684454E-9,1800.0,97.39999999999999,93.72514190832915,93.40101522842639,95.1582867783985,1800.0,54304.0
1900.0,0.461681,6.4859179738495085E-9,1900.0,97.39999999999999,93.37414182394585,93.04812834224599,94.98069498069498,1900.0,54304.0
2000.0,0.480017,6.743510969811016E-9,2000.0,97.5,93.46316361962933,93.0167597765363,94.29223744292237,2000.0,54304.0
2100.0,0.498232,6.9994040992524886E-9,2100.0,98.1,94.88559892328398,94.31137724550898,94.58689458689457,2100.0,54304.0
2200.0,0.515309,7.239310054315461E-9,2200.0,98.4,95.63901986971571,95.06172839506173,93.75,2200.0,54304.0
2300.0,0.531093,7.461051320036251E-9,2300.0,98.9,96.63138811308735,95.98540145985402,94.68599033816425,2300.0,54304.0
2400.0,0.546779,7.681415834360652E-9,2400.0,99.7,98.71147304401609,98.6784140969163,97.79411764705883,2400.0,54304.0
2500.0,0.562278,7.899153282245E-9,2500.0,100.0,100.0,100.0,100.0,2500.0,54304.0
2600.0,0.577892,8.118506305747561E-9,2600.0,100.0,100.0,100.0,100.0,2600.0,54304.0
2700.0,0.593369,8.335934686991903E-9,2700.0,100.0,100.0,100.0,100.0,2700.0,54304.0
2800.0,0.608937,8.55464148024718E-9,2800.0,100.0,100.0,100.0,100.0,2800.0,54304.0
2900.0,0.623943,8.765453025698662E-9,2900.0,100.0,100.0,100.0,100.0,2900.0,54304.0
3000.0,0.639228,8.980184098084768E-9,3000.0,100.0,?,?,?,3000.0,54304.0
3100.0,0.654794,9.19886279437277E-9,3100.0,99.9,0.0,-Infinity,-Infinity,3100.0,54304.0
3200.0,0.670437,9.418623223900795E-9,3200.0,99.9,0.0,-Infinity,-Infinity,3200.0,54304.0
3300.0,0.686108,9.638777010970646E-9,3300.0,99.9,0.0,-Infinity,-Infinity,3300.0,54304.0
3400.0,0.701249,9.851485101713075E-9,3400.0,99.9,0.0,-Infinity,-Infinity,3400.0,54304.0
3500.0,0.718162,1.0089087105459638E-8,3500.0,99.8,94.015917659027,93.54838709677419,88.23529411764706,3500.0,54304.0
3600.0,0.73498,1.032535450326072E-8,3600.0,99.8,97.89473684210527,97.67441860465115,96.0,3600.0,54304.0
3700.0,0.754282,1.0596518334415226E-8,3700.0,99.5,96.3742893607147,96.03174603174602,93.42105263157893,3700.0,54304.0
3800.0,0.767182,1.0777743773327935E-8,3800.0,99.5,96.3742893607147,96.03174603174602,93.42105263157893,3800.0,54304.0
3900.0,0.780004,1.0957873430516986E-8,3900.0,99.5,96.3742893607147,96.03174603174602,93.42105263157893,3900.0,54304.0
4000.0,0.793291,1.1144535632597078E-8,4000.0,99.5,97.02189502775593,96.875,94.68085106382979,4000.0,54304.0
4100.0,0.806526,1.1330467313528064E-8,4100.0,99.6,98.09238575775207,97.94871794871794,96.69421487603306,4100.0,54304.0
4200.0,0.824673,1.1585405146082244E-8,4200.0,99.4,97.94969928922909,97.62845849802372,96.66666666666667,4200.0,54304.0
4300.0,0.838447,1.1778908959693381E-8,4300.0,99.4,98.26864810272687,98.125,97.33333333333333,4300.0,54304.0
4400.0,0.855604,1.2019938793447285E-8,4400.0,98.7,96.69836238774433,96.59685863874346,95.14925373134328,4400.0,54304.0
4500.0,0.870425,1.2228151369425987E-8,4500.0,98.5,96.331262534853,96.22166246851384,94.69964664310953,4500.0,54304.0
4600.0,0.884248,1.242234355873532E-8,4600.0,98.3,95.5986827116257,95.17045454545455,93.43629343629343,4600.0,54304.0
4700.0,0.899119,1.2631258558895856E-8,4700.0,97.39999999999999,93.04868593428334,92.21556886227545,89.38775510204081,4700.0,54304.0
4800.0,0.911234,1.28014559381538E-8,4800.0,97.3,92.82937089680668,91.96428571428571,89.06882591093115,4800.0,54304.0
4900.0,0.920866,1.2936770932541957E-8,4900.0,97.3,92.82937089680668,91.96428571428571,89.06882591093115,4900.0,54304.0
5000.0,0.930892,1.3077621029482952E-8,5000.0,97.3,92.45801629068481,91.05960264900662,88.20960698689954,5000.0,54304.0
5100.0,0.938381,1.318283012343778E-8,5100.0,97.1,91.1834808833544,89.21933085501857,85.7142857142857,5100.0,54304.0
5200.0,0.947869,1.331612213618226E-8,5200.0,97.1,89.50203443332705,87.9668049792531,82.09876543209876,5200.0,54304.0
5300.0,0.959592,1.348081250985464E-8,5300.0,96.3,84.49521446889821,82.54716981132074,73.18840579710142,5300.0,54304.0
5400.0,0.970333,1.3631707272595834E-8,5400.0,96.5,84.47700823162077,82.67326732673266,73.48484848484847,5400.0,54304.0
5500.0,0.983619,1.3818355426192288E-8,5500.0,96.0,80.20585906571654,78.37837837837837,66.66666666666664,5500.0,54304.0
5600.0,1.008688,1.417053686247932E-8,5600.0,95.5,80.05071551433687,78.3653846153846,67.15328467153282,5600.0,54304.0
5700.0,1.028298,1.4446027626593913E-8,5700.0,96.39999999999999,83.4388340939202,81.72588832487307,72.7272727272727,5700.0,54304.0
5800.0,1.043888,1.4665043486489194E-8,5800.0,95.7,82.21553121794659,81.93277310924368,71.71052631578945,5800.0,54304.0
5900.0,1.062123,1.49212175856034E-8,5900.0,95.19999999999999,81.09045067759217,80.95238095238093,69.99999999999999,5900.0,54304.0
6000.0,1.088834,1.5296466632021803E-8,6000.0,93.2,74.99650686492969,75.97173144876326,61.581920903954845,60.0,54304.0
6100.0,1.09916,1.544153127405379E-8,6100.0,91.3,72.12324728922613,74.26035502958581,59.9078341013825,160.0,54304.0
6200.0,1.111665,1.5617207561930025E-8,6200.0,90.60000000000001,71.04484967964515,73.21937321937322,58.40707964601771,260.0,54304.0
6300.0,1.123247,1.5779917099409636E-8,6300.0,91.10000000000001,74.17924823896671,75.94594594594597,63.22314049586778,360.0,54304.0
6400.0,1.139826,1.601282690962156E-8,6400.0,90.5,72.2511070347825,73.97260273972603,60.251046025104614,460.0,54304.0
6500.0,1.156507,1.624716966516442E-8,6500.0,90.60000000000001,72.28773584905662,73.81615598885794,59.482758620689665,560.0,54304.0
6600.0,1.169568,1.643065690994263E-8,6600.0,91.0,71.24747616735249,72.39263803680981,56.31067961165049,660.0,54304.0
6700.0,1.182513,1.6612514530618987E-8,6700.0,91.3,71.47092001364149,72.3809523809524,56.28140703517589,760.0,54304.0
6800.0,1.195498,1.6794934090640812E-8,6800.0,92.10000000000001,71.82194321586533,70.95588235294119,55.36723163841811,860.0,54304.0
6900.0,1.209056,1.6985403431786432E-8,6900.0,92.5,72.32635711544708,71.37404580152673,56.14035087719302,960.0,54304.0
7000.0,1.225095,1.7210727060834568E-8,7000.0,94.3,80.12801740367316,79.27272727272727,67.97752808988761,1060.0,54304.0
7100.0,1.239057,1.7406871989369393E-8,7100.0,96.3,85.91549295774647,84.58333333333331,75.33333333333331,1160.0,54304.0
7200.0,1.252432,1.7594770458009507E-8,7200.0,97.0,86.91008098296564,85.50724637681158,76.56249999999997,1260.0,54304.0
7300.0,1.264864,1.776942120658027E-8,7300.0,97.3,84.52154371803984,81.99999999999999,70.3296703296703,1360.0,54304.0
7400.0,1.277732,1.7950197094016606E-8,7400.0,98.4,86.03717601884982,84.4660194174757,71.9298245614035,1460.0,54304.0
7500.0,1.289068,1.8109450704521604E-8,7500.0,99.1,89.63897587032604,88.74999999999999,79.54545454545455,1560.0,54304.0
7600.0,1.301186,1.8279690229230458E-8,7600.0,99.4,92.86801065043741,92.5,86.36363636363636,1660.0,54304.0
7700.0,1.312638,1.8440573463837306E-8,7700.0,99.4,92.86801065043741,92.5,86.36363636363636,1760.0,54304.0
7800.0,1.327015,1.864254851308134E-8,7800.0,99.1,91.6964977672805,91.50943396226414,84.21052631578947,1860.0,54304.0
7900.0,1.339598,1.881932058268123E-8,7900.0,99.2,94.50247388675095,94.52054794520548,89.74358974358972,1960.0,54304.0
8000.0,1.353803,1.9018879292739762E-8,8000.0,98.6,92.67406934516644,91.13924050632912,86.91588785046727,2060.0,54304.0
8100.0,1.379848,1.938477204905616E-8,8100.0,98.1,90.97129823227523,89.20454545454545,84.03361344537814,2160.0,54304.0
8200.0,1.391731,1.95517101801104E-8,8200.0,98.3,91.67988097335605,89.7590361445783,85.0877192982456,2260.0,54304.0
8300.0,1.402982,1.9709769669506285E-8,8300.0,98.3,91.67988097335605,89.7590361445783,85.0877192982456,2360.0,54304.0
8400.0,1.41406,1.9865398771233028E-8,8400.0,98.3,91.67988097335605,89.7590361445783,85.0877192982456,2460.0,54304.0
8500.0,1.425013,2.001927181250519E-8,8500.0,98.3,91.67988097335605,89.7590361445783,85.0877192982456,2560.0,54304.0
8600.0,1.437815,2.0199120500021508E-8,8600.0,98.3,93.00296345077378,91.9431279620853,87.85714285714285,2660.0,54304.0
8700.0,1.456714,2.0464622792270444E-8,8700.0,97.3,89.55706483902408,88.05309734513274,81.63265306122447,2760.0,54304.0
8800.0,1.479451,2.0784043164716823E-8,8800.0,97.3,89.93213513311954,88.70292887029288,82.46753246753245,2860.0,54304.0
8900.0,1.494063,2.0989319607615468E-8,8900.0,97.2,89.63761250592135,88.33333333333331,82.05128205128204,2960.0,54304.0
9000.0,1.511282,2.1231220447354843E-8,9000.0,97.39999999999999,89.33210789341955,88.9830508474576,81.02189781021897,3060.0,54304.0
9100.0,1.525042,2.1424527582195066E-8,9100.0,97.6,89.03017615708787,88.73239436619717,80.16528925619832,3160.0,54304.0
9200.0,1.54307,2.1677793645196488E-8,9200.0,97.1,87.46975458002073,87.16814159292035,77.16535433070865,3260.0,54304.0
9300.0,1.554208,2.183426565594143E-8,9300.0,97.1,87.46975458002073,87.16814159292035,77.16535433070865,3360.0,54304.0
9400.0,1.563448,2.1964073644744023E-8,9400.0,97.1,88.13770084099609,88.01652892561982,78.67647058823528,3460.0,54304.0
9500.0,1.574086,2.2113521413670644E-8,9500.0,97.0,88.49101915861677,88.54961832061068,79.59183673469387,3560.0,54304.0
9600.0,1.585344,2.2271679242451984E-8,9600.0,96.0,84.05040073368156,84.55598455598454,72.41379310344826,3660.0,54304.0
9700.0,1.59813,2.2451303154230116E-8,9700.0,96.39999999999999,86.67456322179447,87.14285714285714,77.77777777777777,3760.0,54304.0
9800.0,1.608582,2.259813790520032E-8,9800.0,96.7,88.11067877215737,88.42105263157893,80.35714285714285,3860.0,54304.0
9900.0,1.619479,2.2751224231388832E-8,9900.0,96.0,85.95673269342844,86.1111111111111,76.60818713450291,3960.0,54304.0
10000.0,1.633028,2.2941567136181724E-8,10000.0,96.39999999999999,85.13907350379365,84.99999999999999,74.10071942446041,4060.0,54304.0
10100.0,1.640392,2.3045020169681973E-8,10100.0,96.8,86.03595740967009,85.65022421524662,75.38461538461536,4160.0,54304.0
10200.0,1.64793,2.3150917639334996E-8,10200.0,97.3,87.52863794250239,87.14285714285714,78.22580645161288,4260.0,54304.0
10300.0,1.655009,2.32503668549988E-8,10300.0,97.3,87.52863794250239,87.14285714285714,78.22580645161288,4360.0,54304.0
10400.0,1.663936,2.3375777668423122E-8,10400.0,97.0,86.73740053050396,86.36363636363636,76.9230769230769,4460.0,54304.0
10500.0,1.674699,2.3526981497804324E-8,10500.0,96.6,85.62148995195885,85.0877192982456,75.36231884057969,4560.0,54304.0
10600.0,1.68365,2.3652729474835927E-8,10600.0,97.6,90.32187820083715,89.91596638655462,82.9787234042553,4660.0,54304.0
10700.0,1.692404,2.377570990059111E-8,10700.0,98.0,92.15784685843344,91.80327868852459,86.30136986301369,4760.0,54304.0
10800.0,1.701809,2.3907835889193746E-8,10800.0,98.0,90.79528718703975,89.99999999999999,83.33333333333331,4860.0,54304.0
10900.0,1.710509,2.403005769683255E-8,10900.0,98.8,92.95510050723276,92.10526315789474,86.95652173913042,4960.0,54304.0
11000.0,1.718154,2.4137458354234694E-8,11000.0,98.8,92.81746791802335,92.10526315789474,86.95652173913042,5060.0,54304.0
11100.0,1.724881,2.42319625036584E-8,11100.0,98.8,92.81746791802335,92.10526315789474,86.95652173913042,5160.0,54304.0
11200.0,1.733052,2.434675266345342E-8,11200.0,98.7,92.47510997916183,91.875,86.45833333333331,5260.0,54304.0
11300.0,1.74265,2.448159000939793E-8,11300.0,97.89999999999999,89.31754364546453,88.58695652173913,80.73394495412842,5360.0,54304.0
11400.0,1.751917,2.461177730725871E-8,11400.0,98.2,91.3525562804462,90.90909090909089,84.6153846153846,5460.0,54304.0
11500.0,1.76233,2.4758064167367086E-8,11500.0,98.7,94.97083081874874,94.27312775330397,91.39072847682118,5560.0,54304.0
