learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.105569,1.2464638075066937E-9,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,23.0,45640.0
200.0,0.172041,2.0313054012755554E-9,200.0,92.0,83.92282958199357,-14.285714285714308,82.79569892473118,52.0,45640.0
300.0,0.22879,2.7013465555177795E-9,300.0,88.0,74.06713730010085,-28.571428571428502,67.27272727272727,41.0,45640.0
400.0,0.259926,3.068972441057364E-9,400.0,91.0,77.3035337137093,-28.571428571428616,67.27272727272728,141.0,45640.0
500.0,0.29573,3.4917138723863493E-9,500.0,91.4,76.89563273727647,23.214285714285737,66.40625000000001,241.0,45640.0
600.0,0.333474,3.9373610789577164E-9,600.0,92.0,76.70355270821202,29.41176470588236,64.96350364963506,341.0,45640.0
700.0,0.368858,4.3551435280177325E-9,700.0,91.14285714285715,77.85601306189092,12.676056338028213,69.60784313725492,50.0,45640.0
800.0,0.418251,4.488852566315068E-9,800.0,90.375,78.0053415599069,33.620689655172455,70.94339622641512,0.0,10464.0
900.0,0.451312,4.879207120587428E-9,900.0,90.55555555555556,78.8182522981504,55.26315789473685,72.75641025641025,100.0,45640.0
1000.0,0.471845,5.121642318036821E-9,1000.0,91.3,81.64913139221923,59.534883720930246,78.08564231738036,200.0,45640.0
1100.0,0.505897,5.52369770904382E-9,1100.0,90.5,80.25489886351356,59.915611814346,79.25764192139738,24.0,45640.0
1200.0,0.534455,5.8608848891324466E-9,1200.0,90.60000000000001,81.17047530527867,60.00000000000001,80.65843621399178,21.0,45640.0
1300.0,0.560299,6.166027598083019E-9,1300.0,91.5,82.94077035467143,68.63468634686349,83.5907335907336,121.0,45640.0
1400.0,0.598121,6.612595758504338E-9,1400.0,90.10000000000001,79.95464485300073,68.8679245283019,83.19185059422752,22.0,45640.0
