learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.128548,1.517779173122512E-9,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,23.0,45640.0
200.0,0.204536,2.4149771365854476E-9,200.0,92.0,83.92282958199357,-14.285714285714308,82.79569892473118,52.0,45640.0
300.0,0.260313,3.0735417890052E-9,300.0,89.66666666666666,77.62702078521939,-10.714285714285717,71.8181818181818,34.0,45640.0
400.0,0.293598,3.4665411338210105E-9,400.0,92.25,80.40083454510969,-10.714285714285811,71.81818181818181,134.0,45640.0
500.0,0.343413,4.054711852222681E-9,500.0,91.4,76.65276691859961,23.214285714285737,66.40625000000001,19.0,45640.0
600.0,0.367756,4.342132103112009E-9,600.0,92.33333333333333,77.67423801203648,32.352941176470566,66.42335766423358,119.0,45640.0
700.0,0.400252,4.725815645522541E-9,700.0,92.14285714285714,80.50040518638572,22.535211267605575,73.03921568627449,59.0,45640.0
800.0,0.46038,5.435752992828687E-9,800.0,91.375,80.36565412250123,40.51724137931032,73.96226415094338,3.0,45640.0
900.0,0.489472,5.779245164659289E-9,900.0,91.55555555555556,81.13259592309602,60.00000000000001,75.64102564102565,103.0,45640.0
1000.0,0.50687,5.984665101601018E-9,1000.0,92.30000000000001,83.80025078053337,64.18604651162792,80.60453400503779,203.0,45640.0
1100.0,0.54115,6.38941251155403E-9,1100.0,91.4,82.17165791143046,63.71308016877638,81.22270742358079,27.0,45640.0
1200.0,0.55898,6.599933115972414E-9,1200.0,91.8,83.5834521197367,65.10638297872342,83.12757201646092,127.0,45640.0
1300.0,0.578754,6.833406724035741E-9,1300.0,92.4,84.72994096916653,71.95571955719558,85.32818532818534,227.0,45640.0
1400.0,0.608946,7.189886706570785E-9,1400.0,91.2,82.14285714285715,72.32704402515724,85.05942275042447,327.0,45640.0
1500.0,0.631735,7.458958723064926E-9,1500.0,91.9,83.0787485794505,76.98863636363637,86.87196110210698,427.0,45640.0
1600.0,0.648587,7.657931983056996E-9,1600.0,92.2,82.16792329463621,78.63013698630138,87.50000000000001,527.0,45640.0
1700.0,0.661046,7.805036649935776E-9,1700.0,93.10000000000001,83.62507594167681,82.39795918367349,87.93706293706295,627.0,45640.0
1800.0,0.671308,7.926201116707591E-9,1800.0,94.5,86.71330698541844,86.04060913705582,89.75791433891993,727.0,45640.0
1900.0,0.683738,8.0729633776678E-9,1900.0,95.19999999999999,87.65336831545642,87.16577540106951,90.73359073359073,827.0,45640.0
2000.0,0.692826,8.18026630828778E-9,2000.0,95.3,87.58767852615566,86.87150837988825,89.26940639269405,927.0,45640.0
2100.0,0.702261,8.291666302829982E-9,2100.0,96.7,91.09311740890688,90.11976047904191,90.59829059829059,1027.0,45640.0
2200.0,0.711309,8.398496949424347E-9,2200.0,97.39999999999999,92.91340728828803,91.97530864197529,89.84374999999999,1127.0,45640.0
2300.0,0.720052,8.50172643032339E-9,2300.0,98.3,94.83106711099218,93.79562043795619,91.78743961352656,1227.0,45640.0
2400.0,0.72866,8.603361952635978E-9,2400.0,99.5,97.83894056222123,97.79735682819383,96.32352941176471,1327.0,45640.0
2500.0,0.737404,8.70660324063566E-9,2500.0,100.0,100.0,100.0,100.0,1427.0,45640.0
2600.0,0.744956,8.795770464671982E-9,2600.0,100.0,100.0,100.0,100.0,1527.0,45640.0
2700.0,0.752962,8.890298112399048E-9,2700.0,100.0,100.0,100.0,100.0,1627.0,45640.0
2800.0,0.760766,8.982440725796753E-9,2800.0,100.0,100.0,100.0,100.0,1727.0,45640.0
2900.0,0.768973,9.07934160075254E-9,2900.0,100.0,100.0,100.0,100.0,1827.0,45640.0
3000.0,0.776448,9.167599678039552E-9,3000.0,100.0,?,?,?,1927.0,45640.0
3100.0,0.784441,9.261973833458293E-9,3100.0,100.0,?,?,?,2027.0,45640.0
3200.0,0.792789,9.360539509604377E-9,3200.0,100.0,?,?,?,2127.0,45640.0
3300.0,0.802978,9.480842058029441E-9,3300.0,100.0,?,?,?,2227.0,45640.0
3400.0,0.812478,9.59300951411327E-9,3400.0,100.0,?,?,?,2327.0,45640.0
3500.0,0.825545,9.747292898181414E-9,3500.0,100.0,100.0,100.0,100.0,2427.0,45640.0
3600.0,0.83851,9.900371957984238E-9,3600.0,100.0,100.0,100.0,100.0,2527.0,45640.0
