learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.083808,9.895294904708862E-10,100.0,91.0,75.05543237250555,-349.9999999999995,65.3846153846154,100.0,45640.0
200.0,0.141963,1.676171428213517E-9,200.0,89.0,77.8672032193159,-57.14285714285723,76.34408602150538,200.0,45640.0
300.0,0.180153,2.1270846016705035E-9,300.0,88.0,73.96963123644251,-28.571428571428502,67.27272727272727,300.0,45640.0
400.0,0.210048,2.480057875315348E-9,400.0,91.0,77.17546362339516,-28.571428571428616,67.27272727272728,400.0,45640.0
500.0,0.240394,2.8383561513490147E-9,500.0,91.60000000000001,77.3741030447993,25.00000000000002,67.18750000000001,500.0,45640.0
600.0,0.270388,3.1924983279572594E-9,600.0,92.66666666666666,78.53239656518343,35.29411764705877,67.88321167883211,600.0,45640.0
700.0,0.305046,3.601708821952343E-9,700.0,92.42857142857143,81.15411967895966,25.352112676056315,74.01960784313727,700.0,45640.0
800.0,0.336762,3.976182825863362E-9,800.0,92.125,82.0387449929438,45.68965517241381,76.22641509433963,800.0,45640.0
900.0,0.360917,4.2613833418322936E-9,900.0,92.88888888888889,84.18338486547638,66.3157894736842,79.48717948717949,900.0,45640.0
1000.0,0.382652,4.51801067425145E-9,1000.0,93.4,86.1442343219912,69.30232558139538,83.37531486146096,1000.0,45640.0
1100.0,0.402761,4.7554396610293125E-9,1100.0,93.7,86.92522891226207,73.41772151898736,86.24454148471617,1100.0,45640.0
1200.0,0.420299,4.962512592060699E-9,1200.0,94.8,89.58950622227204,77.87234042553189,89.30041152263374,1200.0,45640.0
1300.0,0.43852,5.17764977282948E-9,1300.0,95.0,89.95140499455366,81.54981549815497,90.34749034749035,1300.0,45640.0
1400.0,0.469082,5.538498382601474E-9,1400.0,94.3,88.41369217009512,82.07547169811319,90.3225806451613,1400.0,45640.0
1500.0,0.495764,5.853535441888704E-9,1500.0,94.3,88.07331771007699,83.80681818181816,90.76175040518638,1500.0,45640.0
1600.0,0.514452,6.074186538656553E-9,1600.0,94.5,87.33699255875635,84.93150684931506,91.18589743589742,1600.0,45640.0
1700.0,0.530657,6.265520604534282E-9,1700.0,95.39999999999999,88.99453076028652,88.26530612244898,91.95804195804195,1700.0,45640.0
1800.0,0.544738,6.431776388651796E-9,1800.0,96.39999999999999,91.22618885141063,90.86294416243655,93.29608938547486,1800.0,45640.0
1900.0,0.558812,6.5979495230648265E-9,1900.0,96.5,90.98672215412189,90.64171122994652,93.24324324324323,1900.0,45640.0
2000.0,0.568899,6.71704774722457E-9,2000.0,96.7,91.26309212407467,90.78212290502793,92.46575342465752,2000.0,45640.0
2100.0,0.579131,6.8378580009771724E-9,2100.0,97.3,92.65306122448979,91.91616766467065,92.3076923076923,2100.0,45640.0
2200.0,0.588681,6.95061581209302E-9,2200.0,97.5,93.09964118134143,92.28395061728394,90.23437499999999,2200.0,45640.0
2300.0,0.597744,7.057623565196992E-9,2300.0,98.7,96.00457322695253,95.25547445255475,93.71980676328502,2300.0,45640.0
2400.0,0.606677,7.163096395217711E-9,2400.0,99.4,97.39854318418314,97.3568281938326,95.58823529411764,2400.0,45640.0
2500.0,0.615789,7.270682696253062E-9,2500.0,100.0,100.0,100.0,100.0,2500.0,45640.0
2600.0,0.624775,7.376781302607723E-9,2600.0,100.0,100.0,100.0,100.0,2600.0,45640.0
2700.0,0.634191,7.487956962237756E-9,2700.0,100.0,100.0,100.0,100.0,2700.0,45640.0
2800.0,0.64299,7.591847640772661E-9,2800.0,100.0,100.0,100.0,100.0,2800.0,45640.0
2900.0,0.650874,7.684934822221598E-9,2900.0,100.0,100.0,100.0,100.0,2900.0,45640.0
3000.0,0.659221,7.783488691267042E-9,3000.0,100.0,?,?,?,3000.0,45640.0
3100.0,0.667641,7.882904478659234E-9,3100.0,100.0,?,?,?,3100.0,45640.0
3200.0,0.677186,7.99560325427188E-9,3200.0,100.0,?,?,?,3200.0,45640.0
3300.0,0.688365,8.127594832330943E-9,3300.0,100.0,?,?,?,3300.0,45640.0
3400.0,0.698948,8.252549378408328E-9,3400.0,100.0,?,?,?,3400.0,45640.0
3500.0,0.71274,8.415392910440764E-9,3500.0,100.0,100.0,100.0,100.0,3500.0,45640.0
3600.0,0.728371,8.599949700550902E-9,3600.0,100.0,100.0,100.0,100.0,3600.0,45640.0
3700.0,0.743492,8.778484869334434E-9,3700.0,99.7,97.82457361642881,97.61904761904762,96.05263157894737,3700.0,45640.0
