learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.252489,1.7363902969906727E-8,100.0,95.0,68.11224489795914,68.74999999999997,49.99999999999994,100.0,265832.0
200.0,0.388979,2.6871066170020236E-8,200.0,97.5,69.40024479804158,68.74999999999996,50.0,200.0,269248.0
300.0,0.517775,3.584230649181538E-8,300.0,96.33333333333334,62.83783783783788,63.333333333333364,45.00000000000005,300.0,269248.0
400.0,0.676559,4.70403709780011E-8,400.0,94.75,57.80590717299575,59.61538461538463,36.36363636363639,400.0,272608.0
500.0,0.815528,5.6841004691604116E-8,500.0,92.4,69.2357512953368,63.809523809523824,51.898734177215225,500.0,272608.0
600.0,0.966499,6.748806606771217E-8,600.0,91.16666666666666,73.78832838773491,67.08074534161489,61.02941176470586,600.0,272608.0
700.0,1.101836,7.727735938918259E-8,700.0,91.0,76.67505870903591,70.83333333333334,67.01570680628274,700.0,279600.0
800.0,1.223181,8.616858917598923E-8,800.0,91.25,79.60655212346775,73.07692307692307,72.86821705426357,800.0,283232.0
900.0,1.339719,9.457615161314606E-8,900.0,91.0,80.38234249362225,73.26732673267328,75.3048780487805,900.0,278872.0
1000.0,1.447791,1.0238703066483139E-7,1000.0,91.2,81.50677734580225,75.00000000000001,77.66497461928935,1000.0,279376.0
1100.0,1.561499,1.1060525032588176E-7,1100.0,90.8,81.4218729175333,76.3496143958869,79.51002227171493,1100.0,279376.0
1200.0,1.65713,1.1752527152705523E-7,1200.0,90.60000000000001,81.19796938069312,78.24074074074076,81.4595660749507,1200.0,279712.0
1300.0,1.757259,1.2484910764421025E-7,1300.0,90.9,81.58535894384951,80.51391862955033,83.2412523020258,1300.0,282736.0
1400.0,1.849232,1.3157638125328553E-7,1400.0,91.8,82.67439698449994,83.36713995943205,85.30465949820788,1400.0,282736.0
1500.0,1.942563,1.3841109707330661E-7,1500.0,93.10000000000001,85.53919924887667,86.06060606060608,88.02083333333334,1500.0,283072.0
1600.0,2.034012,1.4510799228524166E-7,1600.0,94.39999999999999,88.67057262162949,87.41573033707863,90.9090909090909,1600.0,283072.0
1700.0,2.112065,1.5082388597437075E-7,1700.0,95.39999999999999,90.80717040708247,88.20512820512819,92.77864992150707,1700.0,283072.0
1800.0,2.195619,1.569426230030755E-7,1800.0,95.3,90.47008824292759,86.87150837988825,91.88255613126081,1800.0,283072.0
1900.0,2.333693,1.670599112059507E-7,1900.0,94.69999999999999,88.85627538876881,85.19553072625698,90.11194029850745,1900.0,283240.0
2000.0,2.512598,1.8013018845477035E-7,2000.0,92.60000000000001,83.7388369312988,78.48837209302326,85.37549407114625,2000.0,282400.0
2100.0,2.640666,1.895031609944999E-7,2100.0,92.80000000000001,83.24022346368716,78.69822485207102,84.81012658227849,2100.0,282904.0
2200.0,2.762542,1.9848803343665267E-7,2200.0,92.4,82.37713851105372,78.03468208092487,84.00000000000001,2200.0,284968.0
2300.0,2.87504,2.0680110377776953E-7,2300.0,92.60000000000001,83.15356211099527,79.21348314606743,85.05050505050505,2300.0,285640.0
2400.0,2.999931,2.160408141836524E-7,2400.0,92.10000000000001,81.78682749589629,78.05555555555557,85.06616257088848,2400.0,285976.0
2500.0,3.130266,2.2570027741293112E-7,2500.0,91.10000000000001,80.32731806084827,75.0700280112045,83.01526717557253,2500.0,286480.0
2600.0,3.253164,2.3488868575543166E-7,2600.0,90.10000000000001,79.42095985632089,75.18796992481204,79.58762886597938,2600.0,289000.0
2700.0,3.381703,2.4449884068013895E-7,2700.0,89.7,79.30313868906482,77.36263736263737,78.08510638297874,2700.0,289000.0
2800.0,3.501242,2.5345170115638114E-7,2800.0,90.2,80.39647136484568,80.32128514056225,80.82191780821918,2800.0,289504.0
2900.0,3.595105,2.604815603896148E-7,2900.0,91.9,83.7966296989774,83.63636363636364,85.58718861209964,2900.0,289504.0
3000.0,3.695867,2.680281194816861E-7,3000.0,94.69999999999999,89.39448513226877,88.67521367521366,90.27522935779817,3000.0,289504.0
3100.0,3.793482,2.7533898434912167E-7,3100.0,95.1,90.12439234781486,88.4160756501182,90.44834307992203,3100.0,289504.0
3200.0,3.894451,2.829010466838049E-7,3200.0,95.3,90.21061752257805,87.63157894736841,89.73799126637554,3200.0,289504.0
3300.0,3.993922,2.903552396512694E-7,3300.0,94.39999999999999,87.48910882241235,83.3827893175074,86.06965174129351,3300.0,289672.0
3400.0,4.161985,3.0306716872793103E-7,3400.0,91.7,80.36841159162513,75.07507507507508,77.98408488063662,3400.0,292376.0
3500.0,4.316546,3.1434518951922656E-7,3500.0,90.7,76.62235807509,72.32142857142858,74.09470752089136,3500.0,282056.0
3600.0,4.490908,3.2698974469055734E-7,3600.0,90.10000000000001,74.34993937258399,70.96774193548387,71.71428571428572,3600.0,280320.0
3700.0,4.652731,3.3870154062906904E-7,3700.0,88.7,70.71719548474704,65.54878048780488,67.621776504298,3700.0,279760.0
3800.0,4.78731,3.4849449609716735E-7,3800.0,87.5,68.72998719180275,60.06389776357827,65.37396121883657,3800.0,281280.0
3900.0,4.937308,3.5942900865028306E-7,3900.0,85.9,67.21753606071033,56.21118012422359,58.52941176470588,3900.0,281784.0
4000.0,5.097423,3.7113582182675605E-7,4000.0,84.7,66.84321391111379,57.38161559888578,59.09090909090908,4000.0,282624.0
4100.0,5.235769,3.8126301940530543E-7,4100.0,83.89999999999999,66.78001353559696,60.731707317073166,62.02830188679245,4100.0,282960.0
4200.0,5.389529,3.925319172566136E-7,4200.0,83.3,66.23534169025473,63.053097345132734,63.296703296703285,4200.0,283296.0
4300.0,5.529089,4.029033747936289E-7,4300.0,83.3,66.52689473810803,65.91836734693877,65.13569937369519,4300.0,287264.0
4400.0,5.634962,4.1078057222068315E-7,4400.0,86.5,72.78664731494919,70.5240174672489,70.06651884700665,4400.0,287600.0
4500.0,5.725157,4.1749128998567666E-7,4500.0,88.9,77.23450510685427,72.45657568238214,72.92682926829269,4500.0,287600.0
4600.0,5.806342,4.235351712360151E-7,4600.0,90.7,80.11766919222151,73.42857142857143,74.23822714681441,4600.0,287768.0
4700.0,5.917108,4.3178123332353106E-7,4700.0,91.10000000000001,79.5332664906681,73.1117824773414,71.9242902208202,4700.0,287768.0
4800.0,6.04697,4.414489121673008E-7,4800.0,91.0,78.14855100613784,73.6842105263158,69.59459459459461,4800.0,287768.0
4900.0,6.197629,4.525014543740286E-7,4900.0,91.8,80.05836575875487,76.57142857142858,72.66666666666669,4900.0,283576.0
5000.0,6.33203,4.6239633612955613E-7,5000.0,92.2,81.47866722388967,77.84090909090911,75.15923566878982,5000.0,284584.0
5100.0,6.455321,4.7147327652821943E-7,5100.0,92.80000000000001,83.55383378408013,79.00874635568515,78.69822485207102,5100.0,284584.0
5200.0,6.587508,4.812453745098578E-7,5200.0,93.5,85.68597225280776,81.15942028985509,82.19178082191783,5200.0,285760.0
5300.0,6.721202,4.911346900214752E-7,5300.0,93.7,86.44869864486986,81.68604651162792,83.55091383812012,5300.0,285928.0
5400.0,6.845216,5.003079780812066E-7,5400.0,93.60000000000001,86.6937227637138,83.46253229974162,84.68899521531101,5400.0,285928.0
5500.0,6.95904,5.087374080758957E-7,5500.0,93.60000000000001,87.08578669755317,85.65022421524665,86.29550321199144,5500.0,286264.0
5600.0,7.067921,5.168007757949334E-7,5600.0,93.0,86.02013101134368,86.35477582846005,86.59003831417625,5600.0,286264.0
5700.0,7.175446,5.247637226266995E-7,5700.0,93.89999999999999,87.78504889985341,88.74538745387453,89.37282229965155,5700.0,286264.0
5800.0,7.286578,5.329937919808761E-7,5800.0,95.19999999999999,90.40057596544206,90.5697445972495,92.29534510433386,5800.0,286264.0
5900.0,7.388,5.405047707632186E-7,5900.0,95.6,91.09646975025598,90.55793991416307,92.3076923076923,5900.0,286264.0
6000.0,7.484285,5.476436896932624E-7,6000.0,96.3,92.21295259582277,91.53318077803203,92.80155642023345,6000.0,286600.0
6100.0,7.595941,5.559319758063391E-7,6100.0,95.8,90.53307787670461,90.30023094688221,90.90909090909089,6100.0,286936.0
6200.0,7.72929,5.658595230906376E-7,6200.0,94.5,87.0912624275937,87.29792147806003,87.49999999999999,6200.0,287776.0
6300.0,7.877574,5.766736922889122E-7,6300.0,94.5,86.90363935956414,87.32718894009216,87.38532110091742,6300.0,281904.0
6400.0,8.022268,5.87238624516047E-7,6400.0,93.7,85.23898781630741,85.51724137931036,85.68181818181819,6400.0,282240.0
6500.0,8.208349,6.010002989922135E-7,6500.0,92.30000000000001,81.98510144493525,82.00934579439254,82.25806451612905,6500.0,285872.0
6600.0,8.423906,6.166893768331245E-7,6600.0,92.2,81.76726616518857,81.20481927710844,81.86046511627907,6600.0,281344.0
6700.0,8.625469,6.313774374106694E-7,6700.0,91.2,80.44792036971205,78.79518072289157,79.19621749408985,6700.0,281680.0
6800.0,8.837465,6.468257592266634E-7,6800.0,90.60000000000001,80.31603238222078,79.06458797327394,76.14213197969544,6800.0,281680.0
6900.0,9.012603,6.596186556480827E-7,6900.0,90.10000000000001,79.89831389493519,79.62962962962963,77.13625866050809,6900.0,282352.0
7000.0,9.193979,6.728672046855922E-7,7000.0,88.9,77.76139377960139,78.57142857142857,76.33262260127933,7000.0,282352.0
7100.0,9.35835,6.848736292061708E-7,7100.0,89.60000000000001,79.19467383650215,80.0,77.77777777777779,7100.0,282352.0
7200.0,9.486608,6.942533403904075E-7,7200.0,90.9,81.76469645233172,82.12180746561887,80.04385964912282,7200.0,282688.0
7300.0,9.613445,7.035401566968198E-7,7300.0,90.9,81.7017751288919,82.15686274509805,79.27107061503418,7300.0,283024.0
7400.0,9.74973,7.135305878582102E-7,7400.0,90.5,80.64889352410131,80.80808080808082,77.32696897374703,7400.0,283360.0
7500.0,9.958684,7.287572366475233E-7,7500.0,89.8,79.32208887447291,79.3103448275862,76.81818181818181,7500.0,281680.0
7600.0,10.164167,7.43766673408035E-7,7600.0,89.7,79.05499385884286,79.0224032586558,75.990675990676,7600.0,282352.0
7700.0,10.354059,7.574883232120841E-7,7700.0,90.5,80.28161997907776,80.33126293995859,76.30922693266834,7700.0,279320.0
7800.0,10.539827,7.708554550281004E-7,7800.0,90.3,79.48687583004137,79.36170212765958,74.87046632124354,7800.0,278144.0
7900.0,10.711439,7.832640005668835E-7,7900.0,90.4,80.0029995500675,79.1304347826087,76.35467980295567,7900.0,279496.0
8000.0,10.830723,7.919044802772505E-7,8000.0,91.60000000000001,82.35153226518084,81.77874186550976,78.94736842105264,8000.0,280000.0
8100.0,10.970781,8.020740982579691E-7,8100.0,90.4,80.33689454021106,79.48717948717949,77.9816513761468,8100.0,280672.0
8200.0,11.106803,8.119624855886734E-7,8200.0,89.7,79.22482371355268,78.17796610169492,78.03837953091684,8200.0,281008.0
8300.0,11.249019,8.22399758855916E-7,8300.0,89.8,79.61695869036961,76.81818181818181,79.22606924643586,8300.0,283688.0
8400.0,11.399523,8.334714554850429E-7,8400.0,91.0,81.67991141219386,78.67298578199053,81.13207547169812,8400.0,284360.0
8500.0,11.520477,8.423851025208006E-7,8500.0,92.5,84.35061303865191,80.36649214659687,82.1002386634845,8500.0,284864.0
8600.0,11.672672,8.536076547288236E-7,8600.0,91.5,81.6125571092344,76.7123287671233,79.21760391198045,8600.0,285032.0
8700.0,11.818168,8.64348883206646E-7,8700.0,91.60000000000001,80.88824171823809,77.11171662125341,79.36117936117937,8700.0,285368.0
8800.0,11.978041,8.761792857758704E-7,8800.0,91.9,81.14928832745316,78.85117493472585,80.1955990220049,8800.0,286040.0
8900.0,12.11453,8.860897584983875E-7,8900.0,92.60000000000001,83.10810810810811,81.63771712158811,80.7792207792208,8900.0,280672.0
9000.0,12.247019,8.957385820315947E-7,9000.0,92.0,79.56545949618642,78.14207650273225,77.40112994350284,9000.0,281512.0
9100.0,12.374083,9.050199292600158E-7,9100.0,93.0,80.42231855684521,78.97897897897899,76.97368421052634,9100.0,282352.0
9200.0,12.540596,9.172045262758106E-7,9200.0,92.60000000000001,81.07736290038,75.0841750841751,77.16049382716051,9200.0,282856.0
9300.0,12.682921,9.276253508838519E-7,9300.0,93.2,84.96905393457119,76.87074829931974,81.11111111111113,9300.0,283024.0
9400.0,12.811325,9.37026900597331E-7,9400.0,92.5,84.45789124668435,75.32894736842107,82.14285714285715,9400.0,283024.0
9500.0,12.973293,9.489000352368591E-7,9500.0,92.2,84.0188168187611,76.21951219512196,81.98614318706699,9500.0,283360.0
9600.0,13.140865,9.611839735321705E-7,9600.0,93.30000000000001,86.27127951674906,79.94011976047905,84.30913348946137,9600.0,283360.0
9700.0,13.308351,9.734616075601018E-7,9700.0,93.0,85.54340283514523,78.2608695652174,83.17307692307693,9700.0,283360.0
9800.0,13.477609,9.858691388182345E-7,9800.0,92.9,85.22679983354142,77.02265372168287,82.25000000000001,9800.0,283360.0
9900.0,13.639926,9.977678570544557E-7,9900.0,92.0,83.26191751472952,72.972972972973,79.7979797979798,9900.0,283360.0
10000.0,13.806286,1.0099774097464981E-6,10000.0,92.0,83.75825791074351,75.75757575757576,81.77676537585423,10000.0,283696.0
10100.0,13.969574,1.0219615011144847E-6,10100.0,91.60000000000001,83.16909846478134,77.35849056603774,82.60869565217392,10100.0,283696.0
10200.0,14.148378,1.0350998905694322E-6,10200.0,92.10000000000001,84.05071468949366,80.91787439613528,82.63736263736264,10200.0,284032.0
10300.0,14.32634,1.0482073486078947E-6,10300.0,90.8,81.17716380777793,78.80184331797237,78.50467289719627,10300.0,284704.0
10400.0,14.482213,1.0597014317102733E-6,10400.0,91.3,82.16116465039984,79.5294117647059,79.5294117647059,10400.0,285040.0
10500.0,14.645743,1.0717601423896852E-6,10500.0,91.8,83.56054530874098,80.79625292740047,82.91666666666667,10500.0,285040.0
10600.0,14.794209,1.0827080329279936E-6,10600.0,92.30000000000001,84.56059864774906,81.83962264150945,84.56913827655312,10600.0,285040.0
10700.0,14.944494,1.0937900566206214E-6,10700.0,92.10000000000001,83.75862437604337,81.54205607476636,84.26294820717132,10700.0,285040.0
10800.0,15.085448,1.104184011889415E-6,10800.0,92.2,83.44904853248232,81.38424821002388,84.33734939759037,10800.0,285040.0
10900.0,15.236158,1.1152973751040799E-6,10900.0,92.2,82.57037768650815,80.92909535452324,83.71607515657621,10900.0,285040.0
11000.0,15.393744,1.1269177749152814E-6,11000.0,91.60000000000001,80.88650222990809,79.6116504854369,82.20338983050848,11000.0,285040.0
11100.0,15.561099,1.1392585412930284E-6,11100.0,91.5,80.32698859428234,78.90818858560795,81.5217391304348,11100.0,285040.0
11200.0,15.736892,1.1522215262283054E-6,11200.0,91.8,80.37667217077083,79.39698492462313,81.32118451025057,11200.0,285040.0
11300.0,15.912223,1.1651504432596266E-6,11300.0,92.0,80.92904173202444,80.00000000000001,80.81534772182255,11300.0,285040.0
11400.0,16.082219,1.1777007337514726E-6,11400.0,91.4,80.32684881869591,79.95337995337997,78.60696517412936,11400.0,285376.0
11500.0,16.254872,1.1904621901094086E-6,11500.0,90.2,78.48281918981228,77.57437070938215,74.27821522309712,11500.0,285712.0
11600.0,16.442,1.2042935501515039E-6,11600.0,89.60000000000001,77.94451348565758,76.47058823529413,73.53689567430027,11600.0,285712.0
11700.0,16.634997,1.2185670988468662E-6,11700.0,89.0,77.16402046103768,75.92997811816193,73.30097087378641,11700.0,285880.0
