learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.105719,1.2462657027774388E-9,100.0,95.0,95.0,68.74999999999997,54.5454545454545,100.0,45568.0
200.0,0.150722,1.776782406700982E-9,200.0,97.5,97.5,68.74999999999996,54.54545454545454,200.0,45568.0
300.0,0.199802,2.3553607198927138E-9,300.0,96.33333333333334,96.33333333333334,63.333333333333364,47.61904761904764,300.0,45568.0
400.0,0.283092,3.337222735087077E-9,400.0,94.5,94.5,57.69230769230765,35.294117647058734,51.0,45568.0
500.0,0.338802,3.993958632151286E-9,500.0,91.8,91.8,60.95238095238097,48.750000000000036,151.0,45568.0
600.0,0.399043,4.704108105765449E-9,600.0,91.0,91.0,66.45962732919256,60.58394160583944,251.0,45568.0
700.0,0.440225,5.189581049813165E-9,700.0,91.57142857142857,91.57142857142857,72.68518518518519,69.27083333333333,351.0,45568.0
800.0,0.471011,5.552501016192966E-9,800.0,91.75,91.75,74.6153846153846,74.5173745173745,451.0,45568.0
900.0,0.504629,5.9488059414757626E-9,900.0,91.44444444444444,91.44444444444444,74.58745874587457,76.59574468085106,551.0,45568.0
1000.0,0.533687,6.291355424457127E-9,1000.0,91.60000000000001,91.60000000000001,76.13636363636364,78.73417721518989,651.0,45568.0
1100.0,0.558601,6.585053470399645E-9,1100.0,91.2,91.2,77.37789203084834,80.40089086859689,751.0,45568.0
1200.0,0.580272,6.840521494547526E-9,1200.0,91.0,91.0,79.16666666666667,82.10735586481114,851.0,45568.0
1300.0,0.601228,7.087560759650337E-9,1300.0,91.3,91.3,81.37044967880087,84.09506398537478,951.0,45568.0
1400.0,0.623521,7.350361214743721E-9,1400.0,92.30000000000001,92.30000000000001,84.38133874239352,87.2937293729373,1051.0,45568.0
1500.0,0.643615,7.587238815095691E-9,1500.0,93.8,93.8,87.47474747474746,89.5973154362416,1151.0,45568.0
1600.0,0.665351,7.843473090065852E-9,1600.0,94.89999999999999,94.89999999999999,88.53932584269661,90.59040590405903,1251.0,45568.0
1700.0,0.683777,8.060687515470719E-9,1700.0,95.39999999999999,95.39999999999999,88.20512820512819,90.55441478439424,1351.0,45568.0
1800.0,0.702185,8.277689748340185E-9,1800.0,95.39999999999999,95.39999999999999,87.15083798882681,89.27738927738928,1451.0,45568.0
1900.0,0.748181,8.819912407133317E-9,1900.0,94.8,94.8,85.47486033519552,86.5284974093264,1551.0,45568.0
2000.0,0.796732,9.392254617479115E-9,2000.0,93.30000000000001,93.30000000000001,80.5232558139535,81.1797752808989,61.0,45568.0
2100.0,0.829005,9.772704044977826E-9,2100.0,92.5,92.5,77.81065088757397,76.85185185185186,161.0,45568.0
2200.0,0.851327,1.0035846365822687E-8,2200.0,91.7,91.7,76.01156069364163,74.77203647416414,261.0,45568.0
2300.0,0.872015,1.0279726319842869E-8,2300.0,91.5,91.5,76.12359550561798,75.0733137829912,361.0,45568.0
2400.0,0.89421,1.0541371504465739E-8,2400.0,90.4,90.4,73.33333333333334,70.99697885196376,461.0,45568.0
2500.0,0.920392,1.0850017335679796E-8,2500.0,89.60000000000001,89.60000000000001,70.86834733893558,70.62146892655367,561.0,45568.0
2600.0,0.944681,1.1136347585254245E-8,2600.0,88.9,88.9,72.18045112781955,72.86063569682152,661.0,45568.0
2700.0,0.96924,1.14258607228597E-8,2700.0,88.4,88.4,74.50549450549451,75.31914893617021,761.0,45568.0
2800.0,0.991577,1.1689179870817396E-8,2800.0,88.6,88.6,77.10843373493977,77.6031434184676,861.0,45568.0
2900.0,1.011753,1.1927024126052857E-8,2900.0,90.2,90.2,80.20202020202021,80.55555555555556,961.0,45568.0
3000.0,1.030554,1.2148659229278565E-8,3000.0,92.4,92.4,83.76068376068378,83.9662447257384,1061.0,45568.0
3100.0,1.047159,1.2344406843185426E-8,3100.0,93.89999999999999,93.89999999999999,85.57919621749409,86.19909502262442,1161.0,45568.0
3200.0,1.067148,1.258004665374756E-8,3200.0,94.5,94.5,85.52631578947367,85.78811369509043,1261.0,45568.0
3300.0,1.088244,1.2828736305236818E-8,3300.0,94.3,94.3,83.08605341246289,82.77945619335347,1361.0,45568.0
3400.0,1.132123,1.3346002764172025E-8,3400.0,92.10000000000001,92.10000000000001,76.27627627627629,74.18300653594773,27.0,45568.0
3500.0,1.160602,1.368172672059801E-8,3500.0,90.4,90.4,71.42857142857143,66.66666666666667,127.0,45568.0
3600.0,1.188932,1.4015694194369848E-8,3600.0,88.4,88.4,65.98240469208211,58.42293906810036,227.0,45568.0
3700.0,1.217747,1.4355379078123306E-8,3700.0,87.6,87.6,62.19512195121951,55.39568345323741,327.0,45568.0
3800.0,1.240525,1.4623896943198312E-8,3800.0,86.6,86.6,57.1884984025559,54.109589041095894,427.0,45568.0
3900.0,1.26912,1.496098836263021E-8,3900.0,84.39999999999999,84.39999999999999,51.55279503105589,52.29357798165136,527.0,45568.0
4000.0,1.306758,1.540468295415243E-8,4000.0,82.0,82.0,49.86072423398327,51.871657754010684,627.0,45568.0
4100.0,1.329851,1.5676914188596942E-8,4100.0,80.4,80.4,52.19512195121953,53.7735849056604,727.0,45568.0
4200.0,1.355289,1.597678939501445E-8,4200.0,79.2,79.2,53.982300884955755,54.28571428571429,827.0,45568.0
4300.0,1.379364,1.626059691111247E-8,4300.0,79.3,79.3,57.75510204081633,56.78496868475992,927.0,45568.0
4400.0,1.397924,1.6479390992058653E-8,4400.0,82.5,82.5,61.79039301310042,61.19733924611972,1027.0,45568.0
4500.0,1.413969,1.6668537060419724E-8,4500.0,85.39999999999999,85.39999999999999,63.77171215880894,64.39024390243902,1127.0,45568.0
4600.0,1.429296,1.6849219004313156E-8,4600.0,88.3,88.3,66.57142857142857,67.59002770083103,1227.0,45568.0
4700.0,1.449458,1.708689822090997E-8,4700.0,88.2,88.2,64.35045317220543,62.77602523659306,1327.0,45568.0
4800.0,1.469182,1.7319414085812045E-8,4800.0,88.6,88.6,66.66666666666666,61.48648648648649,1427.0,45568.0
4900.0,1.492519,1.759452170795865E-8,4900.0,89.9,89.9,71.14285714285715,66.33333333333334,1527.0,45568.0
5000.0,1.515303,1.786311030387879E-8,5000.0,91.8,91.8,76.70454545454545,73.88535031847134,1627.0,45568.0
5100.0,1.535679,1.8103312253952032E-8,5100.0,93.30000000000001,93.30000000000001,80.46647230320701,80.17751479289942,1727.0,45568.0
5200.0,1.558896,1.8377005259195968E-8,5200.0,94.6,94.6,84.3478260869565,85.20547945205477,1827.0,45568.0
5300.0,1.582378,1.8653822210099967E-8,5300.0,94.39999999999999,94.39999999999999,83.72093023255812,85.37859007832897,1927.0,45568.0
5400.0,1.605559,1.8927090830273104E-8,5400.0,94.39999999999999,94.39999999999999,85.5297157622739,86.60287081339712,2027.0,45568.0
5500.0,1.625996,1.9168011877271868E-8,5500.0,94.39999999999999,94.39999999999999,87.44394618834079,88.00856531049249,2127.0,45568.0
5600.0,1.646616,1.9411090215047206E-8,5600.0,93.89999999999999,93.89999999999999,88.10916179337231,88.22393822393822,2227.0,45568.0
5700.0,1.666457,1.964498533142938E-8,5700.0,94.69999999999999,94.69999999999999,90.22140221402212,90.07490636704118,2327.0,45568.0
5800.0,1.687643,1.9894735945595642E-8,5800.0,95.39999999999999,95.39999999999999,90.96267190569743,90.8548707753479,2427.0,45568.0
5900.0,1.707259,2.0125978655285312E-8,5900.0,96.0,96.0,91.41630901287553,91.09131403118039,2527.0,45568.0
6000.0,1.723066,2.031231906678942E-8,6000.0,96.5,96.5,91.99084668192219,91.04859335038363,2627.0,45568.0
6100.0,1.741847,2.053371840053135E-8,6100.0,95.89999999999999,95.89999999999999,90.53117782909929,87.905604719764,2727.0,45568.0
