learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.095216,1.5228764216105142E-9,100.0,95.0,95.0,68.74999999999997,54.5454545454545,100.0,61824.0,10.0,598.3,29.758472183004717,336.0,115.9310139695155,1.6,0.9660917830792959,1.3,0.48304589153964794,1.3,0.48304589153964794,0.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.141488,2.3038383324940997E-9,200.0,97.5,97.5,68.74999999999996,54.54545454545454,200.0,65240.0,10.0,1204.3,49.139370954233605,504.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.181118,2.972698993980884E-9,300.0,96.33333333333334,96.33333333333334,63.333333333333364,47.61904761904764,300.0,65240.0,10.0,1803.6999999999998,59.065030075144975,1024.8,243.9803270757706,7.2,1.9888578520235065,4.1,0.9944289260117533,4.1,0.9944289260117533,2.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.220262,3.667382436494032E-9,400.0,95.0,95.0,61.53846153846151,41.17647058823522,400.0,68600.0,10.0,2399.8,72.99741243511455,1439.2,228.25950144517532,10.6,1.837873166945363,5.8,0.9189365834726815,5.8,0.9189365834726815,4.1000000000000005,0.567646212197547,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.264248,4.447996218999226E-9,500.0,92.4,92.4,63.809523809523824,52.500000000000036,500.0,68600.0,10.0,3012.9,85.52511002298941,2029.6,465.19463071325794,15.4,3.7475918193480524,8.200000000000001,1.873795909674026,8.200000000000001,1.873795909674026,5.6000000000000005,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.308124,5.22665784590774E-9,600.0,91.5,91.5,68.32298136645963,62.77372262773725,600.0,68600.0,10.0,3614.7000000000003,79.43557837084782,2552.7999999999997,680.1876865166621,19.599999999999998,5.501514942874069,10.299999999999999,2.7507574714370344,10.299999999999999,2.7507574714370344,6.5,0.8498365855987976,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.367666,6.386607376237709E-9,700.0,90.28571428571428,90.28571428571428,68.5185185185185,64.5833333333333,700.0,75304.0,10.0,4226.3,73.78655402954898,3265.6,943.953294513146,25.4,7.647802879839992,13.2,3.823901439919996,13.2,3.823901439919996,7.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.418029,7.411307773242393E-9,800.0,90.625,90.625,71.15384615384615,71.04247104247105,800.0,78648.0,10.0,4825.7,69.4630997164842,3810.4,1164.0056509981193,29.799999999999997,9.484490263348663,15.399999999999999,4.7422451316743315,15.399999999999999,4.7422451316743315,7.2,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.46323,8.283364543070394E-9,900.0,91.0,91.0,73.26732673267328,75.37993920972646,900.0,74576.0,10.0,5027.7,1241.7558401983326,3957.6,1499.4306475014664,31.0,12.18377792166471,16.0,6.091888960832355,16.0,6.091888960832355,7.1,1.6633299933166197,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.50262,9.048446348557867E-9,1000.0,91.0,91.0,74.43181818181819,77.21518987341773,1000.0,75080.0,10.0,5688.299999999999,1074.5317378074767,4251.2,1417.8955297670325,33.400000000000006,11.53930481249003,17.2,5.769652406245015,17.2,5.769652406245015,7.2,1.3984117975602017,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.541345,9.800611692998143E-9,1100.0,90.7,90.7,76.09254498714654,79.28730512249443,1100.0,75080.0,10.0,6346.900000000001,878.7376615223556,4745.5999999999985,1288.4322256137498,37.4,10.490207073477837,19.2,5.2451035367389185,19.2,5.2451035367389185,7.800000000000001,0.7888106377466153,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.569333,1.0346662418709859E-8,1200.0,90.2,90.2,77.31481481481482,80.5168986083499,1200.0,75416.0,10.0,6997.0,669.2244267309237,4989.599999999999,1378.2258482878954,39.4,11.226951698677805,20.2,5.6134758493389025,20.2,5.6134758493389025,8.0,0.6666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,0.602709,1.102394436796506E-8,1300.0,90.60000000000001,90.60000000000001,79.87152034261243,82.81535648994517,1300.0,78440.0,10.0,7660.599999999999,477.1943931867692,5459.2,1357.258413125518,43.2,11.053405709453433,22.1,5.526702854726716,22.1,5.526702854726716,8.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.630556,1.1589029172642361E-8,1400.0,91.4,91.4,82.55578093306288,85.80858085808582,1400.0,78440.0,10.0,8317.199999999999,258.957225125009,5631.2,1378.2691883502132,44.6,11.226951698677803,22.8,5.613475849338902,22.8,5.613475849338902,8.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.658579,1.2160121310088368E-8,1500.0,92.80000000000001,92.80000000000001,85.45454545454547,87.91946308724833,1500.0,78776.0,10.0,8966.5,122.35671892735074,6019.2,1396.239775651414,47.800000000000004,11.360751148875089,24.400000000000002,5.680375574437544,24.400000000000002,5.680375574437544,8.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.683235,1.266259598235289E-8,1600.0,94.0,94.0,86.51685393258425,88.92988929889297,1600.0,78776.0,10.0,9623.900000000001,107.29963239038163,6284.8,1636.743433365983,50.0,13.341664064126334,25.5,6.670832032063167,25.5,6.670832032063167,8.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,0.70346,1.307476949981517E-8,1700.0,95.7,95.7,88.97435897435896,91.17043121149896,1700.0,78776.0,10.0,10284.199999999999,294.83132654301045,6380.0,1601.3827358463268,50.800000000000004,13.045220495559967,25.900000000000002,6.522610247779983,25.900000000000002,6.522610247779983,8.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.724437,1.3502268331746257E-8,1800.0,95.7,95.7,87.98882681564245,89.97668997668997,1800.0,78776.0,10.0,10949.1,489.6578056833841,6635.2,1564.8276298401406,52.8,12.699956255392728,26.9,6.349978127696364,26.9,6.349978127696364,8.7,0.8232726023485648,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,0.753163,1.4088935674064686E-8,1900.0,94.6,94.6,84.91620111731842,86.0103626943005,1900.0,78944.0,10.0,11610.500000000002,686.326979086661,7104.799999999999,1508.138278363979,56.6,12.249263016379572,28.8,6.124631508189786,28.8,6.124631508189786,9.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.790548,1.4844320559253292E-8,2000.0,93.30000000000001,93.30000000000001,80.5232558139535,81.1797752808989,2000.0,78104.0,10.0,12257.7,875.7735691629683,7992.8,1372.7219351023393,63.800000000000004,11.123548594460912,32.4,5.561774297230456,32.4,5.561774297230456,9.7,0.9486832980505139,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,0.821995,1.5483825047396948E-8,2100.0,93.4,93.4,80.4733727810651,79.62962962962963,2100.0,78608.0,10.0,12921.199999999997,1036.0474892590594,8604.800000000001,1397.2732811523388,68.8,11.331372379372235,34.9,5.6656861896861175,34.9,5.6656861896861175,10.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
2200.0,0.856816,1.6207941611193944E-8,2200.0,93.30000000000001,93.30000000000001,80.63583815028903,79.63525835866263,2200.0,80384.0,10.0,12335.699999999999,4220.4487926180445,8532.0,3042.465082425397,68.2,24.69727830258945,34.6,12.348639151294725,34.6,12.348639151294725,9.6,2.836272984824353,0.0,0.0,0.0,0.0,1.0,0.0
2300.0,0.883968,1.6777298556019857E-8,2300.0,93.4,93.4,81.46067415730339,80.64516129032259,2300.0,81056.0,10.0,13057.8,4099.568860800418,8976.8,3040.3472316314283,71.80000000000001,24.715267436231485,36.400000000000006,12.357633718115743,36.400000000000006,12.357633718115743,9.799999999999999,2.250925735484551,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,0.914875,1.7428081559224256E-8,2400.0,92.9,92.9,80.27777777777779,78.5498489425982,2400.0,81392.0,10.0,13768.699999999999,4035.256898059073,9710.400000000001,2887.156047816682,77.8,23.498463306730883,39.4,11.749231653365442,39.4,11.749231653365442,10.1,2.0248456731316584,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.945928,1.8085987613432933E-8,2500.0,91.8,91.8,77.03081232492998,76.83615819209041,2500.0,81896.0,10.0,14471.8,3968.625841102518,10208.0,2865.4546274932054,81.8,23.308558275639633,41.4,11.654279137819817,41.4,11.654279137819817,10.2,1.7511900715418263,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,0.974119,1.8701636191043584E-8,2600.0,90.8,90.8,76.94235588972433,77.50611246943765,2600.0,84416.0,10.0,15203.9,3930.9206852000116,10773.6,2664.3751487606496,86.39999999999999,21.603497659201185,43.699999999999996,10.801748829600593,43.699999999999996,10.801748829600593,10.299999999999999,1.7669811040931427,0.0,0.0,0.0,0.0,1.0,0.0
2700.0,1.005554,1.938812879638539E-8,2700.0,90.4,90.4,78.9010989010989,79.57446808510639,2700.0,84416.0,10.0,15923.0,3872.985440486734,11410.4,2511.289496122128,91.6,20.331693922980882,46.3,10.165846961490441,46.3,10.165846961490441,10.4,1.5055453054181622,0.0,0.0,0.0,0.0,1.0,0.0
2800.0,1.03289,1.9988669682708047E-8,2800.0,90.8,90.8,81.52610441767068,81.9253438113949,2800.0,84920.0,10.0,16627.199999999997,3818.3031367931544,11877.599999999999,2414.1068373670255,95.4,19.545957240423004,48.2,9.772978620211502,48.2,9.772978620211502,10.6,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
2900.0,1.052431,2.0417963268442283E-8,2900.0,92.5,92.5,84.84848484848486,85.11904761904762,2900.0,84920.0,10.0,17357.5,3797.1227484329065,12120.0,2443.245928404807,97.4,19.83935482821959,49.2,9.919677414109795,49.2,9.919677414109795,10.7,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.074753,2.0908352266997097E-8,3000.0,94.69999999999999,94.69999999999999,88.67521367521366,88.81856540084388,3000.0,84920.0,10.0,18071.4,3801.772925593765,12315.2,2424.747079594076,99.0,19.686430746977866,50.0,9.843215373488933,50.0,9.843215373488933,10.7,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
3100.0,1.096015,2.137545426893565E-8,3100.0,95.1,95.1,88.4160756501182,88.91402714932126,3100.0,84920.0,10.0,18784.800000000003,3823.2267291153717,12701.6,2380.319455684701,102.2,19.326435551107483,51.6,9.663217775553742,51.6,9.663217775553742,10.8,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
