learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,225.559595,1.7459513438648233E-5,100.0,97.0,93.9516129032258,-50.0,93.18181818181817,232709.0,299208.0
200.0,225.713691,1.7471095263401252E-5,200.0,95.0,89.9638699317543,47.36842105263152,89.24731182795698,232809.0,290528.0
300.0,225.901098,1.7485180736297947E-5,300.0,92.66666666666666,85.31767218366257,55.99999999999997,84.39716312056737,232909.0,290528.0
400.0,226.057411,1.7497065062967853E-5,400.0,90.5,80.72289156626506,63.80952380952382,78.16091954022988,233009.0,293888.0
500.0,226.160404,1.750489552144996E-5,500.0,91.2,82.30857069334321,72.67080745341616,80.86956521739131,233109.0,293888.0
600.0,226.25912,1.7512400803746035E-5,600.0,92.0,83.98220244716353,76.6990291262136,83.27526132404182,233209.0,293888.0
700.0,226.386237,1.7522175881156904E-5,700.0,91.14285714285715,82.26819960941012,76.6917293233083,81.54761904761905,233309.0,297248.0
800.0,226.548292,1.7534637630331434E-5,800.0,91.0,81.99639927985598,76.9968051118211,81.49100257069409,233409.0,297248.0
900.0,226.670174,1.7544010145297895E-5,900.0,91.55555555555556,83.10134744519056,78.94736842105263,82.48847926267281,233509.0,297248.0
1000.0,226.815944,1.7555219606142492E-5,1000.0,90.2,80.39396134009276,76.15571776155718,80.0,233609.0,297248.0
1100.0,227.004238,1.7569699089028356E-5,1100.0,89.5,79.00167986561075,77.12418300653596,78.91566265060241,233709.0,297248.0
1200.0,227.145952,1.758059665048909E-5,1200.0,89.8,79.588978048146,79.39393939393939,79.51807228915662,233809.0,297248.0
1300.0,227.277968,1.7590863205374532E-5,1300.0,89.3,78.60359459610785,79.65779467680609,78.76984126984128,233909.0,300608.0
1400.0,227.412797,1.7601348520250372E-5,1400.0,89.2,78.38521548739338,79.34990439770556,79.46768060836501,234009.0,300608.0
1500.0,227.542491,1.7611434498990164E-5,1500.0,89.0,78.00140790989377,78.38899803536346,79.04761904761905,234109.0,300608.0
1600.0,227.675069,1.7621744759213183E-5,1600.0,88.7,77.39457469792751,77.79960707269156,78.10077519379846,234209.0,300608.0
1700.0,227.803365,1.7631722018981564E-5,1700.0,89.60000000000001,79.19009448497485,79.15831663326654,79.76653696498055,234309.0,300608.0
1800.0,227.918726,1.7640693356078122E-5,1800.0,89.7,79.37095430365956,79.44111776447106,79.80392156862746,234409.0,300608.0
1900.0,228.034738,1.7649715319820165E-5,1900.0,89.5,78.96482919441306,79.08366533864543,79.41176470588236,234509.0,300608.0
2000.0,228.151062,1.765876154702364E-5,2000.0,91.0,81.93474831089898,81.85483870967742,82.0,234609.0,300608.0
2100.0,228.267338,1.7667804041386895E-5,2100.0,91.2,82.32193365903832,82.4,82.43512974051896,234709.0,300608.0
2200.0,228.39958,1.767808817172837E-5,2200.0,90.10000000000001,80.10258224266008,80.16032064128257,80.2,234809.0,300608.0
2300.0,228.529446,1.768818752647895E-5,2300.0,90.3,80.460724040964,80.0,80.24439918533605,234909.0,300608.0
2400.0,228.67876,1.7699799303658723E-5,2400.0,90.60000000000001,81.0447183325805,81.0483870967742,80.49792531120332,235009.0,300608.0
2500.0,228.81574,1.771045189643693E-5,2500.0,90.5,80.87361283360447,81.44531250000001,80.0420168067227,235109.0,300608.0
2600.0,228.94707,1.7720779259368367E-5,2600.0,89.7,79.29331918041751,79.92202729044836,78.40670859538784,235209.0,303968.0
2700.0,229.076536,1.7730960043418327E-5,2700.0,89.5,78.8400306315747,79.53216374269006,77.65957446808511,235309.0,303968.0
2800.0,229.189337,1.7739830346213036E-5,2800.0,89.7,79.20301091942883,80.30592734225623,77.7537796976242,235409.0,303968.0
2900.0,229.312263,1.7749496845990008E-5,2900.0,88.7,77.14660151762746,78.55787476280835,75.21929824561403,235509.0,303968.0
3000.0,229.424861,1.7758351185526702E-5,3000.0,88.7,77.08375583046035,78.95716945996276,74.8888888888889,235609.0,303968.0
3100.0,229.555126,1.7768594800331116E-5,3100.0,88.5,76.60376130140052,78.58472998137803,73.98190045248869,235709.0,303968.0
3200.0,229.681503,1.777853267549434E-5,3200.0,89.1,77.84102459849564,79.51127819548871,75.56053811659193,235809.0,303968.0
3300.0,229.807732,1.7788458912420194E-5,3300.0,89.60000000000001,78.88642112657185,80.45112781954886,77.04194260485652,235909.0,303968.0
3400.0,229.938105,1.7798711019992417E-5,3400.0,90.3,80.35785159445646,81.41762452107281,78.63436123348018,236009.0,303968.0
3500.0,230.07112,1.780917088582905E-5,3500.0,90.4,80.46040178298834,81.2133072407045,78.42696629213484,236109.0,303968.0
3600.0,230.197012,1.7819070622173863E-5,3600.0,90.4,80.32657879205195,80.990099009901,77.9816513761468,236209.0,303968.0
3700.0,230.323405,1.782900975552491E-5,3700.0,89.5,78.44544439335218,78.70182555780933,75.75057736720555,236309.0,303968.0
3800.0,230.462487,1.7839946710456993E-5,3800.0,88.8,77.00309226277253,77.37373737373737,74.37070938215103,236409.0,303968.0
3900.0,230.60261,1.785096552623436E-5,3900.0,89.2,77.81684933532708,77.77777777777779,75.34246575342466,236509.0,303968.0
4000.0,230.751413,1.7862666908906154E-5,4000.0,88.8,77.09733224818312,76.71517671517671,74.60317460317461,236609.0,303968.0
4100.0,230.881464,1.7872893695448423E-5,4100.0,88.8,77.06844659200263,76.61795407098121,74.4874715261959,236709.0,303968.0
4200.0,231.015268,1.788341560567212E-5,4200.0,89.1,77.60206471975869,77.38589211618257,74.5920745920746,236809.0,303968.0
4300.0,231.143781,1.789352144890982E-5,4300.0,89.4,78.09455711740905,78.05383022774328,74.58033573141488,236909.0,303968.0
4400.0,231.272484,1.7903642233127934E-5,4400.0,89.7,78.5907295780503,78.71900826446281,74.87804878048782,237009.0,303968.0
4500.0,231.393504,1.7913158851280392E-5,4500.0,90.2,79.74779808968006,80.08130081300814,76.49880095923263,237109.0,303968.0
4600.0,231.507331,1.7922109835369304E-5,4600.0,91.7,82.94903610695681,83.56435643564357,80.4245283018868,237209.0,303968.0
4700.0,231.619173,1.793090472553132E-5,4700.0,93.10000000000001,85.94555838907584,86.80688336520078,84.24657534246577,237309.0,303968.0
4800.0,231.734562,1.7939978540206532E-5,4800.0,93.60000000000001,87.01946674346817,87.59689922480621,85.42141230068339,237409.0,303968.0
4900.0,231.856139,1.7949538959022608E-5,4900.0,93.89999999999999,87.67527377055804,88.20116054158606,86.29213483146067,237509.0,303968.0
5000.0,231.97569,1.795894005980549E-5,5000.0,94.89999999999999,89.62739993491701,90.05847953216374,88.27586206896551,237609.0,303968.0
5100.0,232.091715,1.79680638874467E-5,5100.0,95.6,91.04872342589766,91.3214990138067,89.88505747126436,237709.0,303968.0
5200.0,232.200892,1.7976744111103723E-5,5200.0,95.89999999999999,91.66984973221614,91.83266932270917,90.61784897025171,237809.0,307328.0
5300.0,232.308633,1.7985310164182957E-5,5300.0,96.0,91.89469588898974,92.17221135029354,90.95022624434388,237909.0,307328.0
