learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.118488,3.0555744965871173E-10,100.0,45.0,45.0,-2649.9999999999977,-22.222222222222232,232709.0,1056.0
200.0,1.12347,3.0691847205162047E-10,200.0,53.0,53.0,-394.7368421052633,11.320754716981142,232809.0,1056.0
300.0,1.124931,3.073175996541977E-10,300.0,48.0,48.0,-212.0000000000001,-8.333333333333341,232909.0,1056.0
400.0,1.126604,3.0777464310328165E-10,400.0,44.25,44.25,-112.38095238095242,-25.98870056497175,233009.0,1056.0
500.0,1.127845,3.0811366935571036E-10,500.0,46.6,46.6,-65.8385093167702,-14.592274678111588,233109.0,1056.0
600.0,1.129962,3.0869200825691223E-10,600.0,48.333333333333336,48.333333333333336,-50.48543689320386,-6.896551724137942,233209.0,1056.0
700.0,1.131051,3.089895099401474E-10,700.0,48.42857142857142,48.42857142857142,-35.71428571428572,-6.489675516224186,233309.0,1056.0
800.0,1.131939,3.0923210084438325E-10,800.0,49.0,49.0,-30.351437699680517,-4.081632653061228,233409.0,1056.0
900.0,1.132975,3.0951512356599176E-10,900.0,48.55555555555556,48.55555555555556,-28.254847645429365,-5.949656750572087,233509.0,1056.0
1000.0,1.133924,3.097743789354961E-10,1000.0,49.3,49.3,-23.35766423357663,-2.8397565922920918,233609.0,1056.0
1100.0,1.13474,3.0999730030695606E-10,1100.0,50.4,50.4,-8.061002178649247,1.5873015873015885,233709.0,1056.0
1200.0,1.135749,3.1027294695377356E-10,1200.0,49.1,49.1,-2.828282828282831,-3.6659877800407368,233809.0,1056.0
1300.0,1.136548,3.1049122412999476E-10,1300.0,50.7,50.7,6.273764258555138,2.7613412228796865,233909.0,1056.0
1400.0,1.137322,3.1070267160733546E-10,1400.0,51.9,51.9,8.030592734225628,7.32177263969172,234009.0,1056.0
1500.0,1.138059,3.10904011130333E-10,1500.0,50.8,50.8,3.3398821218074684,3.1496062992126013,234109.0,1056.0
1600.0,1.138807,3.1110835572083795E-10,1600.0,49.5,49.5,0.7858546168958749,-2.020202020202022,234209.0,1056.0
1700.0,1.139538,3.1130805611610415E-10,1700.0,49.3,49.3,-1.6032064128256525,-2.8397565922920918,234309.0,1056.0
1800.0,1.140265,3.115066637595495E-10,1800.0,48.9,48.9,-1.9960079840319378,-4.498977505112479,234409.0,1056.0
1900.0,1.141025,3.117142866055171E-10,1900.0,48.9,48.9,-1.7928286852589657,-4.498977505112479,234509.0,1056.0
2000.0,1.141745,3.119109819332759E-10,2000.0,47.9,47.9,-5.0403225806451655,-8.768267223382054,234609.0,1056.0
2100.0,1.142477,3.1211095551649735E-10,2100.0,47.599999999999994,47.599999999999994,-4.800000000000004,-10.084033613445389,234709.0,1056.0
2200.0,1.143367,3.123540927966436E-10,2200.0,47.599999999999994,47.599999999999994,-5.010020040080165,-10.084033613445389,234809.0,1056.0
2300.0,1.144438,3.126466770966848E-10,2300.0,46.7,46.7,-9.896907216494844,-14.132762312633835,234909.0,1056.0
2400.0,1.14518,3.1284938255945847E-10,2400.0,46.800000000000004,46.800000000000004,-7.258064516129028,-13.675213675213676,235009.0,1056.0
2500.0,1.14589,3.1304334600766506E-10,2500.0,47.199999999999996,47.199999999999996,-3.1250000000000027,-11.864406779661028,235109.0,1056.0
2600.0,1.146557,3.1322556237379715E-10,2600.0,47.699999999999996,47.699999999999996,-1.9493177387914247,-9.643605870020973,235209.0,1056.0
2700.0,1.147312,3.1343181927998866E-10,2700.0,47.0,47.0,-3.313840155945422,-12.765957446808523,235309.0,1056.0
2800.0,1.14805,3.1363343199094144E-10,2800.0,46.300000000000004,46.300000000000004,-2.676864244741865,-15.98272138228942,235409.0,1056.0
2900.0,1.148916,3.1387001276016244E-10,2900.0,45.6,45.6,-3.2258064516128955,-19.298245614035096,235509.0,1056.0
3000.0,1.149544,3.1404157479604096E-10,3000.0,45.0,45.0,-2.4208566108007474,-22.222222222222232,235609.0,1056.0
3100.0,1.150183,3.1421614189942687E-10,3100.0,44.2,44.2,-3.910614525139669,-26.24434389140273,235709.0,1056.0
3200.0,1.150783,3.143800546725592E-10,3200.0,44.6,44.6,-4.135338345864665,-24.21524663677131,235809.0,1056.0
3300.0,1.151364,3.1453877687454234E-10,3300.0,45.300000000000004,45.300000000000004,-2.8195488721804534,-20.7505518763797,235909.0,1056.0
3400.0,1.151972,3.147048751513164E-10,3400.0,45.4,45.4,-4.59770114942528,-20.264317180616747,236009.0,1056.0
3500.0,1.152575,3.148696074883144E-10,3500.0,44.5,44.5,-8.6105675146771,-24.719101123595518,236109.0,1056.0
3600.0,1.153169,3.150318811337154E-10,3600.0,43.6,43.6,-11.683168316831683,-29.3577981651376,236209.0,1056.0
3700.0,1.153828,3.1521191199620573E-10,3700.0,43.3,43.3,-15.010141987829616,-30.946882217090057,236309.0,1056.0
3800.0,1.154426,3.153752783934276E-10,3800.0,43.7,43.7,-13.73737373737374,-28.832951945080076,236409.0,1056.0
3900.0,1.155005,3.1553345421950027E-10,3900.0,43.8,43.8,-15.637860082304531,-28.310502283105038,236509.0,1056.0
4000.0,1.155595,3.156946351130804E-10,4000.0,44.1,44.1,-16.21621621621622,-26.757369614512488,236609.0,1056.0
4100.0,1.156157,3.158481667439143E-10,4100.0,43.9,43.9,-17.118997912317333,-27.79043280182234,236709.0,1056.0
4200.0,1.156717,3.1600115199883785E-10,4200.0,42.9,42.9,-18.464730290456437,-33.10023310023309,236809.0,1056.0
4300.0,1.157258,3.161489466826122E-10,4300.0,41.699999999999996,41.699999999999996,-20.703933747412016,-39.80815347721822,236909.0,1056.0
4400.0,1.157798,3.1629646817843127E-10,4400.0,41.0,41.0,-21.900826446281,-43.90243902439024,237009.0,1056.0
4500.0,1.158338,3.1644398967425037E-10,4500.0,41.699999999999996,41.699999999999996,-18.4959349593496,-39.80815347721822,237109.0,1056.0
4600.0,1.15889,3.165947894255321E-10,4600.0,42.4,42.4,-14.059405940594061,-35.84905660377357,237209.0,1056.0
4700.0,1.15943,3.167423109213512E-10,4700.0,43.8,43.8,-7.456978967495216,-28.310502283105038,237309.0,1056.0
4800.0,1.159978,3.1689201792081203E-10,4800.0,43.9,43.9,-8.720930232558135,-27.79043280182234,237409.0,1056.0
4900.0,1.160536,3.170444567998251E-10,4900.0,44.5,44.5,-7.350096711798836,-24.719101123595518,237509.0,1056.0
5000.0,1.161093,3.171966224908829E-10,5000.0,43.5,43.5,-10.136452241715398,-29.885057471264354,237609.0,1056.0
5100.0,1.161654,3.173498809337616E-10,5100.0,43.5,43.5,-11.439842209072976,-29.885057471264354,237709.0,1056.0
5200.0,1.162202,3.1749958793322247E-10,5200.0,43.7,43.7,-12.151394422310757,-28.832951945080076,237809.0,1056.0
5300.0,1.162785,3.1765885651111607E-10,5300.0,44.2,44.2,-9.197651663405084,-26.24434389140273,237909.0,1056.0
5400.0,1.163381,3.178216765324275E-10,5400.0,44.3,44.3,-9.861932938856013,-25.733634311512425,238009.0,1056.0
5500.0,1.164033,3.179997950792313E-10,5500.0,44.0,44.0,-10.453648915187374,-27.272727272727288,238109.0,1056.0
5600.0,1.164592,3.181525071461996E-10,5600.0,44.1,44.1,-11.133200795228628,-26.757369614512488,238209.0,1056.0
5700.0,1.165148,3.183043996493022E-10,5700.0,43.0,43.0,-17.768595041322317,-32.55813953488371,238309.0,1056.0
5800.0,1.165698,3.184546530246735E-10,5800.0,41.8,41.8,-21.250000000000007,-39.23444976076554,238409.0,1056.0
5900.0,1.166246,3.1860436002413434E-10,5900.0,40.8,40.8,-22.0618556701031,-45.09803921568627,238509.0,1056.0
6000.0,1.166793,3.1875379383563995E-10,6000.0,41.4,41.4,-20.576131687242803,-41.545893719806756,238609.0,1056.0
6100.0,1.167358,3.1890814503033953E-10,6100.0,40.699999999999996,40.699999999999996,-20.773930753564162,-45.700245700245695,238709.0,1056.0
6200.0,1.167884,3.1905184189478554E-10,6200.0,39.800000000000004,39.800000000000004,-22.109533468559835,-51.25628140703517,238809.0,1056.0
6300.0,1.168416,3.191971778869629E-10,6300.0,38.7,38.7,-29.052631578947373,-58.397932816537455,238909.0,1056.0
6400.0,1.168963,3.193466116984685E-10,6400.0,38.1,38.1,-31.42250530785563,-62.46719160104986,239009.0,1056.0
6500.0,1.173443,3.2057049373785654E-10,6500.0,36.9,36.9,-35.40772532188842,-71.00271002710028,239109.0,1056.0
6600.0,1.173961,3.207120050986608E-10,6600.0,34.9,34.9,-40.60475161987043,-86.5329512893983,239209.0,1056.0
6700.0,1.174428,3.208395838737488E-10,6700.0,33.900000000000006,33.900000000000006,-41.84549356223176,-94.98525073746313,239309.0,1056.0
6800.0,1.174884,3.2096415758132934E-10,6800.0,33.0,33.0,-46.929824561403514,-103.03030303030305,239409.0,1056.0
6900.0,1.17534,3.210887312889099E-10,6900.0,32.5,32.5,-49.33628318584072,-107.69230769230771,239509.0,1056.0
7000.0,1.175835,3.2122395932674407E-10,7000.0,32.2,32.2,-48.6842105263158,-110.55900621118016,239609.0,1056.0
7100.0,1.176295,3.213496257861455E-10,7100.0,32.300000000000004,32.300000000000004,-48.7912087912088,-109.59752321981426,239709.0,1056.0
7200.0,1.176759,3.2147638499736784E-10,7200.0,32.800000000000004,32.800000000000004,-46.08695652173914,-104.87804878048783,239809.0,1056.0
7300.0,1.177222,3.2160287102063497E-10,7300.0,32.9,32.9,-46.50655021834062,-103.95136778115503,239909.0,1056.0
7400.0,1.177693,3.2173154254754384E-10,7400.0,33.1,33.1,-47.356828193832605,-102.11480362537766,240009.0,1056.0
7500.0,1.178187,3.218664973974228E-10,7500.0,33.5,33.5,-50.45248868778282,-98.50746268656718,240109.0,1056.0
7600.0,1.178693,3.2200473050276436E-10,7600.0,34.4,34.4,-47.74774774774777,-90.69767441860468,240209.0,1056.0
7700.0,1.179221,3.2214897374312083E-10,7700.0,34.300000000000004,34.300000000000004,-47.97297297297298,-91.54518950437318,240309.0,1056.0
7800.0,1.179694,3.2227819164594016E-10,7800.0,34.2,34.2,-50.57208237986267,-92.39766081871346,240409.0,1056.0
7900.0,1.180268,3.224350015322368E-10,7900.0,33.900000000000006,33.900000000000006,-53.72093023255812,-94.98525073746313,240509.0,1056.0
8000.0,1.180751,3.225669513146083E-10,8000.0,33.5,33.5,-56.839622641509415,-98.50746268656718,240609.0,1056.0
8100.0,1.181235,3.22699174284935E-10,8100.0,33.1,33.1,-57.783018867924504,-102.11480362537766,240709.0,1056.0
8200.0,1.181698,3.2282566030820213E-10,8200.0,32.300000000000004,32.300000000000004,-62.740384615384606,-109.59752321981426,240809.0,1056.0
8300.0,1.182204,3.229638934135437E-10,8300.0,31.900000000000002,31.900000000000002,-60.61320754716979,-113.47962382445145,240909.0,1056.0
8400.0,1.182723,3.231056779623032E-10,8400.0,32.2,32.2,-57.30858468677492,-110.55900621118016,241009.0,1056.0
8500.0,1.183204,3.232370813687643E-10,8500.0,32.800000000000004,32.800000000000004,-53.07517084282461,-104.87804878048783,241109.0,1056.0
8600.0,1.183673,3.233652065197627E-10,8600.0,33.4,33.4,-49.32735426008969,-99.40119760479044,241209.0,1056.0
8700.0,1.184143,3.2349360485871633E-10,8700.0,35.3,35.3,-40.95860566448803,-83.28611898016999,241309.0,1056.0
8800.0,1.18462,3.2362391551335654E-10,8800.0,36.8,36.8,-34.468085106382986,-71.73913043478262,241409.0,1056.0
8900.0,1.18507,3.237468500932058E-10,8900.0,38.800000000000004,38.800000000000004,-26.70807453416149,-57.73195876288659,241509.0,1056.0
9000.0,1.185519,3.2386951148509984E-10,9000.0,40.300000000000004,40.300000000000004,-24.63465553235908,-48.13895781637715,241609.0,1056.0
9100.0,1.185996,3.2399982213974005E-10,9100.0,42.0,42.0,-20.83333333333334,-38.09523809523809,241709.0,1056.0
9200.0,1.186487,3.2413395742575335E-10,9200.0,43.3,43.3,-15.714285714285717,-30.946882217090057,241809.0,1056.0
9300.0,1.186969,3.2426563402016967E-10,9300.0,45.0,45.0,-9.999999999999998,-22.222222222222232,241909.0,1056.0
9400.0,1.187418,3.243882954120637E-10,9400.0,45.6,45.6,-7.086614173228342,-19.298245614035096,242009.0,1056.0
9500.0,1.187877,3.2451368868350995E-10,9500.0,45.2,45.2,-7.031249999999996,-21.238938053097353,242109.0,1056.0
9600.0,1.188333,3.246382623910905E-10,9600.0,46.0,46.0,-6.508875739644965,-17.391304347826093,242209.0,1056.0
9700.0,1.188808,3.2476802666982025E-10,9700.0,45.300000000000004,45.300000000000004,-9.399999999999997,-20.7505518763797,242309.0,1056.0
9800.0,1.189253,3.248895953098934E-10,9800.0,45.7,45.7,-7.952286282306159,-18.8183807439825,242409.0,1056.0
9900.0,1.1897,3.2501171032587697E-10,9900.0,45.4,45.4,-10.750507099391479,-20.264317180616747,242509.0,1056.0
10000.0,1.190151,3.251349180936814E-10,10000.0,44.800000000000004,44.800000000000004,-10.621242484969939,-23.214285714285726,242609.0,1056.0
10100.0,1.19061,3.2526031136512766E-10,10100.0,43.9,43.9,-11.976047904191617,-27.79043280182234,242709.0,1056.0
10200.0,1.191054,3.253816068172456E-10,10200.0,43.9,43.9,-14.02439024390244,-27.79043280182234,242809.0,1056.0
10300.0,1.191512,3.255067269007366E-10,10300.0,42.6,42.6,-19.58333333333334,-34.74178403755867,242909.0,1056.0
10400.0,1.191989,3.256370375553768E-10,10400.0,42.5,42.5,-21.30801687763714,-35.29411764705881,243009.0,1056.0
10500.0,1.192448,3.2576243082682305E-10,10500.0,43.1,43.1,-19.037656903765697,-32.01856148491878,243109.0,1056.0
10600.0,1.192934,3.2589520017306025E-10,10600.0,42.8,42.8,-19.166666666666675,-33.644859813084096,243209.0,1056.0
10700.0,1.193387,3.2601895431677515E-10,10700.0,43.7,43.7,-16.082474226804127,-28.832951945080076,243309.0,1056.0
10800.0,1.193846,3.261443475882214E-10,10800.0,44.1,44.1,-14.549180327868855,-26.757369614512488,243409.0,1056.0
10900.0,1.194291,3.2626591622829456E-10,10900.0,44.3,44.3,-13.673469387755102,-25.733634311512425,243509.0,1056.0
11000.0,1.194733,3.26386665304502E-10,11000.0,44.5,44.5,-11.670020120724345,-24.719101123595518,243609.0,1056.0
11100.0,1.195267,3.2653254767258977E-10,11100.0,44.9,44.9,-12.219959266802444,-22.717149220489986,243709.0,1056.0
11200.0,1.195724,3.2665739456812555E-10,11200.0,45.0,45.0,-12.016293279022403,-22.222222222222232,243809.0,1056.0
11300.0,1.196167,3.2677841683228824E-10,11300.0,45.6,45.6,-10.794297352342157,-19.298245614035096,243909.0,1056.0
11400.0,1.19664,3.269076347351076E-10,11400.0,43.9,43.9,-16.632016632016636,-27.79043280182234,244009.0,1056.0
11500.0,1.197152,3.270475069681805E-10,11500.0,42.9,42.9,-21.231422505307865,-33.10023310023309,244109.0,1056.0
11600.0,1.197604,3.2717098792394017E-10,11600.0,41.099999999999994,41.099999999999994,-28.322440087145985,-43.30900243309002,244209.0,1056.0
11700.0,1.198058,3.272950152556103E-10,11700.0,39.2,39.2,-34.21633554083886,-55.10204081632652,244309.0,1056.0
11800.0,1.198512,3.2741904258728045E-10,11800.0,37.5,37.5,-41.40271493212671,-66.66666666666666,244409.0,1056.0
11900.0,1.198954,3.275397916634879E-10,11900.0,36.1,36.1,-43.91891891891893,-77.00831024930748,244509.0,1056.0
12000.0,1.199396,3.2766054073969536E-10,12000.0,35.199999999999996,35.199999999999996,-48.62385321100916,-84.09090909090911,244609.0,1056.0
12100.0,1.199846,3.2778347531954463E-10,12100.0,33.300000000000004,33.300000000000004,-56.94117647058822,-100.30030030030032,244709.0,1056.0
12200.0,1.200295,3.2790613671143866E-10,12200.0,31.6,31.6,-63.636363636363626,-116.45569620253168,244809.0,1056.0
12300.0,1.200746,3.280293444792431E-10,12300.0,30.2,30.2,-68.19277108433734,-131.1258278145695,244909.0,1056.0
12400.0,1.201198,3.281528254350028E-10,12400.0,29.9,29.9,-69.73365617433413,-134.44816053511704,245009.0,1056.0
12500.0,1.201647,3.282754868268968E-10,12500.0,29.099999999999998,29.099999999999998,-75.49504950495049,-143.64261168384877,245109.0,1056.0
12600.0,1.20209,3.283965090910595E-10,12600.0,28.599999999999998,28.599999999999998,-79.39698492462311,-149.65034965034963,245209.0,1056.0
12700.0,1.202527,3.2851589222749085E-10,12700.0,28.299999999999997,28.299999999999997,-82.90816326530613,-153.35689045936394,245309.0,1056.0
12800.0,1.202963,3.28635002175967E-10,12800.0,28.1,28.1,-79.74999999999999,-155.8718861209964,245409.0,1056.0
12900.0,1.203422,3.2876039544741327E-10,12900.0,27.800000000000004,27.800000000000004,-85.12820512820511,-159.7122302158273,245509.0,1056.0
13000.0,1.203872,3.2888333002726253E-10,13000.0,27.3,27.3,-89.8172323759791,-166.30036630036628,245609.0,1056.0
13100.0,1.204311,3.2900325953960435E-10,13100.0,27.500000000000004,27.500000000000004,-83.54430379746834,-163.6363636363636,245709.0,1056.0
13200.0,1.204752,3.2912373542785663E-10,13200.0,27.700000000000003,27.700000000000003,-81.20300751879698,-161.01083032490973,245809.0,1056.0
13300.0,1.205198,3.2924557725588496E-10,13300.0,28.1,28.1,-78.8557213930348,-155.8718861209964,245909.0,1056.0
