learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,56.686923,1.2835935266129674E-6,100.0,98.0,98.0,0.0,95.55555555555554,232709.0,87528.0,10.0,278969.1,208965.44602900263,175792.0,150392.27833606055,1428.4,1223.4192703693657,714.7,611.7096351846828,714.7,611.7096351846828,21.9,6.539622822966678,0.0,0.0,0.0,0.0,1.0,0.0
200.0,56.77986,1.285763539740195E-6,200.0,97.5,97.5,73.68421052631577,95.28301886792453,232809.0,90256.0,10.0,280129.4,209015.26664347856,176264.0,150487.44219295436,1432.2,1224.2353441139403,716.6,612.1176720569702,716.6,612.1176720569702,21.9,6.539622822966678,0.0,0.0,0.0,0.0,1.0,0.0
300.0,56.843641,1.2871689599504075E-6,300.0,95.66666666666667,95.66666666666667,73.99999999999999,90.97222222222221,232909.0,85176.0,10.0,272225.9,219854.41572976825,169514.40000000002,157807.8451248015,1377.6,1283.5603435583212,689.3,641.7801717791606,689.3,641.7801717791606,20.7,8.692908987598264,0.0,0.0,0.0,0.0,1.0,0.0
400.0,56.901902,1.288457810698698E-6,400.0,94.25,94.25,78.0952380952381,87.00564971751412,233009.0,85512.0,10.0,273421.89999999997,219845.11487229166,170641.60000000003,157896.65912389942,1386.8,1284.261119174065,693.9,642.1305595870325,693.9,642.1305595870325,21.0,8.178562764256865,0.0,0.0,0.0,0.0,1.0,0.0
500.0,56.952904,1.289590511005372E-6,500.0,94.39999999999999,94.39999999999999,82.60869565217389,87.98283261802574,233109.0,85848.0,10.0,274622.1,219844.88200519423,171487.19999999998,158162.96623756987,1393.6000000000001,1286.4728869622122,697.3000000000001,643.2364434811061,697.3000000000001,643.2364434811061,21.1,7.964504588066563,0.0,0.0,0.0,0.0,1.0,0.0
600.0,56.997204,1.2905782177112998E-6,600.0,94.83333333333334,94.83333333333334,84.95145631067962,89.3103448275862,233209.0,86184.0,10.0,275816.1,219869.97543267856,172004.0,158126.8532567726,1397.8,1286.1581724051068,699.4,643.0790862025534,699.4,643.0790862025534,21.2,7.757433710820723,0.0,0.0,0.0,0.0,1.0,0.0
700.0,57.044501,1.2916368563349049E-6,700.0,93.85714285714286,93.85714285714286,83.83458646616543,87.31563421828909,233309.0,86520.0,10.0,276995.10000000003,219858.19186792502,172823.2,158161.89342765918,1404.3999999999999,1286.4307383005291,702.6999999999999,643.2153691502646,702.6999999999999,643.2153691502646,21.4,7.366591251499344,0.0,0.0,0.0,0.0,1.0,0.0
800.0,57.093411,1.292731598392129E-6,800.0,93.25,93.25,82.74760383386581,86.22448979591837,233409.0,86520.0,10.0,278186.1,219840.65444238367,173524.0,158104.20036306576,1410.0,1285.9138557634585,705.5,642.9569278817293,705.5,642.9569278817293,21.4,7.366591251499344,0.0,0.0,0.0,0.0,1.0,0.0
900.0,57.137228,1.2937161536452672E-6,900.0,93.66666666666667,93.66666666666667,84.21052631578947,86.95652173913044,233509.0,86856.0,10.0,279388.5,219835.94064577136,174194.4,158111.27837430054,1415.4,1285.9800585977648,708.2,642.9900292988824,708.2,642.9900292988824,21.4,7.366591251499344,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,57.185513,1.2948032021087906E-6,1000.0,92.80000000000001,92.80000000000001,82.48175182481752,85.39553752535498,233609.0,87024.0,10.0,280594.3,219832.10578431594,175180.0,158071.51467329942,1423.4,1285.6686284662244,712.2,642.8343142331122,712.2,642.8343142331122,21.4,7.366591251499344,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,57.237242,1.2959677859333656E-6,1100.0,90.9,90.9,80.17429193899783,81.94444444444446,233709.0,87024.0,10.0,281796.1,219836.0303860079,176341.59999999998,157928.51567943994,1432.8000000000002,1284.3940032387084,716.9000000000001,642.1970016193542,716.9000000000001,642.1970016193542,21.5,7.184087354084102,0.0,0.0,0.0,0.0,1.0,0.0
