learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.98955,2.1708570420742035E-10,100.0,26.0,26.0,-3599.9999999999964,0.0,277430.0,848.0
200.0,0.994083,2.180801456173261E-10,200.0,53.0,53.0,-571.4285714285719,0.0,277530.0,848.0
300.0,0.995363,2.1836094972160128E-10,300.0,63.0,63.0,-296.4285714285712,0.0,277630.0,848.0
400.0,0.996494,2.1860906647311316E-10,400.0,72.25,72.25,-296.4285714285717,0.0,277730.0,848.0
500.0,0.997484,2.1882625089751348E-10,500.0,74.2,74.2,-130.3571428571429,0.0,277830.0,848.0
600.0,0.998597,2.19070418841309E-10,600.0,77.0,77.0,-97.14285714285708,0.0,277930.0,848.0
700.0,0.999585,2.192871645092964E-10,700.0,70.71428571428572,70.71428571428572,-180.82191780821907,0.0,278030.0,848.0
800.0,1.001394,2.1968401968479156E-10,800.0,66.75,66.75,-118.03278688524597,0.0,278130.0,848.0
900.0,1.002271,2.1987641437186135E-10,900.0,65.22222222222223,65.22222222222223,-58.08080808080809,0.0,278230.0,848.0
1000.0,1.003074,2.2005257507165274E-10,1000.0,60.199999999999996,60.199999999999996,-78.47533632286998,0.0,278330.0,848.0
1100.0,1.003789,2.202094304892752E-10,1100.0,58.9,58.9,-69.13580246913583,0.0,278430.0,848.0
1200.0,1.004478,2.2036058207352955E-10,1200.0,51.4,51.4,-101.65975103734439,0.0,278530.0,848.0
1300.0,1.00515,2.2050800422827402E-10,1300.0,46.9,46.9,-91.0071942446043,0.0,278630.0,848.0
1400.0,1.005815,2.2065389073557322E-10,1400.0,44.0,44.0,-72.83950617283953,0.0,278730.0,848.0
1500.0,1.006475,2.207986803518401E-10,1500.0,40.400000000000006,40.400000000000006,-65.55555555555556,0.0,278830.0,848.0
1600.0,1.00723,2.2096431089772115E-10,1600.0,32.9,32.9,-81.84281842818429,0.0,278930.0,848.0
1700.0,1.00799,2.2113103833463453E-10,1700.0,31.1,31.1,-73.98989898989899,0.0,279030.0,848.0
1800.0,1.008749,2.2129754639334146E-10,1800.0,29.799999999999997,29.799999999999997,-77.27272727272727,0.0,279130.0,848.0
1900.0,1.009453,2.214519886506928E-10,1900.0,27.3,27.3,-94.38502673796792,0.0,279230.0,848.0
2000.0,1.010082,2.2158997754255925E-10,2000.0,26.3,26.3,-105.86592178770951,0.0,279330.0,848.0
2100.0,1.010827,2.2175341430637566E-10,2100.0,25.0,25.0,-123.21428571428574,0.0,279430.0,848.0
2200.0,1.011481,2.2189688765340374E-10,2200.0,24.5,24.5,-131.59509202453992,0.0,279530.0,848.0
2300.0,1.012044,2.2202039758364353E-10,2300.0,20.7,20.7,-188.36363636363635,0.0,279630.0,848.0
2400.0,1.01262,2.2214675943056736E-10,2400.0,13.600000000000001,13.600000000000001,-277.292576419214,0.0,279730.0,848.0
2500.0,1.013154,2.2226390739281965E-10,2500.0,9.0,9.0,-451.5151515151514,0.0,279830.0,848.0
2600.0,1.013685,2.2238039722045255E-10,2600.0,7.3999999999999995,7.3999999999999995,-552.112676056338,0.0,279930.0,848.0
2700.0,1.014223,2.2249842269553072E-10,2700.0,5.8999999999999995,5.8999999999999995,-740.1785714285714,0.0,280030.0,848.0
2800.0,1.014755,2.226151319013701E-10,2800.0,3.3000000000000003,3.3000000000000003,-1434.9206349206363,0.0,280130.0,848.0
2900.0,1.015292,2.227329379982418E-10,2900.0,0.5,0.5,-10955.555555555546,0.0,280230.0,848.0
3000.0,1.015834,2.2285184098614582E-10,3000.0,0.0,0.0,-Infinity,0.0,280330.0,848.0
3100.0,1.016363,2.2296789205736578E-10,3100.0,0.0,0.0,-Infinity,0.0,280430.0,848.0
3200.0,1.016882,2.230817493465211E-10,3200.0,0.0,0.0,-Infinity,0.0,280530.0,848.0
