learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,12.572128,1.7672341187795002E-7,100.0,97.0,97.0,-50.0,95.94594594594594,41698.0,54336.0
200.0,12.603121,1.77159073104461E-7,200.0,89.5,89.5,-50.00000000000008,77.65957446808511,41798.0,54336.0
300.0,12.620546,1.774040121833483E-7,300.0,86.66666666666667,86.66666666666667,-42.857142857142755,63.96396396396398,41898.0,54336.0
400.0,12.637243,1.7763871793945628E-7,400.0,89.5,89.5,-50.00000000000008,62.16216216216216,41998.0,54336.0
500.0,12.650961,1.7783154860138892E-7,500.0,89.4,89.4,5.357142857142862,58.91472868217055,42098.0,54336.0
600.0,12.664778,1.7802577088276545E-7,600.0,90.5,90.5,18.571428571428612,58.69565217391305,42198.0,54336.0
700.0,12.679273,1.7822952364881834E-7,700.0,90.71428571428571,90.71428571428571,10.958904109589064,68.29268292682926,42298.0,54336.0
800.0,12.694444,1.7844277878602346E-7,800.0,89.0,89.0,27.868852459016384,66.9172932330827,42398.0,54336.0
900.0,12.708925,1.786463347574075E-7,900.0,88.44444444444444,88.44444444444444,47.47474747474748,66.77316293929712,42498.0,54336.0
1000.0,12.722031,1.788305626809597E-7,1000.0,88.6,88.6,48.87892376681614,71.356783919598,42598.0,54336.0
1100.0,12.7347,1.7900864779949187E-7,1100.0,87.8,87.8,49.794238683127574,70.31630170316302,42698.0,54336.0
1200.0,12.745558,1.7916127612193425E-7,1200.0,89.1,89.1,54.77178423236515,77.57201646090536,42798.0,54336.0
1300.0,12.756578,1.7931618163983028E-7,1300.0,90.3,90.3,65.10791366906477,81.73258003766479,42898.0,54336.0
1400.0,12.76848,1.794834852218628E-7,1400.0,89.60000000000001,89.60000000000001,67.90123456790124,81.42857142857143,42998.0,54336.0
1500.0,12.780678,1.7965494960546492E-7,1500.0,90.5,90.5,73.61111111111111,84.06040268456377,43098.0,54336.0
1600.0,12.79243,1.798201446731885E-7,1600.0,90.60000000000001,90.60000000000001,74.52574525745258,85.99105812220566,43198.0,54336.0
1700.0,12.804417,1.7998864307999608E-7,1700.0,91.4,91.4,78.28282828282829,87.51814223512335,43298.0,54336.0
1800.0,12.816597,1.8015985444188115E-7,1800.0,93.7,93.7,84.09090909090911,91.02564102564104,43398.0,54336.0
1900.0,12.828611,1.8032873238126433E-7,1900.0,95.3,95.3,87.4331550802139,93.53507565337,43498.0,54336.0
2000.0,12.838539,1.8046828791499133E-7,2000.0,96.3,96.3,89.66480446927373,94.9796472184532,43598.0,54336.0
2100.0,12.848077,1.8060236131151514E-7,2100.0,97.39999999999999,97.39999999999999,92.26190476190476,96.53333333333333,43698.0,54336.0
2200.0,12.856574,1.8072180161873495E-7,2200.0,97.89999999999999,97.89999999999999,93.55828220858895,97.21854304635761,43798.0,54336.0
2300.0,12.865951,1.8085361187656716E-7,2300.0,98.6,98.6,94.9090909090909,98.23455233291298,43898.0,54336.0
2400.0,12.873504,1.809597826004028E-7,2400.0,99.5,99.5,97.81659388646288,99.42129629629629,43998.0,54336.0
2500.0,12.880442,1.8105730841557182E-7,2500.0,99.7,99.7,98.18181818181819,99.67032967032966,44098.0,54336.0
2600.0,12.887457,1.811559166014194E-7,2600.0,100.0,100.0,100.0,100.0,44198.0,54336.0
2700.0,12.894256,1.8125148852666215E-7,2700.0,100.0,100.0,100.0,100.0,44298.0,54336.0
2800.0,12.900985,1.8134607647856072E-7,2800.0,100.0,100.0,100.0,100.0,44398.0,54336.0
2900.0,12.907837,1.814423934121926E-7,2900.0,100.0,100.0,100.0,100.0,44498.0,54336.0
3000.0,12.914512,1.8153622229893998E-7,3000.0,100.0,100.0,?,100.0,44598.0,54336.0
3100.0,12.922235,1.8164478267232572E-7,3100.0,100.0,100.0,?,100.0,44698.0,54336.0
3200.0,12.929705,1.817497866849104E-7,3200.0,100.0,100.0,?,100.0,44798.0,54336.0
3300.0,12.937777,1.8186325286825494E-7,3300.0,100.0,100.0,?,100.0,44898.0,54336.0
3400.0,12.945338,1.8196953604618703E-7,3400.0,100.0,100.0,?,100.0,44998.0,54336.0
