learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,49.746999,1.0397594482141236E-6,100.0,89.0,89.0,-449.9999999999995,85.13513513513513,277430.0,80792.0,10.0,199565.69999999998,252471.42072764062,165841.59999999998,205553.3013217415,1347.9999999999998,1672.9769208742175,674.4999999999999,836.4884604371088,674.4999999999999,836.4884604371088,30.6,37.84823495077266,0.0,0.0,0.0,0.0,1.0,0.0
200.0,49.81669,1.0412221139752203E-6,200.0,83.0,83.0,-142.8571428571431,63.82978723404255,277530.0,81128.0,10.0,200751.5,252470.69885181173,167209.6,205720.36783686082,1359.2,1674.3687234961783,680.1,837.1843617480891,680.1,837.1843617480891,30.9,37.65471786878476,0.0,0.0,0.0,0.0,1.0,0.0
300.0,49.866493,1.0422413986569477E-6,300.0,80.66666666666666,80.66666666666666,-107.14285714285707,47.747747747747745,277630.0,79112.0,10.0,198200.6,255431.73421449072,166386.40000000002,207730.33706183176,1352.6,1690.750733977201,676.8,845.3753669886005,676.8,845.3753669886005,29.5,38.41368390445144,0.0,0.0,0.0,0.0,1.0,0.0
400.0,49.907817,1.0430943333668014E-6,400.0,84.75,84.75,-117.85714285714297,45.04504504504505,277730.0,79784.0,10.0,199394.2,255432.4055604535,167160.8,207981.66501924582,1359.0,1692.8043793264083,680.0,846.4021896632041,680.0,846.4021896632041,29.5,38.41368390445144,0.0,0.0,0.0,0.0,1.0,0.0
500.0,49.950458,1.0439744511908954E-6,500.0,84.6,84.6,-37.500000000000036,40.31007751937984,277830.0,79784.0,10.0,200588.00000000003,255406.7328404289,168264.8,208317.57740356165,1368.0,1695.6098214703366,684.5,847.8049107351683,684.5,847.8049107351683,29.8,38.21518022985107,0.0,0.0,0.0,0.0,1.0,0.0
600.0,49.989057,1.0447812068896988E-6,600.0,85.83333333333333,85.83333333333333,-21.42857142857144,38.405797101449245,277930.0,80792.0,10.0,201762.0,255388.78359995896,169087.20000000004,208413.64566798936,1374.7999999999997,1696.4201392605808,687.8999999999999,848.2100696302904,687.8999999999999,848.2100696302904,29.8,38.21518022985107,0.0,0.0,0.0,0.0,1.0,0.0
700.0,50.032519,1.045689603899502E-6,700.0,83.57142857142857,83.57142857142857,-57.534246575342394,43.90243902439025,278030.0,80792.0,10.0,202942.0,255379.05579353994,170356.0,208778.82270639105,1385.0,1699.5463446984252,693.0,849.7731723492126,693.0,849.7731723492126,30.0,38.08178333826059,0.0,0.0,0.0,0.0,1.0,0.0
800.0,50.093825,1.0469467234921952E-6,800.0,84.25,84.25,-3.2786885245901676,52.63157894736843,278130.0,79264.0,10.0,197843.6,260155.16982848695,166205.59999999998,212979.61509298385,1351.4,1733.4219977322957,676.2,866.7109988661479,676.2,866.7109988661479,27.800000000000004,39.403327552660095,0.0,0.0,0.0,0.0,1.0,0.0
900.0,50.131312,1.047733418252319E-6,900.0,86.0,86.0,36.363636363636346,59.744408945686885,278230.0,81120.0,10.0,198971.09999999998,260075.14891979887,167038.4,213122.09901535578,1358.1999999999998,1734.5657669860777,679.5999999999999,867.2828834930389,679.5999999999999,867.2828834930389,28.299999999999997,39.08125438678299,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,50.167124,1.0484911875985564E-6,1000.0,86.6,86.6,39.910313901345276,66.33165829145729,278330.0,81792.0,10.0,200093.5,259968.91239627096,167984.0,213233.71564136434,1365.8000000000002,1735.4354432757725,683.4000000000001,867.7177216378863,683.4000000000001,867.7177216378863,28.6,38.90501253052105,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,50.203993,1.0492793346444767E-6,1100.0,87.0,87.0,46.50205761316872,68.3698296836983,278430.0,82632.0,10.0,201265.49999999997,259845.48991115214,168824.8,213584.72379664442,1372.6,1738.256802406109,686.8,869.1284012030545,686.8,869.1284012030545,28.800000000000004,38.763671423411665,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,50.262387,1.0505604925958648E-6,1200.0,89.2,89.2,55.18672199170125,77.77777777777779,278530.0,84808.0,10.0,202372.0,259704.1418751559,169394.39999999997,213844.7331745369,1377.1999999999998,1740.314773571468,689.0999999999999,870.157386785734,689.0999999999999,870.157386785734,28.800000000000004,38.763671423411665,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,50.299266,1.0513712166332537E-6,1300.0,90.5,90.5,65.82733812949641,82.10922787193974,278630.0,84976.0,10.0,203445.5,259533.3503143457,170323.2,213780.74114943095,1384.8000000000002,1739.7661273222263,692.9000000000001,869.8830636611132,692.9000000000001,869.8830636611132,29.4,38.40775384678926,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,50.352103,1.0524295229423377E-6,1400.0,89.3,89.3,66.9753086419753,80.89285714285714,278730.0,77424.0,10.0,142718.6,257309.49911480356,98178.4,181434.5133816729,798.7999999999998,1478.6547790324676,399.8999999999999,739.3273895162338,399.8999999999999,739.3273895162338,24.8,39.8937477696833,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,50.380272,1.0530059807209504E-6,1500.0,90.5,90.5,73.61111111111111,84.06040268456377,278830.0,79104.0,10.0,143867.7,257180.88316161622,98792.00000000001,181560.66894689624,803.8000000000001,1479.7129451349676,402.40000000000003,739.8564725674838,402.40000000000003,739.8564725674838,24.9,39.83981816112005,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,50.404774,1.053509525851243E-6,1600.0,91.3,91.3,76.42276422764228,87.03427719821163,278930.0,79440.0,10.0,145012.4,257081.29836264293,99356.79999999997,181338.51734550676,808.4,1477.9195738153908,404.7,738.9597869076954,404.7,738.9597869076954,25.199999999999996,39.66750699390007,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,50.426266,1.0539549482324056E-6,1700.0,94.3,94.3,85.6060606060606,91.72714078374453,279030.0,80112.0,10.0,146138.3,256955.370998783,99598.39999999997,181251.97032688436,810.4000000000001,1477.2060865777069,405.70000000000005,738.6030432888534,405.70000000000005,738.6030432888534,25.199999999999996,39.66750699390007,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,50.447527,1.054397431210511E-6,1800.0,95.39999999999999,95.39999999999999,88.38383838383838,93.44729344729345,279130.0,80448.0,10.0,147276.9,256838.38939321355,99891.19999999997,181131.58778008138,812.8,1476.2262548659523,406.9,738.1131274329762,406.9,738.1131274329762,25.4,39.5676635650881,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,50.470998,1.054885908609463E-6,1900.0,95.39999999999999,95.39999999999999,87.70053475935828,93.6726272352132,279230.0,80448.0,10.0,148437.3,256734.76103690706,100379.19999999998,180966.13213698912,816.8000000000002,1474.8816751033135,408.9000000000001,737.4408375516567,408.9000000000001,737.4408375516567,25.5,39.50878945809963,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,50.491407,1.055315094853027E-6,2000.0,96.2,96.2,89.3854748603352,94.8439620081411,279330.0,81288.0,10.0,149573.5,256595.24573505516,100576.79999999997,180852.3712723846,818.4000000000002,1473.9606658403216,409.7000000000001,736.9803329201608,409.7000000000001,736.9803329201608,25.799999999999994,39.35536106357613,0.0,0.0,0.0,0.0,1.0,0.0
