learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,198.321963,1.5058936552262557E-5,100.0,98.0,95.14327343370567,79.99999999999999,93.10344827586206,291695.0,293512.0
200.0,198.439193,1.506766358929997E-5,200.0,94.5,88.93360160965794,35.294117647058734,87.35632183908045,291795.0,287760.0
300.0,198.520183,1.5073692786004397E-5,300.0,94.0,87.73674887586864,47.0588235294117,85.7142857142857,291895.0,287760.0
400.0,198.632325,1.5082138531090073E-5,400.0,92.25,84.42602361215773,62.1951219512195,83.5978835978836,291995.0,291120.0
500.0,198.717221,1.5088532299480093E-5,500.0,93.0,85.97171898547472,73.48484848484851,85.04273504273505,292095.0,291120.0
600.0,198.801535,1.5094882235731931E-5,600.0,92.33333333333333,84.37641517978443,72.61904761904762,82.30769230769232,292195.0,291120.0
700.0,198.920209,1.5103923080544921E-5,700.0,91.14285714285715,81.91651597096643,72.80701754385966,79.80456026058633,292295.0,294480.0
800.0,199.008263,1.5110631226804109E-5,800.0,90.875,81.47913231003425,75.33783783783782,79.66573816155987,292395.0,294480.0
900.0,199.098809,1.5117529219072314E-5,900.0,91.22222222222223,82.16704288939053,77.68361581920905,80.39702233250622,292495.0,294480.0
1000.0,199.193175,1.5124718227293343E-5,1000.0,91.2,82.26657370052274,78.27160493827161,81.0752688172043,292595.0,294480.0
1100.0,199.279291,1.5131278732474894E-5,1100.0,90.9,81.53034300791558,79.77777777777779,81.42857142857144,292695.0,294480.0
1200.0,199.366807,1.513794589271769E-5,1200.0,90.9,81.64271478023709,81.76352705410822,81.08108108108108,292795.0,294480.0
1300.0,199.452647,1.514455998669689E-5,1300.0,90.5,80.80746044316584,82.37476808905382,81.03792415169661,292895.0,297840.0
1400.0,199.554094,1.5152376622203739E-5,1400.0,90.4,80.719794344473,82.12290502793297,80.52738336713996,292995.0,297840.0
1500.0,199.661908,1.5160683844108136E-5,1500.0,89.7,79.40082396704132,80.92592592592592,79.44111776447106,293095.0,297840.0
1600.0,199.755195,1.5167871740019572E-5,1600.0,90.4,80.76306508496313,82.54545454545455,81.92090395480227,293195.0,297840.0
