learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.023153,2.2445747007926302E-10,100.0,28.999999999999996,28.999999999999996,-610.0000000000002,0.0,291695.0,848.0
200.0,1.027491,2.254091327389081E-10,200.0,44.0,44.0,-558.823529411765,0.0,291795.0,848.0
300.0,1.028701,2.2567458036873071E-10,300.0,42.333333333333336,42.333333333333336,-408.8235294117649,0.0,291895.0,848.0
400.0,1.029793,2.2591414137019047E-10,400.0,47.5,47.5,-156.0975609756098,0.0,291995.0,848.0
500.0,1.030816,2.2613856527540415E-10,500.0,52.800000000000004,52.800000000000004,-78.78787878787877,0.0,292095.0,848.0
600.0,1.03197,2.2639172772566474E-10,600.0,56.333333333333336,56.333333333333336,-55.952380952380935,0.0,292195.0,848.0
700.0,1.032912,2.2659838199615476E-10,700.0,55.85714285714286,55.85714285714286,-35.526315789473664,0.0,292295.0,848.0
800.0,1.034764,2.270046704345279E-10,800.0,54.87499999999999,54.87499999999999,-21.95945945945947,0.0,292395.0,848.0
900.0,1.035513,2.2716898471117017E-10,900.0,55.00000000000001,55.00000000000001,-14.406779661016945,0.0,292495.0,848.0
1000.0,1.036243,2.273291308018896E-10,1000.0,53.300000000000004,53.300000000000004,-15.308641975308626,0.0,292595.0,848.0
1100.0,1.036959,2.2748620559771852E-10,1100.0,55.00000000000001,55.00000000000001,0.0,0.0,292695.0,848.0
1200.0,1.037654,2.2763867345121167E-10,1200.0,54.2,54.2,8.21643286573147,0.0,292795.0,848.0
1300.0,1.038283,2.2777666234307813E-10,1300.0,54.400000000000006,54.400000000000006,15.398886827458261,0.0,292895.0,848.0
1400.0,1.038946,2.2792211009396442E-10,1400.0,52.6,52.6,11.731843575418996,0.0,292995.0,848.0
1500.0,1.039577,2.2806053774224383E-10,1500.0,49.8,49.8,7.037037037037032,0.0,293095.0,848.0
1600.0,1.040309,2.282211225893762E-10,1600.0,48.0,48.0,5.454545454545449,0.0,293195.0,848.0
1700.0,1.040931,2.2835757583379741E-10,1700.0,47.099999999999994,47.099999999999994,2.5782688766114106,0.0,293295.0,848.0
1800.0,1.04156,2.2849556472566387E-10,1800.0,46.300000000000004,46.300000000000004,-2.285714285714277,0.0,293395.0,848.0
1900.0,1.04218,2.2863157921367216E-10,1900.0,45.1,45.1,-7.017543859649118,0.0,293495.0,848.0
2000.0,1.042803,2.2876825183629985E-10,2000.0,46.1,46.1,-5.273437499999994,0.0,293595.0,848.0
2100.0,1.043422,2.2890404694610166E-10,2100.0,46.400000000000006,46.400000000000006,-3.474903474903467,0.0,293695.0,848.0
2200.0,1.044043,2.290402808123164E-10,2200.0,46.7,46.7,-3.0947775628626615,0.0,293795.0,848.0
2300.0,1.044646,2.291725658708148E-10,2300.0,48.199999999999996,48.199999999999996,-2.3715415019762864,0.0,293895.0,848.0
2400.0,1.045299,2.2931581983963644E-10,2400.0,49.6,49.6,1.5625000000000013,0.0,293995.0,848.0
2500.0,1.045901,2.2944788551992836E-10,2500.0,51.2,51.2,3.9370078740157513,0.0,294095.0,848.0
2600.0,1.046484,2.2957578301429745E-10,2600.0,50.7,50.7,4.08560311284047,0.0,294195.0,848.0
2700.0,1.047093,2.2970938434203462E-10,2700.0,51.2,51.2,5.791505791505797,0.0,294295.0,848.0
2800.0,1.047681,2.2983837872743603E-10,2800.0,52.800000000000004,52.800000000000004,7.45098039215687,0.0,294395.0,848.0
2900.0,1.048322,2.2997900015778008E-10,2900.0,53.7,53.7,9.570312500000009,0.0,294495.0,848.0
3000.0,1.048882,2.3010185195340047E-10,3000.0,54.400000000000006,54.400000000000006,10.763209393346388,0.0,294595.0,848.0
3100.0,1.049406,2.302168061335881E-10,3100.0,54.400000000000006,54.400000000000006,8.982035928143722,0.0,294695.0,848.0
3200.0,1.050034,2.3035457564724812E-10,3200.0,54.400000000000006,54.400000000000006,8.249496981891355,0.0,294795.0,848.0
3300.0,1.050664,2.3049278391732105E-10,3300.0,54.300000000000004,54.300000000000004,9.861932938856025,0.0,294895.0,848.0
3400.0,1.05114,2.3059720794359838E-10,3400.0,53.800000000000004,53.800000000000004,10.465116279069777,0.0,294995.0,848.0
3500.0,1.051664,2.3071216212378602E-10,3500.0,53.0,53.0,9.961685823754799,0.0,295095.0,848.0
3600.0,1.052128,2.3081395361158576E-10,3600.0,53.2,53.2,9.826589595375731,0.0,295195.0,848.0
3700.0,1.052613,2.3092035204172127E-10,3700.0,54.300000000000004,54.300000000000004,10.567514677103727,0.0,295295.0,848.0
3800.0,1.053062,2.3101885285642404E-10,3800.0,54.300000000000004,54.300000000000004,12.619502868068844,0.0,295395.0,848.0
3900.0,1.053528,2.3112108310063672E-10,3900.0,55.300000000000004,55.300000000000004,14.857142857142868,0.0,295495.0,848.0
4000.0,1.053982,2.312206808063718E-10,4000.0,55.7,55.7,16.098484848484862,0.0,295595.0,848.0
4100.0,1.054427,2.3131830410824872E-10,4100.0,56.599999999999994,56.599999999999994,17.647058823529406,0.0,295695.0,848.0
4200.0,1.05495,2.314330389102299E-10,4200.0,56.10000000000001,56.10000000000001,16.698292220113867,0.0,295795.0,848.0
4300.0,1.05544,2.3154053423139775E-10,4300.0,55.1,55.1,13.819577735124772,0.0,295895.0,848.0
4400.0,1.055882,2.3163749939865527E-10,4400.0,54.7,54.7,11.176470588235304,0.0,295995.0,848.0
4500.0,1.056299,2.3172898011075118E-10,4500.0,54.800000000000004,54.800000000000004,11.718750000000009,0.0,296095.0,848.0
4600.0,1.056725,2.3182243522670526E-10,4600.0,55.60000000000001,55.60000000000001,14.450867052023133,0.0,296195.0,848.0
