learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.23444,1.596739300423198E-8,100.0,94.0,84.00852878464818,-200.0,76.9230769230769,100.0,263272.0
200.0,0.46843,3.207411484585868E-8,200.0,90.5,80.94282848545637,-18.750000000000025,79.56989247311829,200.0,266080.0
300.0,0.660988,4.5362336999840206E-8,300.0,89.0,76.36103151862464,-10.000000000000012,70.0,300.0,266752.0
400.0,0.789021,5.429791936029991E-8,400.0,91.75,79.36855267271021,-10.000000000000089,70.0,400.0,269776.0
500.0,0.926297,6.389051469249859E-8,500.0,91.8,78.19705607079045,29.31034482758624,67.96875000000001,500.0,270112.0
600.0,1.02952,7.110354878422287E-8,600.0,92.66666666666666,79.08347594599732,37.14285714285713,67.88321167883211,600.0,270112.0
700.0,1.144135,7.910883963521985E-8,700.0,92.0,80.29061290160391,23.28767123287677,72.54901960784316,700.0,269984.0
800.0,1.277107,8.845461845811871E-8,800.0,91.875,81.60906531611187,44.915254237288096,75.47169811320754,800.0,271680.0
900.0,1.393868,9.668132496790754E-8,900.0,92.77777777777779,84.02041017012117,66.14583333333336,79.16666666666667,900.0,272352.0
1000.0,1.490206,1.0348582280592786E-7,1000.0,92.9,85.11368115601702,67.28110599078343,82.11586901763226,1000.0,273024.0
1100.0,1.584087,1.1011677903847562E-7,1100.0,92.9,85.29752832814262,70.29288702928872,84.49781659388648,1100.0,273024.0
1200.0,1.671925,1.1632090909199583E-7,1200.0,94.0,87.98654493032195,74.46808510638296,87.65432098765432,1200.0,273024.0
1300.0,1.794384,1.2504488435056475E-7,1300.0,93.89999999999999,87.73612976380991,77.40740740740739,88.22393822393822,1300.0,275376.0
1400.0,1.933874,1.3524254525701206E-7,1400.0,92.60000000000001,84.9397590361446,76.58227848101266,87.4363327674024,1400.0,282592.0
1500.0,2.064735,1.4483238860343894E-7,1500.0,92.5,84.26907846164173,78.69318181818184,87.84440842787683,1500.0,283272.0
1600.0,2.173678,1.5282549211134513E-7,1600.0,92.80000000000001,83.40990889274968,80.27397260273975,88.46153846153847,1600.0,283608.0
1700.0,2.249484,1.58393936753273E-7,1700.0,94.0,85.59292324389739,84.69387755102039,89.51048951048949,1700.0,283944.0
1800.0,2.331867,1.6444550490006805E-7,1800.0,94.89999999999999,87.53361036421413,87.12121212121211,90.5027932960894,1800.0,283944.0
1900.0,2.420846,1.7098159222553175E-7,1900.0,94.8,86.5617101774371,86.09625668449196,89.96138996138995,1900.0,283944.0
2000.0,2.494636,1.764179837331176E-7,2000.0,95.39999999999999,87.71334704452575,87.15083798882681,89.49771689497716,2000.0,284784.0
2100.0,2.556418,1.809696999564767E-7,2100.0,95.89999999999999,88.75171467764059,87.72455089820357,88.31908831908831,2100.0,284784.0
2200.0,2.617008,1.8543359698106845E-7,2200.0,96.1,89.1437479122592,87.96296296296295,84.76562499999999,2200.0,284784.0
2300.0,2.676005,1.897801316032807E-7,2300.0,97.6,92.61051892630839,91.27272727272727,88.40579710144927,2300.0,284784.0
2400.0,2.730588,1.9379672542214394E-7,2400.0,98.9,95.24566923688668,95.19650655021834,91.91176470588235,2400.0,284448.0
2500.0,2.786236,1.9788927073280018E-7,2500.0,99.8,98.79110251450676,98.7878787878788,97.77777777777777,2500.0,284280.0
2600.0,2.846203,2.023072689647476E-7,2600.0,99.8,98.55857933579337,98.57142857142857,97.29729729729729,2600.0,284784.0
2700.0,2.899081,2.0620299345503254E-7,2700.0,99.8,98.226981791103,98.18181818181819,96.61016949152543,2700.0,284784.0
2800.0,2.949581,2.0991254750639204E-7,2800.0,99.8,96.9553965595981,96.72131147540983,93.93939393939394,2800.0,283944.0
2900.0,3.002563,2.1380672331899407E-7,2900.0,99.9,90.85923217550278,88.88888888888889,80.0,2900.0,284112.0
3000.0,3.053052,2.175176636874676E-7,3000.0,99.9,0.0,-Infinity,-Infinity,3000.0,284112.0
3100.0,3.105455,2.2137383806208773E-7,3100.0,100.0,?,?,?,3100.0,284448.0
3200.0,3.15863,2.252868215243022E-7,3200.0,100.0,?,?,?,3200.0,284448.0
3300.0,3.216341,2.29548644485573E-7,3300.0,100.0,?,?,?,3300.0,285456.0
3400.0,3.273811,2.3379267015804851E-7,3400.0,100.0,?,?,?,3400.0,285456.0
3500.0,3.346836,2.3918539635837084E-7,3500.0,99.9,96.91890559526743,96.7741935483871,94.11764705882352,3500.0,285456.0
3600.0,3.448634,2.464195746887062E-7,3600.0,99.9,98.93730074388948,98.86363636363636,98.0,3600.0,274696.0
3700.0,3.545431,2.532284459595879E-7,3700.0,99.6,97.08148494046227,96.77419354838709,94.73684210526315,3700.0,271904.0
3800.0,3.604833,2.5742754084782473E-7,3800.0,99.6,97.08148494046227,96.77419354838709,94.73684210526315,3800.0,273248.0
3900.0,3.660414,2.6138310344061924E-7,3900.0,99.6,97.08148494046227,96.77419354838709,94.73684210526315,3900.0,275096.0
4000.0,3.72194,2.657724531139765E-7,4000.0,99.6,97.60593727555661,97.46835443037975,95.74468085106382,4000.0,275768.0
4100.0,3.797063,2.711055562417541E-7,4100.0,99.6,98.09238575775207,97.92746113989637,96.69421487603306,4100.0,274416.0
4200.0,3.872308,2.764834491225581E-7,4200.0,99.6,98.63313285948607,98.39357429718876,97.77777777777777,4200.0,276272.0
4300.0,3.953191,2.823580415236454E-7,4300.0,99.5,98.55949294151542,98.4375,97.77777777777777,4300.0,280752.0
4400.0,4.035699,2.8825503382624856E-7,4400.0,98.9,97.20630663578366,97.10526315789474,95.89552238805969,4400.0,276272.0
4500.0,4.120315,2.943173988349736E-7,4500.0,98.4,96.09910230591815,95.96977329974811,94.34628975265016,4500.0,276944.0
4600.0,4.200625,3.000712578433256E-7,4600.0,98.0,94.82843327386031,94.31818181818181,92.27799227799227,4600.0,276944.0
4700.0,4.307686,3.077510146982969E-7,4700.0,97.1,92.12854893871125,91.42011834319526,88.16326530612244,4700.0,277280.0
4800.0,4.386258,3.1339401313207226E-7,4800.0,97.0,91.89097140756517,91.17647058823528,87.85425101214574,4800.0,277616.0
4900.0,4.469001,3.1934376283031383E-7,4900.0,97.0,91.89097140756517,91.17647058823528,87.85425101214574,4900.0,277952.0
5000.0,4.534006,3.2402933805560084E-7,5000.0,97.0,91.45177375694541,90.19607843137254,86.89956331877728,5000.0,278624.0
5100.0,4.592006,3.28209991283301E-7,5100.0,96.89999999999999,90.33099197784237,88.64468864468864,84.72906403940885,5100.0,278624.0
5200.0,4.70173,3.3611892222737284E-7,5200.0,96.3,86.20082645860994,85.02024291497975,77.16049382716048,5200.0,278624.0
5300.0,4.79965,3.431770181593797E-7,5300.0,95.6,80.92529652493582,79.43925233644858,68.11594202898547,5300.0,278624.0
5400.0,4.903856,3.50651978628917E-7,5400.0,95.6,80.16159284374548,79.04761904761902,66.66666666666664,5400.0,277280.0
5500.0,5.022875,3.5921020421096033E-7,5500.0,95.6,77.89389067524112,76.9633507853403,63.3333333333333,5500.0,277952.0
5600.0,5.192426,3.7148972897686904E-7,5600.0,94.69999999999999,76.1977473188783,74.99999999999997,61.31386861313865,5600.0,279952.0
5700.0,5.299337,3.792932542309994E-7,5700.0,95.1,77.68507723695713,75.62189054726366,62.87878787878785,5700.0,282144.0
5800.0,5.428688,3.8851008928898317E-7,5800.0,93.7,73.79280508502781,73.96694214876035,58.55263157894741,5800.0,275432.0
5900.0,5.55463,3.974761984000604E-7,5900.0,93.4,73.71774450461933,74.41860465116281,58.750000000000036,5900.0,275192.0
6000.0,5.667106,4.055816318839789E-7,6000.0,92.4,71.78685713012943,73.70242214532874,57.062146892655406,6000.0,278560.0
6100.0,5.787248,4.142867483198643E-7,6100.0,92.30000000000001,75.93840230991339,77.48538011695908,64.51612903225808,6100.0,280080.0
6200.0,5.896205,4.222051116637886E-7,6200.0,92.30000000000001,76.867151354924,78.06267806267807,65.92920353982302,6200.0,280920.0
6300.0,6.0097,4.3048286667714524E-7,6300.0,92.60000000000001,78.87886745062222,79.78142076502733,69.42148760330579,6300.0,281928.0
6400.0,6.124228,4.3883596351991104E-7,6400.0,92.60000000000001,78.5486105877101,79.03682719546742,69.03765690376571,6400.0,281928.0
6500.0,6.26025,4.483764021305575E-7,6500.0,91.9,75.77577338086466,76.657060518732,65.08620689655173,6500.0,271120.0
6600.0,6.337202,4.5380717834250803E-7,6600.0,93.2,77.8599708272557,78.343949044586,66.99029126213594,6600.0,272800.0
6700.0,6.400855,4.5830492978294697E-7,6700.0,94.0,80.12863397606161,80.19801980198018,69.84924623115575,6700.0,273136.0
6800.0,6.462453,4.626735368702147E-7,6800.0,95.5,84.0228366920881,82.69230769230768,74.57627118644066,6800.0,274144.0
6900.0,6.520243,4.6678714575866865E-7,6900.0,95.6,83.8821934869409,82.25806451612901,74.2690058479532,6900.0,275152.0
7000.0,6.620675,4.739360983090269E-7,7000.0,96.39999999999999,87.53324468085107,86.20689655172413,79.77528089887639,7000.0,275152.0
7100.0,6.708521,4.802273333486584E-7,7100.0,96.39999999999999,85.72561459159395,84.3478260869565,75.99999999999997,7100.0,276832.0
7200.0,6.788059,4.859304910898209E-7,7200.0,96.39999999999999,83.20143347767656,82.08955223880595,71.87499999999997,7200.0,277168.0
7300.0,6.849707,4.903508721457588E-7,7300.0,96.89999999999999,80.59006211180122,79.05405405405403,65.93406593406588,7300.0,277168.0
7400.0,6.907838,4.94516545308547E-7,7400.0,97.5,74.8814403986818,76.19047619047616,56.14035087719298,7400.0,277000.0
7500.0,6.965253,4.986309098410938E-7,7500.0,98.8,85.08946322067595,85.36585365853657,72.72727272727273,7500.0,277000.0
7600.0,7.021073,5.0262612445073E-7,7600.0,98.8,85.08946322067595,85.36585365853657,72.72727272727273,7600.0,276664.0
7700.0,7.071965,5.062796857249406E-7,7700.0,98.8,85.08946322067595,85.36585365853657,72.72727272727273,7700.0,277504.0
7800.0,7.161051,5.126868282092943E-7,7800.0,98.4,84.06596689704622,85.18518518518518,71.9298245614035,7800.0,278008.0
7900.0,7.263453,5.200650206787719E-7,7900.0,98.6,89.91121872477804,90.41095890410958,82.05128205128203,7900.0,278512.0
8000.0,7.40551,5.30115184361736E-7,8000.0,97.89999999999999,88.0771239752004,86.53846153846153,80.188679245283,8000.0,273472.0
8100.0,7.537076,5.394688817279207E-7,8100.0,97.39999999999999,86.8345097880356,85.22727272727272,78.15126050420166,8100.0,274816.0
8200.0,7.608752,5.445802696214783E-7,8200.0,98.0,89.62354210766613,87.95180722891565,82.45614035087718,8200.0,275656.0
8300.0,7.669574,5.489334932507742E-7,8300.0,98.0,89.62354210766613,87.95180722891565,82.45614035087718,8300.0,276664.0
8400.0,7.729535,5.532276983848878E-7,8400.0,98.0,89.62354210766613,87.95180722891565,82.45614035087718,8400.0,276832.0
8500.0,7.782867,5.570517926373418E-7,8500.0,98.0,89.62354210766613,87.95180722891565,82.45614035087718,8500.0,277168.0
8600.0,7.86096,5.626717030712302E-7,8600.0,97.89999999999999,90.9263740062219,90.0473933649289,84.99999999999999,8600.0,278176.0
8700.0,7.945664,5.687673696916966E-7,8700.0,97.2,88.44455449630637,87.61061946902655,80.95238095238095,8700.0,278176.0
8800.0,8.028635,5.747383221280246E-7,8800.0,97.39999999999999,89.80464124101043,89.07563025210084,83.00653594771241,8800.0,278176.0
8900.0,8.120449,5.813456551358106E-7,8900.0,97.1,88.7219214734615,88.11475409836065,81.4102564102564,8900.0,278176.0
9000.0,8.247589,5.905117772395414E-7,9000.0,97.2,88.15887407808376,88.33333333333331,79.71014492753622,9000.0,278680.0
9100.0,8.360406,5.986599963986214E-7,9100.0,97.5,87.94669546602896,88.26291079812205,79.33884297520659,9100.0,279184.0
9200.0,8.479329,6.072492220211362E-7,9200.0,97.0,86.28621581839292,86.72566371681415,76.37795275590548,9200.0,279184.0
