learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.005069,1.2064456111854976E-12,100.0,73.0,-1.9637462235649903,-1249.9999999999989,-3.8461538461538494,100.0,920.0
200.0,0.01151,2.739433613088396E-12,200.0,52.5,9.19518256547506,-493.7500000000003,-2.1505376344086042,200.0,920.0
300.0,0.014142,3.3658618728319804E-12,300.0,62.66666666666667,28.671506814418553,-273.33333333333337,-1.8181818181817992,300.0,920.0
400.0,0.016467,3.9192227025826775E-12,400.0,72.0,40.97963270360709,-273.3333333333336,-1.8181818181818195,400.0,920.0
500.0,0.018267,4.347631086905798E-12,500.0,74.0,39.44136992937931,-124.13793103448279,-1.5625000000000013,500.0,920.0
600.0,0.020131,4.791271769338185E-12,600.0,76.83333333333333,40.49148043496876,-98.57142857142854,-1.4598540145985248,600.0,920.0
700.0,0.021695,5.163511054383385E-12,700.0,70.57142857142857,25.98675768618797,-182.19178082191772,-0.9803921568627185,700.0,920.0
800.0,0.02435,5.7954134212599875E-12,800.0,66.625,17.92065663474693,-126.27118644067801,-0.7547169811320592,800.0,920.0
900.0,0.025751,6.128857947058149E-12,900.0,65.11111111111111,14.414987371213622,-63.54166666666665,-0.6410256410256452,900.0,920.0
1000.0,0.026787,6.3754307727019005E-12,1000.0,60.099999999999994,8.087388391828767,-83.87096774193552,-0.5037783375314866,1000.0,920.0
1100.0,0.028095,6.686740865310035E-12,1100.0,54.1,-8.029485694919094,-92.05020920502092,-0.218340611353712,1100.0,920.0
1200.0,0.029079,6.920937448740007E-12,1200.0,51.4,0.0,-106.80851063829789,0.0,1200.0,920.0
1300.0,0.030219,7.192262758811317E-12,1300.0,46.9,0.0,-96.66666666666667,-2.5096525096525117,1300.0,920.0
1400.0,0.031152,7.414321104685468E-12,1400.0,44.0,0.0,-77.21518987341776,4.9235993208828575,1400.0,920.0
1500.0,0.032036,7.62471722231971E-12,1500.0,40.400000000000006,0.0,-69.31818181818183,3.4035656401944925,1500.0,920.0
1600.0,0.032845,7.817262990607158E-12,1600.0,34.599999999999994,1.6816349111376325,-79.17808219178083,-4.807692307692312,1600.0,920.0
1700.0,0.033705,8.021946996450425E-12,1700.0,39.800000000000004,6.633952361602676,-53.571428571428555,-5.24475524475524,1700.0,920.0
1800.0,0.034636,8.243529333008662E-12,1800.0,43.3,7.704628767506819,-43.18181818181818,-5.586592178770956,1800.0,920.0
1900.0,0.035575,8.467015706830557E-12,1900.0,45.2,6.01664945925273,-46.524064171122994,-5.791505791505785,1900.0,920.0
2000.0,0.036379,8.658371451828217E-12,2000.0,53.2,13.227599556496633,-30.72625698324022,-6.849315068493158,2000.0,920.0
2100.0,0.037162,8.844729099008774E-12,2100.0,61.9,22.482197355035595,-14.071856287425163,-8.547008547008556,2100.0,920.0
2200.0,0.037895,9.019186513291467E-12,2200.0,71.39999999999999,35.04871346490132,11.728395061728373,-11.718750000000009,2200.0,920.0
2300.0,0.03861,9.189359843730929E-12,2300.0,77.60000000000001,39.920287095199534,18.54545454545456,-8.212560386473438,2300.0,920.0
2400.0,0.039381,9.372861435016E-12,2400.0,80.5,27.569607464416272,14.847161572052418,-43.38235294117642,2400.0,920.0
2500.0,0.040079,9.538988686270188E-12,2500.0,85.9,10.793369606478532,14.545454545454556,-56.66666666666673,2500.0,920.0
2600.0,0.040755,9.699879835049314E-12,2600.0,92.60000000000001,0.0,47.14285714285718,0.0,2600.0,920.0
2700.0,0.041451,9.865531076987587E-12,2700.0,94.1,0.0,46.36363636363631,0.0,2700.0,920.0
2800.0,0.042131,1.0027374244398544E-11,2800.0,96.7,0.0,45.90163934426229,0.0,2800.0,920.0
2900.0,0.042796,1.0185647341940142E-11,2900.0,99.5,0.0,44.44444444444444,0.0,2900.0,920.0
3000.0,0.043634,1.038509524530835E-11,3000.0,100.0,?,?,?,3000.0,920.0
