learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.035083,4.909751440087954E-10,100.0,94.0,84.00852878464818,-200.0,76.9230769230769,100.0,54096.0
200.0,0.087464,1.2240301569302877E-9,200.0,87.5,74.86426704202694,-56.25000000000008,73.11827956989248,200.0,54096.0
300.0,0.108554,1.5191778292258582E-9,300.0,86.0,69.74499351678432,-40.00000000000005,61.81818181818181,300.0,54096.0
400.0,0.128079,1.7924238368868829E-9,400.0,89.25,72.96617628567834,-43.33333333333347,60.9090909090909,400.0,54096.0
500.0,0.142903,1.9998808826009434E-9,500.0,88.8,70.59873574563707,3.448275862068969,56.25,500.0,54096.0
600.0,0.16863,2.3599218577146533E-9,600.0,88.83333333333333,69.17839727665837,4.285714285714288,51.09489051094891,600.0,54096.0
700.0,0.183434,2.567099009950956E-9,700.0,88.85714285714286,73.09682187730968,-6.849315068493124,61.76470588235294,700.0,54096.0
800.0,0.199488,2.7917695045471194E-9,800.0,88.875,75.14834205933684,24.57627118644069,66.41509433962266,800.0,54096.0
900.0,0.214322,2.9993664970000586E-9,900.0,88.77777777777777,75.64413101260395,47.39583333333334,67.62820512820514,900.0,54096.0
1000.0,0.230181,3.221308030188084E-9,1000.0,89.8,78.89387342945588,52.995391705069125,74.30730478589422,1000.0,54096.0
1100.0,0.249912,3.4974369406700137E-9,1100.0,89.60000000000001,78.70728661220646,56.485355648535574,77.29257641921397,1100.0,54096.0
1200.0,0.265197,3.7113455310463907E-9,1200.0,91.4,82.81347423619884,63.40425531914895,82.3045267489712,1200.0,54096.0
1300.0,0.280254,3.922063335776329E-9,1300.0,91.9,83.65406347873818,70.00000000000001,84.36293436293437,1300.0,54096.0
1400.0,0.299229,4.187612272799015E-9,1400.0,90.9,81.37535816618912,71.20253164556962,84.55008488964347,1400.0,54096.0
1500.0,0.319984,4.478071729342142E-9,1500.0,91.8,82.7103434316173,76.70454545454545,86.709886547812,1500.0,54096.0
1600.0,0.333699,4.670008681714534E-9,1600.0,92.9,83.57561232893191,80.54794520547946,88.62179487179488,1600.0,54096.0
1700.0,0.346796,4.853296925624211E-9,1700.0,94.0,85.54042655741655,84.69387755102039,89.51048951048949,1700.0,54096.0
1800.0,0.360014,5.038278525074322E-9,1800.0,95.1,87.97498797498797,87.62626262626262,90.87523277467412,1800.0,54096.0
1900.0,0.372913,5.218795823554197E-9,1900.0,96.3,90.51603047173776,90.10695187165774,92.85714285714285,1900.0,54096.0
2000.0,0.384665,5.383261231084663E-9,2000.0,96.39999999999999,90.52825998873915,89.94413407821227,91.78082191780821,2000.0,54096.0
2100.0,0.397871,5.56807489444812E-9,2100.0,97.2,92.43243243243242,91.61676646706586,92.022792022792,2100.0,54096.0
2200.0,0.410189,5.740461287399131E-9,2200.0,97.3,92.58933962782017,91.66666666666666,89.45312499999999,2200.0,54096.0
2300.0,0.42298,5.919467161099114E-9,2300.0,98.5,95.43917686264017,94.54545454545455,92.75362318840578,2300.0,54096.0
2400.0,0.43333,6.064312035838761E-9,2400.0,99.6,98.27657521025782,98.2532751091703,97.05882352941177,2400.0,54096.0
2500.0,0.442466,6.192167376478512E-9,2500.0,100.0,100.0,100.0,100.0,2500.0,54096.0
2600.0,0.451402,6.317223782340685E-9,2600.0,100.0,100.0,100.0,100.0,2600.0,54096.0
2700.0,0.460321,6.442042278746763E-9,2700.0,100.0,100.0,100.0,100.0,2700.0,54096.0
2800.0,0.468993,6.563404090702533E-9,2800.0,100.0,100.0,100.0,100.0,2800.0,54096.0
2900.0,0.47737,6.680637473861376E-9,2900.0,100.0,100.0,100.0,100.0,2900.0,54096.0
3000.0,0.485352,6.7923429608345025E-9,3000.0,100.0,?,?,?,3000.0,54096.0
3100.0,0.494665,6.922675358752409E-9,3100.0,99.9,0.0,-Infinity,-Infinity,3100.0,54096.0
3200.0,0.503197,7.0420779163638745E-9,3200.0,99.9,0.0,-Infinity,-Infinity,3200.0,54096.0
3300.0,0.512829,7.176874615252018E-9,3300.0,99.9,0.0,-Infinity,-Infinity,3300.0,54096.0
3400.0,0.522393,7.310719676315784E-9,3400.0,99.9,0.0,-Infinity,-Infinity,3400.0,54096.0
3500.0,0.534137,7.475073126455148E-9,3500.0,99.5,83.61944699253051,83.87096774193549,70.58823529411765,3500.0,54096.0
3600.0,0.54604,7.641651729742685E-9,3600.0,99.5,94.58288190682558,94.31818181818181,90.0,3600.0,54096.0
3700.0,0.561408,7.856721878051756E-9,3700.0,99.3,94.86080112768707,94.35483870967741,90.7894736842105,3700.0,54096.0
3800.0,0.570433,7.98302380988995E-9,3800.0,99.3,94.86080112768707,94.35483870967741,90.7894736842105,3800.0,54096.0
3900.0,0.579884,8.115287472804385E-9,3900.0,99.3,94.86080112768707,94.35483870967741,90.7894736842105,3900.0,54096.0
4000.0,0.592182,8.287393972277639E-9,4000.0,99.0,94.07245827010622,93.67088607594937,89.36170212765956,4000.0,54096.0
4100.0,0.603626,8.447549020250636E-9,4100.0,99.0,95.26519635230727,94.81865284974093,91.73553719008264,4100.0,54096.0
4200.0,0.616499,8.627702457209426E-9,4200.0,99.0,96.59771366358193,95.98393574297188,94.44444444444444,4200.0,54096.0
4300.0,0.627539,8.782203656931716E-9,4300.0,99.0,97.12354379404573,96.875,95.55555555555554,4300.0,54096.0
4400.0,0.638491,8.935473325351872E-9,4400.0,98.5,96.19041813970497,96.05263157894737,94.40298507462687,4400.0,54096.0
4500.0,0.649043,9.083145124216873E-9,4500.0,98.8,97.06812218112164,96.97732997481108,95.75971731448763,4500.0,54096.0
4600.0,0.658566,9.216416403651236E-9,4600.0,98.7,96.64266603307749,96.30681818181817,94.98069498069498,4600.0,54096.0
4700.0,0.670501,9.383442836503187E-9,4700.0,98.2,95.16116024624317,94.67455621301775,92.65306122448979,4700.0,54096.0
4800.0,0.681743,9.54077096035083E-9,4800.0,98.0,94.66692265437925,94.11764705882352,91.90283400809716,4800.0,54096.0
4900.0,0.692842,9.696097845832505E-9,4900.0,98.0,94.66692265437925,94.11764705882352,91.90283400809716,4900.0,54096.0
5000.0,0.70222,9.827339897553125E-9,5000.0,98.3,95.20781183050312,94.44444444444444,92.5764192139738,5000.0,54096.0
