learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.085046,9.890096758802732E-10,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,23.0,44952.0
200.0,0.145419,1.69109420850873E-9,200.0,91.0,81.93496587715778,-12.500000000000016,80.64516129032259,52.0,44952.0
300.0,0.195821,2.2772248399754366E-9,300.0,88.33333333333333,74.74018475750577,-16.66666666666672,68.18181818181817,30.0,44952.0
400.0,0.220298,2.5618706767757733E-9,400.0,91.25,77.87190997028513,-16.666666666666767,68.18181818181817,130.0,44952.0
500.0,0.26053,3.029733213285605E-9,500.0,90.8,74.95808200683753,20.68965517241381,64.06250000000001,22.0,44952.0
600.0,0.282657,3.287050630897283E-9,600.0,91.83333333333333,76.15571776155717,30.00000000000002,64.23357664233578,122.0,44952.0
700.0,0.310117,3.6063861163953935E-9,700.0,91.71428571428571,79.40654324118691,20.54794520547948,71.5686274509804,58.0,44952.0
800.0,0.351316,4.085494006673495E-9,800.0,90.875,79.22743117308102,38.13559322033893,72.45283018867923,3.0,44952.0
900.0,0.376459,4.377884833763043E-9,900.0,90.44444444444444,78.68226662039562,55.20833333333337,72.43589743589746,103.0,44952.0
1000.0,0.39207,4.559426940977573E-9,1000.0,90.9,80.83839396262013,58.06451612903226,77.07808564231739,203.0,44952.0
1100.0,0.416385,4.842188861221075E-9,1100.0,90.0,79.25405894336774,58.158995815899594,78.16593886462883,14.0,44952.0
1200.0,0.440484,5.1224388927221296E-9,1200.0,90.7,81.37183421333056,60.425531914893625,80.8641975308642,21.0,44952.0
1300.0,0.474059,5.5128864136834935E-9,1300.0,90.0,79.92282333289165,62.962962962962976,80.6949806949807,45.0,44952.0
1400.0,0.493741,5.741770646224419E-9,1400.0,89.0,77.67857142857143,65.18987341772153,81.32427843803057,145.0,44952.0
1500.0,0.513691,5.973771481464306E-9,1500.0,89.4,77.84725473149201,69.88636363636364,82.82009724473258,245.0,44952.0
1600.0,0.528166,6.142102914551894E-9,1600.0,89.60000000000001,76.2238977261816,71.5068493150685,83.33333333333334,345.0,44952.0
1700.0,0.539413,6.272895565877358E-9,1700.0,90.5,77.45481470230864,75.76530612244898,83.39160839160839,445.0,44952.0
1800.0,0.550825,6.405607021103302E-9,1800.0,92.0,80.69274433332048,79.7979797979798,85.10242085661082,545.0,44952.0
1900.0,0.562921,6.5462727906803285E-9,1900.0,93.30000000000001,82.82632544882247,82.08556149732622,87.06563706563708,645.0,44952.0
2000.0,0.57388,6.6737162570158635E-9,2000.0,93.8,83.60577711260714,82.68156424581004,85.84474885844747,745.0,44952.0
2100.0,0.583027,6.780087767789761E-9,2100.0,95.19999999999999,87.02702702702702,85.62874251497004,86.3247863247863,845.0,44952.0
2200.0,0.591879,6.88302868977189E-9,2200.0,95.8,88.45614710166835,87.03703703703702,83.59374999999999,945.0,44952.0
2300.0,0.60161,6.996191603442033E-9,2300.0,98.2,94.47781616036421,93.45454545454544,91.30434782608695,1045.0,44952.0
2400.0,0.610339,7.097702144334713E-9,2400.0,99.2,96.55315042051565,96.5065502183406,94.11764705882352,1145.0,44952.0
2500.0,0.618091,7.187851040313641E-9,2500.0,99.9,99.39254039606365,99.39393939393939,98.88888888888889,1245.0,44952.0
2600.0,0.626209,7.28225619221727E-9,2600.0,100.0,100.0,100.0,100.0,1345.0,44952.0
2700.0,0.63429,7.37623106688261E-9,2700.0,100.0,100.0,100.0,100.0,1445.0,44952.0
2800.0,0.641579,7.460995682825644E-9,2800.0,100.0,100.0,100.0,100.0,1545.0,44952.0
2900.0,0.64934,7.551249240835507E-9,2900.0,100.0,100.0,100.0,100.0,1645.0,44952.0
3000.0,0.656654,7.636304584642251E-9,3000.0,100.0,?,?,?,1745.0,44952.0
3100.0,0.664871,7.73186101888617E-9,3100.0,100.0,?,?,?,1845.0,44952.0
