learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.088017,1.0235597752034664E-9,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,23.0,44952.0
200.0,0.149538,1.7389945313334465E-9,200.0,90.5,80.96573832899219,-18.750000000000025,79.56989247311829,52.0,44952.0
300.0,0.193576,2.2511174778143567E-9,300.0,89.66666666666666,77.95790671217291,-3.333333333333411,71.8181818181818,152.0,44952.0
400.0,0.229191,2.665288392454386E-9,400.0,92.25,80.83225128300253,-3.3333333333334125,71.81818181818181,252.0,44952.0
500.0,0.257605,2.995718053231637E-9,500.0,92.2,79.47195553309754,32.7586206896552,69.53125000000003,352.0,44952.0
600.0,0.284768,3.311599691708883E-9,600.0,93.0,80.23715415019764,40.00000000000006,69.34306569343069,452.0,44952.0
700.0,0.323331,3.760053236037493E-9,700.0,92.28571428571428,81.10472381904523,26.02739726027396,73.52941176470587,552.0,44952.0
800.0,0.355204,4.130708004037539E-9,800.0,92.125,82.24226622507224,46.61016949152542,76.22641509433963,652.0,44952.0
900.0,0.380284,4.422366196910541E-9,900.0,93.0,84.55831889931045,67.18750000000003,79.80769230769232,752.0,44952.0
1000.0,0.401949,4.674310963600874E-9,1000.0,93.10000000000001,85.5577230599208,68.20276497695855,82.61964735516374,852.0,44952.0
1100.0,0.421344,4.899857640266419E-9,1100.0,93.0,85.53127105716803,70.71129707112974,84.71615720524018,952.0,44952.0
1200.0,0.440042,5.1172988240917525E-9,1200.0,94.19999999999999,88.38829540176498,75.3191489361702,88.06584362139917,1052.0,44952.0
1300.0,0.465126,5.4090035334229475E-9,1300.0,93.89999999999999,87.73612976380991,77.40740740740739,88.22393822393822,1152.0,44952.0
1400.0,0.509977,5.9305809500316784E-9,1400.0,92.60000000000001,84.9397590361446,76.58227848101266,87.4363327674024,1252.0,44952.0
1500.0,0.550808,6.405409326155981E-9,1500.0,92.5,84.26907846164173,78.69318181818184,87.84440842787683,1352.0,44952.0
1600.0,0.586778,6.82370857646068E-9,1600.0,92.80000000000001,83.40990889274968,80.27397260273975,88.46153846153847,1452.0,44952.0
