learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.079253,1.3149680797424581E-9,100.0,90.0,71.91011235955057,-399.9999999999995,61.538461538461554,100.0,64136.0,10.0,598.3,29.758472183004717,483.20000000000005,77.1215490854102,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.134815,2.277216391844882E-9,200.0,86.5,72.88612171118697,-68.7500000000001,70.96774193548386,200.0,66944.0,10.0,1169.7,99.40718731001743,1046.4,193.17418737157058,7.400000000000001,1.577621275493231,4.199999999999999,0.7888106377466155,4.199999999999999,0.7888106377466155,3.2000000000000006,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.163312,2.7756946802967123E-9,300.0,86.0,69.74499351678432,-40.00000000000005,61.81818181818181,300.0,67616.0,10.0,1827.7,96.28551292899674,1445.6,254.2733437333401,10.600000000000001,2.065591117977289,5.800000000000001,1.0327955589886444,5.800000000000001,1.0327955589886444,4.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.18689,3.206573635753658E-9,400.0,89.5,73.52078933266085,-40.00000000000006,61.81818181818183,400.0,70640.0,10.0,2482.7999999999997,272.77129207044095,1736.0,345.1041710685179,12.999999999999998,2.8284271247461903,6.999999999999999,1.4142135623730951,6.999999999999999,1.4142135623730951,5.199999999999999,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.20892,3.6110784051318966E-9,500.0,89.4,71.37363349608952,8.620689655172423,58.593750000000014,500.0,70976.0,10.0,3154.2,452.6837993812262,2128.0,370.25396689299635,16.200000000000003,3.0110906108363245,8.600000000000001,1.5055453054181622,8.600000000000001,1.5055453054181622,6.000000000000001,1.333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.231859,4.032273816151752E-9,600.0,90.5,72.40778390938137,18.571428571428612,58.39416058394163,600.0,70976.0,10.0,3819.2,656.3486201029992,2489.6,465.32836673567294,19.200000000000003,3.823901439919996,10.100000000000001,1.911950719959998,10.100000000000001,1.911950719959998,6.7,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.265929,4.656723367257251E-9,700.0,90.14285714285715,75.4647973178909,5.479452054794585,66.17647058823532,700.0,70848.0,10.0,3708.8,1973.9179201667823,2642.3999999999996,1392.4446288612141,20.400000000000002,11.393955512561133,10.700000000000001,5.696977756280567,10.700000000000001,5.696977756280567,6.2,3.4896672875473067,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.292783,5.160697344690562E-9,800.0,89.875,76.9948451412261,31.355932203389848,69.43396226415096,800.0,72544.0,10.0,4493.700000000001,1864.6336577938782,3259.2,1551.4830754260045,25.4,12.677188612271694,13.2,6.338594306135847,13.2,6.338594306135847,6.8,2.573367875415838,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.321666,5.70777115929458E-9,900.0,90.44444444444444,78.87358543096249,55.20833333333337,72.43589743589746,900.0,73216.0,10.0,5267.1,1789.6654839506862,4016.7999999999997,1748.4162230112395,31.599999999999998,14.268847185389573,16.299999999999997,7.1344235926947865,16.299999999999997,7.1344235926947865,8.1,2.6436506745197805,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.345654,6.166298863374526E-9,1000.0,91.2,81.58872560506144,59.44700460829494,77.83375314861462,1000.0,73888.0,10.0,6050.000000000001,1788.9000965832483,4636.800000000001,1991.0026954610921,36.6,16.29723902997069,18.8,8.148619514985345,18.8,8.148619514985345,8.5,2.838231060987734,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.361293,6.465236447337602E-9,1100.0,91.5,82.39844940693129,64.43514644351465,81.44104803493451,1100.0,73888.0,10.0,6820.700000000001,1797.4566630535369,4932.0,2000.5696966392127,39.0,16.357125528513727,20.0,8.178562764256863,20.0,8.178562764256863,8.600000000000001,2.6749870196985173,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.374774,6.72292412362165E-9,1200.0,92.80000000000001,85.59193148162973,69.3617021276596,85.18518518518519,1200.0,73888.0,10.0,7587.8,1852.5041190537502,5249.6,2076.700973499395,41.6,16.97187215496406,21.3,8.48593607748203,21.3,8.48593607748203,8.700000000000001,2.79085809185793,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,0.393996,7.102046213630174E-9,1300.0,93.10000000000001,86.11737058975021,74.44444444444447,86.6795366795367,1300.0,76240.0,10.0,8370.3,1941.30643582557,5889.6,2233.743007201639,46.800000000000004,18.219647514580394,23.900000000000002,9.109823757290197,23.900000000000002,9.109823757290197,9.5,2.5495097567963922,0.0,0.0,0.0,0.0,1.0,0.0
