learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.004785,1.1388522883256277E-12,100.0,70.0,22.400413864459388,-200.00000000000014,-3.4482758620689684,100.0,920.0
200.0,0.010739,2.555932021803326E-12,200.0,55.00000000000001,3.017241379310348,-429.4117647058825,-3.4482758620689427,200.0,920.0
300.0,0.013395,3.1880723933378857E-12,300.0,56.99999999999999,3.1046569854782167,-303.12499999999994,-2.3809523809523827,300.0,920.0
400.0,0.015625,3.71882278058264E-12,400.0,52.0,0.0,-131.32530120481925,-1.5873015873015768,400.0,920.0
500.0,0.017556,4.178409775098165E-12,500.0,52.2,7.479095695261703,-79.69924812030074,-1.7021276595744699,500.0,920.0
600.0,0.019366,4.609198206000858E-12,600.0,56.00000000000001,15.905712465491629,-51.72413793103444,-1.5384615384615228,600.0,920.0
700.0,0.020893,4.972631318701638E-12,700.0,55.57142857142857,12.892125480153634,-35.21739130434781,-1.3029315960911954,700.0,920.0
800.0,0.023362,5.560264819198184E-12,800.0,54.625,9.47066525344474,-25.17241379310343,-1.1142061281337057,800.0,920.0
900.0,0.024615,5.858484655618667E-12,900.0,54.77777777777778,8.74439461883408,-17.63005780346819,-0.9925558312654901,900.0,920.0
1000.0,0.025713,6.11981377005577E-12,1000.0,53.1,5.072258430150179,-17.543859649122794,-0.8602150537634418,1000.0,920.0
1100.0,0.026865,6.393995136022567E-12,1100.0,50.6,-2.1433563397114552,-10.022271714922057,-0.6109979633401228,1100.0,920.0
1200.0,0.027897,6.639615943034489E-12,1200.0,51.800000000000004,-0.6263048016701467,4.174950298210739,-0.20790020790020808,1200.0,920.0
1300.0,0.028785,6.850964079300562E-12,1300.0,49.8,-6.990622335890889,6.864564007421146,-0.19960079840319378,1300.0,920.0
1400.0,0.029744,7.079210546281602E-12,1400.0,50.6,-3.650860260176242,8.518518518518515,-0.20283975659229225,1400.0,920.0
1500.0,0.030788,7.327687409189012E-12,1500.0,49.9,0.0,8.409506398537475,0.0,1500.0,920.0
1600.0,0.031581,7.516425102949143E-12,1600.0,47.8,0.0,6.283662477558345,1.5094339622641522,1600.0,920.0
1700.0,0.032538,7.744195560614268E-12,1700.0,47.199999999999996,0.0,5.3763440860215,0.37735849056603804,1700.0,920.0
1800.0,0.033442,7.959351771407657E-12,1800.0,46.300000000000004,0.0,1.4678899082568821,-3.868471953578329,1800.0,920.0
1900.0,0.034219,8.144281390640471E-12,1900.0,45.6,-0.39752992547698884,-0.5545286506469507,-5.222437137330748,1900.0,920.0
2000.0,0.035028,8.336827158927918E-12,2000.0,46.9,-1.1713778360375957,1.6666666666666576,-5.357142857142862,2000.0,920.0
2100.0,0.03584,8.530086941189236E-12,2100.0,47.599999999999994,-1.5720405512803237,2.056074766355132,-5.432595573440649,2100.0,920.0
2200.0,0.036637,8.719776653581195E-12,2200.0,47.0,-4.252314204672881,0.0,-5.367793240556665,2200.0,920.0
2300.0,0.037349,8.889235970046785E-12,2300.0,47.199999999999996,-5.010262366549457,-0.3802281368821296,-5.600000000000005,2300.0,920.0
2400.0,0.038039,9.053459184037315E-12,2400.0,48.8,-2.33614224723773,0.19493177387914246,-1.1857707509881432,2400.0,920.0
2500.0,0.03879,9.232200682163238E-12,2500.0,50.2,0.025696206597504455,0.7968127490039847,-0.8097165991902842,2500.0,920.0
2600.0,0.039541,9.410942180289162E-12,2600.0,49.9,-0.4821538881178272,-0.20000000000000018,-2.453987730061352,2600.0,920.0
2700.0,0.040197,9.567073235909144E-12,2700.0,50.1,-0.14369315490765305,-1.2170385395537535,-1.2170385395537535,2700.0,920.0
2800.0,0.040871,9.727488375372357E-12,2800.0,51.7,2.5793282612729675,0.6172839506172845,3.206412825651305,2800.0,920.0
2900.0,0.041495,9.876003281937706E-12,2900.0,52.1,2.070623640437682,1.0330578512396704,4.581673306772912,2900.0,920.0
3000.0,0.0421,1.0019996100001865E-11,3000.0,52.6,0.9226318627799414,3.06748466257669,4.62776659959759,3000.0,920.0
3100.0,0.042702,1.0163274904092154E-11,3100.0,52.300000000000004,-1.6814747864049537,2.851323828920573,4.600000000000004,3100.0,920.0
3200.0,0.043339,1.0314883871210946E-11,3200.0,53.1,-1.8874154921010164,3.893442622950823,4.674796747967483,3200.0,920.0
3300.0,0.043969,1.0464826805724038E-11,3300.0,54.300000000000004,0.0,6.7346938775510266,4.989604989604994,3300.0,920.0
3400.0,0.044602,1.0615483754211002E-11,3400.0,53.800000000000004,0.0,8.695652173913052,0.4310344827586211,3400.0,920.0
3500.0,0.045327,1.0788037131230036E-11,3500.0,53.0,0.0,8.203125000000007,0.0,3500.0,920.0
3600.0,0.045981,1.0943692177534103E-11,3600.0,53.2,0.0,9.65250965250966,0.0,3600.0,920.0
3700.0,0.04665,1.1102917293707529E-11,3700.0,54.300000000000004,0.0,10.567514677103727,0.0,3700.0,920.0
3800.0,0.047294,1.1256192293432022E-11,3800.0,54.50000000000001,0.0,12.331406551059741,0.0,3800.0,920.0
3900.0,0.047891,1.1398281074232523E-11,3900.0,55.400000000000006,0.0,13.398058252427198,0.0,3900.0,920.0
4000.0,0.048501,1.154346391558647E-11,4000.0,55.7,0.0,12.623274161735711,0.0,4000.0,920.0
4100.0,0.049056,1.1675556500752766E-11,4100.0,56.49999999999999,0.0,13.346613545816725,0.0,4100.0,920.0
4200.0,0.049593,1.180336500207583E-11,4200.0,56.2,0.0,12.749003984063755,0.0,4200.0,920.0
